datetime,CVXBUSD_open,CVXBUSD_high,CVXBUSD_low,CVXBUSD_close
2022-01-01 00:00:00,53.37,54.69,52.35,54.13
2022-01-01 01:00:00,54.13,55.27,52.59,52.79
2022-01-01 02:00:00,52.79,53.14,51.56,52.94
2022-01-01 03:00:00,52.93,56.47,52.09,54.03
2022-01-01 04:00:00,54.03,56.38,53.62,56.38
2022-01-01 05:00:00,56.13,56.9,53.81,54.77
2022-01-01 06:00:00,54.78,56.37,54.13,55.51
2022-01-01 07:00:00,55.34,56.3,54.97,55.58
2022-01-01 08:00:00,55.58,55.69,53.75,54.3
2022-01-01 09:00:00,54.32,55.42,53.41,53.7
2022-01-01 10:00:00,53.89,55.16,53.72,54.48
2022-01-01 11:00:00,54.76,58.25,54.68,56.92
2022-01-01 12:00:00,56.94,63.0,56.03,63.0
2022-01-01 13:00:00,62.99,63.0,57.82,58.8
2022-01-01 14:00:00,58.8,59.25,52.03,53.82
2022-01-01 15:00:00,53.82,54.33,50.95,51.6
2022-01-01 16:00:00,51.62,52.06,49.73,50.33
2022-01-01 17:00:00,50.22,50.22,48.52,48.76
2022-01-01 18:00:00,48.95,51.97,48.67,50.09
2022-01-01 19:00:00,50.08,50.82,48.61,48.87
2022-01-01 20:00:00,48.9,49.81,47.74,47.74
2022-01-01 21:00:00,47.74,49.45,47.74,49.05
2022-01-01 22:00:00,48.79,49.66,47.61,49.66
2022-01-01 23:00:00,49.72,51.28,49.64,49.98
2022-01-02 00:00:00,49.84,51.1,49.73,50.1
2022-01-02 01:00:00,50.0,50.82,49.7,50.67
2022-01-02 02:00:00,50.78,51.85,50.67,51.22
2022-01-02 03:00:00,51.3,51.5,49.86,50.79
2022-01-02 04:00:00,50.76,50.77,49.68,50.21
2022-01-02 05:00:00,50.21,50.5,49.82,50.22
2022-01-02 06:00:00,50.22,50.67,49.38,49.6
2022-01-02 07:00:00,49.6,50.14,49.0,50.1
2022-01-02 08:00:00,50.1,50.47,49.63,50.2
2022-01-02 09:00:00,50.2,50.47,49.34,49.8
2022-01-02 10:00:00,49.8,51.22,49.56,50.18
2022-01-02 11:00:00,50.27,50.45,47.33,48.3
2022-01-02 12:00:00,48.12,49.24,47.85,47.99
2022-01-02 13:00:00,48.01,48.44,47.36,47.84
2022-01-02 14:00:00,47.8,48.09,46.27,46.75
2022-01-02 15:00:00,46.73,46.89,46.0,46.47
2022-01-02 16:00:00,46.49,46.98,46.03,46.33
2022-01-02 17:00:00,46.47,48.49,46.33,48.28
2022-01-02 18:00:00,48.1,48.48,47.62,47.81
2022-01-02 19:00:00,47.81,48.2,46.82,47.56
2022-01-02 20:00:00,47.71,48.28,46.72,48.15
2022-01-02 21:00:00,48.15,48.18,47.11,48.01
2022-01-02 22:00:00,47.83,48.02,46.51,46.56
2022-01-02 23:00:00,46.52,47.08,46.1,47.08
2022-01-03 00:00:00,47.09,47.92,47.09,47.56
2022-01-03 01:00:00,47.71,47.72,47.08,47.25
2022-01-03 02:00:00,47.29,47.49,46.17,46.48
2022-01-03 03:00:00,46.32,47.68,46.16,47.48
2022-01-03 04:00:00,47.47,49.32,47.03,47.31
2022-01-03 05:00:00,47.33,48.08,47.0,47.24
2022-01-03 06:00:00,47.25,48.65,47.25,48.58
2022-01-03 07:00:00,48.58,48.97,48.16,48.16
2022-01-03 08:00:00,48.25,48.99,47.42,47.84
2022-01-03 09:00:00,47.84,48.56,47.38,47.7
2022-01-03 10:00:00,47.71,47.98,46.63,47.27
2022-01-03 11:00:00,47.18,47.18,45.85,46.38
2022-01-03 12:00:00,46.39,47.53,46.25,47.52
2022-01-03 13:00:00,47.33,47.53,46.01,47.09
2022-01-03 14:00:00,47.06,47.37,45.11,47.09
2022-01-03 15:00:00,47.09,47.16,45.92,46.43
2022-01-03 16:00:00,46.43,47.18,45.72,46.79
2022-01-03 17:00:00,46.73,47.42,45.66,46.76
2022-01-03 18:00:00,46.78,48.34,46.57,46.6
2022-01-03 19:00:00,46.75,47.76,46.07,47.76
2022-01-03 20:00:00,47.7,48.12,46.52,46.78
2022-01-03 21:00:00,46.79,47.35,46.34,46.63
2022-01-03 22:00:00,46.65,48.0,46.45,47.64
2022-01-03 23:00:00,47.65,47.84,47.53,47.53
2022-01-04 00:00:00,47.53,48.65,46.86,47.05
2022-01-04 01:00:00,47.08,47.39,47.0,47.39
2022-01-04 02:00:00,47.41,48.25,47.41,48.25
2022-01-04 03:00:00,48.26,49.39,47.89,49.06
2022-01-04 04:00:00,49.22,49.63,48.73,49.47
2022-01-04 05:00:00,49.48,51.44,49.47,50.63
2022-01-04 06:00:00,50.57,50.57,49.09,49.71
2022-01-04 07:00:00,49.71,50.8,49.5,50.4
2022-01-04 08:00:00,50.49,52.44,50.0,52.44
2022-01-04 09:00:00,52.42,53.28,51.95,52.39
2022-01-04 10:00:00,52.39,53.4,51.87,51.87
2022-01-04 11:00:00,52.03,52.13,50.97,51.69
2022-01-04 12:00:00,51.91,53.52,51.75,53.04
2022-01-04 13:00:00,53.23,53.48,51.1,51.78
2022-01-04 14:00:00,51.84,52.74,51.12,52.23
2022-01-04 15:00:00,52.43,52.45,49.51,49.77
2022-01-04 16:00:00,49.77,50.1,49.7,49.75
2022-01-04 17:00:00,49.75,51.12,49.56,50.46
2022-01-04 18:00:00,50.45,50.45,48.61,49.41
2022-01-04 19:00:00,49.23,50.27,48.37,50.05
2022-01-04 20:00:00,50.05,50.05,48.9,49.27
2022-01-04 21:00:00,49.26,49.71,49.1,49.67
2022-01-04 22:00:00,49.71,51.11,48.91,49.43
2022-01-04 23:00:00,49.4,50.07,49.06,49.92
2022-01-05 00:00:00,50.06,50.49,49.46,49.59
2022-01-05 01:00:00,49.54,50.0,49.2,49.4
2022-01-05 02:00:00,49.37,49.91,49.23,49.7
2022-01-05 03:00:00,49.85,49.88,47.71,47.94
2022-01-05 04:00:00,47.92,48.66,47.77,48.61
2022-01-05 05:00:00,48.65,48.98,48.16,48.53
2022-01-05 06:00:00,48.53,48.68,47.5,47.51
2022-01-05 07:00:00,47.69,48.22,46.68,47.19
2022-01-05 08:00:00,47.22,49.32,46.65,49.06
2022-01-05 09:00:00,49.06,49.06,47.9,48.18
2022-01-05 10:00:00,48.18,48.36,47.98,48.17
2022-01-05 11:00:00,48.16,48.42,46.98,47.41
2022-01-05 12:00:00,47.26,48.14,47.0,47.04
2022-01-05 13:00:00,46.99,47.02,46.08,46.69
2022-01-05 14:00:00,46.68,46.68,45.01,45.2
2022-01-05 15:00:00,45.24,45.41,42.85,42.87
2022-01-05 16:00:00,43.03,43.54,41.89,41.89
2022-01-05 17:00:00,41.86,42.05,37.0,39.67
2022-01-05 18:00:00,39.67,44.38,39.67,41.94
2022-01-05 19:00:00,41.94,43.0,41.59,42.12
2022-01-05 20:00:00,42.12,43.2,41.74,42.95
2022-01-05 21:00:00,43.11,45.0,41.23,41.93
2022-01-05 22:00:00,41.94,41.95,41.07,41.28
2022-01-05 23:00:00,41.33,41.52,40.87,41.0
2022-01-06 00:00:00,40.86,41.69,40.24,41.18
2022-01-06 01:00:00,41.13,41.72,40.99,41.6
2022-01-06 02:00:00,41.52,42.71,41.33,42.55
2022-01-06 03:00:00,42.63,42.73,40.36,40.46
2022-01-06 04:00:00,40.6,41.99,39.23,39.57
2022-01-06 05:00:00,39.61,40.87,39.61,40.6
2022-01-06 06:00:00,40.59,41.24,39.93,40.51
2022-01-06 07:00:00,40.52,40.52,40.01,40.18
2022-01-06 08:00:00,40.18,40.91,40.12,40.38
2022-01-06 09:00:00,40.35,41.15,40.31,40.9
2022-01-06 10:00:00,40.9,41.13,40.09,40.85
2022-01-06 11:00:00,40.85,41.71,40.7,40.78
2022-01-06 12:00:00,40.8,41.9,40.72,41.88
2022-01-06 13:00:00,41.88,42.39,41.53,42.27
2022-01-06 14:00:00,42.32,42.57,41.68,42.13
2022-01-06 15:00:00,42.09,42.43,41.8,42.0
2022-01-06 16:00:00,42.0,42.57,41.62,41.67
2022-01-06 17:00:00,41.66,43.0,41.63,42.58
2022-01-06 18:00:00,42.63,42.73,41.7,42.26
2022-01-06 19:00:00,42.26,42.36,41.23,41.63
2022-01-06 20:00:00,41.63,41.8,40.8,40.9
2022-01-06 21:00:00,40.85,40.9,39.24,39.25
2022-01-06 22:00:00,39.24,39.26,38.0,38.07
2022-01-06 23:00:00,38.32,38.62,36.78,38.6
2022-01-07 00:00:00,38.62,39.14,38.51,39.01
2022-01-07 01:00:00,39.09,39.8,38.35,38.57
2022-01-07 02:00:00,38.54,38.87,36.84,38.87
2022-01-07 03:00:00,38.89,39.18,38.34,39.18
2022-01-07 04:00:00,39.17,40.11,38.22,39.42
2022-01-07 05:00:00,39.42,39.61,39.01,39.18
2022-01-07 06:00:00,39.05,39.47,38.05,39.41
2022-01-07 07:00:00,39.35,39.87,39.25,39.4
2022-01-07 08:00:00,39.4,39.51,38.01,38.3
2022-01-07 09:00:00,38.05,38.7,37.78,38.55
2022-01-07 10:00:00,38.5,38.61,37.04,37.35
2022-01-07 11:00:00,37.35,38.02,37.24,37.6
2022-01-07 12:00:00,37.61,38.26,37.49,38.03
2022-01-07 13:00:00,38.03,38.45,38.0,38.16
2022-01-07 14:00:00,38.17,38.78,37.41,37.61
2022-01-07 15:00:00,37.65,39.8,37.52,38.85
2022-01-07 16:00:00,38.99,39.51,38.01,38.84
2022-01-07 17:00:00,38.96,38.96,37.2,37.37
2022-01-07 18:00:00,37.39,37.84,37.2,37.75
2022-01-07 19:00:00,37.76,39.03,37.75,38.74
2022-01-07 20:00:00,38.86,39.33,38.45,38.97
