datetime,DARBUSD_open,DARBUSD_high,DARBUSD_low,DARBUSD_close
2022-01-01 00:00:00,2.11011,2.15306,2.04081,2.05006
2022-01-01 01:00:00,2.05009,2.08027,2.03,2.07119
2022-01-01 02:00:00,2.07354,2.07968,2.06704,2.07184
2022-01-01 03:00:00,2.07184,2.07852,2.069,2.07767
2022-01-01 04:00:00,2.07767,2.08867,2.07,2.08087
2022-01-01 05:00:00,2.08083,2.08451,2.04463,2.04463
2022-01-01 06:00:00,2.04806,2.05644,2.04153,2.04979
2022-01-01 07:00:00,2.04979,2.10806,2.04678,2.07929
2022-01-01 08:00:00,2.08629,2.10273,2.07662,2.08663
2022-01-01 09:00:00,2.08628,2.1027,2.08347,2.09
2022-01-01 10:00:00,2.09058,2.10232,2.083,2.09342
2022-01-01 11:00:00,2.09441,2.13521,2.09255,2.10705
2022-01-01 12:00:00,2.10406,2.11953,2.09678,2.11871
2022-01-01 13:00:00,2.11871,2.12666,2.10593,2.11932
2022-01-01 14:00:00,2.11932,2.12193,2.10516,2.11143
2022-01-01 15:00:00,2.1147,2.12664,2.1114,2.12062
2022-01-01 16:00:00,2.12058,2.12795,2.11318,2.11877
2022-01-01 17:00:00,2.11877,2.12,2.10667,2.10877
2022-01-01 18:00:00,2.10664,2.1073,2.089,2.09705
2022-01-01 19:00:00,2.10257,2.15167,2.08723,2.11518
2022-01-01 20:00:00,2.11407,2.12053,2.10291,2.11806
2022-01-01 21:00:00,2.11813,2.15212,2.11813,2.15022
2022-01-01 22:00:00,2.14989,2.14989,2.12914,2.13329
2022-01-01 23:00:00,2.13785,2.14437,2.09508,2.10384
2022-01-02 00:00:00,2.10157,2.10655,2.09283,2.103
2022-01-02 01:00:00,2.103,2.12205,2.1019,2.11109
2022-01-02 02:00:00,2.11104,2.11537,2.10669,2.10669
2022-01-02 03:00:00,2.10869,2.12073,2.10432,2.11675
2022-01-02 04:00:00,2.1134,2.13338,2.1134,2.12
2022-01-02 05:00:00,2.1238,2.12469,2.11304,2.11304
2022-01-02 06:00:00,2.11281,2.17583,2.1127,2.17114
2022-01-02 07:00:00,2.17114,2.17114,2.1412,2.14212
2022-01-02 08:00:00,2.14212,2.14496,2.12088,2.12088
2022-01-02 09:00:00,2.12072,2.14646,2.11076,2.11557
2022-01-02 10:00:00,2.11679,2.12752,2.105,2.11707
2022-01-02 11:00:00,2.11637,2.15379,2.11637,2.14874
2022-01-02 12:00:00,2.14423,2.15419,2.13093,2.13481
2022-01-02 13:00:00,2.13043,2.13224,2.10205,2.12433
2022-01-02 14:00:00,2.12048,2.14467,2.11382,2.11565
2022-01-02 15:00:00,2.1157,2.1182,2.10763,2.10763
2022-01-02 16:00:00,2.10763,2.10765,2.09503,2.0962
2022-01-02 17:00:00,2.0962,2.10773,2.0935,2.10056
2022-01-02 18:00:00,2.09621,2.10177,2.09125,2.09137
2022-01-02 19:00:00,2.09622,2.09883,2.08801,2.08801
2022-01-02 20:00:00,2.08801,2.09546,2.08054,2.09141
2022-01-02 21:00:00,2.092,2.092,2.07145,2.07891
2022-01-02 22:00:00,2.08497,2.08644,2.07,2.07842
2022-01-02 23:00:00,2.07686,2.08681,2.07512,2.081
2022-01-03 00:00:00,2.08406,2.09515,2.08106,2.0938
2022-01-03 01:00:00,2.09352,2.09444,2.0885,2.09046
2022-01-03 02:00:00,2.09037,2.09037,2.08301,2.08423
2022-01-03 03:00:00,2.08423,2.09121,2.08313,2.0875
2022-01-03 04:00:00,2.08848,2.0908,2.07361,2.07523
2022-01-03 05:00:00,2.0779,2.08976,2.07486,2.07486
2022-01-03 06:00:00,2.07734,2.08824,2.05987,2.08824
2022-01-03 07:00:00,2.08824,2.09328,2.08042,2.08042
2022-01-03 08:00:00,2.08247,2.0946,2.07878,2.08657
2022-01-03 09:00:00,2.0866,2.09309,2.076,2.07886
2022-01-03 10:00:00,2.08074,2.08367,2.06315,2.07702
2022-01-03 11:00:00,2.07466,2.07644,2.05103,2.061
2022-01-03 12:00:00,2.061,2.07156,2.0457,2.06185
2022-01-03 13:00:00,2.06449,2.0683,2.0565,2.0565
2022-01-03 14:00:00,2.0576,2.06363,2.05137,2.05137
2022-01-03 15:00:00,2.0518,2.06,2.0345,2.046
2022-01-03 16:00:00,2.046,2.05741,2.03876,2.05548
