datetime,DASHUSD_open,DASHUSD_high,DASHUSD_low,DASHUSD_close
2022-01-01 00:00:00,133.88,135.85,133.83,135.68
2022-01-01 01:00:00,135.7,136.43,134.86,135.18
2022-01-01 02:00:00,135.23,136.07,135.1,135.59
2022-01-01 03:00:00,135.61,135.73,135.08,135.14
2022-01-01 04:00:00,135.31,135.46,134.15,134.36
2022-01-01 05:00:00,134.28,136.31,134.09,135.24
2022-01-01 06:00:00,135.31,136.27,134.98,135.3
2022-01-01 07:00:00,135.3,136.34,134.8,135.35
2022-01-01 08:00:00,135.35,135.85,135.27,135.56
2022-01-01 09:00:00,135.63,135.67,134.69,135.14
2022-01-01 10:00:00,135.22,135.54,133.67,134.51
2022-01-01 11:00:00,134.64,135.18,134.54,134.88
2022-01-01 12:00:00,134.76,136.35,134.73,135.95
2022-01-01 13:00:00,136.04,136.47,135.62,135.97
2022-01-01 14:00:00,136.06,136.51,135.97,136.4
2022-01-01 15:00:00,136.18,137.48,136.05,137.19
2022-01-01 16:00:00,137.22,137.72,137.06,137.59
2022-01-01 17:00:00,137.61,139.39,137.32,138.62
2022-01-01 18:00:00,138.75,138.83,137.56,138.04
2022-01-01 19:00:00,137.97,138.29,137.68,137.94
2022-01-01 20:00:00,138.05,138.88,137.89,138.04
2022-01-01 21:00:00,138.11,138.53,137.23,137.7
2022-01-01 22:00:00,137.58,137.76,137.27,137.33
2022-01-01 23:00:00,137.2,138.1,136.96,138.03
2022-01-02 00:00:00,138.17,138.63,137.29,138.06
2022-01-02 01:00:00,137.87,137.87,137.45,137.66
2022-01-02 02:00:00,137.54,138.54,137.54,138.37
2022-01-02 03:00:00,138.48,138.65,137.86,138.18
2022-01-02 04:00:00,138.2,138.65,136.5,136.88
2022-01-02 05:00:00,136.83,137.83,136.83,137.76
2022-01-02 06:00:00,137.67,137.68,137.22,137.29
2022-01-02 07:00:00,137.32,137.66,137.12,137.23
2022-01-02 08:00:00,137.16,137.74,136.36,137.58
2022-01-02 09:00:00,137.59,138.61,137.44,137.77
2022-01-02 10:00:00,137.77,138.04,137.23,137.23
2022-01-02 11:00:00,137.36,138.57,137.36,138.27
2022-01-02 12:00:00,138.32,138.9,137.48,138.66
2022-01-02 13:00:00,138.53,138.8,138.23,138.43
2022-01-02 14:00:00,138.4,139.16,138.33,139.02
2022-01-02 15:00:00,139.06,140.0,138.88,139.6
2022-01-02 16:00:00,139.5,142.22,139.5,142.01
2022-01-02 17:00:00,142.2,142.89,141.24,142.14
2022-01-02 18:00:00,142.17,142.17,139.6,141.08
2022-01-02 19:00:00,141.18,142.26,140.99,141.46
2022-01-02 20:00:00,141.36,142.54,141.23,142.39
2022-01-02 21:00:00,142.39,143.1,142.04,142.04
2022-01-02 22:00:00,142.02,142.7,141.98,142.7
2022-01-02 23:00:00,142.77,143.23,141.92,141.99
2022-01-03 00:00:00,141.93,142.24,140.82,140.97
2022-01-03 01:00:00,140.95,142.48,140.81,142.48
2022-01-03 02:00:00,142.48,142.8,141.48,142.27
2022-01-03 03:00:00,142.37,142.61,140.73,141.33
2022-01-03 04:00:00,141.34,142.86,141.32,142.24
2022-01-03 05:00:00,142.24,142.83,141.21,141.28
2022-01-03 06:00:00,141.41,141.72,140.1,140.1
2022-01-03 07:00:00,140.23,140.57,139.75,139.75
2022-01-03 08:00:00,139.82,140.31,139.39,139.58
2022-01-03 09:00:00,139.89,140.01,138.58,139.56
2022-01-03 10:00:00,139.57,140.42,139.39,140.2
2022-01-03 11:00:00,140.3,141.28,140.3,141.13
2022-01-03 12:00:00,141.15,141.21,140.43,140.74
2022-01-03 13:00:00,140.71,142.17,140.71,141.64
2022-01-03 14:00:00,141.44,142.01,140.44,141.01
2022-01-03 15:00:00,141.03,141.41,139.87,140.63
2022-01-03 16:00:00,140.56,140.59,137.11,138.47
2022-01-03 17:00:00,138.59,139.74,138.06,139.41
2022-01-03 18:00:00,139.39,139.69,138.71,139.11
2022-01-03 19:00:00,139.04,139.75,138.09,138.09
2022-01-03 20:00:00,138.09,138.34,136.17,137.3
2022-01-03 21:00:00,137.1,138.44,136.78,137.57
2022-01-03 22:00:00,137.51,139.38,137.5,139.0
2022-01-03 23:00:00,138.97,139.79,138.65,139.05
2022-01-04 00:00:00,139.15,139.88,137.41,138.01
2022-01-04 01:00:00,138.01,138.72,136.58,136.6
2022-01-04 02:00:00,136.83,136.98,135.45,135.97
2022-01-04 03:00:00,135.95,136.29,135.04,135.8
2022-01-04 04:00:00,136.09,136.14,135.04,135.06
2022-01-04 05:00:00,135.03,136.2,135.0,135.78
2022-01-04 06:00:00,135.7,136.86,135.52,136.8
2022-01-04 07:00:00,136.9,137.16,136.37,137.16
2022-01-04 08:00:00,137.1,137.54,136.6,137.16
2022-01-04 09:00:00,137.26,137.59,136.53,136.74
2022-01-04 10:00:00,136.91,138.0,136.52,137.76
2022-01-04 11:00:00,138.04,138.84,137.93,138.84
2022-01-04 12:00:00,138.86,138.9,135.17,136.62
2022-01-04 13:00:00,136.64,137.77,135.64,137.55
2022-01-04 14:00:00,137.67,138.3,136.94,138.14
2022-01-04 15:00:00,138.19,138.33,136.72,136.72
2022-01-04 16:00:00,136.73,138.06,136.58,137.84
2022-01-04 17:00:00,137.81,138.16,137.05,137.08
2022-01-04 18:00:00,137.17,137.8,133.62,134.09
2022-01-04 19:00:00,134.11,136.8,133.26,135.19
2022-01-04 20:00:00,135.64,136.83,135.01,136.47
2022-01-04 21:00:00,136.54,136.82,135.68,136.34
2022-01-04 22:00:00,136.27,136.32,135.64,135.93
2022-01-04 23:00:00,135.82,135.87,134.24,134.45
2022-01-05 00:00:00,134.45,135.06,133.64,134.73
2022-01-05 01:00:00,134.72,135.18,133.58,133.58
2022-01-05 02:00:00,133.94,134.62,133.5,134.5
2022-01-05 03:00:00,134.49,135.04,134.37,134.73
2022-01-05 04:00:00,134.73,134.9,134.34,134.69
2022-01-05 05:00:00,134.59,134.69,134.11,134.36
2022-01-05 06:00:00,134.46,135.65,134.38,135.55
2022-01-05 07:00:00,135.52,136.02,135.48,136.0
2022-01-05 08:00:00,135.99,136.59,135.34,136.23
2022-01-05 09:00:00,136.26,136.98,136.11,136.84
2022-01-05 10:00:00,136.84,136.89,135.84,136.35
2022-01-05 11:00:00,136.24,136.24,134.44,135.2
2022-01-05 12:00:00,135.2,135.52,134.06,135.19
2022-01-05 13:00:00,135.15,136.42,134.82,136.26
2022-01-05 14:00:00,136.39,136.88,135.39,136.28
2022-01-05 15:00:00,136.28,136.67,135.8,136.25
2022-01-05 16:00:00,136.21,136.22,135.15,135.3
2022-01-05 17:00:00,135.33,135.78,133.7,133.7
2022-01-05 18:00:00,133.64,134.46,132.47,133.51
2022-01-05 19:00:00,133.41,133.95,128.17,128.43
2022-01-05 20:00:00,128.38,129.19,125.21,125.47
2022-01-05 21:00:00,125.52,127.59,124.42,125.38
2022-01-05 22:00:00,125.33,126.07,117.05,122.75
2022-01-05 23:00:00,122.8,124.08,122.33,122.47
2022-01-06 00:00:00,122.5,123.74,122.01,123.02
2022-01-06 01:00:00,123.26,123.32,120.59,121.37
2022-01-06 02:00:00,121.11,121.94,120.22,120.57
2022-01-06 03:00:00,120.62,121.26,119.48,119.48
2022-01-06 04:00:00,119.77,121.9,119.1,121.46
2022-01-06 05:00:00,121.6,122.44,120.44,121.05
2022-01-06 06:00:00,120.93,121.87,120.22,120.92
2022-01-06 07:00:00,120.9,122.14,120.56,121.74
2022-01-06 08:00:00,121.75,121.97,118.93,120.14
2022-01-06 09:00:00,120.16,121.35,117.91,118.95
2022-01-06 10:00:00,118.96,121.43,118.74,121.05
2022-01-06 11:00:00,121.02,121.26,119.4,120.39
