datetime,DEGOBUSD_open,DEGOBUSD_high,DEGOBUSD_low,DEGOBUSD_close
2022-01-01 00:00:00,6.38,6.46,6.37,6.41
2022-01-01 01:00:00,6.4,6.4,6.37,6.37
2022-01-01 02:00:00,6.36,6.37,6.36,6.37
2022-01-01 03:00:00,6.38,6.4,6.37,6.38
2022-01-01 04:00:00,6.37,6.39,6.33,6.34
2022-01-01 05:00:00,6.35,6.36,6.29,6.33
2022-01-01 06:00:00,6.31,6.32,6.3,6.32
2022-01-01 07:00:00,6.3,6.34,6.3,6.32
2022-01-01 08:00:00,6.33,6.33,6.3,6.33
2022-01-01 09:00:00,6.33,6.37,6.28,6.35
2022-01-01 10:00:00,6.35,6.38,6.33,6.36
2022-01-01 11:00:00,6.36,6.38,6.35,6.35
2022-01-01 12:00:00,6.35,6.39,6.34,6.37
2022-01-01 13:00:00,6.37,6.39,6.37,6.38
2022-01-01 14:00:00,6.39,6.39,6.36,6.39
2022-01-01 15:00:00,6.39,6.41,6.38,6.4
2022-01-01 16:00:00,6.41,6.41,6.36,6.36
2022-01-01 17:00:00,6.37,6.39,6.36,6.39
2022-01-01 18:00:00,6.38,6.43,6.38,6.43
2022-01-01 19:00:00,6.43,6.43,6.4,6.42
2022-01-01 20:00:00,6.43,6.44,6.42,6.44
2022-01-01 21:00:00,6.43,6.47,6.42,6.47
2022-01-01 22:00:00,6.47,6.47,6.41,6.42
2022-01-01 23:00:00,6.43,6.43,6.33,6.34
2022-01-02 00:00:00,6.35,6.38,6.32,6.37
2022-01-02 01:00:00,6.37,6.37,6.34,6.37
2022-01-02 02:00:00,6.37,6.37,6.36,6.36
2022-01-02 03:00:00,6.36,6.36,6.31,6.36
2022-01-02 04:00:00,6.36,6.41,6.34,6.39
2022-01-02 05:00:00,6.39,6.41,6.37,6.39
2022-01-02 06:00:00,6.4,6.46,6.4,6.42
2022-01-02 07:00:00,6.42,6.46,6.39,6.43
2022-01-02 08:00:00,6.42,6.42,6.37,6.38
2022-01-02 09:00:00,6.38,6.38,6.37,6.38
2022-01-02 10:00:00,6.38,6.44,6.37,6.44
2022-01-02 11:00:00,6.43,6.55,6.43,6.51
2022-01-02 12:00:00,6.52,6.52,6.42,6.42
2022-01-02 13:00:00,6.42,6.42,6.31,6.39
2022-01-02 14:00:00,6.4,6.51,6.39,6.39
2022-01-02 15:00:00,6.39,6.41,6.38,6.41
2022-01-02 16:00:00,6.41,6.43,6.39,6.41
2022-01-02 17:00:00,6.43,6.43,6.4,6.41
2022-01-02 18:00:00,6.41,6.47,6.35,6.36
2022-01-02 19:00:00,6.36,6.36,6.35,6.36
2022-01-02 20:00:00,6.35,6.36,6.33,6.34
2022-01-02 21:00:00,6.36,6.36,6.32,6.33
2022-01-02 22:00:00,6.34,6.35,6.3,6.3
2022-01-02 23:00:00,6.3,6.42,6.29,6.3
2022-01-03 00:00:00,6.3,6.34,6.3,6.34
2022-01-03 01:00:00,6.34,6.34,6.3,6.32
2022-01-03 02:00:00,6.32,6.32,6.31,6.31
2022-01-03 03:00:00,6.32,6.32,6.26,6.27
2022-01-03 04:00:00,6.28,6.29,6.22,6.27
2022-01-03 05:00:00,6.28,6.34,6.28,6.32
2022-01-03 06:00:00,6.32,6.35,6.31,6.33
2022-01-03 07:00:00,6.33,6.35,6.3,6.32
2022-01-03 08:00:00,6.31,6.35,6.3,6.33
2022-01-03 09:00:00,6.33,6.33,6.28,6.3
2022-01-03 10:00:00,6.29,6.31,6.23,6.23
2022-01-03 11:00:00,6.25,6.27,6.16,6.2
2022-01-03 12:00:00,6.2,6.28,6.19,6.24
2022-01-03 13:00:00,6.23,6.23,6.2,6.2
2022-01-03 14:00:00,6.2,6.23,6.2,6.21
2022-01-03 15:00:00,6.2,6.2,6.1,6.11
2022-01-03 16:00:00,6.13,6.18,6.12,6.17
2022-01-03 17:00:00,6.17,6.21,6.17,6.18
2022-01-03 18:00:00,6.19,6.23,6.19,6.2
2022-01-03 19:00:00,6.23,6.23,6.13,6.13
2022-01-03 20:00:00,6.12,6.15,6.11,6.11
2022-01-03 21:00:00,6.12,6.12,6.05,6.08
2022-01-03 22:00:00,6.08,6.15,6.05,6.15
2022-01-03 23:00:00,6.13,6.16,6.11,6.14
2022-01-04 00:00:00,6.12,6.14,6.11,6.13
2022-01-04 01:00:00,6.13,6.15,6.13,6.15
2022-01-04 02:00:00,6.13,6.22,6.13,6.18
2022-01-04 03:00:00,6.18,6.2,6.16,6.16
2022-01-04 04:00:00,6.16,6.16,6.11,6.11
2022-01-04 05:00:00,6.13,6.19,6.12,6.19
2022-01-04 06:00:00,6.19,6.25,6.18,6.25
2022-01-04 07:00:00,6.24,6.24,6.2,6.21
2022-01-04 08:00:00,6.19,6.26,6.19,6.26
2022-01-04 09:00:00,6.27,6.36,6.25,6.33
2022-01-04 10:00:00,6.33,6.34,6.27,6.27
2022-01-04 11:00:00,6.26,6.29,5.99,6.16
2022-01-04 12:00:00,6.16,6.21,6.16,6.16
2022-01-04 13:00:00,6.16,6.16,5.96,5.99
2022-01-04 14:00:00,6.0,6.09,5.99,6.03
2022-01-04 15:00:00,6.04,6.09,6.03,6.07
2022-01-04 16:00:00,6.07,6.09,6.05,6.09
2022-01-04 17:00:00,6.09,6.11,6.07,6.08
2022-01-04 18:00:00,6.05,6.07,6.04,6.05
2022-01-04 19:00:00,6.04,6.08,6.03,6.08
2022-01-04 20:00:00,6.09,6.09,6.05,6.06
2022-01-04 21:00:00,6.07,6.1,6.07,6.1
2022-01-04 22:00:00,6.11,6.12,6.08,6.1
2022-01-04 23:00:00,6.1,6.1,6.09,6.09
2022-01-05 00:00:00,6.09,6.09,6.07,6.07
2022-01-05 01:00:00,6.08,6.12,6.08,6.11
2022-01-05 02:00:00,6.11,6.12,6.1,6.12
2022-01-05 03:00:00,6.12,6.15,6.11,6.15
2022-01-05 04:00:00,6.14,6.16,6.13,6.15
2022-01-05 05:00:00,6.16,6.18,6.12,6.12
2022-01-05 06:00:00,6.12,6.12,6.03,6.03
2022-01-05 07:00:00,6.05,6.06,6.0,6.06
2022-01-05 08:00:00,6.06,6.11,6.04,6.1
2022-01-05 09:00:00,6.12,6.16,6.08,6.15
2022-01-05 10:00:00,6.15,6.15,6.07,6.09
2022-01-05 11:00:00,6.1,6.12,6.08,6.08
2022-01-05 12:00:00,6.08,6.1,6.01,6.01
2022-01-05 13:00:00,6.0,6.03,5.95,6.01
2022-01-05 14:00:00,6.02,6.02,5.73,5.75
2022-01-05 15:00:00,5.74,5.76,5.63,5.67
2022-01-05 16:00:00,5.67,5.7,5.53,5.6
2022-01-05 17:00:00,5.58,5.59,5.27,5.58
2022-01-05 18:00:00,5.58,5.67,5.56,5.64
2022-01-05 19:00:00,5.62,5.66,5.6,5.65
2022-01-05 20:00:00,5.64,5.66,5.57,5.58
2022-01-05 21:00:00,5.58,5.58,5.48,5.48
2022-01-05 22:00:00,5.47,5.47,5.39,5.39
2022-01-05 23:00:00,5.39,5.46,5.37,5.46
2022-01-06 00:00:00,5.47,5.52,5.44,5.51
2022-01-06 01:00:00,5.51,5.68,5.5,5.53
2022-01-06 02:00:00,5.52,5.59,5.51,5.56
2022-01-06 03:00:00,5.57,5.58,5.44,5.47
2022-01-06 04:00:00,5.45,5.46,5.41,5.42
2022-01-06 05:00:00,5.42,5.46,5.41,5.46
