datetime,DESOUSD_open,DESOUSD_high,DESOUSD_low,DESOUSD_close
2022-01-01 00:00:00,106.03,107.0,95.0,96.03
2022-01-01 01:00:00,96.03,96.67,94.45,94.45
2022-01-01 02:00:00,94.61,95.41,92.67,92.67
2022-01-01 03:00:00,92.67,96.48,92.55,94.74
2022-01-01 04:00:00,94.74,95.29,92.3,92.3
2022-01-01 05:00:00,92.3,94.88,92.3,92.73
2022-01-01 06:00:00,92.6,94.1,92.38,92.7
2022-01-01 07:00:00,92.71,94.01,92.03,92.55
2022-01-01 08:00:00,92.55,93.22,91.74,92.25
2022-01-01 09:00:00,92.25,92.85,91.57,91.85
2022-01-01 10:00:00,91.85,92.73,91.56,92.73
2022-01-01 11:00:00,91.88,95.34,91.59,94.32
2022-01-01 12:00:00,94.32,96.31,93.18,94.56
2022-01-01 13:00:00,94.73,95.67,92.55,94.07
2022-01-01 14:00:00,94.08,95.03,92.35,92.53
2022-01-01 15:00:00,92.99,93.18,90.85,92.0
2022-01-01 16:00:00,92.08,93.68,91.0,93.68
2022-01-01 17:00:00,93.49,94.3,92.52,93.5
2022-01-01 18:00:00,93.54,94.49,92.35,93.47
2022-01-01 19:00:00,92.92,94.48,92.35,93.8
2022-01-01 20:00:00,93.8,94.15,92.5,92.8
2022-01-01 21:00:00,92.8,99.0,92.8,96.48
2022-01-01 22:00:00,96.48,97.41,93.16,93.4
2022-01-01 23:00:00,93.4,95.5,92.5,93.52
2022-01-02 00:00:00,93.52,94.28,92.3,92.33
2022-01-02 01:00:00,92.33,93.84,91.85,92.39
2022-01-02 02:00:00,92.46,93.47,92.17,92.39
2022-01-02 03:00:00,92.39,92.89,91.72,91.78
2022-01-02 04:00:00,91.78,92.72,91.51,91.53
2022-01-02 05:00:00,91.53,94.28,91.39,92.5
2022-01-02 06:00:00,92.5,93.09,91.66,91.95
2022-01-02 07:00:00,91.95,93.35,91.66,91.69
2022-01-02 08:00:00,91.69,92.69,91.2,91.22
2022-01-02 09:00:00,91.21,92.32,91.0,91.01
2022-01-02 10:00:00,91.01,91.81,90.48,91.15
2022-01-02 11:00:00,91.15,92.03,90.4,90.61
2022-01-02 12:00:00,90.61,91.88,90.44,90.89
2022-01-02 13:00:00,90.9,92.34,90.0,90.02
2022-01-02 14:00:00,90.02,91.39,89.93,90.35
2022-01-02 15:00:00,90.35,90.4,88.34,88.66
2022-01-02 16:00:00,88.68,90.24,86.22,89.18
2022-01-02 17:00:00,89.18,90.21,88.64,89.15
2022-01-02 18:00:00,89.95,92.87,89.37,90.74
2022-01-02 19:00:00,90.79,93.98,90.74,92.45
2022-01-02 20:00:00,92.45,93.92,92.0,92.55
2022-01-02 21:00:00,92.55,92.55,90.11,90.91
2022-01-02 22:00:00,90.86,91.71,90.3,90.84
2022-01-02 23:00:00,90.85,91.23,89.47,90.18
2022-01-03 00:00:00,90.0,90.57,89.11,89.11
2022-01-03 01:00:00,89.11,90.71,89.09,89.42
2022-01-03 02:00:00,89.42,90.45,89.11,89.72
2022-01-03 03:00:00,89.72,90.11,89.32,89.51
2022-01-03 04:00:00,89.52,91.25,89.0,89.53
2022-01-03 05:00:00,89.53,90.83,89.38,89.65
2022-01-03 06:00:00,89.65,90.68,89.37,89.67
2022-01-03 07:00:00,89.45,90.79,89.37,90.23
2022-01-03 08:00:00,89.85,90.63,89.51,90.63
2022-01-03 09:00:00,90.04,90.6,89.0,89.52
2022-01-03 10:00:00,89.52,90.0,89.13,89.24
2022-01-03 11:00:00,89.24,89.89,89.04,89.88
2022-01-03 12:00:00,89.88,90.32,89.25,89.54
2022-01-03 13:00:00,89.54,90.14,89.38,89.83
2022-01-03 14:00:00,89.82,89.83,88.96,89.01
2022-01-03 15:00:00,89.01,89.75,88.96,89.18
2022-01-03 16:00:00,89.19,89.7,86.02,87.36
2022-01-03 17:00:00,87.49,90.15,87.36,90.08
2022-01-03 18:00:00,89.93,90.09,88.7,89.01
2022-01-03 19:00:00,88.88,90.2,88.71,89.39
2022-01-03 20:00:00,89.15,89.44,86.29,87.27
2022-01-03 21:00:00,87.29,91.0,86.78,88.37
2022-01-03 22:00:00,88.61,89.17,88.04,88.3
2022-01-03 23:00:00,88.24,89.0,88.06,88.09
2022-01-04 00:00:00,88.09,89.37,87.19,87.75
2022-01-04 01:00:00,87.81,88.49,87.21,87.98
2022-01-04 02:00:00,87.9,88.45,87.48,87.97
2022-01-04 03:00:00,87.97,88.1,87.17,87.6
2022-01-04 04:00:00,87.59,88.47,87.01,87.89
2022-01-04 05:00:00,87.58,88.03,86.94,87.71
2022-01-04 06:00:00,87.71,88.14,87.49,87.53
2022-01-04 07:00:00,87.53,88.18,87.49,87.67
2022-01-04 08:00:00,87.86,88.13,87.5,87.55
2022-01-04 09:00:00,87.64,87.95,87.49,87.73
2022-01-04 10:00:00,87.68,87.86,87.49,87.49
2022-01-04 11:00:00,87.49,87.81,86.96,87.08
2022-01-04 12:00:00,87.22,87.54,85.52,86.64
2022-01-04 13:00:00,86.64,87.02,85.71,86.71
2022-01-04 14:00:00,86.81,86.91,86.01,86.78
2022-01-04 15:00:00,86.89,87.08,86.41,87.08
2022-01-04 16:00:00,86.78,87.09,85.8,87.0
2022-01-04 17:00:00,86.9,87.25,86.59,87.23
2022-01-04 18:00:00,87.25,87.29,86.45,86.93
2022-01-04 19:00:00,86.8,87.29,86.34,87.04
2022-01-04 20:00:00,86.86,87.28,86.5,86.59
2022-01-04 21:00:00,86.79,88.09,84.96,85.95
2022-01-04 22:00:00,85.95,86.28,85.3,86.02
2022-01-04 23:00:00,86.02,86.29,85.17,85.48
2022-01-05 00:00:00,85.77,86.65,85.21,85.55
2022-01-05 01:00:00,85.57,85.93,84.81,85.02
2022-01-05 02:00:00,85.0,86.97,84.86,85.73
2022-01-05 03:00:00,85.65,87.29,85.65,86.67
2022-01-05 04:00:00,86.67,86.91,86.17,86.3
2022-01-05 05:00:00,86.3,86.97,85.97,86.13
2022-01-05 06:00:00,86.04,86.77,86.0,86.29
2022-01-05 07:00:00,86.29,86.68,86.0,86.16
2022-01-05 08:00:00,86.0,86.54,85.85,85.99
2022-01-05 09:00:00,86.33,86.67,85.84,86.17
2022-01-05 10:00:00,86.2,86.69,86.01,86.05
2022-01-05 11:00:00,86.12,86.65,85.37,85.65
2022-01-05 12:00:00,85.41,86.39,85.0,85.0
2022-01-05 13:00:00,85.0,86.64,85.0,85.42
2022-01-05 14:00:00,85.42,85.97,84.6,85.18
2022-01-05 15:00:00,85.18,85.47,84.2,84.99
2022-01-05 16:00:00,84.99,84.99,80.79,82.49
2022-01-05 17:00:00,82.49,82.49,79.83,81.78
2022-01-05 18:00:00,81.77,84.96,81.47,84.95
2022-01-05 19:00:00,84.55,85.0,82.54,82.63
2022-01-05 20:00:00,82.7,84.77,81.35,81.77
2022-01-05 21:00:00,81.35,82.2,80.8,81.0
2022-01-05 22:00:00,80.99,83.34,80.71,82.04
2022-01-05 23:00:00,82.0,85.0,81.81,82.54
2022-01-06 00:00:00,82.56,82.94,80.77,81.32
2022-01-06 01:00:00,81.93,82.0,80.25,80.69
2022-01-06 02:00:00,80.72,81.25,80.32,80.32
2022-01-06 03:00:00,80.59,80.97,79.81,79.99
2022-01-06 04:00:00,79.8,80.28,79.1,80.28
2022-01-06 05:00:00,80.28,80.62,79.09,79.48
2022-01-06 06:00:00,79.72,82.9,79.3,81.37
2022-01-06 07:00:00,81.05,81.44,79.53,80.38
2022-01-06 08:00:00,80.38,80.89,79.97,80.81
2022-01-06 09:00:00,80.45,82.0,79.81,81.51
2022-01-06 10:00:00,81.51,81.97,80.79,81.4
2022-01-06 11:00:00,81.36,81.36,80.56,80.74
2022-01-06 12:00:00,80.74,81.63,79.9,80.42
2022-01-06 13:00:00,80.44,81.48,79.96,81.08
2022-01-06 14:00:00,81.08,81.49,80.35,80.87
2022-01-06 15:00:00,80.88,81.91,80.59,80.92
2022-01-06 16:00:00,80.76,81.89,80.75,81.85
2022-01-06 17:00:00,81.39,82.0,81.25,81.55
2022-01-06 18:00:00,81.94,82.0,81.51,81.89
2022-01-06 19:00:00,81.89,81.89,80.83,81.13
2022-01-06 20:00:00,81.43,81.93,81.0,81.23
2022-01-06 21:00:00,81.0,82.0,80.72,81.95
2022-01-06 22:00:00,81.95,84.38,81.75,83.9
2022-01-06 23:00:00,83.63,83.99,81.7,81.7
2022-01-07 00:00:00,81.9,82.81,81.7,82.32
2022-01-07 01:00:00,82.32,82.71,81.67,82.7
2022-01-07 02:00:00,82.67,82.81,81.15,81.35
2022-01-07 03:00:00,81.35,82.17,78.01,78.58
2022-01-07 04:00:00,78.62,79.14,75.0,76.0
2022-01-07 05:00:00,76.37,76.56,75.42,75.6
2022-01-07 06:00:00,75.6,75.84,75.06,75.28
2022-01-07 07:00:00,75.28,75.63,74.47,74.96
2022-01-07 08:00:00,74.98,76.54,74.69,76.53
2022-01-07 09:00:00,76.54,79.0,76.54,78.99
2022-01-07 10:00:00,79.0,79.07,77.89,78.14
2022-01-07 11:00:00,78.14,79.02,77.74,78.79
2022-01-07 12:00:00,78.79,78.79,77.79,78.2
2022-01-07 13:00:00,78.29,78.91,77.89,78.66
2022-01-07 14:00:00,78.66,78.66,77.59,78.42
2022-01-07 15:00:00,78.42,79.25,76.94,77.91
2022-01-07 16:00:00,77.92,77.93,74.13,76.57
2022-01-07 17:00:00,76.98,77.32,76.08,77.12
2022-01-07 18:00:00,76.72,77.33,76.17,76.81
2022-01-07 19:00:00,77.17,77.33,76.38,77.21
2022-01-07 20:00:00,77.21,77.33,76.69,76.82
2022-01-07 21:00:00,77.04,77.04,74.66,74.96
2022-01-07 22:00:00,75.39,75.7,74.73,75.03
2022-01-07 23:00:00,75.28,75.7,74.89,75.08
2022-01-08 00:00:00,75.08,75.71,74.02,75.3
2022-01-08 01:00:00,75.56,75.72,74.94,75.34
2022-01-08 02:00:00,75.34,75.61,74.5,74.79
2022-01-08 03:00:00,74.79,75.29,74.59,74.94
2022-01-08 04:00:00,74.63,75.16,74.62,74.88
2022-01-08 05:00:00,74.88,77.04,74.71,76.5
2022-01-08 06:00:00,76.52,76.96,76.25,76.25
2022-01-08 07:00:00,76.31,76.72,75.74,76.36
2022-01-08 08:00:00,76.36,76.48,75.99,76.48
2022-01-08 09:00:00,76.48,76.49,75.96,76.32
2022-01-08 10:00:00,76.32,76.33,75.9,76.07
