datetime,DEXEBUSD_open,DEXEBUSD_high,DEXEBUSD_low,DEXEBUSD_close
2022-01-01 00:00:00,11.95,12.06,11.92,12.06
2022-01-01 01:00:00,12.03,12.07,12.03,12.04
2022-01-01 02:00:00,12.06,12.08,12.01,12.01
2022-01-01 03:00:00,12.01,12.08,11.95,11.95
2022-01-01 04:00:00,11.96,11.97,11.9,11.9
2022-01-01 05:00:00,11.93,11.93,11.86,11.92
2022-01-01 06:00:00,11.91,11.91,11.86,11.91
2022-01-01 07:00:00,11.89,11.96,11.89,11.92
2022-01-01 08:00:00,11.94,12.01,11.9,11.9
2022-01-01 09:00:00,11.92,11.93,11.89,11.93
2022-01-01 10:00:00,11.91,11.93,11.49,11.63
2022-01-01 11:00:00,11.64,11.78,11.64,11.71
2022-01-01 12:00:00,11.71,11.81,11.68,11.79
2022-01-01 13:00:00,11.79,11.8,11.7,11.74
2022-01-01 14:00:00,11.76,11.77,11.72,11.72
2022-01-01 15:00:00,11.72,11.78,11.72,11.75
2022-01-01 16:00:00,11.75,11.75,11.68,11.71
2022-01-01 17:00:00,11.71,11.72,11.68,11.72
2022-01-01 18:00:00,11.71,11.74,11.71,11.74
2022-01-01 19:00:00,11.76,11.76,11.71,11.73
2022-01-01 20:00:00,11.73,11.73,11.67,11.7
2022-01-01 21:00:00,11.7,11.7,11.67,11.67
2022-01-01 22:00:00,11.68,11.69,11.68,11.69
2022-01-01 23:00:00,11.69,11.69,11.61,11.61
2022-01-02 00:00:00,11.62,11.65,11.6,11.65
2022-01-02 01:00:00,11.66,11.66,11.63,11.65
2022-01-02 02:00:00,11.66,11.81,11.66,11.69
2022-01-02 03:00:00,11.68,11.68,11.62,11.65
2022-01-02 04:00:00,11.66,11.74,11.66,11.67
2022-01-02 05:00:00,11.68,11.73,11.68,11.71
2022-01-02 06:00:00,11.71,11.76,11.7,11.74
2022-01-02 07:00:00,11.73,11.88,11.64,11.88
2022-01-02 08:00:00,11.88,11.94,11.81,11.81
2022-01-02 09:00:00,11.82,11.95,11.8,11.92
2022-01-02 10:00:00,11.94,12.06,11.84,11.86
2022-01-02 11:00:00,11.88,11.97,11.88,11.94
2022-01-02 12:00:00,11.96,12.11,11.91,11.94
2022-01-02 13:00:00,11.95,11.96,11.75,11.82
2022-01-02 14:00:00,11.8,11.81,11.66,11.7
2022-01-02 15:00:00,11.71,11.86,11.71,11.83
2022-01-02 16:00:00,11.83,11.83,11.74,11.77
2022-01-02 17:00:00,11.77,11.81,11.76,11.8
2022-01-02 18:00:00,11.8,11.8,11.71,11.73
2022-01-02 19:00:00,11.73,11.73,11.67,11.69
2022-01-02 20:00:00,11.67,11.67,11.61,11.63
2022-01-02 21:00:00,11.63,11.64,11.61,11.61
2022-01-02 22:00:00,11.63,11.66,11.57,11.59
2022-01-02 23:00:00,11.59,11.68,11.59,11.67
2022-01-03 00:00:00,11.66,11.68,11.6,11.66
2022-01-03 01:00:00,11.64,11.7,11.6,11.62
2022-01-03 02:00:00,11.62,11.64,11.59,11.62
2022-01-03 03:00:00,11.65,11.65,11.59,11.6
2022-01-03 04:00:00,11.64,11.64,11.54,11.55
2022-01-03 05:00:00,11.58,11.65,11.56,11.64
2022-01-03 06:00:00,11.65,11.7,11.61,11.66
2022-01-03 07:00:00,11.64,11.67,11.61,11.62
2022-01-03 08:00:00,11.61,11.68,11.61,11.66
2022-01-03 09:00:00,11.64,11.9,11.63,11.7
2022-01-03 10:00:00,11.7,11.79,11.68,11.69
2022-01-03 11:00:00,11.69,11.76,11.55,11.59
2022-01-03 12:00:00,11.62,11.62,11.5,11.54
2022-01-03 13:00:00,11.57,11.68,11.56,11.64
2022-01-03 14:00:00,11.64,11.73,11.61,11.68
2022-01-03 15:00:00,11.67,11.67,11.5,11.54
2022-01-03 16:00:00,11.54,11.58,11.5,11.55
2022-01-03 17:00:00,11.51,11.61,11.51,11.6
2022-01-03 18:00:00,11.6,11.6,11.54,11.59
2022-01-03 19:00:00,11.58,11.58,11.53,11.55
2022-01-03 20:00:00,11.55,11.56,11.51,11.51
2022-01-03 21:00:00,11.51,11.61,11.51,11.53
2022-01-03 22:00:00,11.53,11.65,11.5,11.65
2022-01-03 23:00:00,11.64,11.71,11.64,11.64
2022-01-04 00:00:00,11.64,11.66,11.61,11.61
2022-01-04 01:00:00,11.61,11.7,11.59,11.64
2022-01-04 02:00:00,11.65,11.75,11.59,11.73
2022-01-04 03:00:00,11.73,11.75,11.63,11.65
2022-01-04 04:00:00,11.66,11.66,11.62,11.63
2022-01-04 05:00:00,11.64,11.67,11.55,11.67
2022-01-04 06:00:00,11.68,11.91,11.68,11.86
2022-01-04 07:00:00,11.86,11.86,11.69,11.7
2022-01-04 08:00:00,11.71,11.76,11.67,11.76
2022-01-04 09:00:00,11.76,11.83,11.72,11.81
2022-01-04 10:00:00,11.83,11.9,11.76,11.76
2022-01-04 11:00:00,11.75,11.76,11.64,11.69
2022-01-04 12:00:00,11.7,11.74,11.63,11.63
2022-01-04 13:00:00,11.62,11.66,11.54,11.54
2022-01-04 14:00:00,11.53,11.62,11.52,11.54
2022-01-04 15:00:00,11.56,11.61,11.52,11.61
2022-01-04 16:00:00,11.61,11.62,11.57,11.57
2022-01-04 17:00:00,11.61,11.61,11.56,11.56
2022-01-04 18:00:00,11.56,11.59,11.5,11.53
2022-01-04 19:00:00,11.5,11.54,11.44,11.53
2022-01-04 20:00:00,11.55,11.57,11.54,11.57
2022-01-04 21:00:00,11.58,11.62,11.58,11.58
2022-01-04 22:00:00,11.62,11.64,11.62,11.64
2022-01-04 23:00:00,11.62,11.64,11.55,11.62
2022-01-05 00:00:00,11.64,11.67,11.64,11.67
2022-01-05 01:00:00,11.66,11.67,11.64,11.64
2022-01-05 02:00:00,11.66,11.67,11.6,11.6
2022-01-05 03:00:00,11.6,11.69,11.56,11.67
2022-01-05 04:00:00,11.67,11.67,11.62,11.62
2022-01-05 05:00:00,11.66,11.66,11.6,11.61
2022-01-05 06:00:00,11.62,11.72,11.58,11.62
2022-01-05 07:00:00,11.62,11.62,11.57,11.57
2022-01-05 08:00:00,11.6,11.67,11.6,11.67
2022-01-05 09:00:00,11.66,11.66,11.6,11.64
2022-01-05 10:00:00,11.64,11.65,11.61,11.65
2022-01-05 11:00:00,11.65,11.65,11.57,11.57
2022-01-05 12:00:00,11.57,11.6,11.51,11.51
2022-01-05 13:00:00,11.51,11.51,11.36,11.46
2022-01-05 14:00:00,11.42,11.42,11.02,11.07
2022-01-05 15:00:00,11.09,11.11,10.93,11.0
2022-01-05 16:00:00,11.0,11.06,10.92,10.95
2022-01-05 17:00:00,10.93,10.99,10.52,10.73
2022-01-05 18:00:00,10.74,10.83,10.64,10.77
2022-01-05 19:00:00,10.75,10.93,10.64,10.8
2022-01-05 20:00:00,10.8,10.81,10.63,10.66
2022-01-05 21:00:00,10.66,10.66,10.45,10.49
2022-01-05 22:00:00,10.49,10.57,10.39,10.39
2022-01-05 23:00:00,10.38,10.43,10.28,10.4
2022-01-06 00:00:00,10.4,10.47,10.35,10.37
2022-01-06 01:00:00,10.36,10.4,10.26,10.3
2022-01-06 02:00:00,10.32,10.37,10.31,10.31
2022-01-06 03:00:00,10.32,10.34,10.19,10.21
2022-01-06 04:00:00,10.23,10.24,9.95,9.98
2022-01-06 05:00:00,9.98,10.4,9.96,10.4
2022-01-06 06:00:00,10.37,10.37,10.1,10.17
2022-01-06 07:00:00,10.17,10.17,10.04,10.1
2022-01-06 08:00:00,10.12,10.19,10.08,10.19
2022-01-06 09:00:00,10.19,10.23,10.07,10.16
2022-01-06 10:00:00,10.15,10.16,10.11,10.13
