datetime,DIABUSD_open,DIABUSD_high,DIABUSD_low,DIABUSD_close
2022-01-01 00:00:00,1.319,1.338,1.315,1.324
2022-01-01 01:00:00,1.322,1.324,1.317,1.317
2022-01-01 02:00:00,1.315,1.32,1.3,1.32
2022-01-01 03:00:00,1.317,1.317,1.308,1.312
2022-01-01 04:00:00,1.31,1.318,1.309,1.311
2022-01-01 05:00:00,1.314,1.314,1.295,1.298
2022-01-01 06:00:00,1.304,1.305,1.295,1.295
2022-01-01 07:00:00,1.298,1.308,1.298,1.308
2022-01-01 08:00:00,1.308,1.311,1.297,1.302
2022-01-01 09:00:00,1.302,1.307,1.3,1.303
2022-01-01 10:00:00,1.303,1.32,1.302,1.317
2022-01-01 11:00:00,1.318,1.32,1.305,1.307
2022-01-01 12:00:00,1.309,1.317,1.307,1.307
2022-01-01 13:00:00,1.314,1.315,1.304,1.311
2022-01-01 14:00:00,1.313,1.319,1.313,1.315
2022-01-01 15:00:00,1.315,1.343,1.315,1.335
2022-01-01 16:00:00,1.337,1.343,1.334,1.34
2022-01-01 17:00:00,1.339,1.343,1.333,1.343
2022-01-01 18:00:00,1.343,1.347,1.335,1.347
2022-01-01 19:00:00,1.341,1.341,1.336,1.336
2022-01-01 20:00:00,1.336,1.339,1.322,1.324
2022-01-01 21:00:00,1.324,1.325,1.321,1.321
2022-01-01 22:00:00,1.326,1.327,1.326,1.327
2022-01-01 23:00:00,1.324,1.329,1.315,1.315
2022-01-02 00:00:00,1.315,1.319,1.312,1.319
2022-01-02 01:00:00,1.313,1.321,1.311,1.311
2022-01-02 02:00:00,1.312,1.314,1.306,1.31
2022-01-02 03:00:00,1.31,1.311,1.304,1.311
2022-01-02 04:00:00,1.312,1.324,1.312,1.318
2022-01-02 05:00:00,1.318,1.325,1.313,1.325
2022-01-02 06:00:00,1.322,1.334,1.322,1.329
2022-01-02 07:00:00,1.327,1.334,1.321,1.334
2022-01-02 08:00:00,1.328,1.33,1.325,1.325
2022-01-02 09:00:00,1.325,1.326,1.314,1.316
2022-01-02 10:00:00,1.316,1.324,1.316,1.321
2022-01-02 11:00:00,1.322,1.333,1.318,1.333
2022-01-02 12:00:00,1.332,1.335,1.317,1.32
2022-01-02 13:00:00,1.317,1.319,1.296,1.31
2022-01-02 14:00:00,1.309,1.314,1.3,1.303
2022-01-02 15:00:00,1.303,1.319,1.3,1.317
2022-01-02 16:00:00,1.318,1.318,1.309,1.316
2022-01-02 17:00:00,1.31,1.316,1.309,1.316
2022-01-02 18:00:00,1.315,1.322,1.307,1.315
2022-01-02 19:00:00,1.313,1.314,1.31,1.314
2022-01-02 20:00:00,1.313,1.314,1.308,1.31
2022-01-02 21:00:00,1.31,1.31,1.308,1.308
2022-01-02 22:00:00,1.306,1.306,1.302,1.302
2022-01-02 23:00:00,1.302,1.308,1.302,1.304
2022-01-03 00:00:00,1.306,1.317,1.306,1.313
2022-01-03 01:00:00,1.319,1.319,1.312,1.313
2022-01-03 02:00:00,1.317,1.318,1.314,1.314
2022-01-03 03:00:00,1.314,1.319,1.31,1.312
2022-01-03 04:00:00,1.315,1.315,1.295,1.299
2022-01-03 05:00:00,1.301,1.305,1.299,1.305
2022-01-03 06:00:00,1.305,1.312,1.305,1.312
2022-01-03 07:00:00,1.308,1.315,1.305,1.306
2022-01-03 08:00:00,1.305,1.324,1.303,1.323
2022-01-03 09:00:00,1.317,1.317,1.308,1.309
2022-01-03 10:00:00,1.312,1.313,1.295,1.295
2022-01-03 11:00:00,1.295,1.3,1.275,1.288
2022-01-03 12:00:00,1.289,1.297,1.283,1.293
2022-01-03 13:00:00,1.294,1.298,1.282,1.289
2022-01-03 14:00:00,1.289,1.289,1.279,1.279
2022-01-03 15:00:00,1.279,1.279,1.257,1.27
2022-01-03 16:00:00,1.268,1.27,1.26,1.27
2022-01-03 17:00:00,1.27,1.282,1.265,1.28
2022-01-03 18:00:00,1.278,1.286,1.275,1.285
2022-01-03 19:00:00,1.285,1.294,1.28,1.283
2022-01-03 20:00:00,1.282,1.283,1.277,1.279
2022-01-03 21:00:00,1.279,1.28,1.273,1.273
2022-01-03 22:00:00,1.277,1.286,1.273,1.281
2022-01-03 23:00:00,1.28,1.29,1.276,1.276
2022-01-04 00:00:00,1.276,1.284,1.275,1.28
2022-01-04 01:00:00,1.277,1.285,1.277,1.285
2022-01-04 02:00:00,1.284,1.286,1.279,1.281
2022-01-04 03:00:00,1.286,1.29,1.284,1.29
2022-01-04 04:00:00,1.286,1.29,1.286,1.29
2022-01-04 05:00:00,1.292,1.302,1.288,1.293
2022-01-04 06:00:00,1.299,1.304,1.298,1.299
2022-01-04 07:00:00,1.304,1.318,1.302,1.309
2022-01-04 08:00:00,1.312,1.319,1.303,1.313
2022-01-04 09:00:00,1.314,1.32,1.307,1.318
2022-01-04 10:00:00,1.318,1.318,1.305,1.305
2022-01-04 11:00:00,1.304,1.307,1.301,1.304
2022-01-04 12:00:00,1.306,1.313,1.304,1.304
2022-01-04 13:00:00,1.304,1.312,1.281,1.284
2022-01-04 14:00:00,1.281,1.298,1.277,1.282
2022-01-04 15:00:00,1.282,1.291,1.282,1.289
2022-01-04 16:00:00,1.285,1.288,1.277,1.286
2022-01-04 17:00:00,1.287,1.287,1.277,1.277
2022-01-04 18:00:00,1.276,1.281,1.268,1.273
2022-01-04 19:00:00,1.272,1.287,1.268,1.287
2022-01-04 20:00:00,1.287,1.296,1.284,1.29
2022-01-04 21:00:00,1.288,1.298,1.288,1.298
2022-01-04 22:00:00,1.291,1.3,1.291,1.3
2022-01-04 23:00:00,1.3,1.3,1.292,1.292
2022-01-05 00:00:00,1.296,1.296,1.292,1.292
2022-01-05 01:00:00,1.298,1.298,1.291,1.292
2022-01-05 02:00:00,1.297,1.304,1.281,1.296
2022-01-05 03:00:00,1.295,1.298,1.29,1.29
2022-01-05 04:00:00,1.289,1.308,1.289,1.306
2022-01-05 05:00:00,1.308,1.309,1.289,1.289
2022-01-05 06:00:00,1.291,1.291,1.273,1.277
2022-01-05 07:00:00,1.279,1.285,1.272,1.28
2022-01-05 08:00:00,1.28,1.287,1.28,1.287
2022-01-05 09:00:00,1.287,1.307,1.285,1.303
2022-01-05 10:00:00,1.307,1.383,1.301,1.344
2022-01-05 11:00:00,1.344,1.457,1.34,1.385
2022-01-05 12:00:00,1.391,1.399,1.331,1.331
2022-01-05 13:00:00,1.331,1.36,1.315,1.352
2022-01-05 14:00:00,1.353,1.421,1.321,1.321
2022-01-05 15:00:00,1.323,1.333,1.282,1.298
2022-01-05 16:00:00,1.297,1.322,1.275,1.277
2022-01-05 17:00:00,1.278,1.28,1.184,1.242
2022-01-05 18:00:00,1.243,1.263,1.24,1.262
2022-01-05 19:00:00,1.258,1.298,1.258,1.298
2022-01-05 20:00:00,1.293,1.334,1.258,1.262
2022-01-05 21:00:00,1.257,1.26,1.234,1.241
2022-01-05 22:00:00,1.246,1.246,1.222,1.225
2022-01-05 23:00:00,1.23,1.251,1.217,1.234
2022-01-06 00:00:00,1.233,1.261,1.23,1.243
2022-01-06 01:00:00,1.241,1.243,1.23,1.237
2022-01-06 02:00:00,1.235,1.244,1.235,1.241
2022-01-06 03:00:00,1.241,1.242,1.221,1.221
2022-01-06 04:00:00,1.22,1.22,1.184,1.189
2022-01-06 05:00:00,1.192,1.296,1.192,1.214
2022-01-06 06:00:00,1.216,1.217,1.193,1.196
2022-01-06 07:00:00,1.195,1.197,1.181,1.194
2022-01-06 08:00:00,1.199,1.225,1.199,1.224
2022-01-06 09:00:00,1.221,1.223,1.205,1.205
2022-01-06 10:00:00,1.208,1.21,1.2,1.21
2022-01-06 11:00:00,1.208,1.216,1.204,1.211
2022-01-06 12:00:00,1.211,1.221,1.211,1.221
2022-01-06 13:00:00,1.222,1.236,1.221,1.236
2022-01-06 14:00:00,1.235,1.247,1.231,1.247
2022-01-06 15:00:00,1.244,1.249,1.224,1.224
2022-01-06 16:00:00,1.227,1.235,1.222,1.227
2022-01-06 17:00:00,1.225,1.229,1.22,1.229
2022-01-06 18:00:00,1.228,1.242,1.222,1.234
2022-01-06 19:00:00,1.235,1.235,1.218,1.218
2022-01-06 20:00:00,1.217,1.222,1.216,1.216
2022-01-06 21:00:00,1.217,1.218,1.213,1.213
2022-01-06 22:00:00,1.212,1.212,1.158,1.166
2022-01-06 23:00:00,1.165,1.168,1.138,1.168
2022-01-07 00:00:00,1.17,1.176,1.159,1.176
2022-01-07 01:00:00,1.173,1.173,1.146,1.151
2022-01-07 02:00:00,1.146,1.161,1.137,1.158
2022-01-07 03:00:00,1.161,1.187,1.16,1.184
2022-01-07 04:00:00,1.175,1.198,1.174,1.187
2022-01-07 05:00:00,1.187,1.205,1.186,1.196
2022-01-07 06:00:00,1.195,1.207,1.193,1.207
2022-01-07 07:00:00,1.208,1.222,1.207,1.215
2022-01-07 08:00:00,1.216,1.225,1.191,1.193
2022-01-07 09:00:00,1.191,1.202,1.184,1.196
2022-01-07 10:00:00,1.196,1.197,1.137,1.172
2022-01-07 11:00:00,1.172,1.195,1.15,1.193
2022-01-07 12:00:00,1.197,1.197,1.183,1.193
2022-01-07 13:00:00,1.193,1.193,1.173,1.179
2022-01-07 14:00:00,1.178,1.18,1.167,1.176
2022-01-07 15:00:00,1.176,1.184,1.167,1.184
2022-01-07 16:00:00,1.183,1.185,1.168,1.172
2022-01-07 17:00:00,1.171,1.171,1.138,1.143
2022-01-07 18:00:00,1.141,1.146,1.107,1.118
2022-01-07 19:00:00,1.119,1.134,1.119,1.123
2022-01-07 20:00:00,1.125,1.14,1.123,1.134
2022-01-07 21:00:00,1.136,1.136,1.127,1.131
2022-01-07 22:00:00,1.131,1.137,1.126,1.133
2022-01-07 23:00:00,1.136,1.155,1.133,1.155
2022-01-08 00:00:00,1.152,1.158,1.146,1.157
2022-01-08 01:00:00,1.155,1.157,1.147,1.156
2022-01-08 02:00:00,1.156,1.162,1.155,1.159
2022-01-08 03:00:00,1.159,1.167,1.153,1.154
2022-01-08 04:00:00,1.158,1.164,1.157,1.163
2022-01-08 05:00:00,1.163,1.163,1.152,1.155
2022-01-08 06:00:00,1.152,1.16,1.148,1.157
2022-01-08 07:00:00,1.156,1.165,1.151,1.154
2022-01-08 08:00:00,1.153,1.156,1.143,1.146
2022-01-08 09:00:00,1.149,1.151,1.138,1.138
2022-01-08 10:00:00,1.139,1.139,1.117,1.117
2022-01-08 11:00:00,1.118,1.126,1.111,1.112
2022-01-08 12:00:00,1.111,1.111,1.083,1.083
2022-01-08 13:00:00,1.083,1.092,1.047,1.05
2022-01-08 14:00:00,1.05,1.066,1.042,1.045
2022-01-08 15:00:00,1.046,1.055,1.041,1.049
2022-01-08 16:00:00,1.048,1.087,1.048,1.08
2022-01-08 17:00:00,1.083,1.106,1.083,1.095
2022-01-08 18:00:00,1.096,1.096,1.08,1.08
2022-01-08 19:00:00,1.079,1.088,1.069,1.083
2022-01-08 20:00:00,1.083,1.088,1.073,1.078
2022-01-08 21:00:00,1.076,1.093,1.076,1.093
2022-01-08 22:00:00,1.09,1.09,1.073,1.079
2022-01-08 23:00:00,1.078,1.085,1.074,1.085
2022-01-09 00:00:00,1.085,1.087,1.082,1.085
2022-01-09 01:00:00,1.084,1.1,1.079,1.1
2022-01-09 02:00:00,1.1,1.115,1.1,1.11
2022-01-09 03:00:00,1.112,1.118,1.103,1.108
2022-01-09 04:00:00,1.107,1.11,1.079,1.079
2022-01-09 05:00:00,1.08,1.123,1.078,1.122
2022-01-09 06:00:00,1.123,1.213,1.108,1.122
2022-01-09 07:00:00,1.124,1.129,1.103,1.117
2022-01-09 08:00:00,1.117,1.124,1.109,1.109
2022-01-09 09:00:00,1.109,1.112,1.099,1.099
2022-01-09 10:00:00,1.101,1.105,1.091,1.096
2022-01-09 11:00:00,1.093,1.195,1.092,1.149
2022-01-09 12:00:00,1.147,1.151,1.135,1.148
2022-01-09 13:00:00,1.148,1.158,1.141,1.145
2022-01-09 14:00:00,1.143,1.178,1.14,1.166
2022-01-09 15:00:00,1.166,1.171,1.152,1.161
2022-01-09 16:00:00,1.158,1.163,1.15,1.157
2022-01-09 17:00:00,1.159,1.16,1.142,1.143
2022-01-09 18:00:00,1.143,1.167,1.135,1.147
2022-01-09 19:00:00,1.148,1.153,1.144,1.151
2022-01-09 20:00:00,1.149,1.153,1.148,1.152
2022-01-09 21:00:00,1.155,1.21,1.155,1.185
2022-01-09 22:00:00,1.183,1.183,1.165,1.182
2022-01-09 23:00:00,1.18,1.191,1.18,1.184
2022-01-10 00:00:00,1.184,1.184,1.17,1.17
2022-01-10 01:00:00,1.172,1.18,1.164,1.164
2022-01-10 02:00:00,1.167,1.172,1.16,1.161
2022-01-10 03:00:00,1.163,1.165,1.141,1.145
2022-01-10 04:00:00,1.143,1.145,1.13,1.13
2022-01-10 05:00:00,1.132,1.14,1.132,1.132
2022-01-10 06:00:00,1.132,1.132,1.106,1.11
2022-01-10 07:00:00,1.112,1.112,1.082,1.083
2022-01-10 08:00:00,1.083,1.089,1.078,1.081
2022-01-10 09:00:00,1.08,1.091,1.041,1.072
2022-01-10 10:00:00,1.069,1.082,1.056,1.068
2022-01-10 11:00:00,1.068,1.106,1.068,1.106
2022-01-10 12:00:00,1.108,1.11,1.086,1.102
2022-01-10 13:00:00,1.1,1.11,1.09,1.11
2022-01-10 14:00:00,1.108,1.115,1.095,1.098
2022-01-10 15:00:00,1.1,1.126,1.097,1.126
2022-01-10 16:00:00,1.123,1.201,1.11,1.111
2022-01-10 17:00:00,1.114,1.114,1.101,1.101
2022-01-10 18:00:00,1.102,1.119,1.101,1.117
2022-01-10 19:00:00,1.112,1.117,1.105,1.109
2022-01-10 20:00:00,1.109,1.124,1.108,1.124
2022-01-10 21:00:00,1.124,1.143,1.124,1.14
2022-01-10 22:00:00,1.135,1.148,1.135,1.147
2022-01-10 23:00:00,1.147,1.148,1.139,1.143
2022-01-11 00:00:00,1.144,1.144,1.127,1.127
2022-01-11 01:00:00,1.136,1.136,1.131,1.133
2022-01-11 02:00:00,1.133,1.135,1.122,1.127
2022-01-11 03:00:00,1.128,1.138,1.118,1.118
2022-01-11 04:00:00,1.119,1.12,1.112,1.117
2022-01-11 05:00:00,1.116,1.116,1.108,1.108
2022-01-11 06:00:00,1.11,1.127,1.109,1.127
2022-01-11 07:00:00,1.127,1.139,1.127,1.131
2022-01-11 08:00:00,1.131,1.148,1.131,1.132
2022-01-11 09:00:00,1.132,1.132,1.112,1.128
2022-01-11 10:00:00,1.127,1.144,1.123,1.134
2022-01-11 11:00:00,1.136,1.16,1.126,1.158
2022-01-11 12:00:00,1.16,1.167,1.144,1.154
2022-01-11 13:00:00,1.156,1.177,1.15,1.167
2022-01-11 14:00:00,1.168,1.18,1.166,1.18
2022-01-11 15:00:00,1.181,1.183,1.158,1.159
2022-01-11 16:00:00,1.157,1.162,1.155,1.16
2022-01-11 17:00:00,1.159,1.161,1.156,1.158
2022-01-11 18:00:00,1.161,1.17,1.16,1.166
2022-01-11 19:00:00,1.168,1.168,1.165,1.166
2022-01-11 20:00:00,1.165,1.17,1.165,1.166
2022-01-11 21:00:00,1.165,1.17,1.16,1.16
2022-01-11 22:00:00,1.16,1.162,1.155,1.155
2022-01-11 23:00:00,1.157,1.16,1.154,1.154
2022-01-12 00:00:00,1.159,1.168,1.159,1.16
2022-01-12 01:00:00,1.16,1.167,1.16,1.162
2022-01-12 02:00:00,1.162,1.178,1.154,1.16
2022-01-12 03:00:00,1.16,1.172,1.158,1.172
2022-01-12 04:00:00,1.175,1.181,1.167,1.17
2022-01-12 05:00:00,1.171,1.173,1.159,1.161
2022-01-12 06:00:00,1.162,1.175,1.161,1.17
2022-01-12 07:00:00,1.173,1.192,1.167,1.188
2022-01-12 08:00:00,1.189,1.211,1.18,1.205
2022-01-12 09:00:00,1.206,1.211,1.194,1.211
2022-01-12 10:00:00,1.211,1.214,1.196,1.201
2022-01-12 11:00:00,1.2,1.213,1.2,1.213
2022-01-12 12:00:00,1.213,1.226,1.213,1.226
2022-01-12 13:00:00,1.226,1.228,1.212,1.222
2022-01-12 14:00:00,1.222,1.226,1.219,1.222
2022-01-12 15:00:00,1.222,1.226,1.212,1.22
2022-01-12 16:00:00,1.221,1.228,1.219,1.219
2022-01-12 17:00:00,1.217,1.23,1.217,1.226
2022-01-12 18:00:00,1.223,1.234,1.223,1.232
2022-01-12 19:00:00,1.232,1.236,1.229,1.229
2022-01-12 20:00:00,1.229,1.229,1.209,1.209
2022-01-12 21:00:00,1.206,1.208,1.204,1.207
2022-01-12 22:00:00,1.208,1.21,1.197,1.199
2022-01-12 23:00:00,1.201,1.212,1.201,1.206
