datetime,DODOBUSD_open,DODOBUSD_high,DODOBUSD_low,DODOBUSD_close
2022-01-01 00:00:00,0.855,0.872,0.855,0.862
2022-01-01 01:00:00,0.862,0.867,0.859,0.859
2022-01-01 02:00:00,0.86,0.865,0.857,0.865
2022-01-01 03:00:00,0.865,0.866,0.859,0.859
2022-01-01 04:00:00,0.86,0.862,0.848,0.859
2022-01-01 05:00:00,0.86,0.863,0.847,0.856
2022-01-01 06:00:00,0.855,0.859,0.851,0.852
2022-01-01 07:00:00,0.851,0.862,0.851,0.858
2022-01-01 08:00:00,0.858,0.861,0.856,0.858
2022-01-01 09:00:00,0.858,0.86,0.854,0.857
2022-01-01 10:00:00,0.856,0.868,0.856,0.864
2022-01-01 11:00:00,0.864,0.869,0.864,0.865
2022-01-01 12:00:00,0.866,0.875,0.864,0.871
2022-01-01 13:00:00,0.872,0.873,0.865,0.867
2022-01-01 14:00:00,0.869,0.869,0.864,0.866
2022-01-01 15:00:00,0.866,0.873,0.866,0.87
2022-01-01 16:00:00,0.87,0.874,0.868,0.87
2022-01-01 17:00:00,0.87,0.872,0.868,0.872
2022-01-01 18:00:00,0.872,0.877,0.868,0.875
2022-01-01 19:00:00,0.875,0.877,0.868,0.877
2022-01-01 20:00:00,0.877,0.884,0.877,0.88
2022-01-01 21:00:00,0.88,0.881,0.876,0.876
2022-01-01 22:00:00,0.876,0.882,0.876,0.88
2022-01-01 23:00:00,0.881,0.89,0.867,0.87
2022-01-02 00:00:00,0.868,0.875,0.868,0.873
2022-01-02 01:00:00,0.871,0.872,0.869,0.869
2022-01-02 02:00:00,0.87,0.874,0.868,0.871
2022-01-02 03:00:00,0.872,0.889,0.866,0.885
2022-01-02 04:00:00,0.887,0.89,0.878,0.879
2022-01-02 05:00:00,0.88,0.882,0.877,0.88
2022-01-02 06:00:00,0.88,0.891,0.88,0.889
2022-01-02 07:00:00,0.887,0.898,0.882,0.892
2022-01-02 08:00:00,0.892,0.895,0.886,0.893
2022-01-02 09:00:00,0.893,0.905,0.888,0.897
2022-01-02 10:00:00,0.897,0.912,0.892,0.908
2022-01-02 11:00:00,0.908,0.952,0.907,0.937
2022-01-02 12:00:00,0.937,0.941,0.914,0.917
2022-01-02 13:00:00,0.918,0.918,0.903,0.911
2022-01-02 14:00:00,0.91,0.919,0.908,0.916
2022-01-02 15:00:00,0.914,0.928,0.908,0.926
2022-01-02 16:00:00,0.926,0.937,0.923,0.926
2022-01-02 17:00:00,0.926,0.937,0.924,0.931
2022-01-02 18:00:00,0.931,0.931,0.922,0.924
2022-01-02 19:00:00,0.923,0.928,0.911,0.911
2022-01-02 20:00:00,0.91,0.934,0.909,0.927
2022-01-02 21:00:00,0.928,0.928,0.911,0.913
2022-01-02 22:00:00,0.912,0.915,0.902,0.906
2022-01-02 23:00:00,0.905,0.912,0.903,0.906
2022-01-03 00:00:00,0.907,0.92,0.907,0.916
2022-01-03 01:00:00,0.916,0.916,0.904,0.905
2022-01-03 02:00:00,0.906,0.918,0.904,0.91
2022-01-03 03:00:00,0.911,0.935,0.911,0.921
2022-01-03 04:00:00,0.92,0.921,0.909,0.917
2022-01-03 05:00:00,0.917,0.933,0.916,0.924
2022-01-03 06:00:00,0.924,0.93,0.921,0.921
2022-01-03 07:00:00,0.922,0.924,0.913,0.919
2022-01-03 08:00:00,0.919,0.926,0.919,0.919
2022-01-03 09:00:00,0.918,0.925,0.911,0.912
2022-01-03 10:00:00,0.914,0.92,0.904,0.906
2022-01-03 11:00:00,0.906,0.911,0.889,0.902
2022-01-03 12:00:00,0.901,0.91,0.898,0.9
2022-01-03 13:00:00,0.9,0.913,0.899,0.902
2022-01-03 14:00:00,0.904,0.909,0.897,0.897
2022-01-03 15:00:00,0.896,0.899,0.88,0.887
2022-01-03 16:00:00,0.888,0.898,0.885,0.89
2022-01-03 17:00:00,0.89,0.904,0.889,0.897
2022-01-03 18:00:00,0.9,0.907,0.9,0.905
2022-01-03 19:00:00,0.905,0.906,0.885,0.887
2022-01-03 20:00:00,0.888,0.898,0.885,0.888
2022-01-03 21:00:00,0.888,0.894,0.883,0.888
2022-01-03 22:00:00,0.886,0.897,0.881,0.896
2022-01-03 23:00:00,0.895,0.896,0.884,0.885
2022-01-04 00:00:00,0.887,0.893,0.883,0.886
2022-01-04 01:00:00,0.887,0.897,0.883,0.897
2022-01-04 02:00:00,0.896,0.9,0.891,0.899
2022-01-04 03:00:00,0.899,0.904,0.894,0.9
2022-01-04 04:00:00,0.9,0.901,0.894,0.896
2022-01-04 05:00:00,0.898,0.908,0.891,0.908
2022-01-04 06:00:00,0.905,0.92,0.905,0.919
2022-01-04 07:00:00,0.919,0.919,0.907,0.913
2022-01-04 08:00:00,0.914,0.934,0.909,0.928
2022-01-04 09:00:00,0.929,0.933,0.922,0.924
2022-01-04 10:00:00,0.924,0.932,0.913,0.916
2022-01-04 11:00:00,0.915,0.93,0.913,0.927
2022-01-04 12:00:00,0.927,0.928,0.915,0.916
2022-01-04 13:00:00,0.916,0.924,0.882,0.89
2022-01-04 14:00:00,0.89,0.904,0.884,0.893
2022-01-04 15:00:00,0.893,0.904,0.89,0.897
2022-01-04 16:00:00,0.896,0.9,0.891,0.896
2022-01-04 17:00:00,0.896,0.897,0.886,0.888
2022-01-04 18:00:00,0.887,0.887,0.874,0.876
2022-01-04 19:00:00,0.874,0.892,0.868,0.89
2022-01-04 20:00:00,0.889,0.893,0.884,0.887
2022-01-04 21:00:00,0.887,0.892,0.885,0.891
2022-01-04 22:00:00,0.891,0.897,0.891,0.893
2022-01-04 23:00:00,0.893,0.918,0.893,0.916
2022-01-05 00:00:00,0.917,0.924,0.91,0.919
2022-01-05 01:00:00,0.917,0.928,0.917,0.926
2022-01-05 02:00:00,0.929,0.933,0.92,0.923
2022-01-05 03:00:00,0.924,0.929,0.922,0.927
2022-01-05 04:00:00,0.926,0.945,0.925,0.936
2022-01-05 05:00:00,0.936,0.94,0.931,0.936
2022-01-05 06:00:00,0.938,0.939,0.923,0.935
2022-01-05 07:00:00,0.935,0.952,0.916,0.944
2022-01-05 08:00:00,0.944,0.974,0.939,0.965
2022-01-05 09:00:00,0.964,0.978,0.955,0.963
2022-01-05 10:00:00,0.962,0.966,0.956,0.96
2022-01-05 11:00:00,0.96,0.961,0.944,0.944
2022-01-05 12:00:00,0.944,0.951,0.934,0.937
2022-01-05 13:00:00,0.937,0.962,0.93,0.959
2022-01-05 14:00:00,0.958,0.965,0.88,0.897
2022-01-05 15:00:00,0.896,0.923,0.85,0.869
2022-01-05 16:00:00,0.87,0.886,0.849,0.849
2022-01-05 17:00:00,0.848,0.856,0.79,0.835
2022-01-05 18:00:00,0.834,0.84,0.824,0.829
2022-01-05 19:00:00,0.829,0.837,0.822,0.832
2022-01-05 20:00:00,0.832,0.832,0.807,0.816
2022-01-05 21:00:00,0.816,0.823,0.806,0.811
2022-01-05 22:00:00,0.812,0.818,0.8,0.8
2022-01-05 23:00:00,0.8,0.811,0.787,0.808
2022-01-06 00:00:00,0.807,0.817,0.8,0.809
2022-01-06 01:00:00,0.806,0.815,0.801,0.808
2022-01-06 02:00:00,0.807,0.816,0.803,0.816
2022-01-06 03:00:00,0.815,0.815,0.795,0.808
2022-01-06 04:00:00,0.807,0.807,0.782,0.786
2022-01-06 05:00:00,0.788,0.804,0.788,0.801
2022-01-06 06:00:00,0.803,0.835,0.797,0.801
2022-01-06 07:00:00,0.801,0.813,0.795,0.806
2022-01-06 08:00:00,0.808,0.813,0.803,0.812
2022-01-06 09:00:00,0.813,0.818,0.801,0.803
2022-01-06 10:00:00,0.804,0.816,0.794,0.811
2022-01-06 11:00:00,0.811,0.816,0.802,0.814
2022-01-06 12:00:00,0.813,0.817,0.809,0.81
2022-01-06 13:00:00,0.811,0.825,0.809,0.825
2022-01-06 14:00:00,0.824,0.828,0.818,0.825
2022-01-06 15:00:00,0.824,0.834,0.815,0.819
2022-01-06 16:00:00,0.819,0.828,0.819,0.825
2022-01-06 17:00:00,0.825,0.828,0.818,0.827
2022-01-06 18:00:00,0.826,0.827,0.82,0.82
2022-01-06 19:00:00,0.823,0.826,0.808,0.826
2022-01-06 20:00:00,0.823,0.869,0.823,0.859
2022-01-06 21:00:00,0.859,0.876,0.848,0.868
2022-01-06 22:00:00,0.867,0.874,0.815,0.827
2022-01-06 23:00:00,0.826,0.846,0.802,0.832
2022-01-07 00:00:00,0.834,0.837,0.818,0.827
2022-01-07 01:00:00,0.826,0.829,0.803,0.808
2022-01-07 02:00:00,0.807,0.84,0.797,0.84
2022-01-07 03:00:00,0.837,0.848,0.824,0.832
2022-01-07 04:00:00,0.834,0.852,0.832,0.84
2022-01-07 05:00:00,0.841,0.845,0.83,0.833
2022-01-07 06:00:00,0.833,0.839,0.826,0.827
2022-01-07 07:00:00,0.828,0.838,0.828,0.833
2022-01-07 08:00:00,0.833,0.849,0.798,0.815
2022-01-07 09:00:00,0.816,0.828,0.812,0.823
2022-01-07 10:00:00,0.822,0.823,0.78,0.806
2022-01-07 11:00:00,0.807,0.824,0.79,0.821
2022-01-07 12:00:00,0.82,0.82,0.804,0.81
2022-01-07 13:00:00,0.811,0.813,0.8,0.806
2022-01-07 14:00:00,0.808,0.819,0.8,0.813
2022-01-07 15:00:00,0.815,0.82,0.805,0.813
2022-01-07 16:00:00,0.814,0.817,0.808,0.809
2022-01-07 17:00:00,0.809,0.809,0.797,0.799
2022-01-07 18:00:00,0.799,0.805,0.79,0.801
2022-01-07 19:00:00,0.804,0.817,0.798,0.816
2022-01-07 20:00:00,0.816,0.819,0.812,0.813
2022-01-07 21:00:00,0.812,0.812,0.804,0.812
2022-01-07 22:00:00,0.811,0.814,0.802,0.811
2022-01-07 23:00:00,0.81,0.822,0.81,0.821
2022-01-08 00:00:00,0.821,0.825,0.819,0.823
2022-01-08 01:00:00,0.822,0.826,0.816,0.826
2022-01-08 02:00:00,0.825,0.826,0.821,0.824
2022-01-08 03:00:00,0.825,0.838,0.825,0.83
2022-01-08 04:00:00,0.83,0.836,0.826,0.835
2022-01-08 05:00:00,0.835,0.836,0.823,0.828
2022-01-08 06:00:00,0.827,0.83,0.823,0.828
2022-01-08 07:00:00,0.828,0.83,0.817,0.824
2022-01-08 08:00:00,0.821,0.825,0.814,0.82
2022-01-08 09:00:00,0.82,0.821,0.806,0.806
2022-01-08 10:00:00,0.805,0.807,0.8,0.803
2022-01-08 11:00:00,0.801,0.805,0.789,0.79
2022-01-08 12:00:00,0.79,0.8,0.738,0.738
2022-01-08 13:00:00,0.738,0.756,0.723,0.725
2022-01-08 14:00:00,0.726,0.746,0.725,0.733
2022-01-08 15:00:00,0.733,0.739,0.726,0.729
2022-01-08 16:00:00,0.729,0.755,0.729,0.748
2022-01-08 17:00:00,0.748,0.76,0.748,0.753
2022-01-08 18:00:00,0.754,0.755,0.74,0.743
2022-01-08 19:00:00,0.742,0.753,0.734,0.75
2022-01-08 20:00:00,0.75,0.754,0.744,0.748
2022-01-08 21:00:00,0.749,0.757,0.749,0.756
2022-01-08 22:00:00,0.753,0.753,0.747,0.748
2022-01-08 23:00:00,0.749,0.757,0.749,0.756
2022-01-09 00:00:00,0.757,0.758,0.75,0.751
2022-01-09 01:00:00,0.752,0.753,0.746,0.749
2022-01-09 02:00:00,0.749,0.754,0.746,0.749
2022-01-09 03:00:00,0.748,0.753,0.745,0.749
2022-01-09 04:00:00,0.75,0.75,0.737,0.742
2022-01-09 05:00:00,0.742,0.752,0.737,0.749
2022-01-09 06:00:00,0.75,0.762,0.75,0.759
2022-01-09 07:00:00,0.759,0.763,0.755,0.755
2022-01-09 08:00:00,0.755,0.758,0.742,0.742
2022-01-09 09:00:00,0.743,0.753,0.743,0.749
