datetime,DOGEUSD_open,DOGEUSD_high,DOGEUSD_low,DOGEUSD_close
2022-01-01 00:00:00,0.1703,0.1723,0.1699,0.1719
2022-01-01 01:00:00,0.1718,0.1729,0.1714,0.172
2022-01-01 02:00:00,0.172,0.1723,0.1715,0.1717
2022-01-01 03:00:00,0.1717,0.1719,0.1712,0.1713
2022-01-01 04:00:00,0.1713,0.1716,0.1701,0.1701
2022-01-01 05:00:00,0.1701,0.1727,0.1696,0.1717
2022-01-01 06:00:00,0.1718,0.1722,0.171,0.171
2022-01-01 07:00:00,0.171,0.1718,0.1707,0.1713
2022-01-01 08:00:00,0.1712,0.172,0.171,0.1717
2022-01-01 09:00:00,0.1718,0.172,0.1707,0.1712
2022-01-01 10:00:00,0.1713,0.1719,0.1703,0.1707
2022-01-01 11:00:00,0.1707,0.1714,0.1705,0.1705
2022-01-01 12:00:00,0.1705,0.1717,0.1705,0.1714
2022-01-01 13:00:00,0.1713,0.1716,0.1709,0.1712
2022-01-01 14:00:00,0.1712,0.1716,0.1707,0.1714
2022-01-01 15:00:00,0.1714,0.1734,0.1713,0.172
2022-01-01 16:00:00,0.172,0.1729,0.1718,0.172
2022-01-01 17:00:00,0.1721,0.1738,0.1719,0.1733
2022-01-01 18:00:00,0.1733,0.1734,0.1724,0.1732
2022-01-01 19:00:00,0.1732,0.1734,0.1722,0.1726
2022-01-01 20:00:00,0.1726,0.1732,0.1724,0.1725
2022-01-01 21:00:00,0.1726,0.1732,0.172,0.1723
2022-01-01 22:00:00,0.1723,0.173,0.172,0.1728
2022-01-01 23:00:00,0.1727,0.1733,0.1723,0.1733
2022-01-02 00:00:00,0.1732,0.1734,0.172,0.173
2022-01-02 01:00:00,0.173,0.173,0.1722,0.1724
2022-01-02 02:00:00,0.1726,0.1729,0.1721,0.1726
2022-01-02 03:00:00,0.1727,0.1729,0.1723,0.1727
2022-01-02 04:00:00,0.1727,0.1729,0.1705,0.1711
2022-01-02 05:00:00,0.1709,0.172,0.1707,0.1718
2022-01-02 06:00:00,0.1717,0.1725,0.1714,0.172
2022-01-02 07:00:00,0.1719,0.1725,0.1718,0.172
2022-01-02 08:00:00,0.172,0.1723,0.1714,0.1723
2022-01-02 09:00:00,0.1722,0.1739,0.172,0.1731
2022-01-02 10:00:00,0.173,0.1733,0.1724,0.1725
2022-01-02 11:00:00,0.1726,0.1735,0.1725,0.1731
2022-01-02 12:00:00,0.1731,0.1737,0.1724,0.1735
2022-01-02 13:00:00,0.1735,0.1735,0.1725,0.1729
2022-01-02 14:00:00,0.1727,0.1733,0.1725,0.173
2022-01-02 15:00:00,0.1729,0.1752,0.1729,0.1746
2022-01-02 16:00:00,0.1746,0.1762,0.1746,0.1759
2022-01-02 17:00:00,0.1759,0.1764,0.1739,0.1742
2022-01-02 18:00:00,0.1741,0.1745,0.1723,0.1737
2022-01-02 19:00:00,0.1736,0.1742,0.1731,0.1732
2022-01-02 20:00:00,0.1733,0.1738,0.1729,0.1734
2022-01-02 21:00:00,0.1734,0.174,0.1731,0.1735
2022-01-02 22:00:00,0.1735,0.1747,0.1735,0.1746
2022-01-02 23:00:00,0.1746,0.1751,0.1742,0.1744
2022-01-03 00:00:00,0.1745,0.1745,0.1731,0.1731
2022-01-03 01:00:00,0.1732,0.1735,0.1725,0.1731
2022-01-03 02:00:00,0.173,0.1731,0.1717,0.1728
2022-01-03 03:00:00,0.1728,0.173,0.1715,0.172
2022-01-03 04:00:00,0.1719,0.1721,0.1699,0.1712
2022-01-03 05:00:00,0.1712,0.1725,0.1711,0.1722
2022-01-03 06:00:00,0.1722,0.1722,0.1714,0.1715
2022-01-03 07:00:00,0.1716,0.1724,0.1714,0.1723
2022-01-03 08:00:00,0.1722,0.1725,0.1719,0.1722
2022-01-03 09:00:00,0.1721,0.173,0.1709,0.1719
2022-01-03 10:00:00,0.172,0.173,0.1719,0.1724
2022-01-03 11:00:00,0.1724,0.1735,0.1724,0.1732
2022-01-03 12:00:00,0.1732,0.1733,0.1723,0.1726
2022-01-03 13:00:00,0.1725,0.1729,0.1724,0.1726
2022-01-03 14:00:00,0.1726,0.1726,0.1709,0.1712
2022-01-03 15:00:00,0.1713,0.1717,0.17,0.1704
2022-01-03 16:00:00,0.1704,0.1707,0.1681,0.17
2022-01-03 17:00:00,0.1699,0.1711,0.1697,0.1704
2022-01-03 18:00:00,0.1703,0.1709,0.1694,0.1697
2022-01-03 19:00:00,0.1697,0.1702,0.169,0.1692
2022-01-03 20:00:00,0.1692,0.1695,0.1675,0.1688
2022-01-03 21:00:00,0.1688,0.1703,0.1684,0.1694
2022-01-03 22:00:00,0.1694,0.1709,0.1687,0.17
2022-01-03 23:00:00,0.17,0.1706,0.1695,0.1703
2022-01-04 00:00:00,0.1704,0.1707,0.1691,0.1695
2022-01-04 01:00:00,0.1696,0.1704,0.1686,0.1692
2022-01-04 02:00:00,0.1691,0.1699,0.1682,0.1692
2022-01-04 03:00:00,0.1692,0.1704,0.1688,0.1698
2022-01-04 04:00:00,0.1698,0.1702,0.1692,0.1694
2022-01-04 05:00:00,0.1694,0.1705,0.1692,0.1702
2022-01-04 06:00:00,0.1702,0.1712,0.1698,0.1709
2022-01-04 07:00:00,0.1709,0.1717,0.1706,0.1716
2022-01-04 08:00:00,0.1716,0.172,0.1708,0.1712
2022-01-04 09:00:00,0.1712,0.1716,0.1703,0.1705
2022-01-04 10:00:00,0.1706,0.1716,0.1702,0.1712
2022-01-04 11:00:00,0.1714,0.1718,0.171,0.1716
2022-01-04 12:00:00,0.1715,0.1718,0.1703,0.1711
2022-01-04 13:00:00,0.171,0.1718,0.1701,0.171
2022-01-04 14:00:00,0.1711,0.1724,0.1708,0.172
2022-01-04 15:00:00,0.1721,0.1726,0.1706,0.1709
2022-01-04 16:00:00,0.171,0.1712,0.1702,0.1706
2022-01-04 17:00:00,0.1707,0.1719,0.1701,0.1701
2022-01-04 18:00:00,0.1702,0.1707,0.1666,0.1678
2022-01-04 19:00:00,0.1676,0.1692,0.1668,0.1685
2022-01-04 20:00:00,0.1684,0.1696,0.168,0.1691
2022-01-04 21:00:00,0.1692,0.1695,0.1687,0.1692
2022-01-04 22:00:00,0.1691,0.1696,0.1684,0.1691
2022-01-04 23:00:00,0.1691,0.1692,0.168,0.1684
2022-01-05 00:00:00,0.1684,0.1695,0.1676,0.1693
2022-01-05 01:00:00,0.1693,0.1701,0.1687,0.1687
2022-01-05 02:00:00,0.1688,0.17,0.1688,0.1697
2022-01-05 03:00:00,0.1697,0.1706,0.1696,0.1699
2022-01-05 04:00:00,0.1699,0.1701,0.1695,0.1698
