datetime,DOTBUSD_open,DOTBUSD_high,DOTBUSD_low,DOTBUSD_close
2022-01-01 00:00:00,26.91,27.51,26.85,27.24
2022-01-01 01:00:00,27.24,27.35,27.13,27.15
2022-01-01 02:00:00,27.15,27.43,27.12,27.37
2022-01-01 03:00:00,27.38,27.43,27.24,27.26
2022-01-01 04:00:00,27.26,27.32,27.08,27.25
2022-01-01 05:00:00,27.26,27.3,26.87,27.05
2022-01-01 06:00:00,27.05,27.2,27.02,27.02
2022-01-01 07:00:00,27.04,27.34,26.92,27.26
2022-01-01 08:00:00,27.28,27.33,27.1,27.2
2022-01-01 09:00:00,27.2,27.31,27.12,27.22
2022-01-01 10:00:00,27.21,27.72,27.18,27.58
2022-01-01 11:00:00,27.58,27.76,27.47,27.48
2022-01-01 12:00:00,27.48,27.96,27.48,27.93
2022-01-01 13:00:00,27.94,28.09,27.8,27.89
2022-01-01 14:00:00,27.9,28.02,27.84,27.98
2022-01-01 15:00:00,27.98,28.4,27.98,28.33
2022-01-01 16:00:00,28.32,28.46,28.2,28.29
2022-01-01 17:00:00,28.3,28.42,28.13,28.31
2022-01-01 18:00:00,28.32,28.65,28.22,28.61
2022-01-01 19:00:00,28.61,28.64,28.16,28.39
2022-01-01 20:00:00,28.39,28.42,28.1,28.13
2022-01-01 21:00:00,28.15,28.28,28.06,28.09
2022-01-01 22:00:00,28.09,28.37,28.09,28.18
2022-01-01 23:00:00,28.2,28.43,27.84,27.98
2022-01-02 00:00:00,27.97,28.41,27.92,28.41
2022-01-02 01:00:00,28.4,28.5,28.27,28.35
2022-01-02 02:00:00,28.32,28.51,28.28,28.38
2022-01-02 03:00:00,28.37,28.52,28.18,28.46
2022-01-02 04:00:00,28.47,28.88,28.42,28.8
2022-01-02 05:00:00,28.79,28.81,28.62,28.69
2022-01-02 06:00:00,28.69,28.95,28.65,28.91
2022-01-02 07:00:00,28.91,29.26,28.69,29.17
2022-01-02 08:00:00,29.17,29.3,28.92,29.21
2022-01-02 09:00:00,29.2,29.47,29.15,29.45
2022-01-02 10:00:00,29.46,29.81,29.34,29.73
2022-01-02 11:00:00,29.73,30.49,29.67,30.43
2022-01-02 12:00:00,30.44,30.61,30.1,30.23
2022-01-02 13:00:00,30.23,30.3,29.27,29.87
2022-01-02 14:00:00,29.87,30.13,29.64,29.93
2022-01-02 15:00:00,29.92,30.15,29.83,29.96
2022-01-02 16:00:00,29.95,30.05,29.59,29.61
2022-01-02 17:00:00,29.61,30.08,29.61,29.99
2022-01-02 18:00:00,30.0,30.06,29.66,29.69
2022-01-02 19:00:00,29.69,30.01,29.65,29.71
2022-01-02 20:00:00,29.71,30.29,29.66,29.83
2022-01-02 21:00:00,29.83,29.83,29.23,29.5
2022-01-02 22:00:00,29.49,29.57,28.74,28.82
2022-01-02 23:00:00,28.8,29.09,28.77,28.87
2022-01-03 00:00:00,28.85,29.1,28.77,29.06
2022-01-03 01:00:00,29.07,29.09,28.63,28.72
2022-01-03 02:00:00,28.69,28.93,28.64,28.9
2022-01-03 03:00:00,28.9,28.99,28.78,28.96
2022-01-03 04:00:00,28.98,29.3,28.8,29.29
2022-01-03 05:00:00,29.29,29.57,29.22,29.45
2022-01-03 06:00:00,29.47,30.09,29.47,30.01
2022-01-03 07:00:00,30.02,30.42,29.78,29.85
2022-01-03 08:00:00,29.86,30.45,29.86,30.42
2022-01-03 09:00:00,30.41,30.88,30.1,30.47
2022-01-03 10:00:00,30.49,30.73,30.0,30.15
2022-01-03 11:00:00,30.14,30.3,29.15,29.66
2022-01-03 12:00:00,29.66,30.14,29.6,29.7
2022-01-03 13:00:00,29.72,30.27,29.72,30.09
2022-01-03 14:00:00,30.09,30.34,29.89,29.9
2022-01-03 15:00:00,29.9,30.0,29.29,29.73
2022-01-03 16:00:00,29.71,30.15,29.55,29.83
2022-01-03 17:00:00,29.82,30.66,29.72,30.39
2022-01-03 18:00:00,30.4,30.52,30.03,30.1
2022-01-03 19:00:00,30.1,30.6,29.77,29.97
2022-01-03 20:00:00,29.98,30.24,29.73,29.88
2022-01-03 21:00:00,29.87,30.03,29.56,29.76
2022-01-03 22:00:00,29.76,30.1,29.58,29.87
2022-01-03 23:00:00,29.86,30.09,29.71,29.77
2022-01-04 00:00:00,29.75,30.16,29.68,29.99
2022-01-04 01:00:00,30.0,30.05,29.78,29.86
2022-01-04 02:00:00,29.86,30.06,29.68,29.85
2022-01-04 03:00:00,29.85,29.93,29.44,29.55
2022-01-04 04:00:00,29.56,29.67,29.32,29.4
2022-01-04 05:00:00,29.41,29.95,29.26,29.91
2022-01-04 06:00:00,29.9,30.05,29.77,30.02
2022-01-04 07:00:00,30.03,30.08,29.71,30.02
2022-01-04 08:00:00,30.02,30.08,29.61,29.7
2022-01-04 09:00:00,29.73,30.04,29.49,29.91
2022-01-04 10:00:00,29.92,30.3,29.63,29.72
2022-01-04 11:00:00,29.73,30.09,29.56,29.92
2022-01-04 12:00:00,29.91,30.11,29.77,29.79
2022-01-04 13:00:00,29.8,30.03,28.8,29.0
2022-01-04 14:00:00,29.0,29.55,28.73,29.17
2022-01-04 15:00:00,29.18,29.6,29.09,29.39
2022-01-04 16:00:00,29.39,29.45,29.2,29.34
2022-01-04 17:00:00,29.36,29.36,29.12,29.18
2022-01-04 18:00:00,29.18,29.18,28.68,28.69
2022-01-04 19:00:00,28.68,29.13,28.38,29.04
2022-01-04 20:00:00,29.04,29.25,28.9,28.9
2022-01-04 21:00:00,28.9,29.39,28.9,29.33
2022-01-04 22:00:00,29.33,29.53,29.29,29.44
2022-01-04 23:00:00,29.46,29.58,29.3,29.44
2022-01-05 00:00:00,29.43,29.55,29.32,29.45
2022-01-05 01:00:00,29.46,29.94,29.4,29.87
2022-01-05 02:00:00,29.87,29.9,29.62,29.67
2022-01-05 03:00:00,29.67,30.01,29.5,29.9
2022-01-05 04:00:00,29.91,30.08,29.79,30.05
