datetime,DOTUSD_open,DOTUSD_high,DOTUSD_low,DOTUSD_close
2022-01-01 00:00:00,26.66,27.29,26.66,27.25
2022-01-01 01:00:00,27.24,27.46,27.11,27.22
2022-01-01 02:00:00,27.22,27.39,27.11,27.18
2022-01-01 03:00:00,27.19,27.33,27.14,27.19
2022-01-01 04:00:00,27.17,27.31,26.87,26.91
2022-01-01 05:00:00,26.9,27.52,26.84,27.23
2022-01-01 06:00:00,27.24,27.35,27.14,27.16
2022-01-01 07:00:00,27.14,27.43,27.11,27.38
2022-01-01 08:00:00,27.39,27.42,27.24,27.27
2022-01-01 09:00:00,27.28,27.32,27.08,27.24
2022-01-01 10:00:00,27.23,27.29,26.85,27.03
2022-01-01 11:00:00,27.03,27.2,27.02,27.06
2022-01-01 12:00:00,27.06,27.34,26.91,27.27
2022-01-01 13:00:00,27.29,27.33,27.13,27.2
2022-01-01 14:00:00,27.22,27.31,27.13,27.22
2022-01-01 15:00:00,27.21,27.72,27.17,27.59
2022-01-01 16:00:00,27.61,27.78,27.47,27.49
2022-01-01 17:00:00,27.49,27.97,27.49,27.97
2022-01-01 18:00:00,27.97,28.12,27.77,27.91
2022-01-01 19:00:00,27.91,28.05,27.87,27.99
2022-01-01 20:00:00,27.98,28.41,27.98,28.34
2022-01-01 21:00:00,28.34,28.49,28.22,28.3
2022-01-01 22:00:00,28.31,28.43,28.14,28.33
2022-01-01 23:00:00,28.32,28.65,28.22,28.61
2022-01-02 00:00:00,28.62,28.65,28.16,28.39
2022-01-02 01:00:00,28.38,28.42,28.11,28.14
2022-01-02 02:00:00,28.14,28.28,28.07,28.11
2022-01-02 03:00:00,28.12,28.38,28.09,28.21
2022-01-02 04:00:00,28.22,28.43,27.83,27.98
2022-01-02 05:00:00,27.95,28.41,27.93,28.41
2022-01-02 06:00:00,28.41,28.5,28.27,28.35
2022-01-02 07:00:00,28.34,28.52,28.29,28.38
2022-01-02 08:00:00,28.38,28.53,28.19,28.47
2022-01-02 09:00:00,28.48,28.9,28.42,28.79
2022-01-02 10:00:00,28.78,28.81,28.63,28.67
2022-01-02 11:00:00,28.67,28.94,28.66,28.92
2022-01-02 12:00:00,28.92,29.27,28.68,29.17
2022-01-02 13:00:00,29.18,29.29,28.93,29.2
2022-01-02 14:00:00,29.21,29.48,29.13,29.46
2022-01-02 15:00:00,29.47,29.82,29.33,29.74
2022-01-02 16:00:00,29.74,30.51,29.67,30.44
2022-01-02 17:00:00,30.45,30.63,30.13,30.23
2022-01-02 18:00:00,30.23,30.23,29.24,29.85
2022-01-02 19:00:00,29.85,30.13,29.63,29.93
2022-01-02 20:00:00,29.93,30.22,29.81,29.96
2022-01-02 21:00:00,29.94,30.06,29.59,29.61
2022-01-02 22:00:00,29.61,30.08,29.61,30.01
2022-01-02 23:00:00,30.01,30.06,29.65,29.7
2022-01-03 00:00:00,29.71,30.03,29.65,29.72
2022-01-03 01:00:00,29.72,30.3,29.67,29.83
2022-01-03 02:00:00,29.81,29.81,29.23,29.5
2022-01-03 03:00:00,29.49,29.57,28.72,28.81
2022-01-03 04:00:00,28.81,29.1,28.78,28.88
2022-01-03 05:00:00,28.87,29.11,28.78,29.07
2022-01-03 06:00:00,29.08,29.1,28.63,28.72
2022-01-03 07:00:00,28.69,28.94,28.65,28.91
2022-01-03 08:00:00,28.89,28.98,28.77,28.97
