datetime,DOTUSDT_open,DOTUSDT_high,DOTUSDT_low,DOTUSDT_close
2022-01-01 00:00:00,26.69,27.28,26.69,27.22
2022-01-01 01:00:00,27.15,27.44,27.1,27.29
2022-01-01 02:00:00,27.27,27.35,27.12,27.2
2022-01-01 03:00:00,27.2,27.3,27.18,27.2
2022-01-01 04:00:00,27.2,27.2,26.88,26.94
2022-01-01 05:00:00,26.95,27.53,26.84,27.25
2022-01-01 06:00:00,27.25,27.35,27.13,27.16
2022-01-01 07:00:00,27.17,27.4,27.17,27.38
2022-01-01 08:00:00,27.3,27.41,27.25,27.25
2022-01-01 09:00:00,27.24,27.31,27.09,27.27
2022-01-01 10:00:00,27.23,27.28,26.86,27.03
2022-01-01 11:00:00,27.11,27.16,27.04,27.05
2022-01-01 12:00:00,27.08,27.32,26.91,27.27
2022-01-01 13:00:00,27.28,27.31,27.13,27.19
2022-01-01 14:00:00,27.2,27.3,27.14,27.2
2022-01-01 15:00:00,27.18,27.71,27.17,27.6
2022-01-01 16:00:00,27.66,27.77,27.5,27.54
2022-01-01 17:00:00,27.58,27.97,27.49,27.97
2022-01-01 18:00:00,27.96,28.12,27.81,27.97
2022-01-01 19:00:00,28.01,28.02,27.87,28.0
2022-01-01 20:00:00,28.03,28.4,28.0,28.29
2022-01-01 21:00:00,28.28,28.45,28.21,28.35
2022-01-01 22:00:00,28.34,28.44,28.13,28.35
2022-01-01 23:00:00,28.29,28.63,28.23,28.59
2022-01-02 00:00:00,28.62,28.63,28.18,28.32
2022-01-02 01:00:00,28.34,28.4,28.09,28.14
2022-01-02 02:00:00,28.15,28.26,28.06,28.11
2022-01-02 03:00:00,28.11,28.34,28.09,28.19
2022-01-02 04:00:00,28.21,28.41,27.84,27.95
2022-01-02 05:00:00,27.96,28.4,27.96,28.4
2022-01-02 06:00:00,28.35,28.48,28.27,28.31
2022-01-02 07:00:00,28.34,28.5,28.29,28.38
2022-01-02 08:00:00,28.35,28.54,28.2,28.54
2022-01-02 09:00:00,28.55,28.91,28.53,28.76
2022-01-02 10:00:00,28.75,28.8,28.64,28.67
2022-01-02 11:00:00,28.67,28.93,28.67,28.92
2022-01-02 12:00:00,28.92,29.26,28.69,29.16
2022-01-02 13:00:00,29.07,29.29,28.94,29.2
2022-01-02 14:00:00,29.18,29.49,29.16,29.49
2022-01-02 15:00:00,29.46,29.81,29.35,29.73
2022-01-02 16:00:00,29.71,30.5,29.69,30.47
2022-01-02 17:00:00,30.49,30.61,30.12,30.22
2022-01-02 18:00:00,30.19,30.21,29.26,29.9
2022-01-02 19:00:00,29.84,30.11,29.64,29.94
2022-01-02 20:00:00,29.92,30.16,29.84,29.9
2022-01-02 21:00:00,29.91,30.04,29.6,29.61
2022-01-02 22:00:00,29.65,30.07,29.64,30.03
2022-01-02 23:00:00,30.04,30.04,29.64,29.71
2022-01-03 00:00:00,29.71,30.0,29.65,29.68
2022-01-03 01:00:00,29.68,30.29,29.67,29.77
2022-01-03 02:00:00,29.72,29.75,29.25,29.5
2022-01-03 03:00:00,29.49,29.56,28.75,28.79
2022-01-03 04:00:00,28.77,29.07,28.77,28.86
2022-01-03 05:00:00,28.85,29.1,28.77,29.09
2022-01-03 06:00:00,29.04,29.04,28.62,28.66
2022-01-03 07:00:00,28.73,28.93,28.69,28.93
2022-01-03 08:00:00,28.91,28.98,28.81,28.98
2022-01-03 09:00:00,29.0,29.29,28.8,29.29
2022-01-03 10:00:00,29.28,29.57,29.23,29.46
2022-01-03 11:00:00,29.51,30.08,29.51,30.08
2022-01-03 12:00:00,30.09,30.41,29.78,29.85
2022-01-03 13:00:00,29.93,30.47,29.93,30.45
