datetime,DYDXBUSD_open,DYDXBUSD_high,DYDXBUSD_low,DYDXBUSD_close
2022-01-01 00:00:00,8.21,8.4,8.194,8.298
2022-01-01 01:00:00,8.276,8.325,8.24,8.24
2022-01-01 02:00:00,8.239,8.343,8.224,8.343
2022-01-01 03:00:00,8.309,8.347,8.278,8.281
2022-01-01 04:00:00,8.277,8.306,8.191,8.268
2022-01-01 05:00:00,8.269,8.309,8.115,8.181
2022-01-01 06:00:00,8.18,8.235,8.173,8.198
2022-01-01 07:00:00,8.198,8.284,8.181,8.284
2022-01-01 08:00:00,8.285,8.324,8.202,8.237
2022-01-01 09:00:00,8.239,8.25,8.19,8.2
2022-01-01 10:00:00,8.2,8.334,8.2,8.288
2022-01-01 11:00:00,8.281,8.384,8.267,8.292
2022-01-01 12:00:00,8.298,8.483,8.286,8.427
2022-01-01 13:00:00,8.425,8.466,8.379,8.431
2022-01-01 14:00:00,8.446,8.514,8.415,8.462
2022-01-01 15:00:00,8.464,8.504,8.432,8.453
2022-01-01 16:00:00,8.453,8.506,8.411,8.443
2022-01-01 17:00:00,8.418,8.45,8.402,8.43
2022-01-01 18:00:00,8.429,8.495,8.381,8.466
2022-01-01 19:00:00,8.458,8.488,8.34,8.484
2022-01-01 20:00:00,8.484,8.5,8.373,8.38
2022-01-01 21:00:00,8.382,8.397,8.294,8.344
2022-01-01 22:00:00,8.352,8.435,8.35,8.431
2022-01-01 23:00:00,8.433,8.645,8.414,8.467
2022-01-02 00:00:00,8.452,8.613,8.451,8.546
2022-01-02 01:00:00,8.543,8.596,8.511,8.582
2022-01-02 02:00:00,8.572,8.572,8.484,8.496
2022-01-02 03:00:00,8.496,8.615,8.455,8.612
2022-01-02 04:00:00,8.599,8.681,8.575,8.579
2022-01-02 05:00:00,8.579,8.74,8.579,8.686
2022-01-02 06:00:00,8.686,8.827,8.682,8.779
2022-01-02 07:00:00,8.775,8.791,8.681,8.754
2022-01-02 08:00:00,8.754,8.754,8.674,8.68
2022-01-02 09:00:00,8.68,8.702,8.614,8.627
2022-01-02 10:00:00,8.628,8.742,8.628,8.723
2022-01-02 11:00:00,8.72,8.865,8.71,8.841
