datetime,EGLDBUSD_open,EGLDBUSD_high,EGLDBUSD_low,EGLDBUSD_close
2022-01-01 00:00:00,240.83,243.93,240.2,242.17
2022-01-01 01:00:00,242.23,242.86,240.8,240.97
2022-01-01 02:00:00,240.97,242.26,240.29,241.78
2022-01-01 03:00:00,241.63,242.53,240.21,240.33
2022-01-01 04:00:00,240.2,242.04,236.26,237.93
2022-01-01 05:00:00,237.92,238.5,235.85,237.09
2022-01-01 06:00:00,237.09,238.31,236.41,236.65
2022-01-01 07:00:00,236.65,238.48,236.48,238.27
2022-01-01 08:00:00,238.45,239.25,237.63,238.09
2022-01-01 09:00:00,238.25,238.5,236.94,237.78
2022-01-01 10:00:00,237.69,240.26,237.4,238.63
2022-01-01 11:00:00,238.84,240.05,238.09,238.66
2022-01-01 12:00:00,238.6,244.49,238.6,243.51
2022-01-01 13:00:00,243.59,245.0,241.14,241.89
2022-01-01 14:00:00,242.31,242.71,240.5,241.9
2022-01-01 15:00:00,242.07,244.6,241.5,242.54
2022-01-01 16:00:00,242.48,243.59,241.75,242.2
2022-01-01 17:00:00,242.2,243.7,241.43,242.98
2022-01-01 18:00:00,243.06,245.42,241.82,245.07
2022-01-01 19:00:00,245.21,245.38,241.47,243.12
2022-01-01 20:00:00,243.01,243.88,241.63,242.12
2022-01-01 21:00:00,242.12,243.25,241.54,242.2
2022-01-01 22:00:00,242.26,242.44,241.31,241.31
2022-01-01 23:00:00,241.33,242.51,238.5,239.39
2022-01-02 00:00:00,239.16,240.26,238.5,240.16
2022-01-02 01:00:00,240.11,241.72,239.35,241.23
2022-01-02 02:00:00,241.45,242.57,239.14,239.57
2022-01-02 03:00:00,239.65,241.52,238.6,241.52
2022-01-02 04:00:00,241.52,244.0,241.0,243.01
2022-01-02 05:00:00,242.98,243.81,242.0,242.03
2022-01-02 06:00:00,242.41,243.4,241.21,242.21
2022-01-02 07:00:00,242.51,244.69,241.15,243.07
2022-01-02 08:00:00,243.04,243.51,241.47,242.35
2022-01-02 09:00:00,242.28,243.47,241.11,241.11
2022-01-02 10:00:00,241.1,241.79,240.25,241.57
2022-01-02 11:00:00,241.38,244.69,241.16,244.5
2022-01-02 12:00:00,244.5,245.0,241.89,242.16
2022-01-02 13:00:00,242.23,242.47,236.84,239.5
2022-01-02 14:00:00,239.37,240.49,238.22,239.45
2022-01-02 15:00:00,239.25,240.66,238.72,240.66
2022-01-02 16:00:00,240.39,240.88,239.4,239.48
2022-01-02 17:00:00,239.46,240.95,239.38,240.25
2022-01-02 18:00:00,240.47,240.95,239.64,239.75
2022-01-02 19:00:00,239.56,239.75,238.1,238.58
2022-01-02 20:00:00,238.58,239.62,238.14,239.37
2022-01-02 21:00:00,239.06,239.11,237.25,238.45
2022-01-02 22:00:00,238.69,239.0,236.31,237.77
2022-01-02 23:00:00,237.77,239.2,236.81,237.62
2022-01-03 00:00:00,237.49,240.37,237.49,239.39
2022-01-03 01:00:00,239.39,239.39,238.03,238.51
2022-01-03 02:00:00,238.29,239.58,237.84,238.94
2022-01-03 03:00:00,239.0,241.67,238.74,239.68
2022-01-03 04:00:00,239.68,240.13,238.0,240.0
2022-01-03 05:00:00,240.13,241.81,239.91,241.12
2022-01-03 06:00:00,241.23,243.65,241.19,243.31
2022-01-03 07:00:00,243.25,244.24,241.27,241.8
2022-01-03 08:00:00,241.99,243.97,241.81,243.52
2022-01-03 09:00:00,243.75,244.94,242.21,242.74
2022-01-03 10:00:00,242.45,242.99,239.41,240.11
2022-01-03 11:00:00,240.3,240.96,236.55,237.52
2022-01-03 12:00:00,237.65,239.5,236.76,239.06
2022-01-03 13:00:00,238.74,239.48,237.53,237.95
2022-01-03 14:00:00,238.27,239.32,237.49,237.84
2022-01-03 15:00:00,237.76,238.0,233.32,235.72
2022-01-03 16:00:00,235.58,237.25,231.44,235.1
2022-01-03 17:00:00,235.01,237.66,235.01,236.86
2022-01-03 18:00:00,236.86,237.73,236.09,236.78
2022-01-03 19:00:00,236.65,237.34,233.75,233.99
2022-01-03 20:00:00,233.83,234.14,230.0,232.52
2022-01-03 21:00:00,232.46,234.5,230.94,233.97
2022-01-03 22:00:00,233.93,235.65,233.16,234.82
2022-01-03 23:00:00,234.92,235.56,233.03,233.86
2022-01-04 00:00:00,233.63,235.91,233.62,235.33
2022-01-04 01:00:00,235.25,236.0,234.49,235.54
2022-01-04 02:00:00,235.28,236.17,234.92,235.62
2022-01-04 03:00:00,235.65,236.86,234.71,235.01
2022-01-04 04:00:00,235.26,236.88,235.17,235.6
2022-01-04 05:00:00,235.63,237.6,234.86,236.64
2022-01-04 06:00:00,236.64,238.01,236.53,237.64
2022-01-04 07:00:00,237.66,237.93,235.71,236.61
2022-01-04 08:00:00,236.65,237.78,234.81,237.33
2022-01-04 09:00:00,237.45,239.14,236.5,238.08
2022-01-04 10:00:00,238.19,238.85,237.09,237.2
2022-01-04 11:00:00,237.52,238.92,236.4,238.44
2022-01-04 12:00:00,238.44,243.0,237.78,240.97
2022-01-04 13:00:00,241.14,241.87,236.0,236.69
2022-01-04 14:00:00,236.6,239.96,235.65,237.78
2022-01-04 15:00:00,237.66,241.0,237.31,239.23
2022-01-04 16:00:00,239.46,240.55,238.39,240.22
2022-01-04 17:00:00,240.28,241.18,238.76,240.22
2022-01-04 18:00:00,240.25,240.77,235.6,236.08
2022-01-04 19:00:00,236.08,240.16,235.1,239.88
2022-01-04 20:00:00,239.93,241.49,239.32,240.21
2022-01-04 21:00:00,240.32,241.17,239.25,240.59
2022-01-04 22:00:00,240.75,241.93,240.5,241.23
2022-01-04 23:00:00,241.5,244.1,241.48,242.95
2022-01-05 00:00:00,243.17,244.0,241.79,243.98
2022-01-05 01:00:00,244.0,252.0,243.27,251.61
2022-01-05 02:00:00,251.62,254.38,250.58,251.13
