datetime,ELFBUSD_open,ELFBUSD_high,ELFBUSD_low,ELFBUSD_close
2022-01-01 00:00:00,0.3761,0.3796,0.3758,0.3779
2022-01-01 01:00:00,0.3771,0.3771,0.3764,0.3764
2022-01-01 02:00:00,0.3763,0.3764,0.376,0.376
2022-01-01 03:00:00,0.3764,0.3764,0.376,0.3762
2022-01-01 04:00:00,0.3762,0.3771,0.3745,0.3746
2022-01-01 05:00:00,0.376,0.376,0.3713,0.3735
2022-01-01 06:00:00,0.3733,0.3733,0.3733,0.3733
2022-01-01 07:00:00,0.3723,0.3748,0.3723,0.373
2022-01-01 08:00:00,0.3741,0.3741,0.3729,0.3733
2022-01-01 09:00:00,0.3731,0.3735,0.3725,0.373
2022-01-01 10:00:00,0.3718,0.376,0.3718,0.3744
2022-01-01 11:00:00,0.3744,0.3754,0.374,0.3744
2022-01-01 12:00:00,0.3748,0.378,0.3748,0.3773
2022-01-01 13:00:00,0.3774,0.3774,0.3748,0.377
2022-01-01 14:00:00,0.3775,0.3781,0.3756,0.3756
2022-01-01 15:00:00,0.3766,0.3778,0.3758,0.3766
2022-01-01 16:00:00,0.3776,0.3778,0.3764,0.3764
2022-01-01 17:00:00,0.3763,0.3793,0.376,0.3781
2022-01-01 18:00:00,0.3782,0.3801,0.3781,0.3801
2022-01-01 19:00:00,0.3793,0.3806,0.3778,0.3796
2022-01-01 20:00:00,0.3777,0.3806,0.3777,0.3806
2022-01-01 21:00:00,0.3806,0.4131,0.3806,0.409
2022-01-01 22:00:00,0.4085,0.4085,0.3905,0.3936
2022-01-01 23:00:00,0.3944,0.4056,0.3878,0.3894
2022-01-02 00:00:00,0.3895,0.3902,0.3882,0.3882
2022-01-02 01:00:00,0.3892,0.3936,0.3892,0.3911
2022-01-02 02:00:00,0.3899,0.4046,0.3872,0.4009
2022-01-02 03:00:00,0.4017,0.455,0.4008,0.431
2022-01-02 04:00:00,0.4313,0.5297,0.4208,0.4683
2022-01-02 05:00:00,0.4683,0.5164,0.46,0.4927
2022-01-02 06:00:00,0.4931,0.5397,0.4888,0.5003
2022-01-02 07:00:00,0.5017,0.5099,0.4953,0.5063
2022-01-02 08:00:00,0.5062,0.593,0.4993,0.5567
2022-01-02 09:00:00,0.5564,0.5807,0.5197,0.5224
2022-01-02 10:00:00,0.5218,0.5287,0.4951,0.5007
2022-01-02 11:00:00,0.5007,0.5223,0.477,0.4794
2022-01-02 12:00:00,0.4794,0.4869,0.4675,0.4703
2022-01-02 13:00:00,0.4722,0.4796,0.4569,0.4643
2022-01-02 14:00:00,0.464,0.485,0.4584,0.475
2022-01-02 15:00:00,0.475,0.496,0.4699,0.4882
2022-01-02 16:00:00,0.4882,0.4882,0.4772,0.4841
2022-01-02 17:00:00,0.4842,0.4964,0.4807,0.4873
2022-01-02 18:00:00,0.4874,0.4907,0.4707,0.474
2022-01-02 19:00:00,0.474,0.5806,0.4643,0.5476
2022-01-02 20:00:00,0.5471,0.5762,0.5366,0.5485
2022-01-02 21:00:00,0.5485,0.557,0.5318,0.5351
2022-01-02 22:00:00,0.5351,0.5441,0.517,0.5185
2022-01-02 23:00:00,0.5187,0.5261,0.5121,0.52
2022-01-03 00:00:00,0.5198,0.5311,0.517,0.5196
2022-01-03 01:00:00,0.5196,0.5283,0.4969,0.4971
2022-01-03 02:00:00,0.4978,0.5714,0.4955,0.5407
2022-01-03 03:00:00,0.5408,0.5432,0.5,0.5024
2022-01-03 04:00:00,0.5024,0.5084,0.4854,0.486
2022-01-03 05:00:00,0.4888,0.4906,0.4719,0.4721
2022-01-03 06:00:00,0.4723,0.4931,0.4721,0.4852
2022-01-03 07:00:00,0.4852,0.4889,0.4836,0.4854
2022-01-03 08:00:00,0.4857,0.4964,0.4846,0.494
2022-01-03 09:00:00,0.4931,0.4951,0.4815,0.4816
2022-01-03 10:00:00,0.4843,0.4902,0.4746,0.476
2022-01-03 11:00:00,0.476,0.4774,0.4622,0.4659
2022-01-03 12:00:00,0.4645,0.47,0.4635,0.467
2022-01-03 13:00:00,0.4656,0.467,0.4606,0.4614
2022-01-03 14:00:00,0.4614,0.4648,0.4602,0.4611
2022-01-03 15:00:00,0.4611,0.4611,0.4454,0.4485
2022-01-03 16:00:00,0.4492,0.4492,0.442,0.4438
2022-01-03 17:00:00,0.4448,0.4482,0.4398,0.4458
2022-01-03 18:00:00,0.4451,0.4611,0.4438,0.4521
2022-01-03 19:00:00,0.4549,0.5263,0.4549,0.5086
2022-01-03 20:00:00,0.5084,0.5095,0.4872,0.4913
2022-01-03 21:00:00,0.494,0.4979,0.486,0.4959
2022-01-03 22:00:00,0.4954,0.4963,0.4759,0.4777
2022-01-03 23:00:00,0.4764,0.4764,0.4562,0.4612
2022-01-04 00:00:00,0.4617,0.4716,0.4603,0.4622
2022-01-04 01:00:00,0.462,0.4779,0.4604,0.4766
2022-01-04 02:00:00,0.4774,0.48,0.4693,0.4741
2022-01-04 03:00:00,0.474,0.4835,0.472,0.4786
2022-01-04 04:00:00,0.4794,0.4966,0.4787,0.4869
2022-01-04 05:00:00,0.487,0.5108,0.4869,0.5012
2022-01-04 06:00:00,0.501,0.5011,0.4883,0.4915
2022-01-04 07:00:00,0.4927,0.494,0.4683,0.4702
2022-01-04 08:00:00,0.47,0.4787,0.4668,0.4771
2022-01-04 09:00:00,0.4783,0.4784,0.471,0.4755
2022-01-04 10:00:00,0.4763,0.4763,0.4691,0.4706
2022-01-04 11:00:00,0.4702,0.4704,0.4675,0.4703
2022-01-04 12:00:00,0.4704,0.4726,0.4685,0.4685
2022-01-04 13:00:00,0.4685,0.4704,0.4607,0.4607
2022-01-04 14:00:00,0.4605,0.4706,0.4601,0.4696
2022-01-04 15:00:00,0.4697,0.4813,0.4681,0.4711
2022-01-04 16:00:00,0.4734,0.4796,0.4734,0.4748
2022-01-04 17:00:00,0.4753,0.48,0.4741,0.4785
2022-01-04 18:00:00,0.4764,0.5048,0.4751,0.5048
2022-01-04 19:00:00,0.5048,0.511,0.4707,0.4725
2022-01-04 20:00:00,0.4742,0.479,0.4699,0.4718
2022-01-04 21:00:00,0.4724,0.479,0.4701,0.4732
2022-01-04 22:00:00,0.4755,0.4841,0.4755,0.4824
2022-01-04 23:00:00,0.4806,0.4856,0.478,0.4818
2022-01-05 00:00:00,0.4795,0.48,0.474,0.4759
