datetime,ENJBUSD_open,ENJBUSD_high,ENJBUSD_low,ENJBUSD_close
2022-01-01 00:00:00,2.593,2.631,2.584,2.603
2022-01-01 01:00:00,2.603,2.615,2.592,2.592
2022-01-01 02:00:00,2.595,2.616,2.586,2.606
2022-01-01 03:00:00,2.606,2.614,2.6,2.603
2022-01-01 04:00:00,2.603,2.62,2.589,2.607
2022-01-01 05:00:00,2.608,2.612,2.563,2.583
2022-01-01 06:00:00,2.584,2.597,2.582,2.582
2022-01-01 07:00:00,2.585,2.609,2.584,2.609
2022-01-01 08:00:00,2.61,2.614,2.597,2.6
2022-01-01 09:00:00,2.6,2.605,2.587,2.588
2022-01-01 10:00:00,2.588,2.617,2.585,2.608
2022-01-01 11:00:00,2.608,2.63,2.606,2.608
2022-01-01 12:00:00,2.609,2.657,2.605,2.645
2022-01-01 13:00:00,2.648,2.657,2.632,2.638
2022-01-01 14:00:00,2.641,2.649,2.631,2.641
2022-01-01 15:00:00,2.644,2.662,2.638,2.66
2022-01-01 16:00:00,2.662,2.668,2.651,2.656
2022-01-01 17:00:00,2.655,2.664,2.646,2.659
2022-01-01 18:00:00,2.659,2.701,2.655,2.684
2022-01-01 19:00:00,2.687,2.732,2.662,2.73
2022-01-01 20:00:00,2.728,2.774,2.724,2.757
2022-01-01 21:00:00,2.759,2.785,2.736,2.747
2022-01-01 22:00:00,2.747,2.761,2.713,2.72
2022-01-01 23:00:00,2.722,2.728,2.672,2.685
2022-01-02 00:00:00,2.683,2.7,2.679,2.696
2022-01-02 01:00:00,2.694,2.708,2.685,2.702
2022-01-02 02:00:00,2.7,2.746,2.698,2.726
2022-01-02 03:00:00,2.729,2.755,2.696,2.748
2022-01-02 04:00:00,2.75,2.758,2.726,2.732
2022-01-02 05:00:00,2.732,2.732,2.721,2.722
2022-01-02 06:00:00,2.726,2.76,2.726,2.736
2022-01-02 07:00:00,2.734,2.765,2.715,2.738
2022-01-02 08:00:00,2.739,2.751,2.72,2.726
2022-01-02 09:00:00,2.723,2.759,2.721,2.739
2022-01-02 10:00:00,2.742,2.782,2.741,2.772
2022-01-02 11:00:00,2.773,2.828,2.766,2.816
2022-01-02 12:00:00,2.816,2.847,2.798,2.836
2022-01-02 13:00:00,2.834,2.836,2.733,2.802
2022-01-02 14:00:00,2.803,2.875,2.792,2.867
2022-01-02 15:00:00,2.863,2.932,2.832,2.883
2022-01-02 16:00:00,2.878,2.885,2.853,2.86
2022-01-02 17:00:00,2.867,2.897,2.86,2.886
2022-01-02 18:00:00,2.887,2.887,2.854,2.858
2022-01-02 19:00:00,2.854,2.864,2.822,2.826
2022-01-02 20:00:00,2.825,2.864,2.822,2.851
2022-01-02 21:00:00,2.851,2.871,2.823,2.862
2022-01-02 22:00:00,2.86,2.888,2.834,2.872
2022-01-02 23:00:00,2.864,2.889,2.856,2.862
2022-01-03 00:00:00,2.863,2.952,2.861,2.943
2022-01-03 01:00:00,2.946,2.951,2.882,2.882
2022-01-03 02:00:00,2.883,2.919,2.864,2.912
2022-01-03 03:00:00,2.913,2.943,2.891,2.906
2022-01-03 04:00:00,2.906,2.908,2.845,2.873
2022-01-03 05:00:00,2.875,2.894,2.86,2.877
2022-01-03 06:00:00,2.88,2.895,2.862,2.874
2022-01-03 07:00:00,2.875,2.897,2.865,2.869
2022-01-03 08:00:00,2.87,2.909,2.87,2.885
2022-01-03 09:00:00,2.887,2.895,2.835,2.843
2022-01-03 10:00:00,2.843,2.854,2.79,2.805
2022-01-03 11:00:00,2.802,2.805,2.727,2.762
2022-01-03 12:00:00,2.761,2.782,2.744,2.768
2022-01-03 13:00:00,2.768,2.79,2.76,2.773
2022-01-03 14:00:00,2.774,2.791,2.762,2.765
2022-01-03 15:00:00,2.765,2.774,2.706,2.745
2022-01-03 16:00:00,2.743,2.785,2.737,2.755
2022-01-03 17:00:00,2.754,2.806,2.747,2.783
2022-01-03 18:00:00,2.784,2.804,2.775,2.791
2022-01-03 19:00:00,2.798,2.8,2.729,2.737
2022-01-03 20:00:00,2.74,2.757,2.714,2.728
