datetime,ENJUSD_open,ENJUSD_high,ENJUSD_low,ENJUSD_close
2022-01-01 00:00:00,2.58,2.63,2.57,2.61
2022-01-01 01:00:00,2.62,2.63,2.59,2.61
2022-01-01 02:00:00,2.6,2.61,2.59,2.59
2022-01-01 03:00:00,2.59,2.62,2.58,2.6
2022-01-01 04:00:00,2.6,2.6,2.57,2.59
2022-01-01 05:00:00,2.59,2.63,2.58,2.61
2022-01-01 06:00:00,2.6,2.62,2.59,2.6
2022-01-01 07:00:00,2.6,2.62,2.58,2.61
2022-01-01 08:00:00,2.6,2.62,2.6,2.61
2022-01-01 09:00:00,2.6,2.62,2.59,2.61
2022-01-01 10:00:00,2.61,2.62,2.56,2.59
2022-01-01 11:00:00,2.59,2.6,2.58,2.59
2022-01-01 12:00:00,2.59,2.62,2.58,2.62
2022-01-01 13:00:00,2.61,2.62,2.59,2.6
2022-01-01 14:00:00,2.61,2.61,2.59,2.59
2022-01-01 15:00:00,2.59,2.62,2.58,2.61
2022-01-01 16:00:00,2.62,2.63,2.6,2.61
2022-01-01 17:00:00,2.61,2.66,2.6,2.64
2022-01-01 18:00:00,2.65,2.66,2.63,2.65
2022-01-01 19:00:00,2.64,2.66,2.63,2.65
2022-01-01 20:00:00,2.65,2.67,2.64,2.67
2022-01-01 21:00:00,2.67,2.67,2.65,2.66
2022-01-01 22:00:00,2.66,2.67,2.65,2.67
2022-01-01 23:00:00,2.66,2.7,2.65,2.68
2022-01-02 00:00:00,2.68,2.74,2.66,2.72
2022-01-02 01:00:00,2.73,2.78,2.72,2.76
2022-01-02 02:00:00,2.76,2.79,2.73,2.74
2022-01-02 03:00:00,2.75,2.76,2.71,2.73
2022-01-02 04:00:00,2.73,2.73,2.67,2.68
2022-01-02 05:00:00,2.68,2.7,2.67,2.69
2022-01-02 06:00:00,2.7,2.71,2.68,2.7
2022-01-02 07:00:00,2.69,2.74,2.69,2.73
2022-01-02 08:00:00,2.72,2.76,2.69,2.75
2022-01-02 09:00:00,2.75,2.76,2.72,2.74
2022-01-02 10:00:00,2.74,2.74,2.72,2.73
2022-01-02 11:00:00,2.73,2.76,2.72,2.74
2022-01-02 12:00:00,2.74,2.77,2.71,2.73
2022-01-02 13:00:00,2.74,2.76,2.72,2.72
2022-01-02 14:00:00,2.72,2.76,2.72,2.74
2022-01-02 15:00:00,2.74,2.78,2.74,2.78
2022-01-02 16:00:00,2.77,2.83,2.77,2.81
2022-01-02 17:00:00,2.82,2.85,2.8,2.84
2022-01-02 18:00:00,2.84,2.84,2.74,2.8
2022-01-02 19:00:00,2.8,2.88,2.79,2.87
2022-01-02 20:00:00,2.87,2.93,2.83,2.89
2022-01-02 21:00:00,2.88,2.88,2.85,2.87
2022-01-02 22:00:00,2.86,2.9,2.86,2.89
2022-01-02 23:00:00,2.88,2.89,2.85,2.86
2022-01-03 00:00:00,2.86,2.87,2.82,2.83
2022-01-03 01:00:00,2.83,2.87,2.82,2.85
2022-01-03 02:00:00,2.85,2.87,2.82,2.87
2022-01-03 03:00:00,2.86,2.89,2.83,2.87
2022-01-03 04:00:00,2.87,2.89,2.85,2.87
2022-01-03 05:00:00,2.86,2.95,2.86,2.95
2022-01-03 06:00:00,2.94,2.95,2.88,2.88
2022-01-03 07:00:00,2.89,2.92,2.86,2.92
