datetime,ENSBUSD_open,ENSBUSD_high,ENSBUSD_low,ENSBUSD_close
2022-01-01 00:00:00,39.25,40.24,39.24,39.71
2022-01-01 01:00:00,39.74,39.98,39.61,39.62
2022-01-01 02:00:00,39.65,39.74,39.16,39.45
2022-01-01 03:00:00,39.44,39.63,39.36,39.4
2022-01-01 04:00:00,39.34,39.52,39.0,39.15
2022-01-01 05:00:00,39.19,39.51,38.72,39.03
2022-01-01 06:00:00,39.1,39.17,38.8,38.86
2022-01-01 07:00:00,38.86,39.48,38.86,39.35
2022-01-01 08:00:00,39.43,39.51,39.05,39.12
2022-01-01 09:00:00,39.06,39.18,38.92,39.03
2022-01-01 10:00:00,38.92,39.6,38.9,39.24
2022-01-01 11:00:00,39.27,39.69,39.2,39.41
2022-01-01 12:00:00,39.47,40.39,39.42,40.1
2022-01-01 13:00:00,40.16,40.34,40.04,40.21
2022-01-01 14:00:00,40.21,40.32,39.9,40.03
2022-01-01 15:00:00,40.11,40.37,39.95,40.26
2022-01-01 16:00:00,40.2,40.33,39.91,39.93
2022-01-01 17:00:00,39.97,40.0,39.75,39.82
2022-01-01 18:00:00,39.75,40.17,39.62,40.11
2022-01-01 19:00:00,40.12,40.2,39.69,39.99
2022-01-01 20:00:00,40.0,40.28,39.71,40.18
2022-01-01 21:00:00,40.24,40.74,40.19,40.46
2022-01-01 22:00:00,40.46,40.66,40.28,40.59
2022-01-01 23:00:00,40.59,40.63,39.56,39.7
2022-01-02 00:00:00,39.74,40.42,39.74,40.0
2022-01-02 01:00:00,39.9,40.22,39.85,40.21
2022-01-02 02:00:00,40.21,40.31,40.07,40.09
2022-01-02 03:00:00,40.09,40.09,39.83,39.99
2022-01-02 04:00:00,40.0,40.65,39.96,40.28
2022-01-02 05:00:00,40.32,40.52,40.15,40.22
2022-01-02 06:00:00,40.2,40.37,40.03,40.07
2022-01-02 07:00:00,40.15,40.43,39.66,40.34
2022-01-02 08:00:00,40.31,40.35,40.0,40.15
2022-01-02 09:00:00,39.99,40.28,39.81,40.1
2022-01-02 10:00:00,40.1,40.65,40.1,40.35
2022-01-02 11:00:00,40.48,41.69,40.48,41.35
2022-01-02 12:00:00,41.5,41.61,41.0,41.22
2022-01-02 13:00:00,41.22,41.41,40.03,40.93
2022-01-02 14:00:00,40.9,41.09,40.54,40.76
2022-01-02 15:00:00,40.8,41.07,40.52,41.07
2022-01-02 16:00:00,41.07,41.08,40.79,40.85
