datetime,ENSUSD_open,ENSUSD_high,ENSUSD_low,ENSUSD_close
2022-01-01 00:00:00,38.98,40.36,38.98,39.84
2022-01-01 01:00:00,39.83,40.35,39.66,39.77
2022-01-01 02:00:00,39.74,40.06,39.73,39.8
2022-01-01 03:00:00,39.75,39.85,39.6,39.62
2022-01-01 04:00:00,39.63,39.71,39.17,39.27
2022-01-01 05:00:00,39.32,40.27,39.28,39.73
2022-01-01 06:00:00,39.68,40.0,39.63,39.64
2022-01-01 07:00:00,39.61,39.75,39.18,39.44
2022-01-01 08:00:00,39.49,39.64,39.36,39.37
2022-01-01 09:00:00,39.42,39.59,38.99,39.06
2022-01-01 10:00:00,39.18,39.58,38.73,39.06
2022-01-01 11:00:00,39.07,39.17,38.79,38.79
2022-01-01 12:00:00,38.83,39.51,38.83,39.39
2022-01-01 13:00:00,39.39,39.49,39.01,39.07
2022-01-01 14:00:00,39.07,39.19,38.89,38.92
2022-01-01 15:00:00,38.91,39.59,38.89,39.27
2022-01-01 16:00:00,39.24,39.73,39.19,39.5
2022-01-01 17:00:00,39.46,40.44,39.44,40.19
2022-01-01 18:00:00,40.18,40.33,40.04,40.25
2022-01-01 19:00:00,40.27,40.34,39.89,40.0
2022-01-01 20:00:00,40.02,40.37,39.98,40.2
2022-01-01 21:00:00,40.2,40.35,39.89,39.96
2022-01-01 22:00:00,40.01,40.01,39.73,39.83
2022-01-01 23:00:00,39.81,40.17,39.61,40.17
2022-01-02 00:00:00,40.18,40.2,39.66,39.98
2022-01-02 01:00:00,40.02,40.26,39.78,40.23
2022-01-02 02:00:00,40.26,40.77,40.19,40.45
2022-01-02 03:00:00,40.56,40.71,40.24,40.6
2022-01-02 04:00:00,40.58,40.59,39.51,39.67
2022-01-02 05:00:00,39.71,40.41,39.71,40.05
2022-01-02 06:00:00,39.99,40.27,39.8,40.15
2022-01-02 07:00:00,40.19,40.32,39.96,39.96
2022-01-02 08:00:00,39.97,40.05,39.82,39.96
2022-01-02 09:00:00,40.03,40.65,39.98,40.27
2022-01-02 10:00:00,40.33,40.54,40.17,40.19
2022-01-02 11:00:00,40.2,40.41,40.04,40.11
2022-01-02 12:00:00,40.18,40.43,39.69,40.28
2022-01-02 13:00:00,40.31,40.33,39.98,40.01
2022-01-02 14:00:00,40.07,40.29,39.83,40.09
2022-01-02 15:00:00,40.09,40.63,40.06,40.34
2022-01-02 16:00:00,40.34,41.77,40.33,41.42
2022-01-02 17:00:00,41.42,41.6,40.99,41.19
2022-01-02 18:00:00,41.18,41.45,40.02,40.91
2022-01-02 19:00:00,40.9,41.07,40.51,40.84
2022-01-02 20:00:00,40.83,41.08,40.51,41.03
2022-01-02 21:00:00,41.03,41.08,40.79,40.84
2022-01-02 22:00:00,40.8,41.26,40.75,40.91
2022-01-02 23:00:00,40.89,41.31,40.89,41.07
2022-01-03 00:00:00,41.06,41.14,40.59,40.59
2022-01-03 01:00:00,40.58,40.99,40.0,40.55
2022-01-03 02:00:00,40.55,40.57,40.01,40.04
2022-01-03 03:00:00,40.08,40.21,39.32,39.56
2022-01-03 04:00:00,39.56,39.75,39.3,39.54
2022-01-03 05:00:00,39.52,39.77,39.25,39.65
2022-01-03 06:00:00,39.65,39.66,39.34,39.52
2022-01-03 07:00:00,39.5,39.76,39.48,39.76
2022-01-03 08:00:00,39.74,39.85,39.61,39.62
2022-01-03 09:00:00,39.75,39.86,39.48,39.8
2022-01-03 10:00:00,39.75,40.07,39.72,40.0
2022-01-03 11:00:00,40.01,40.34,39.97,40.15
2022-01-03 12:00:00,40.21,40.27,39.68,39.75
2022-01-03 13:00:00,39.85,40.18,39.85,39.96
2022-01-03 14:00:00,40.03,40.07,39.66,39.66
2022-01-03 15:00:00,39.66,40.06,39.55,39.89
2022-01-03 16:00:00,39.83,40.28,38.66,39.19
2022-01-03 17:00:00,39.21,39.55,39.04,39.19
2022-01-03 18:00:00,39.22,39.4,38.9,39.05
2022-01-03 19:00:00,39.1,39.27,38.99,39.0
2022-01-03 20:00:00,38.97,39.02,38.46,38.8
2022-01-03 21:00:00,38.8,39.18,38.57,38.87
2022-01-03 22:00:00,38.85,39.23,38.75,39.23
2022-01-03 23:00:00,39.24,39.49,38.88,39.31
2022-01-04 00:00:00,39.44,39.48,38.75,38.84
2022-01-04 01:00:00,38.81,39.09,38.62,38.77
2022-01-04 02:00:00,38.84,38.84,38.52,38.73
2022-01-04 03:00:00,38.74,39.16,38.53,39.04
2022-01-04 04:00:00,38.96,39.16,38.66,38.81
2022-01-04 05:00:00,38.76,39.06,38.67,38.86
2022-01-04 06:00:00,38.92,39.1,38.77,39.1
2022-01-04 07:00:00,39.11,39.43,38.92,39.3
2022-01-04 08:00:00,39.3,39.5,39.14,39.16
2022-01-04 09:00:00,39.23,39.46,39.0,39.07
2022-01-04 10:00:00,39.08,39.37,39.01,39.37
2022-01-04 11:00:00,39.38,39.51,39.21,39.42
2022-01-04 12:00:00,39.52,39.63,39.19,39.39
2022-01-04 13:00:00,39.33,39.86,39.12,39.86
2022-01-04 14:00:00,39.87,41.26,39.66,40.87
2022-01-04 15:00:00,40.86,41.13,40.12,40.18
2022-01-04 16:00:00,40.2,41.59,40.09,41.35
2022-01-04 17:00:00,41.33,41.61,40.71,40.8
2022-01-04 18:00:00,40.79,41.01,38.92,39.04
2022-01-04 19:00:00,39.05,39.82,38.88,39.32
2022-01-04 20:00:00,39.45,39.66,39.0,39.27
2022-01-04 21:00:00,39.26,39.44,39.15,39.31
2022-01-04 22:00:00,39.29,39.31,38.9,39.02
2022-01-04 23:00:00,39.01,39.06,38.5,38.7
2022-01-05 00:00:00,38.66,39.21,38.26,39.12
2022-01-05 01:00:00,39.11,39.56,39.01,39.23
2022-01-05 02:00:00,39.34,39.92,39.15,39.54
2022-01-05 03:00:00,39.61,39.78,39.19,39.49
2022-01-05 04:00:00,39.39,39.48,39.05,39.25
2022-01-05 05:00:00,39.21,39.22,38.93,39.16
2022-01-05 06:00:00,39.11,39.44,39.11,39.39
2022-01-05 07:00:00,39.38,39.56,39.11,39.44
2022-01-05 08:00:00,39.46,39.59,39.09,39.51
2022-01-05 09:00:00,39.53,39.83,39.46,39.66
2022-01-05 10:00:00,39.65,39.87,39.36,39.48
2022-01-05 11:00:00,39.45,39.48,38.73,39.09
2022-01-05 12:00:00,39.12,39.26,38.64,39.15
2022-01-05 13:00:00,39.16,39.58,39.01,39.55
2022-01-05 14:00:00,39.52,39.52,39.0,39.38
