datetime,EOSBUSD_open,EOSBUSD_high,EOSBUSD_low,EOSBUSD_close
2022-01-01 00:00:00,3.061,3.105,3.055,3.082
2022-01-01 01:00:00,3.082,3.09,3.07,3.071
2022-01-01 02:00:00,3.072,3.081,3.067,3.081
2022-01-01 03:00:00,3.077,3.086,3.075,3.078
2022-01-01 04:00:00,3.077,3.082,3.058,3.069
2022-01-01 05:00:00,3.07,3.077,3.045,3.062
2022-01-01 06:00:00,3.061,3.069,3.054,3.054
2022-01-01 07:00:00,3.053,3.076,3.049,3.07
2022-01-01 08:00:00,3.074,3.078,3.061,3.067
2022-01-01 09:00:00,3.068,3.073,3.057,3.07
2022-01-01 10:00:00,3.067,3.092,3.064,3.078
2022-01-01 11:00:00,3.076,3.093,3.073,3.076
2022-01-01 12:00:00,3.078,3.112,3.075,3.102
2022-01-01 13:00:00,3.103,3.109,3.091,3.098
2022-01-01 14:00:00,3.1,3.109,3.096,3.104
2022-01-01 15:00:00,3.105,3.117,3.098,3.108
2022-01-01 16:00:00,3.108,3.119,3.097,3.103
2022-01-01 17:00:00,3.102,3.115,3.098,3.11
2022-01-01 18:00:00,3.107,3.16,3.104,3.156
2022-01-01 19:00:00,3.156,3.176,3.141,3.166
2022-01-01 20:00:00,3.166,3.166,3.149,3.155
2022-01-01 21:00:00,3.154,3.201,3.154,3.192
2022-01-01 22:00:00,3.194,3.196,3.176,3.182
2022-01-01 23:00:00,3.18,3.182,3.141,3.15
2022-01-02 00:00:00,3.146,3.165,3.146,3.163
2022-01-02 01:00:00,3.163,3.163,3.138,3.144
2022-01-02 02:00:00,3.144,3.154,3.141,3.148
2022-01-02 03:00:00,3.148,3.161,3.134,3.159
2022-01-02 04:00:00,3.162,3.179,3.159,3.171
2022-01-02 05:00:00,3.168,3.185,3.168,3.178
2022-01-02 06:00:00,3.176,3.2,3.175,3.199
2022-01-02 07:00:00,3.201,3.217,3.186,3.21
2022-01-02 08:00:00,3.209,3.21,3.183,3.187
2022-01-02 09:00:00,3.184,3.203,3.181,3.203
2022-01-02 10:00:00,3.203,3.234,3.2,3.225
2022-01-02 11:00:00,3.226,3.262,3.225,3.258
2022-01-02 12:00:00,3.257,3.265,3.228,3.23
2022-01-02 13:00:00,3.232,3.232,3.194,3.225
2022-01-02 14:00:00,3.224,3.249,3.221,3.246
2022-01-02 15:00:00,3.247,3.274,3.24,3.272
2022-01-02 16:00:00,3.27,3.27,3.239,3.24
2022-01-02 17:00:00,3.241,3.261,3.24,3.251
2022-01-02 18:00:00,3.255,3.26,3.248,3.249
2022-01-02 19:00:00,3.251,3.253,3.209,3.213
2022-01-02 20:00:00,3.21,3.215,3.197,3.215
2022-01-02 21:00:00,3.214,3.221,3.2,3.221
2022-01-02 22:00:00,3.221,3.233,3.197,3.207
2022-01-02 23:00:00,3.205,3.213,3.198,3.2
2022-01-03 00:00:00,3.202,3.215,3.198,3.211
2022-01-03 01:00:00,3.211,3.211,3.186,3.192
2022-01-03 02:00:00,3.191,3.203,3.179,3.202
2022-01-03 03:00:00,3.2,3.208,3.195,3.199
2022-01-03 04:00:00,3.199,3.209,3.19,3.204
2022-01-03 05:00:00,3.206,3.217,3.201,3.211
2022-01-03 06:00:00,3.21,3.227,3.21,3.218
2022-01-03 07:00:00,3.22,3.223,3.206,3.207
2022-01-03 08:00:00,3.21,3.225,3.21,3.21
2022-01-03 09:00:00,3.21,3.224,3.197,3.2
2022-01-03 10:00:00,3.203,3.213,3.185,3.186
2022-01-03 11:00:00,3.187,3.197,3.15,3.164
2022-01-03 12:00:00,3.162,3.186,3.161,3.179
2022-01-03 13:00:00,3.181,3.196,3.177,3.182
2022-01-03 14:00:00,3.184,3.203,3.179,3.183
2022-01-03 15:00:00,3.182,3.183,3.134,3.158
2022-01-03 16:00:00,3.158,3.175,3.152,3.164
2022-01-03 17:00:00,3.163,3.194,3.163,3.187
2022-01-03 18:00:00,3.188,3.201,3.185,3.192
2022-01-03 19:00:00,3.196,3.204,3.171,3.177
