datetime,ERNBUSD_open,ERNBUSD_high,ERNBUSD_low,ERNBUSD_close
2022-01-01 00:00:00,8.96,9.125,8.959,8.968
2022-01-01 01:00:00,8.979,9.15,8.979,9.007
2022-01-01 02:00:00,9.021,9.178,8.996,9.178
2022-01-01 03:00:00,9.144,9.166,9.104,9.15
2022-01-01 04:00:00,9.149,9.244,9.129,9.143
2022-01-01 05:00:00,9.201,9.207,9.059,9.082
2022-01-01 06:00:00,9.129,9.131,9.025,9.029
2022-01-01 07:00:00,9.027,9.094,9.027,9.091
2022-01-01 08:00:00,9.07,9.073,9.037,9.059
2022-01-01 09:00:00,9.046,9.131,9.046,9.103
2022-01-01 10:00:00,9.072,9.17,9.072,9.119
2022-01-01 11:00:00,9.165,9.2,9.125,9.125
2022-01-01 12:00:00,9.138,9.208,9.138,9.166
2022-01-01 13:00:00,9.164,9.2,9.119,9.123
2022-01-01 14:00:00,9.126,9.2,9.125,9.181
2022-01-01 15:00:00,9.185,9.213,9.125,9.197
2022-01-01 16:00:00,9.196,9.251,9.128,9.144
2022-01-01 17:00:00,9.144,9.179,9.107,9.107
2022-01-01 18:00:00,9.105,9.24,9.07,9.185
2022-01-01 19:00:00,9.177,9.177,9.071,9.131
2022-01-01 20:00:00,9.122,9.122,9.08,9.08
2022-01-01 21:00:00,9.08,9.08,9.034,9.051
2022-01-01 22:00:00,9.056,9.105,9.056,9.079
2022-01-01 23:00:00,9.079,9.112,9.0,9.022
2022-01-02 00:00:00,9.023,9.131,9.023,9.092
2022-01-02 01:00:00,9.087,9.101,9.06,9.061
2022-01-02 02:00:00,9.059,9.107,9.041,9.055
2022-01-02 03:00:00,9.05,9.1,9.031,9.082
2022-01-02 04:00:00,9.094,9.199,9.055,9.199
2022-01-02 05:00:00,9.138,9.138,9.077,9.102
2022-01-02 06:00:00,9.1,9.138,9.077,9.077
2022-01-02 07:00:00,9.098,9.124,9.025,9.097
2022-01-02 08:00:00,9.121,9.127,9.088,9.105
2022-01-02 09:00:00,9.105,9.115,9.066,9.077
2022-01-02 10:00:00,9.129,9.13,9.095,9.13
2022-01-02 11:00:00,9.13,9.546,9.117,9.546
2022-01-02 12:00:00,9.53,9.535,9.257,9.332
2022-01-02 13:00:00,9.316,9.971,9.089,9.237
2022-01-02 14:00:00,9.238,9.291,8.976,9.07
2022-01-02 15:00:00,9.07,9.105,9.053,9.097
2022-01-02 16:00:00,9.099,9.278,9.063,9.251
2022-01-02 17:00:00,9.259,9.295,9.007,9.115
2022-01-02 18:00:00,9.107,9.177,9.041,9.148
2022-01-02 19:00:00,9.167,9.189,9.16,9.189
2022-01-02 20:00:00,9.168,9.176,9.149,9.176
2022-01-02 21:00:00,9.176,9.309,9.176,9.235
2022-01-02 22:00:00,9.256,9.548,9.256,9.386
2022-01-02 23:00:00,9.388,9.416,9.357,9.396
2022-01-03 00:00:00,9.411,9.588,9.324,9.581
2022-01-03 01:00:00,9.582,9.582,9.468,9.535
2022-01-03 02:00:00,9.535,9.68,9.535,9.554
2022-01-03 03:00:00,9.557,9.591,9.311,9.353
