datetime,ETCBUSD_open,ETCBUSD_high,ETCBUSD_low,ETCBUSD_close
2022-01-01 00:00:00,34.16,34.7,34.15,34.4
2022-01-01 01:00:00,34.4,34.46,34.28,34.29
2022-01-01 02:00:00,34.26,34.48,34.21,34.44
2022-01-01 03:00:00,34.44,34.49,34.34,34.43
2022-01-01 04:00:00,34.43,34.48,34.26,34.35
2022-01-01 05:00:00,34.38,34.48,34.08,34.22
2022-01-01 06:00:00,34.24,34.33,34.16,34.16
2022-01-01 07:00:00,34.19,34.48,34.17,34.46
2022-01-01 08:00:00,34.49,34.51,34.38,34.47
2022-01-01 09:00:00,34.48,34.52,34.33,34.4
2022-01-01 10:00:00,34.39,34.71,34.36,34.56
2022-01-01 11:00:00,34.56,34.7,34.49,34.51
2022-01-01 12:00:00,34.54,34.85,34.5,34.74
2022-01-01 13:00:00,34.77,34.81,34.57,34.68
2022-01-01 14:00:00,34.7,34.71,34.55,34.62
2022-01-01 15:00:00,34.6,34.78,34.57,34.69
2022-01-01 16:00:00,34.69,34.76,34.6,34.62
2022-01-01 17:00:00,34.64,34.98,34.38,34.7
2022-01-01 18:00:00,34.67,35.01,34.54,34.88
2022-01-01 19:00:00,34.9,34.9,34.65,34.77
2022-01-01 20:00:00,34.77,34.84,34.65,34.65
2022-01-01 21:00:00,34.66,34.76,34.64,34.71
2022-01-01 22:00:00,34.72,35.02,34.58,34.74
2022-01-01 23:00:00,34.71,34.8,34.32,34.44
2022-01-02 00:00:00,34.42,34.54,34.4,34.51
2022-01-02 01:00:00,34.52,34.62,34.5,34.6
2022-01-02 02:00:00,34.56,34.76,34.46,34.55
2022-01-02 03:00:00,34.53,34.69,34.47,34.69
2022-01-02 04:00:00,34.68,34.93,34.66,34.82
2022-01-02 05:00:00,34.81,34.85,34.8,34.83
2022-01-02 06:00:00,34.81,35.1,34.8,34.95
2022-01-02 07:00:00,34.98,35.2,34.82,35.13
2022-01-02 08:00:00,35.16,35.17,34.88,34.93
2022-01-02 09:00:00,34.93,35.14,34.93,35.1
2022-01-02 10:00:00,35.13,35.47,35.07,35.42
