datetime,ETCUSD_open,ETCUSD_high,ETCUSD_low,ETCUSD_close
2022-01-01 00:00:00,34.04,34.55,34.04,34.52
2022-01-01 01:00:00,34.53,34.65,34.42,34.49
2022-01-01 02:00:00,34.49,34.58,34.41,34.42
2022-01-01 03:00:00,34.43,34.46,34.27,34.27
2022-01-01 04:00:00,34.29,34.41,34.1,34.15
2022-01-01 05:00:00,34.11,34.69,34.09,34.39
2022-01-01 06:00:00,34.38,34.47,34.25,34.29
2022-01-01 07:00:00,34.27,34.46,34.22,34.4
2022-01-01 08:00:00,34.39,34.48,34.32,34.42
2022-01-01 09:00:00,34.42,34.5,34.26,34.38
2022-01-01 10:00:00,34.39,34.48,34.07,34.2
2022-01-01 11:00:00,34.21,34.33,34.16,34.16
2022-01-01 12:00:00,34.17,34.51,34.16,34.47
2022-01-01 13:00:00,34.49,34.54,34.38,34.51
2022-01-01 14:00:00,34.49,34.55,34.34,34.43
2022-01-01 15:00:00,34.42,34.73,34.39,34.59
2022-01-01 16:00:00,34.59,34.75,34.53,34.57
2022-01-01 17:00:00,34.58,34.88,34.5,34.8
2022-01-01 18:00:00,34.83,34.83,34.59,34.68
2022-01-01 19:00:00,34.69,34.72,34.55,34.61
2022-01-01 20:00:00,34.61,34.78,34.57,34.7
2022-01-01 21:00:00,34.72,34.75,34.62,34.65
2022-01-01 22:00:00,34.65,34.74,34.58,34.72
2022-01-01 23:00:00,34.72,34.92,34.58,34.9
2022-01-02 00:00:00,34.9,34.93,34.67,34.8
2022-01-02 01:00:00,34.8,34.85,34.66,34.67
2022-01-02 02:00:00,34.68,34.79,34.66,34.71
2022-01-02 03:00:00,34.72,34.78,34.64,34.73
2022-01-02 04:00:00,34.73,34.78,34.32,34.45
2022-01-02 05:00:00,34.45,34.57,34.39,34.56
2022-01-02 06:00:00,34.53,34.66,34.48,34.58
2022-01-02 07:00:00,34.56,34.67,34.53,34.58
2022-01-02 08:00:00,34.55,34.73,34.49,34.71
2022-01-02 09:00:00,34.73,34.94,34.7,34.82
2022-01-02 10:00:00,34.82,34.89,34.81,34.86
2022-01-02 11:00:00,34.86,35.06,34.85,34.98
2022-01-02 12:00:00,34.98,35.21,34.84,35.15
2022-01-02 13:00:00,35.14,35.18,34.86,34.91
2022-01-02 14:00:00,34.92,35.13,34.91,35.11
2022-01-02 15:00:00,35.12,35.46,35.04,35.42
2022-01-02 16:00:00,35.42,35.86,35.39,35.78
2022-01-02 17:00:00,35.81,35.91,35.47,35.55
2022-01-02 18:00:00,35.54,35.54,35.0,35.27
2022-01-02 19:00:00,35.26,35.39,35.14,35.24
2022-01-02 20:00:00,35.24,35.36,35.17,35.33
2022-01-02 21:00:00,35.34,35.43,35.27,35.29
2022-01-02 22:00:00,35.33,35.5,35.29,35.5
2022-01-02 23:00:00,35.49,35.49,35.35,35.38
2022-01-03 00:00:00,35.36,35.38,35.11,35.11
2022-01-03 01:00:00,35.1,35.18,35.01,35.12
2022-01-03 02:00:00,35.14,35.22,34.97,35.22
2022-01-03 03:00:00,35.21,35.38,35.04,35.11
2022-01-03 04:00:00,35.11,35.3,35.09,35.15
2022-01-03 05:00:00,35.13,35.28,35.03,35.2
2022-01-03 06:00:00,35.21,35.21,34.99,35.0
2022-01-03 07:00:00,34.99,35.01,34.91,34.99
2022-01-03 08:00:00,34.99,35.1,34.93,34.94
2022-01-03 09:00:00,34.96,35.04,34.79,34.99
2022-01-03 10:00:00,35.01,35.21,34.97,35.1
2022-01-03 11:00:00,35.11,35.33,35.11,35.32
2022-01-03 12:00:00,35.33,35.36,35.13,35.15
2022-01-03 13:00:00,35.17,35.34,35.16,35.17
2022-01-03 14:00:00,35.19,35.3,34.9,34.94
2022-01-03 15:00:00,34.93,35.03,34.71,34.77
2022-01-03 16:00:00,34.77,34.87,34.36,34.51
2022-01-03 17:00:00,34.48,34.8,34.46,34.69
2022-01-03 18:00:00,34.67,34.83,34.63,34.69
2022-01-03 19:00:00,34.7,34.84,34.61,34.61
2022-01-03 20:00:00,34.61,34.64,34.15,34.33
2022-01-03 21:00:00,34.3,34.57,34.28,34.39
2022-01-03 22:00:00,34.38,34.73,34.37,34.63
2022-01-03 23:00:00,34.66,34.8,34.61,34.71
2022-01-04 00:00:00,34.77,34.78,34.4,34.48
2022-01-04 01:00:00,34.46,34.61,34.31,34.33
2022-01-04 02:00:00,34.34,34.49,34.18,34.37
2022-01-04 03:00:00,34.4,34.66,34.25,34.62
2022-01-04 04:00:00,34.59,34.69,34.43,34.43
2022-01-04 05:00:00,34.43,34.68,34.38,34.54
2022-01-04 06:00:00,34.57,34.62,34.46,34.56
2022-01-04 07:00:00,34.56,34.66,34.49,34.65
2022-01-04 08:00:00,34.66,34.7,34.49,34.53
2022-01-04 09:00:00,34.53,34.61,34.38,34.44
2022-01-04 10:00:00,34.48,34.73,34.4,34.65
2022-01-04 11:00:00,34.66,34.88,34.66,34.86
2022-01-04 12:00:00,34.86,34.86,34.55,34.67
2022-01-04 13:00:00,34.67,34.83,34.44,34.72
2022-01-04 14:00:00,34.77,35.0,34.64,34.89
2022-01-04 15:00:00,34.89,35.01,34.63,34.68
2022-01-04 16:00:00,34.69,34.83,34.56,34.7
2022-01-04 17:00:00,34.71,34.82,34.53,34.55
2022-01-04 18:00:00,34.55,34.67,33.85,33.95
2022-01-04 19:00:00,33.92,34.41,33.87,34.2
2022-01-04 20:00:00,34.29,34.43,34.12,34.37
2022-01-04 21:00:00,34.34,34.43,34.19,34.38
2022-01-04 22:00:00,34.38,34.38,34.28,34.33
2022-01-04 23:00:00,34.33,34.33,34.04,34.11
2022-01-05 00:00:00,34.11,34.39,33.97,34.37
2022-01-05 01:00:00,34.36,34.49,34.24,34.24
2022-01-05 02:00:00,34.25,34.48,34.25,34.47
2022-01-05 03:00:00,34.47,34.6,34.45,34.55
2022-01-05 04:00:00,34.55,34.58,34.46,34.53
2022-01-05 05:00:00,34.53,34.55,34.39,34.55
2022-01-05 06:00:00,34.53,34.72,34.46,34.71
2022-01-05 07:00:00,34.71,34.73,34.53,34.57
2022-01-05 08:00:00,34.58,34.69,34.45,34.61
2022-01-05 09:00:00,34.67,34.73,34.59,34.7
2022-01-05 10:00:00,34.71,34.81,34.51,34.59
2022-01-05 11:00:00,34.57,34.57,34.24,34.32
2022-01-05 12:00:00,34.34,34.39,34.13,34.36
2022-01-05 13:00:00,34.36,34.58,34.29,34.57
2022-01-05 14:00:00,34.57,34.71,34.37,34.69
2022-01-05 15:00:00,34.69,34.71,34.41,34.55
2022-01-05 16:00:00,34.56,34.61,34.34,34.37
2022-01-05 17:00:00,34.37,34.47,34.05,34.05
2022-01-05 18:00:00,34.06,34.37,33.91,34.16
2022-01-05 19:00:00,34.17,34.22,32.8,32.94
2022-01-05 20:00:00,32.94,33.08,32.22,32.47
2022-01-05 21:00:00,32.51,32.8,32.19,32.36
2022-01-05 22:00:00,32.46,32.5,30.5,31.93
2022-01-05 23:00:00,31.92,32.3,31.71,31.96
2022-01-06 00:00:00,31.97,32.17,31.79,31.97
2022-01-06 01:00:00,31.97,32.11,31.59,31.84
2022-01-06 02:00:00,31.79,31.86,31.56,31.56
2022-01-06 03:00:00,31.6,31.68,31.13,31.13
2022-01-06 04:00:00,31.18,31.55,31.01,31.43
2022-01-06 05:00:00,31.45,31.67,31.28,31.42
2022-01-06 06:00:00,31.42,31.54,31.17,31.35
2022-01-06 07:00:00,31.35,31.56,31.27,31.54
2022-01-06 08:00:00,31.52,31.63,31.09,31.39
2022-01-06 09:00:00,31.4,31.4,30.67,30.88
2022-01-06 10:00:00,30.9,31.3,30.83,31.2
2022-01-06 11:00:00,31.24,31.29,30.92,31.12
2022-01-06 12:00:00,31.12,31.21,30.67,31.21
2022-01-06 13:00:00,31.24,31.37,31.06,31.34
2022-01-06 14:00:00,31.32,31.47,31.1,31.15
2022-01-06 15:00:00,31.17,31.28,30.96,31.24
2022-01-06 16:00:00,31.23,31.38,31.03,31.31
2022-01-06 17:00:00,31.33,31.5,31.23,31.41
2022-01-06 18:00:00,31.42,31.83,31.41,31.77
2022-01-06 19:00:00,31.79,31.79,31.59,31.61
2022-01-06 20:00:00,31.61,31.71,31.42,31.59
2022-01-06 21:00:00,31.58,31.68,31.48,31.62
2022-01-06 22:00:00,31.65,31.78,31.54,31.71
2022-01-06 23:00:00,31.71,31.81,31.6,31.67
2022-01-07 00:00:00,31.65,31.76,31.43,31.55
2022-01-07 01:00:00,31.55,31.69,31.45,31.69
2022-01-07 02:00:00,31.67,31.72,31.41,31.42
2022-01-07 03:00:00,31.37,31.45,30.1,30.29
2022-01-07 04:00:00,30.24,30.43,29.24,30.03
2022-01-07 05:00:00,30.03,30.14,29.78,30.11
2022-01-07 06:00:00,30.1,30.1,29.72,29.88
2022-01-07 07:00:00,29.84,30.21,29.55,30.19
2022-01-07 08:00:00,30.17,31.13,30.12,30.79
2022-01-07 09:00:00,30.8,30.99,30.77,30.89
2022-01-07 10:00:00,30.88,31.04,30.78,30.89
2022-01-07 11:00:00,30.89,31.1,30.77,30.85
2022-01-07 12:00:00,30.86,31.0,30.79,30.88
2022-01-07 13:00:00,30.89,31.1,29.56,30.23
2022-01-07 14:00:00,30.23,30.55,30.14,30.46
2022-01-07 15:00:00,30.43,30.45,29.56,30.08
2022-01-07 16:00:00,30.07,31.06,29.73,30.99
2022-01-07 17:00:00,30.98,30.98,30.63,30.8
2022-01-07 18:00:00,30.81,30.83,30.45,30.58
2022-01-07 19:00:00,30.62,30.81,30.42,30.72
2022-01-07 20:00:00,30.73,30.87,30.62,30.79
2022-01-07 21:00:00,30.79,30.82,30.61,30.63
2022-01-07 22:00:00,30.63,30.63,30.2,30.37
2022-01-07 23:00:00,30.36,30.5,30.24,30.45
2022-01-08 00:00:00,30.51,30.95,30.38,30.93
2022-01-08 01:00:00,30.9,31.05,30.79,30.83
2022-01-08 02:00:00,30.82,30.86,30.54,30.69
2022-01-08 03:00:00,30.69,30.7,30.43,30.6
2022-01-08 04:00:00,30.65,30.87,30.6,30.76
2022-01-08 05:00:00,30.77,30.8,30.66,30.7
2022-01-08 06:00:00,30.7,30.73,30.46,30.66
2022-01-08 07:00:00,30.65,30.76,30.58,30.64
2022-01-08 08:00:00,30.66,30.79,30.56,30.64
2022-01-08 09:00:00,30.65,30.82,30.63,30.82
2022-01-08 10:00:00,30.79,30.98,30.6,30.68
2022-01-08 11:00:00,30.66,30.7,30.51,30.63
2022-01-08 12:00:00,30.63,30.69,30.36,30.45
2022-01-08 13:00:00,30.41,30.55,30.25,30.48
2022-01-08 14:00:00,30.48,30.52,30.18,30.18
2022-01-08 15:00:00,30.21,30.28,29.8,29.93
2022-01-08 16:00:00,29.92,30.06,29.56,29.63
2022-01-08 17:00:00,29.59,29.7,28.98,29.0
2022-01-08 18:00:00,29.06,29.32,28.47,28.56
2022-01-08 19:00:00,28.61,28.99,28.47,28.72
2022-01-08 20:00:00,28.72,28.98,28.58,28.77
2022-01-08 21:00:00,28.76,29.56,28.74,29.38
2022-01-08 22:00:00,29.37,29.99,29.37,29.66
2022-01-08 23:00:00,29.66,29.69,29.36,29.36
2022-01-09 00:00:00,29.41,29.75,29.17,29.68
2022-01-09 01:00:00,29.68,29.7,29.37,29.52
2022-01-09 02:00:00,29.54,29.94,29.51,29.86
2022-01-09 03:00:00,29.83,29.83,29.6,29.7
2022-01-09 04:00:00,29.77,29.97,29.71,29.97
2022-01-09 05:00:00,29.98,30.1,29.73,29.8
2022-01-09 06:00:00,29.8,29.89,29.68,29.82
2022-01-09 07:00:00,29.87,29.87,29.64,29.64
2022-01-09 08:00:00,29.65,29.82,29.51,29.58
2022-01-09 09:00:00,29.6,29.65,29.44,29.45
2022-01-09 10:00:00,29.49,29.65,29.35,29.55
2022-01-09 11:00:00,29.64,29.83,29.62,29.77
2022-01-09 12:00:00,29.79,29.83,29.54,29.62
