datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-01 00:00:00,3675.81,3728.87,3675.44,3722.78
2022-01-01 01:00:00,3722.79,3748.11,3709.15,3724.22
2022-01-01 02:00:00,3724.81,3737.38,3722.01,3727.94
2022-01-01 03:00:00,3728.01,3736.08,3721.99,3722.96
2022-01-01 04:00:00,3723.01,3727.34,3705.09,3706.87
2022-01-01 05:00:00,3706.86,3763.83,3702.43,3735.0
2022-01-01 06:00:00,3735.01,3742.87,3707.16,3710.33
2022-01-01 07:00:00,3710.33,3723.72,3700.0,3714.27
2022-01-01 08:00:00,3714.88,3733.47,3708.25,3720.88
2022-01-01 09:00:00,3721.69,3730.0,3709.58,3718.44
2022-01-01 10:00:00,3718.31,3732.08,3674.02,3691.49
2022-01-01 11:00:00,3691.84,3712.08,3691.26,3693.24
2022-01-01 12:00:00,3693.05,3719.0,3693.05,3716.94
2022-01-01 13:00:00,3717.1,3725.55,3706.87,3710.46
2022-01-01 14:00:00,3710.4,3714.57,3693.58,3698.51
2022-01-01 15:00:00,3697.95,3745.9,3693.13,3726.65
2022-01-01 16:00:00,3726.52,3750.0,3719.14,3728.81
2022-01-01 17:00:00,3728.81,3767.0,3728.16,3762.14
2022-01-01 18:00:00,3761.82,3767.0,3741.07,3754.32
2022-01-01 19:00:00,3754.32,3759.47,3736.0,3748.55
2022-01-01 20:00:00,3748.87,3777.77,3741.61,3762.66
2022-01-01 21:00:00,3762.96,3777.82,3747.04,3749.55
2022-01-01 22:00:00,3749.55,3765.18,3740.67,3759.01
2022-01-01 23:00:00,3758.94,3775.0,3746.22,3765.72
2022-01-02 00:00:00,3765.98,3772.68,3752.81,3763.57
2022-01-02 01:00:00,3763.57,3765.27,3743.48,3748.15
2022-01-02 02:00:00,3748.25,3754.89,3736.88,3747.25
2022-01-02 03:00:00,3747.26,3762.07,3744.18,3759.55
2022-01-02 04:00:00,3759.48,3763.12,3718.2,3724.72
2022-01-02 05:00:00,3724.71,3746.12,3721.01,3744.87
2022-01-02 06:00:00,3744.88,3751.0,3738.13,3739.27
2022-01-02 07:00:00,3739.26,3753.06,3734.76,3748.58
2022-01-02 08:00:00,3748.48,3749.94,3733.89,3744.37
2022-01-02 09:00:00,3744.46,3770.0,3739.21,3754.31
2022-01-02 10:00:00,3754.19,3759.85,3740.88,3743.94
2022-01-02 11:00:00,3743.94,3757.76,3741.96,3744.71
2022-01-02 12:00:00,3744.71,3759.59,3730.81,3754.9
2022-01-02 13:00:00,3754.9,3758.21,3740.63,3745.34
2022-01-02 14:00:00,3745.34,3757.05,3743.58,3753.12
2022-01-02 15:00:00,3752.97,3792.86,3752.9,3779.39
2022-01-02 16:00:00,3779.29,3850.0,3778.81,3839.17
2022-01-02 17:00:00,3839.17,3855.77,3811.5,3826.31
2022-01-02 18:00:00,3826.0,3826.93,3772.64,3796.64
2022-01-02 19:00:00,3796.34,3808.16,3784.44,3800.24
2022-01-02 20:00:00,3800.24,3815.34,3794.24,3810.87
2022-01-02 21:00:00,3810.87,3829.56,3802.49,3812.66
2022-01-02 22:00:00,3812.65,3835.0,3810.92,3829.58
2022-01-02 23:00:00,3829.58,3841.66,3821.28,3828.87
2022-01-03 00:00:00,3828.93,3829.72,3806.88,3808.27
2022-01-03 01:00:00,3808.26,3811.45,3795.38,3806.15
2022-01-03 02:00:00,3806.15,3806.44,3785.49,3798.34
2022-01-03 03:00:00,3798.24,3808.6,3776.0,3786.0
2022-01-03 04:00:00,3785.68,3800.44,3781.0,3792.07
2022-01-03 05:00:00,3792.07,3824.42,3791.15,3812.77
2022-01-03 06:00:00,3812.77,3817.53,3800.15,3803.51
2022-01-03 07:00:00,3803.37,3810.48,3799.29,3808.86
2022-01-03 08:00:00,3808.85,3822.58,3805.35,3808.07
2022-01-03 09:00:00,3808.07,3818.97,3791.46,3809.37
2022-01-03 10:00:00,3809.39,3830.99,3809.11,3824.14
2022-01-03 11:00:00,3824.08,3844.11,3823.83,3835.69
2022-01-03 12:00:00,3835.68,3839.37,3816.88,3819.46
2022-01-03 13:00:00,3819.5,3831.29,3818.85,3819.35
2022-01-03 14:00:00,3819.4,3851.66,3803.08,3804.37
2022-01-03 15:00:00,3804.38,3814.67,3775.87,3783.21
2022-01-03 16:00:00,3782.7,3794.86,3734.79,3748.93
2022-01-03 17:00:00,3748.86,3775.81,3743.68,3761.02
2022-01-03 18:00:00,3760.96,3771.27,3745.75,3752.77
2022-01-03 19:00:00,3752.77,3763.59,3738.95,3738.95
2022-01-03 20:00:00,3738.84,3742.75,3681.62,3699.44
2022-01-03 21:00:00,3699.5,3734.39,3693.8,3723.99
2022-01-03 22:00:00,3723.84,3771.37,3722.68,3751.62
2022-01-03 23:00:00,3752.0,3778.0,3746.19,3766.04
2022-01-04 00:00:00,3766.01,3774.38,3736.2,3742.6
2022-01-04 01:00:00,3743.05,3758.97,3728.0,3732.96
2022-01-04 02:00:00,3732.94,3740.47,3714.22,3726.66
2022-01-04 03:00:00,3726.53,3749.93,3719.26,3744.46
2022-01-04 04:00:00,3744.45,3753.87,3730.02,3731.4
2022-01-04 05:00:00,3731.4,3748.13,3726.74,3743.16
2022-01-04 06:00:00,3743.12,3756.57,3735.07,3753.75
2022-01-04 07:00:00,3754.15,3764.88,3746.94,3764.67
2022-01-04 08:00:00,3764.53,3780.97,3757.94,3770.77
