datetime,FARMBUSD_open,FARMBUSD_high,FARMBUSD_low,FARMBUSD_close
2022-01-01 00:00:00,152.1,159.1,151.2,157.1
2022-01-01 01:00:00,157.3,157.3,152.7,154.0
2022-01-01 02:00:00,154.0,158.0,153.1,157.4
2022-01-01 03:00:00,157.0,157.4,154.0,156.4
2022-01-01 04:00:00,156.5,179.8,156.0,176.0
2022-01-01 05:00:00,176.4,183.6,166.9,179.6
2022-01-01 06:00:00,179.6,218.4,176.3,198.7
2022-01-01 07:00:00,198.7,219.0,192.7,202.7
2022-01-01 08:00:00,202.6,212.2,194.3,199.6
2022-01-01 09:00:00,200.0,207.9,192.9,207.9
2022-01-01 10:00:00,207.7,208.0,196.9,200.8
2022-01-01 11:00:00,200.8,201.3,185.9,188.0
2022-01-01 12:00:00,188.1,196.9,187.0,189.3
2022-01-01 13:00:00,189.6,194.0,181.2,192.8
2022-01-01 14:00:00,193.0,204.7,189.0,203.2
2022-01-01 15:00:00,203.0,203.6,194.0,197.8
2022-01-01 16:00:00,198.0,200.0,191.8,193.6
2022-01-01 17:00:00,193.1,196.8,185.3,191.1
2022-01-01 18:00:00,191.1,194.6,187.4,193.0
2022-01-01 19:00:00,193.3,193.5,182.9,183.7
2022-01-01 20:00:00,183.1,187.2,181.1,182.3
2022-01-01 21:00:00,182.0,191.6,181.2,189.1
2022-01-01 22:00:00,189.1,190.1,184.1,186.3
2022-01-01 23:00:00,186.3,191.0,183.0,185.5
2022-01-02 00:00:00,185.3,186.6,182.9,186.0
2022-01-02 01:00:00,185.9,197.7,185.9,195.0
2022-01-02 02:00:00,195.0,210.0,189.0,208.8
2022-01-02 03:00:00,208.5,214.5,194.1,196.9
2022-01-02 04:00:00,196.9,199.0,190.7,191.6
2022-01-02 05:00:00,191.9,193.6,187.2,188.1
2022-01-02 06:00:00,188.1,190.8,184.5,187.8
2022-01-02 07:00:00,187.9,191.3,184.5,191.3
2022-01-02 08:00:00,191.1,192.5,184.0,184.3
2022-01-02 09:00:00,184.3,188.6,182.1,183.7
2022-01-02 10:00:00,184.2,187.3,182.2,184.5
2022-01-02 11:00:00,184.6,189.5,184.2,186.4
2022-01-02 12:00:00,186.4,187.1,183.5,183.9
2022-01-02 13:00:00,183.8,186.0,180.9,182.0
2022-01-02 14:00:00,181.6,181.6,176.1,179.1
2022-01-02 15:00:00,179.2,179.6,174.6,177.3
2022-01-02 16:00:00,177.7,178.5,174.6,177.0
2022-01-02 17:00:00,177.0,181.4,175.6,181.0
2022-01-02 18:00:00,181.0,184.2,179.3,180.0
2022-01-02 19:00:00,179.8,180.0,174.4,174.6
2022-01-02 20:00:00,174.3,176.9,171.1,174.0
2022-01-02 21:00:00,174.0,176.4,172.0,175.6
2022-01-02 22:00:00,175.1,175.7,171.1,173.0
2022-01-02 23:00:00,172.7,175.5,172.5,173.9
2022-01-03 00:00:00,174.2,179.8,173.7,176.3
2022-01-03 01:00:00,176.9,184.5,174.1,182.7
2022-01-03 02:00:00,182.7,185.5,179.3,179.4
2022-01-03 03:00:00,179.7,182.3,179.3,179.6
2022-01-03 04:00:00,180.0,180.3,176.4,177.0
2022-01-03 05:00:00,177.0,179.5,175.9,175.9
2022-01-03 06:00:00,176.2,178.4,174.4,178.4
2022-01-03 07:00:00,178.3,178.4,174.7,176.5
2022-01-03 08:00:00,176.7,177.3,174.6,174.7
2022-01-03 09:00:00,174.9,175.9,173.1,173.5
2022-01-03 10:00:00,173.5,174.5,171.3,171.8
2022-01-03 11:00:00,171.8,173.0,167.1,168.5
2022-01-03 12:00:00,168.0,169.8,167.2,169.1
2022-01-03 13:00:00,169.0,173.6,168.3,172.3
2022-01-03 14:00:00,172.4,179.5,170.6,172.7
2022-01-03 15:00:00,173.3,177.5,169.0,171.6
2022-01-03 16:00:00,171.4,174.0,170.0,171.5
2022-01-03 17:00:00,171.2,171.7,169.0,170.1
2022-01-03 18:00:00,170.0,171.8,169.0,170.8
2022-01-03 19:00:00,170.6,170.6,165.4,166.2
2022-01-03 20:00:00,166.0,166.9,163.0,164.4
2022-01-03 21:00:00,164.0,174.0,162.2,171.2
2022-01-03 22:00:00,172.0,178.0,170.3,172.0
2022-01-03 23:00:00,171.5,173.5,168.8,171.5
2022-01-04 00:00:00,171.6,175.9,169.7,170.7
