datetime,FETBUSD_open,FETBUSD_high,FETBUSD_low,FETBUSD_close
2022-01-01 00:00:00,0.5024,0.5132,0.5015,0.509
2022-01-01 01:00:00,0.5091,0.5142,0.5065,0.5065
2022-01-01 02:00:00,0.5079,0.51,0.5061,0.51
2022-01-01 03:00:00,0.5082,0.5092,0.5053,0.5068
2022-01-01 04:00:00,0.5058,0.508,0.5034,0.5053
2022-01-01 05:00:00,0.5059,0.509,0.5014,0.5088
2022-01-01 06:00:00,0.5069,0.5069,0.5018,0.5018
2022-01-01 07:00:00,0.5034,0.509,0.5034,0.5085
2022-01-01 08:00:00,0.5093,0.514,0.508,0.5105
2022-01-01 09:00:00,0.5109,0.5139,0.51,0.5127
2022-01-01 10:00:00,0.5127,0.5196,0.5122,0.5125
2022-01-01 11:00:00,0.514,0.5199,0.514,0.5157
2022-01-01 12:00:00,0.5172,0.5243,0.5172,0.5243
2022-01-01 13:00:00,0.5234,0.5277,0.5206,0.5221
2022-01-01 14:00:00,0.522,0.5234,0.5165,0.5187
2022-01-01 15:00:00,0.5202,0.5243,0.5202,0.5233
2022-01-01 16:00:00,0.5241,0.5264,0.5167,0.5193
2022-01-01 17:00:00,0.5207,0.5219,0.517,0.5181
2022-01-01 18:00:00,0.5169,0.5237,0.5165,0.5237
2022-01-01 19:00:00,0.5237,0.5264,0.5197,0.5241
2022-01-01 20:00:00,0.5249,0.5331,0.5248,0.5295
2022-01-01 21:00:00,0.5287,0.5321,0.5263,0.5316
2022-01-01 22:00:00,0.5316,0.5316,0.5245,0.5253
2022-01-01 23:00:00,0.5259,0.5284,0.5194,0.5259
2022-01-02 00:00:00,0.5251,0.5282,0.5212,0.5279
2022-01-02 01:00:00,0.5279,0.5282,0.5236,0.5279
2022-01-02 02:00:00,0.5272,0.528,0.522,0.5231
2022-01-02 03:00:00,0.5226,0.5254,0.5209,0.5254
2022-01-02 04:00:00,0.5256,0.5341,0.525,0.5328
2022-01-02 05:00:00,0.5321,0.5345,0.5311,0.5311
2022-01-02 06:00:00,0.5331,0.5343,0.529,0.529
2022-01-02 07:00:00,0.5294,0.5335,0.5255,0.5305
2022-01-02 08:00:00,0.5312,0.5371,0.5308,0.5347
2022-01-02 09:00:00,0.5343,0.5583,0.5341,0.5481
2022-01-02 10:00:00,0.5476,0.5503,0.54,0.5438
2022-01-02 11:00:00,0.5434,0.5555,0.5434,0.5514
2022-01-02 12:00:00,0.5554,0.5559,0.5475,0.5476
2022-01-02 13:00:00,0.5481,0.5492,0.5322,0.5443
2022-01-02 14:00:00,0.5451,0.5539,0.5407,0.5514
2022-01-02 15:00:00,0.5515,0.5575,0.5481,0.5539
2022-01-02 16:00:00,0.5532,0.5569,0.5497,0.5565
2022-01-02 17:00:00,0.5552,0.5697,0.5538,0.563
2022-01-02 18:00:00,0.5648,0.5682,0.5641,0.5662
2022-01-02 19:00:00,0.5679,0.5689,0.5568,0.5568
2022-01-02 20:00:00,0.5606,0.5606,0.5554,0.557
2022-01-02 21:00:00,0.5579,0.5579,0.5508,0.552
2022-01-02 22:00:00,0.5547,0.5553,0.5469,0.5485
2022-01-02 23:00:00,0.5503,0.5598,0.5503,0.5541
2022-01-03 00:00:00,0.5551,0.5608,0.5503,0.5608
2022-01-03 01:00:00,0.561,0.5611,0.551,0.551
2022-01-03 02:00:00,0.5514,0.5553,0.55,0.5538
