datetime,FETUSD_open,FETUSD_high,FETUSD_low,FETUSD_close
2022-01-01 00:00:00,0.5022,0.5129,0.5019,0.512
2022-01-01 01:00:00,0.5112,0.5128,0.5065,0.5094
2022-01-01 02:00:00,0.5089,0.5119,0.5072,0.5074
2022-01-01 03:00:00,0.5073,0.5093,0.5043,0.5043
2022-01-01 04:00:00,0.5042,0.5065,0.5003,0.5021
2022-01-01 05:00:00,0.5018,0.5132,0.5003,0.5088
2022-01-01 06:00:00,0.5089,0.5149,0.5062,0.5065
2022-01-01 07:00:00,0.5066,0.5098,0.5059,0.5092
2022-01-01 08:00:00,0.5092,0.5096,0.505,0.5061
2022-01-01 09:00:00,0.5059,0.5083,0.5027,0.5054
2022-01-01 10:00:00,0.5054,0.5093,0.5012,0.5072
2022-01-01 11:00:00,0.5073,0.5078,0.5014,0.5019
2022-01-01 12:00:00,0.502,0.5094,0.5019,0.509
2022-01-01 13:00:00,0.5089,0.5135,0.5074,0.5103
2022-01-01 14:00:00,0.5103,0.5141,0.5097,0.5129
2022-01-01 15:00:00,0.5126,0.5198,0.5122,0.513
2022-01-01 16:00:00,0.513,0.5199,0.513,0.5158
2022-01-01 17:00:00,0.5159,0.5249,0.5159,0.5243
2022-01-01 18:00:00,0.5243,0.5277,0.5206,0.5222
2022-01-01 19:00:00,0.5224,0.5241,0.5162,0.5196
2022-01-01 20:00:00,0.5196,0.5243,0.5196,0.5229
2022-01-01 21:00:00,0.5229,0.5266,0.5166,0.5198
2022-01-01 22:00:00,0.5204,0.5224,0.5169,0.5177
2022-01-01 23:00:00,0.5178,0.5248,0.5159,0.5229
2022-01-02 00:00:00,0.5234,0.5267,0.52,0.5241
2022-01-02 01:00:00,0.5241,0.5361,0.5239,0.5281
2022-01-02 02:00:00,0.5281,0.5347,0.5264,0.5321
2022-01-02 03:00:00,0.5319,0.5334,0.5245,0.5251
2022-01-02 04:00:00,0.5255,0.5289,0.52,0.5256
2022-01-02 05:00:00,0.5252,0.5287,0.5213,0.5283
2022-01-02 06:00:00,0.5282,0.5286,0.5235,0.5274
2022-01-02 07:00:00,0.5273,0.5285,0.5218,0.5227
2022-01-02 08:00:00,0.5227,0.5258,0.52,0.5255
2022-01-02 09:00:00,0.5254,0.5341,0.5249,0.5331
2022-01-02 10:00:00,0.5327,0.5346,0.532,0.5321
2022-01-02 11:00:00,0.5321,0.534,0.5284,0.529
2022-01-02 12:00:00,0.5286,0.5339,0.5259,0.531
2022-01-02 13:00:00,0.531,0.5373,0.5304,0.5347
2022-01-02 14:00:00,0.5347,0.5598,0.5341,0.5473
2022-01-02 15:00:00,0.5473,0.5513,0.5376,0.5421
2022-01-02 16:00:00,0.5423,0.5547,0.542,0.5532
2022-01-02 17:00:00,0.5537,0.5565,0.5473,0.5497
2022-01-02 18:00:00,0.5493,0.5495,0.5331,0.5454
2022-01-02 19:00:00,0.5456,0.5542,0.5406,0.553
2022-01-02 20:00:00,0.5514,0.5586,0.5487,0.5532
2022-01-02 21:00:00,0.5532,0.5569,0.5494,0.5551
2022-01-02 22:00:00,0.5547,0.5697,0.554,0.5627
2022-01-02 23:00:00,0.5631,0.5689,0.5631,0.5664
2022-01-03 00:00:00,0.5664,0.5697,0.5566,0.5568
2022-01-03 01:00:00,0.5572,0.5609,0.5547,0.5573
2022-01-03 02:00:00,0.5573,0.5575,0.5499,0.5537
2022-01-03 03:00:00,0.5536,0.5552,0.5466,0.549
2022-01-03 04:00:00,0.5487,0.5597,0.5485,0.5542
