datetime,FIDABUSD_open,FIDABUSD_high,FIDABUSD_low,FIDABUSD_close
2022-01-01 00:00:00,3.645,3.709,3.645,3.673
2022-01-01 01:00:00,3.679,3.695,3.658,3.658
2022-01-01 02:00:00,3.667,3.691,3.665,3.691
2022-01-01 03:00:00,3.683,3.71,3.681,3.686
2022-01-01 04:00:00,3.681,3.682,3.657,3.668
2022-01-01 05:00:00,3.678,3.692,3.643,3.643
2022-01-01 06:00:00,3.652,3.664,3.636,3.653
2022-01-01 07:00:00,3.638,3.664,3.637,3.653
2022-01-01 08:00:00,3.654,3.678,3.653,3.677
2022-01-01 09:00:00,3.67,3.678,3.66,3.667
2022-01-01 10:00:00,3.671,3.697,3.671,3.693
2022-01-01 11:00:00,3.693,3.731,3.69,3.719
2022-01-01 12:00:00,3.717,3.741,3.713,3.738
2022-01-01 13:00:00,3.73,3.73,3.719,3.73
2022-01-01 14:00:00,3.745,3.782,3.727,3.775
2022-01-01 15:00:00,3.776,3.798,3.761,3.773
2022-01-01 16:00:00,3.776,3.804,3.775,3.786
2022-01-01 17:00:00,3.786,3.921,3.776,3.828
2022-01-01 18:00:00,3.824,3.869,3.794,3.865
2022-01-01 19:00:00,3.85,3.89,3.829,3.879
2022-01-01 20:00:00,3.866,3.868,3.83,3.83
2022-01-01 21:00:00,3.83,3.835,3.78,3.787
2022-01-01 22:00:00,3.782,3.782,3.745,3.751
2022-01-01 23:00:00,3.753,3.755,3.701,3.721
2022-01-02 00:00:00,3.722,3.724,3.713,3.716
2022-01-02 01:00:00,3.714,3.721,3.7,3.7
2022-01-02 02:00:00,3.698,3.706,3.689,3.689
2022-01-02 03:00:00,3.689,3.692,3.662,3.662
2022-01-02 04:00:00,3.662,3.693,3.654,3.687
2022-01-02 05:00:00,3.685,3.688,3.676,3.676
2022-01-02 06:00:00,3.675,3.683,3.665,3.665
2022-01-02 07:00:00,3.67,3.685,3.665,3.677
2022-01-02 08:00:00,3.676,3.68,3.657,3.662
2022-01-02 09:00:00,3.666,3.666,3.651,3.651
2022-01-02 10:00:00,3.652,3.661,3.643,3.661
2022-01-02 11:00:00,3.656,3.704,3.656,3.687
2022-01-02 12:00:00,3.7,3.703,3.673,3.673
2022-01-02 13:00:00,3.685,3.685,3.621,3.641
2022-01-02 14:00:00,3.658,3.669,3.639,3.639
2022-01-02 15:00:00,3.642,3.658,3.639,3.658
2022-01-02 16:00:00,3.652,3.664,3.647,3.65
2022-01-02 17:00:00,3.66,3.681,3.66,3.671
2022-01-02 18:00:00,3.682,3.682,3.66,3.66
2022-01-02 19:00:00,3.669,3.669,3.636,3.66
2022-01-02 20:00:00,3.651,3.654,3.645,3.646
2022-01-02 21:00:00,3.648,3.649,3.619,3.619
2022-01-02 22:00:00,3.618,3.626,3.583,3.6
2022-01-02 23:00:00,3.599,3.599,3.579,3.579
2022-01-03 00:00:00,3.584,3.623,3.582,3.605
2022-01-03 01:00:00,3.603,3.605,3.59,3.598
2022-01-03 02:00:00,3.589,3.597,3.586,3.59
2022-01-03 03:00:00,3.59,3.605,3.588,3.588
2022-01-03 04:00:00,3.594,3.595,3.557,3.574
2022-01-03 05:00:00,3.584,3.588,3.566,3.582
2022-01-03 06:00:00,3.585,3.612,3.585,3.612
2022-01-03 07:00:00,3.601,3.613,3.599,3.603
2022-01-03 08:00:00,3.607,3.64,3.6,3.627
2022-01-03 09:00:00,3.626,3.644,3.603,3.613
2022-01-03 10:00:00,3.613,3.615,3.583,3.583
2022-01-03 11:00:00,3.582,3.616,3.564,3.612
2022-01-03 12:00:00,3.619,3.661,3.607,3.65
2022-01-03 13:00:00,3.657,3.667,3.641,3.657
2022-01-03 14:00:00,3.657,3.66,3.647,3.647
2022-01-03 15:00:00,3.648,3.654,3.58,3.622
2022-01-03 16:00:00,3.625,3.647,3.614,3.63
2022-01-03 17:00:00,3.624,3.655,3.619,3.651
2022-01-03 18:00:00,3.644,3.661,3.636,3.652
2022-01-03 19:00:00,3.652,3.652,3.61,3.61
2022-01-03 20:00:00,3.61,3.628,3.606,3.615
2022-01-03 21:00:00,3.618,3.618,3.573,3.586
2022-01-03 22:00:00,3.568,3.572,3.557,3.57
2022-01-03 23:00:00,3.566,3.569,3.544,3.547
