datetime,FILBUSD_open,FILBUSD_high,FILBUSD_low,FILBUSD_close
2022-01-01 00:00:00,34.5,35.01,34.43,34.8
2022-01-01 01:00:00,34.74,34.9,34.56,34.59
2022-01-01 02:00:00,34.62,34.91,34.58,34.86
2022-01-01 03:00:00,34.84,34.91,34.75,34.77
2022-01-01 04:00:00,34.77,34.79,34.55,34.6
2022-01-01 05:00:00,34.68,34.75,34.31,34.55
2022-01-01 06:00:00,34.55,34.65,34.5,34.55
2022-01-01 07:00:00,34.54,34.87,34.54,34.85
2022-01-01 08:00:00,34.88,34.91,34.76,34.83
2022-01-01 09:00:00,34.83,34.93,34.76,34.93
2022-01-01 10:00:00,34.87,35.53,34.87,35.37
2022-01-01 11:00:00,35.39,35.58,35.26,35.28
2022-01-01 12:00:00,35.31,35.61,35.18,35.56
2022-01-01 13:00:00,35.57,35.6,35.37,35.4
2022-01-01 14:00:00,35.45,35.48,35.27,35.3
2022-01-01 15:00:00,35.31,35.54,35.29,35.4
2022-01-01 16:00:00,35.4,35.53,35.29,35.35
2022-01-01 17:00:00,35.34,35.56,35.31,35.55
2022-01-01 18:00:00,35.52,35.97,35.47,35.9
2022-01-01 19:00:00,35.9,36.03,35.74,35.91
2022-01-01 20:00:00,35.89,36.29,35.69,35.69
2022-01-01 21:00:00,35.69,35.74,35.53,35.69
2022-01-01 22:00:00,35.68,35.77,35.56,35.69
2022-01-01 23:00:00,35.63,35.77,35.29,35.35
2022-01-02 00:00:00,35.43,35.55,35.41,35.47
2022-01-02 01:00:00,35.5,35.61,35.36,35.36
2022-01-02 02:00:00,35.38,35.51,35.35,35.44
2022-01-02 03:00:00,35.38,35.86,35.21,35.55
2022-01-02 04:00:00,35.52,35.69,35.47,35.57
2022-01-02 05:00:00,35.59,35.65,35.46,35.47
2022-01-02 06:00:00,35.46,35.64,35.46,35.57
2022-01-02 07:00:00,35.57,35.8,35.36,35.68
2022-01-02 08:00:00,35.68,35.69,35.52,35.56
2022-01-02 09:00:00,35.57,35.8,35.48,35.54
2022-01-02 10:00:00,35.58,35.92,35.52,35.72
2022-01-02 11:00:00,35.79,36.32,35.78,36.29
2022-01-02 12:00:00,36.29,36.52,36.15,36.28
2022-01-02 13:00:00,36.29,36.33,35.75,35.93
2022-01-02 14:00:00,35.93,36.11,35.83,35.86
2022-01-02 15:00:00,35.82,35.94,35.67,35.8
2022-01-02 16:00:00,35.75,35.81,35.65,35.67
2022-01-02 17:00:00,35.68,35.95,35.68,35.95
2022-01-02 18:00:00,35.95,35.97,35.73,35.75
2022-01-02 19:00:00,35.75,35.76,35.41,35.45
2022-01-02 20:00:00,35.45,35.59,35.28,35.44
2022-01-02 21:00:00,35.45,35.48,35.3,35.4
2022-01-02 22:00:00,35.4,35.45,34.73,35.04
2022-01-02 23:00:00,35.03,35.2,35.0,35.02
2022-01-03 00:00:00,35.02,35.3,35.01,35.24
2022-01-03 01:00:00,35.25,35.33,35.07,35.16
2022-01-03 02:00:00,35.2,35.23,35.13,35.17
2022-01-03 03:00:00,35.21,35.28,35.08,35.17
2022-01-03 04:00:00,35.19,35.25,34.93,35.16
2022-01-03 05:00:00,35.16,35.41,35.16,35.24
2022-01-03 06:00:00,35.29,35.51,35.25,35.47
2022-01-03 07:00:00,35.45,35.54,35.23,35.26
2022-01-03 08:00:00,35.3,35.4,35.25,35.31
2022-01-03 09:00:00,35.3,35.54,35.19,35.29
2022-01-03 10:00:00,35.31,35.49,35.14,35.18
2022-01-03 11:00:00,35.2,35.28,34.63,34.88
2022-01-03 12:00:00,34.87,35.02,34.67,34.89
2022-01-03 13:00:00,34.86,35.0,34.79,34.84
2022-01-03 14:00:00,34.88,35.02,34.74,34.74
2022-01-03 15:00:00,34.73,34.83,34.39,34.65
2022-01-03 16:00:00,34.65,34.88,34.57,34.8
2022-01-03 17:00:00,34.74,35.13,34.74,34.94
2022-01-03 18:00:00,35.0,35.13,34.85,35.09
2022-01-03 19:00:00,35.11,35.11,34.69,34.86
2022-01-03 20:00:00,34.81,35.07,34.69,34.76
2022-01-03 21:00:00,34.79,34.94,34.66,34.76
2022-01-03 22:00:00,34.79,35.24,34.41,35.19
2022-01-03 23:00:00,35.13,35.17,34.77,34.77
2022-01-04 00:00:00,34.76,34.95,34.66,34.87
2022-01-04 01:00:00,34.79,34.96,34.74,34.96
2022-01-04 02:00:00,34.97,35.03,34.81,35.03
2022-01-04 03:00:00,35.04,35.07,34.91,35.02
2022-01-04 04:00:00,35.02,35.23,34.71,34.78
2022-01-04 05:00:00,34.82,35.17,34.69,35.1
2022-01-04 06:00:00,35.14,36.32,35.14,35.92
2022-01-04 07:00:00,35.96,36.15,35.66,35.98
2022-01-04 08:00:00,36.04,36.68,35.76,36.47
2022-01-04 09:00:00,36.5,38.06,36.5,37.51
2022-01-04 10:00:00,37.47,38.22,37.32,37.41
2022-01-04 11:00:00,37.45,38.03,37.14,37.79
2022-01-04 12:00:00,37.78,38.14,37.66,37.68
2022-01-04 13:00:00,37.7,38.09,36.46,36.66
2022-01-04 14:00:00,36.64,37.2,36.36,36.82
2022-01-04 15:00:00,36.79,37.13,36.66,37.05
2022-01-04 16:00:00,37.02,37.06,36.7,36.94
2022-01-04 17:00:00,36.91,36.91,36.51,36.61
2022-01-04 18:00:00,36.57,36.71,36.01,36.15
2022-01-04 19:00:00,36.15,36.78,35.86,36.72
2022-01-04 20:00:00,36.74,38.1,36.65,37.62
2022-01-04 21:00:00,37.64,38.5,37.64,37.92
2022-01-04 22:00:00,37.9,38.03,37.63,37.91
2022-01-04 23:00:00,37.96,37.99,37.53,37.62
2022-01-05 00:00:00,37.66,37.68,37.28,37.38
2022-01-05 01:00:00,37.35,37.35,36.74,37.24
2022-01-05 02:00:00,37.24,37.33,37.03,37.31
2022-01-05 03:00:00,37.27,37.55,37.02,37.46
2022-01-05 04:00:00,37.46,37.65,37.33,37.54
2022-01-05 05:00:00,37.5,37.66,37.29,37.42
2022-01-05 06:00:00,37.41,37.46,36.71,36.95
2022-01-05 07:00:00,36.95,37.08,36.4,36.78
2022-01-05 08:00:00,36.77,37.2,36.73,37.09
2022-01-05 09:00:00,37.07,37.26,36.74,37.16
2022-01-05 10:00:00,37.11,37.22,36.86,37.12
2022-01-05 11:00:00,37.11,37.17,36.67,36.76
2022-01-05 12:00:00,36.74,36.97,36.25,36.26
2022-01-05 13:00:00,36.24,36.77,36.0,36.48
2022-01-05 14:00:00,36.47,36.55,34.72,34.96
2022-01-05 15:00:00,34.94,35.11,34.05,34.44
2022-01-05 16:00:00,34.4,34.82,34.03,34.21
2022-01-05 17:00:00,34.15,34.26,31.07,33.21
2022-01-05 18:00:00,33.21,33.5,32.92,33.14
2022-01-05 19:00:00,33.17,33.46,32.96,33.39
2022-01-05 20:00:00,33.42,33.49,32.97,33.26
2022-01-05 21:00:00,33.23,33.27,32.89,32.97
2022-01-05 22:00:00,32.97,33.14,32.43,32.49
