datetime,FILUSD_open,FILUSD_high,FILUSD_low,FILUSD_close
2022-01-01 00:00:00,34.27,34.7,34.26,34.63
2022-01-01 01:00:00,34.61,34.79,34.53,34.62
2022-01-01 02:00:00,34.64,34.89,34.64,34.83
2022-01-01 03:00:00,34.83,34.89,34.66,34.69
2022-01-01 04:00:00,34.69,34.77,34.41,34.47
2022-01-01 05:00:00,34.47,35.01,34.43,34.78
2022-01-01 06:00:00,34.78,34.91,34.57,34.6
2022-01-01 07:00:00,34.62,34.91,34.59,34.84
2022-01-01 08:00:00,34.85,34.91,34.74,34.76
2022-01-01 09:00:00,34.77,34.8,34.53,34.69
2022-01-01 10:00:00,34.69,34.74,34.31,34.53
2022-01-01 11:00:00,34.55,34.66,34.5,34.53
2022-01-01 12:00:00,34.55,34.87,34.52,34.85
2022-01-01 13:00:00,34.88,34.92,34.76,34.81
2022-01-01 14:00:00,34.82,34.94,34.76,34.89
2022-01-01 15:00:00,34.89,35.53,34.86,35.39
2022-01-01 16:00:00,35.41,35.6,35.26,35.27
2022-01-01 17:00:00,35.28,35.61,35.18,35.57
2022-01-01 18:00:00,35.59,35.62,35.37,35.43
2022-01-01 19:00:00,35.45,35.48,35.26,35.33
2022-01-01 20:00:00,35.33,35.55,35.3,35.41
2022-01-01 21:00:00,35.43,35.52,35.28,35.34
2022-01-01 22:00:00,35.36,35.55,35.29,35.54
2022-01-01 23:00:00,35.54,35.98,35.44,35.88
2022-01-02 00:00:00,35.93,36.05,35.73,35.9
2022-01-02 01:00:00,35.9,36.25,35.68,35.7
2022-01-02 02:00:00,35.69,35.75,35.52,35.66
2022-01-02 03:00:00,35.66,35.77,35.55,35.64
2022-01-02 04:00:00,35.62,35.77,35.28,35.33
2022-01-02 05:00:00,35.35,35.6,35.34,35.51
2022-01-02 06:00:00,35.51,35.6,35.35,35.37
2022-01-02 07:00:00,35.35,35.53,35.34,35.41
2022-01-02 08:00:00,35.4,35.61,35.21,35.54
2022-01-02 09:00:00,35.52,35.68,35.47,35.6
2022-01-02 10:00:00,35.58,35.66,35.45,35.48
2022-01-02 11:00:00,35.48,35.64,35.46,35.57
2022-01-02 12:00:00,35.58,35.8,35.35,35.69
2022-01-02 13:00:00,35.67,35.69,35.53,35.53
2022-01-02 14:00:00,35.53,35.83,35.48,35.56
2022-01-02 15:00:00,35.58,35.91,35.5,35.76
2022-01-02 16:00:00,35.79,36.34,35.78,36.34
2022-01-02 17:00:00,36.35,36.49,36.15,36.27
2022-01-02 18:00:00,36.27,36.32,35.74,35.94
2022-01-02 19:00:00,35.93,36.08,35.82,35.85
2022-01-02 20:00:00,35.84,35.95,35.67,35.76
2022-01-02 21:00:00,35.75,35.82,35.64,35.66
2022-01-02 22:00:00,35.67,35.97,35.67,35.97
2022-01-02 23:00:00,35.97,35.98,35.72,35.72
2022-01-03 00:00:00,35.7,35.77,35.4,35.42
2022-01-03 01:00:00,35.41,35.59,35.25,35.45
2022-01-03 02:00:00,35.44,35.48,35.3,35.4
2022-01-03 03:00:00,35.4,35.47,34.81,35.05
2022-01-03 04:00:00,35.04,35.22,35.01,35.02
2022-01-03 05:00:00,35.02,35.32,35.02,35.26
2022-01-03 06:00:00,35.26,35.33,35.07,35.18
2022-01-03 07:00:00,35.18,35.24,35.11,35.2
2022-01-03 08:00:00,35.21,35.27,35.08,35.19
2022-01-03 09:00:00,35.24,35.26,34.92,35.17
2022-01-03 10:00:00,35.15,35.41,35.15,35.27
2022-01-03 11:00:00,35.29,35.5,35.29,35.46
2022-01-03 12:00:00,35.44,35.54,35.23,35.26
2022-01-03 13:00:00,35.31,35.4,35.26,35.29
2022-01-03 14:00:00,35.29,35.52,35.18,35.29
2022-01-03 15:00:00,35.27,35.5,35.14,35.21
2022-01-03 16:00:00,35.21,35.28,34.65,34.88
2022-01-03 17:00:00,34.87,35.03,34.67,34.87
