datetime,FIOBUSD_open,FIOBUSD_high,FIOBUSD_low,FIOBUSD_close
2022-01-01 00:00:00,0.1606,0.1624,0.1606,0.1614
2022-01-01 01:00:00,0.1613,0.1617,0.1607,0.1608
2022-01-01 02:00:00,0.1608,0.1628,0.1604,0.1616
2022-01-01 03:00:00,0.1617,0.162,0.1614,0.1616
2022-01-01 04:00:00,0.1615,0.1615,0.1604,0.1606
2022-01-01 05:00:00,0.1608,0.1609,0.1588,0.1594
2022-01-01 06:00:00,0.1594,0.1598,0.1588,0.1595
2022-01-01 07:00:00,0.1593,0.1601,0.1593,0.1599
2022-01-01 08:00:00,0.16,0.1603,0.1595,0.1597
2022-01-01 09:00:00,0.1596,0.1596,0.1588,0.1591
2022-01-01 10:00:00,0.1592,0.1605,0.1586,0.1595
2022-01-01 11:00:00,0.1594,0.1605,0.1592,0.1602
2022-01-01 12:00:00,0.1598,0.1626,0.1595,0.1617
2022-01-01 13:00:00,0.1619,0.1643,0.1616,0.1626
2022-01-01 14:00:00,0.1626,0.1626,0.1616,0.162
2022-01-01 15:00:00,0.1622,0.1622,0.1614,0.1614
2022-01-01 16:00:00,0.1615,0.1638,0.1611,0.162
2022-01-01 17:00:00,0.162,0.1625,0.1615,0.1615
2022-01-01 18:00:00,0.1615,0.1621,0.161,0.1619
2022-01-01 19:00:00,0.1617,0.1621,0.161,0.1617
2022-01-01 20:00:00,0.1616,0.1616,0.16,0.16
2022-01-01 21:00:00,0.1599,0.1599,0.1596,0.1596
2022-01-01 22:00:00,0.1599,0.1609,0.1599,0.1606
2022-01-01 23:00:00,0.1607,0.1609,0.1591,0.1594
2022-01-02 00:00:00,0.1594,0.1598,0.1592,0.1597
2022-01-02 01:00:00,0.1596,0.1602,0.1593,0.1593
2022-01-02 02:00:00,0.1594,0.1597,0.1592,0.1594
2022-01-02 03:00:00,0.1593,0.1601,0.1591,0.1599
2022-01-02 04:00:00,0.1599,0.1614,0.1598,0.1611
2022-01-02 05:00:00,0.1609,0.1632,0.1604,0.162
2022-01-02 06:00:00,0.1618,0.163,0.161,0.1628
2022-01-02 07:00:00,0.1626,0.1628,0.1614,0.1628
2022-01-02 08:00:00,0.1625,0.163,0.1609,0.1609
2022-01-02 09:00:00,0.161,0.1614,0.1602,0.1614
2022-01-02 10:00:00,0.1611,0.1622,0.1611,0.1622
2022-01-02 11:00:00,0.1624,0.165,0.1618,0.1647
2022-01-02 12:00:00,0.1646,0.1646,0.162,0.1621
2022-01-02 13:00:00,0.1621,0.1621,0.159,0.1602
2022-01-02 14:00:00,0.1602,0.162,0.1599,0.1608
2022-01-02 15:00:00,0.1606,0.1611,0.1602,0.1609
2022-01-02 16:00:00,0.1608,0.1618,0.1599,0.1604
2022-01-02 17:00:00,0.1604,0.1621,0.1599,0.1616
2022-01-02 18:00:00,0.1617,0.163,0.1611,0.1623
2022-01-02 19:00:00,0.1622,0.1626,0.1617,0.1617
2022-01-02 20:00:00,0.1614,0.1616,0.161,0.1613
2022-01-02 21:00:00,0.1611,0.1621,0.1611,0.1619
2022-01-02 22:00:00,0.1618,0.162,0.1605,0.1605
2022-01-02 23:00:00,0.1605,0.1606,0.1599,0.16
2022-01-03 00:00:00,0.1602,0.1606,0.16,0.1604
2022-01-03 01:00:00,0.1603,0.1606,0.159,0.159
2022-01-03 02:00:00,0.159,0.159,0.1578,0.1589
2022-01-03 03:00:00,0.1589,0.1601,0.1589,0.1594
2022-01-03 04:00:00,0.1596,0.1599,0.1587,0.1594
2022-01-03 05:00:00,0.1594,0.1607,0.1594,0.1606
2022-01-03 06:00:00,0.1607,0.1614,0.1605,0.1611
2022-01-03 07:00:00,0.1612,0.1617,0.1599,0.1599
2022-01-03 08:00:00,0.1601,0.1679,0.1599,0.1619
2022-01-03 09:00:00,0.1623,0.1629,0.1609,0.1611
2022-01-03 10:00:00,0.1612,0.1614,0.1604,0.1608
2022-01-03 11:00:00,0.1607,0.1609,0.1589,0.1601
2022-01-03 12:00:00,0.1598,0.1607,0.1598,0.1606
2022-01-03 13:00:00,0.1604,0.1605,0.1596,0.1603
2022-01-03 14:00:00,0.1604,0.1609,0.1599,0.1601
2022-01-03 15:00:00,0.1598,0.1602,0.1578,0.1585
2022-01-03 16:00:00,0.1583,0.1592,0.1577,0.1585
2022-01-03 17:00:00,0.1585,0.1593,0.1585,0.1589
2022-01-03 18:00:00,0.1591,0.1597,0.1589,0.1595
2022-01-03 19:00:00,0.1598,0.1602,0.1585,0.1585
2022-01-03 20:00:00,0.1584,0.1586,0.1574,0.1574
2022-01-03 21:00:00,0.1573,0.1574,0.1571,0.1571
2022-01-03 22:00:00,0.1571,0.1575,0.1566,0.157
2022-01-03 23:00:00,0.1573,0.1573,0.1563,0.1568
2022-01-04 00:00:00,0.1569,0.1589,0.1569,0.1587
2022-01-04 01:00:00,0.1583,0.1601,0.1583,0.1601
2022-01-04 02:00:00,0.1597,0.1597,0.157,0.1588
2022-01-04 03:00:00,0.1589,0.1592,0.1585,0.1585
2022-01-04 04:00:00,0.1588,0.1588,0.1568,0.1569
2022-01-04 05:00:00,0.1571,0.159,0.157,0.1586
2022-01-04 06:00:00,0.1586,0.1588,0.1575,0.1588
2022-01-04 07:00:00,0.1589,0.1593,0.1581,0.1586
2022-01-04 08:00:00,0.1588,0.1598,0.1585,0.1593
2022-01-04 09:00:00,0.1597,0.1611,0.159,0.1608
2022-01-04 10:00:00,0.1609,0.161,0.1589,0.1589
2022-01-04 11:00:00,0.1594,0.161,0.159,0.1608
2022-01-04 12:00:00,0.1609,0.1625,0.1605,0.1608
2022-01-04 13:00:00,0.1609,0.1613,0.1578,0.1578
2022-01-04 14:00:00,0.1577,0.1606,0.1565,0.1581
2022-01-04 15:00:00,0.1581,0.1597,0.1581,0.1595
