datetime,FISBUSD_open,FISBUSD_high,FISBUSD_low,FISBUSD_close
2022-01-01 00:00:00,1.1703,1.1899,1.1676,1.169
2022-01-01 01:00:00,1.1742,1.1742,1.1647,1.165
2022-01-01 02:00:00,1.165,1.1676,1.1586,1.1676
2022-01-01 03:00:00,1.1687,1.173,1.1667,1.173
2022-01-01 04:00:00,1.1712,1.1734,1.1606,1.1706
2022-01-01 05:00:00,1.1726,1.1805,1.1645,1.1744
2022-01-01 06:00:00,1.1742,1.1742,1.1645,1.1645
2022-01-01 07:00:00,1.17,1.17,1.1672,1.1673
2022-01-01 08:00:00,1.1658,1.1705,1.1631,1.1631
2022-01-01 09:00:00,1.1631,1.169,1.1631,1.1633
2022-01-01 10:00:00,1.1687,1.1805,1.1687,1.17
2022-01-01 11:00:00,1.1754,1.1796,1.1701,1.172
2022-01-01 12:00:00,1.1721,1.1885,1.172,1.183
2022-01-01 13:00:00,1.182,1.1864,1.1717,1.1864
2022-01-01 14:00:00,1.1834,1.1834,1.176,1.176
2022-01-01 15:00:00,1.1796,1.1848,1.1767,1.1808
2022-01-01 16:00:00,1.1851,1.1885,1.1818,1.1878
2022-01-01 17:00:00,1.183,1.1893,1.1772,1.1851
2022-01-01 18:00:00,1.1829,1.1829,1.176,1.1815
2022-01-01 19:00:00,1.1791,1.1798,1.1758,1.1764
2022-01-01 20:00:00,1.1766,1.1766,1.17,1.17
2022-01-01 21:00:00,1.1703,1.1713,1.17,1.1713
2022-01-01 22:00:00,1.1713,1.1713,1.17,1.17
2022-01-01 23:00:00,1.1724,1.1738,1.1546,1.1609
2022-01-02 00:00:00,1.1634,1.1652,1.1623,1.1651
2022-01-02 01:00:00,1.1669,1.17,1.1668,1.1668
2022-01-02 02:00:00,1.17,1.173,1.17,1.1725
2022-01-02 03:00:00,1.1725,1.1725,1.1707,1.1707
2022-01-02 04:00:00,1.1736,1.1796,1.1736,1.1749
2022-01-02 05:00:00,1.1751,1.1817,1.1751,1.1817
2022-01-02 06:00:00,1.1756,1.1817,1.1753,1.1798
2022-01-02 07:00:00,1.1814,1.1864,1.1799,1.185
2022-01-02 08:00:00,1.1876,1.2372,1.1858,1.1981
2022-01-02 09:00:00,1.2005,1.216,1.1905,1.1905
2022-01-02 10:00:00,1.1905,1.1959,1.184,1.184
2022-01-02 11:00:00,1.1863,1.2302,1.1863,1.2237
2022-01-02 12:00:00,1.2264,1.2266,1.1975,1.204
2022-01-02 13:00:00,1.2026,1.2026,1.16,1.1729
2022-01-02 14:00:00,1.1738,1.1743,1.1646,1.172
2022-01-02 15:00:00,1.1721,1.174,1.1681,1.174
2022-01-02 16:00:00,1.1733,1.177,1.1705,1.1759
2022-01-02 17:00:00,1.1765,1.1851,1.1761,1.1851
2022-01-02 18:00:00,1.1855,1.1906,1.1851,1.1906
2022-01-02 19:00:00,1.1906,1.1912,1.1754,1.1755
2022-01-02 20:00:00,1.1776,1.1787,1.1726,1.178
2022-01-02 21:00:00,1.174,1.1822,1.1676,1.1781
2022-01-02 22:00:00,1.1772,1.1772,1.1659,1.1659
2022-01-02 23:00:00,1.167,1.1683,1.1615,1.1615
2022-01-03 00:00:00,1.1615,1.1695,1.1564,1.1695
2022-01-03 01:00:00,1.1685,1.1706,1.1645,1.1645
2022-01-03 02:00:00,1.1646,1.1922,1.1645,1.1764
2022-01-03 03:00:00,1.1743,1.1864,1.1717,1.1834
2022-01-03 04:00:00,1.1795,1.1798,1.1719,1.1726
2022-01-03 05:00:00,1.1745,1.1882,1.1732,1.185
2022-01-03 06:00:00,1.185,1.2082,1.185,1.1948
2022-01-03 07:00:00,1.1948,1.2302,1.1852,1.2047
2022-01-03 08:00:00,1.2027,1.2266,1.1991,1.2159
2022-01-03 09:00:00,1.2142,1.2227,1.2053,1.2082
2022-01-03 10:00:00,1.2076,1.2445,1.2,1.2013
2022-01-03 11:00:00,1.2013,1.2013,1.1742,1.1882
2022-01-03 12:00:00,1.1882,1.1912,1.1845,1.191
2022-01-03 13:00:00,1.191,1.196,1.1736,1.1736
2022-01-03 14:00:00,1.1758,1.1798,1.1728,1.1728
2022-01-03 15:00:00,1.1728,1.1728,1.152,1.1679
2022-01-03 16:00:00,1.168,1.1845,1.1632,1.1758
2022-01-03 17:00:00,1.1794,1.1804,1.1727,1.1745
2022-01-03 18:00:00,1.1783,1.1821,1.1762,1.1806
2022-01-03 19:00:00,1.1749,1.1822,1.1746,1.1821
2022-01-03 20:00:00,1.1822,1.1851,1.1726,1.1735
2022-01-03 21:00:00,1.1726,1.1735,1.1637,1.1688
2022-01-03 22:00:00,1.1716,1.186,1.1716,1.186
2022-01-03 23:00:00,1.186,1.2184,1.1759,1.2052
2022-01-04 00:00:00,1.2053,1.2055,1.17,1.178
2022-01-04 01:00:00,1.1817,1.2029,1.1793,1.1904
2022-01-04 02:00:00,1.1959,1.1986,1.184,1.1854
2022-01-04 03:00:00,1.1932,1.2067,1.1921,1.1992
2022-01-04 04:00:00,1.2041,1.2099,1.1869,1.1889
2022-01-04 05:00:00,1.1888,1.2024,1.1825,1.1968
2022-01-04 06:00:00,1.1938,1.2024,1.1938,1.2024
2022-01-04 07:00:00,1.2001,1.22,1.2001,1.2145
2022-01-04 08:00:00,1.2144,1.2198,1.2035,1.2091
2022-01-04 09:00:00,1.2105,1.2199,1.2035,1.2162
2022-01-04 10:00:00,1.216,1.216,1.1957,1.1975
2022-01-04 11:00:00,1.1975,1.202,1.1965,1.202
2022-01-04 12:00:00,1.202,1.2057,1.1944,1.1944
2022-01-04 13:00:00,1.1944,1.2001,1.1736,1.1774
2022-01-04 14:00:00,1.1808,1.1958,1.1761,1.1878
2022-01-04 15:00:00,1.1902,1.1928,1.1848,1.1863
2022-01-04 16:00:00,1.182,1.1979,1.18,1.1908
2022-01-04 17:00:00,1.1902,1.1929,1.1774,1.1837
2022-01-04 18:00:00,1.1837,1.1845,1.1745,1.18
2022-01-04 19:00:00,1.1774,1.1944,1.1774,1.1944
2022-01-04 20:00:00,1.1931,1.1955,1.188,1.1898
2022-01-04 21:00:00,1.1955,1.197,1.1907,1.1907
2022-01-04 22:00:00,1.1942,1.1981,1.1924,1.1981
2022-01-04 23:00:00,1.1986,1.2052,1.191,1.191
2022-01-05 00:00:00,1.191,1.1911,1.188,1.1911
2022-01-05 01:00:00,1.1946,1.1981,1.1919,1.1951
2022-01-05 02:00:00,1.1997,1.1997,1.1952,1.1952
2022-01-05 03:00:00,1.1997,1.2191,1.1975,1.2063
2022-01-05 04:00:00,1.2063,1.2142,1.2063,1.2142
2022-01-05 05:00:00,1.2139,1.2139,1.1998,1.201
2022-01-05 06:00:00,1.201,1.201,1.18,1.1846
2022-01-05 07:00:00,1.1851,1.212,1.1819,1.1879
2022-01-05 08:00:00,1.1885,1.1963,1.1884,1.1963
2022-01-05 09:00:00,1.1963,1.2029,1.188,1.197
2022-01-05 10:00:00,1.1999,1.1999,1.1909,1.1909
2022-01-05 11:00:00,1.1965,1.2036,1.1921,1.1933
2022-01-05 12:00:00,1.1932,1.1962,1.1751,1.1774
2022-01-05 13:00:00,1.1752,1.1881,1.164,1.1881
2022-01-05 14:00:00,1.1819,1.1819,1.1451,1.155
2022-01-05 15:00:00,1.1522,1.1586,1.1226,1.1266
2022-01-05 16:00:00,1.1259,1.1431,1.1223,1.1255
2022-01-05 17:00:00,1.1283,1.13,1.0712,1.1012
2022-01-05 18:00:00,1.1053,1.128,1.1053,1.1089
2022-01-05 19:00:00,1.1089,1.1216,1.1039,1.1205
2022-01-05 20:00:00,1.1212,1.1213,1.0963,1.0963
2022-01-05 21:00:00,1.0944,1.0944,1.0667,1.0667
2022-01-05 22:00:00,1.0691,1.0743,1.0508,1.055
2022-01-05 23:00:00,1.057,1.0774,1.046,1.0774
2022-01-06 00:00:00,1.0716,1.0824,1.0706,1.0787
2022-01-06 01:00:00,1.0761,1.0782,1.0673,1.0735
2022-01-06 02:00:00,1.0735,1.0817,1.0735,1.0815
2022-01-06 03:00:00,1.0815,1.0825,1.0607,1.081
2022-01-06 04:00:00,1.0764,1.0764,1.035,1.0383
2022-01-06 05:00:00,1.0424,1.0521,1.0359,1.0478
2022-01-06 06:00:00,1.0451,1.0542,1.0426,1.0497
2022-01-06 07:00:00,1.0499,1.0499,1.0341,1.0472
2022-01-06 08:00:00,1.0484,1.0774,1.0455,1.0774
2022-01-06 09:00:00,1.0714,1.1112,1.0619,1.0685
2022-01-06 10:00:00,1.0686,1.0774,1.0612,1.0671
2022-01-06 11:00:00,1.0698,1.0878,1.0555,1.0797
2022-01-06 12:00:00,1.0835,1.1342,1.0673,1.091
2022-01-06 13:00:00,1.0906,1.1161,1.0861,1.1091
2022-01-06 14:00:00,1.1113,1.1216,1.1047,1.1111
2022-01-06 15:00:00,1.1139,1.1493,1.0911,1.101
2022-01-06 16:00:00,1.0943,1.1074,1.091,1.106
2022-01-06 17:00:00,1.107,1.107,1.093,1.093
2022-01-06 18:00:00,1.0968,1.0968,1.0847,1.086
2022-01-06 19:00:00,1.086,1.086,1.0722,1.0722
2022-01-06 20:00:00,1.0785,1.0792,1.0685,1.0789
2022-01-06 21:00:00,1.0772,1.0772,1.07,1.0706
2022-01-06 22:00:00,1.0683,1.0713,1.032,1.0459
2022-01-06 23:00:00,1.0375,1.0618,1.012,1.0618
2022-01-07 00:00:00,1.0569,1.0622,1.0457,1.0584
2022-01-07 01:00:00,1.0542,1.0542,1.0249,1.0262
2022-01-07 02:00:00,1.0249,1.0471,1.0102,1.0345
2022-01-07 03:00:00,1.0366,1.05,1.0312,1.0491
2022-01-07 04:00:00,1.0461,1.0585,1.0461,1.0516
2022-01-07 05:00:00,1.0503,1.0536,1.0441,1.0441
2022-01-07 06:00:00,1.0434,1.0461,1.0407,1.046
2022-01-07 07:00:00,1.0471,1.0571,1.0471,1.053
2022-01-07 08:00:00,1.053,1.0595,1.016,1.0249
2022-01-07 09:00:00,1.0305,1.0548,1.0305,1.0538
2022-01-07 10:00:00,1.047,1.047,1.0076,1.0314
2022-01-07 11:00:00,1.0373,1.0567,1.0119,1.0567
2022-01-07 12:00:00,1.0519,1.0519,1.041,1.0499
2022-01-07 13:00:00,1.0478,1.0478,1.0351,1.0384
2022-01-07 14:00:00,1.0408,1.0421,1.0325,1.0421
2022-01-07 15:00:00,1.0463,1.0474,1.034,1.0474
2022-01-07 16:00:00,1.0432,1.0484,1.0432,1.0449
2022-01-07 17:00:00,1.0448,1.0453,1.027,1.027
2022-01-07 18:00:00,1.029,1.04,1.029,1.0368
2022-01-07 19:00:00,1.0399,1.0575,1.0322,1.0575
2022-01-07 20:00:00,1.0594,1.06,1.0506,1.0538
2022-01-07 21:00:00,1.0518,1.0545,1.0381,1.053
2022-01-07 22:00:00,1.0539,1.055,1.0322,1.0385
2022-01-07 23:00:00,1.04,1.0418,1.0301,1.0384
2022-01-08 00:00:00,1.0384,1.0425,1.0375,1.0425
2022-01-08 01:00:00,1.0425,1.0495,1.0352,1.0483
2022-01-08 02:00:00,1.0517,1.0581,1.0472,1.0488
2022-01-08 03:00:00,1.053,1.0607,1.049,1.0532
2022-01-08 04:00:00,1.0566,1.0595,1.0566,1.0572
2022-01-08 05:00:00,1.0545,1.088,1.0545,1.0666
2022-01-08 06:00:00,1.0682,1.0828,1.053,1.0768
