datetime,FLOWBUSD_open,FLOWBUSD_high,FLOWBUSD_low,FLOWBUSD_close
2022-01-01 00:00:00,8.89,8.97,8.88,8.92
2022-01-01 01:00:00,8.93,8.93,8.89,8.89
2022-01-01 02:00:00,8.89,8.91,8.89,8.89
2022-01-01 03:00:00,8.89,8.92,8.89,8.91
2022-01-01 04:00:00,8.92,8.92,8.86,8.88
2022-01-01 05:00:00,8.89,8.9,8.82,8.85
2022-01-01 06:00:00,8.86,8.86,8.82,8.82
2022-01-01 07:00:00,8.82,8.9,8.82,8.89
2022-01-01 08:00:00,8.89,8.9,8.88,8.88
2022-01-01 09:00:00,8.9,8.91,8.86,8.89
2022-01-01 10:00:00,8.89,8.96,8.89,8.96
2022-01-01 11:00:00,8.96,9.02,8.95,8.99
2022-01-01 12:00:00,8.98,9.07,8.98,9.06
2022-01-01 13:00:00,9.08,9.12,9.05,9.05
2022-01-01 14:00:00,9.08,9.09,9.05,9.08
2022-01-01 15:00:00,9.09,9.17,9.09,9.14
2022-01-01 16:00:00,9.15,9.15,9.1,9.11
2022-01-01 17:00:00,9.13,9.16,9.13,9.15
2022-01-01 18:00:00,9.14,9.18,9.14,9.17
2022-01-01 19:00:00,9.16,9.16,9.09,9.11
2022-01-01 20:00:00,9.12,9.12,9.08,9.09
2022-01-01 21:00:00,9.1,9.11,9.06,9.08
2022-01-01 22:00:00,9.07,9.11,9.06,9.11
2022-01-01 23:00:00,9.09,9.11,8.99,9.02
2022-01-02 00:00:00,9.03,9.08,9.03,9.07
2022-01-02 01:00:00,9.07,9.09,9.05,9.09
2022-01-02 02:00:00,9.08,9.09,9.08,9.09
2022-01-02 03:00:00,9.09,9.17,9.08,9.17
2022-01-02 04:00:00,9.16,9.23,9.15,9.2
2022-01-02 05:00:00,9.21,9.23,9.2,9.2
2022-01-02 06:00:00,9.19,9.31,9.19,9.25
2022-01-02 07:00:00,9.26,9.28,9.18,9.26
2022-01-02 08:00:00,9.25,9.25,9.19,9.21
2022-01-02 09:00:00,9.22,9.3,9.22,9.28
2022-01-02 10:00:00,9.27,9.4,9.27,9.4
2022-01-02 11:00:00,9.39,9.46,9.39,9.44
2022-01-02 12:00:00,9.42,9.44,9.33,9.33
2022-01-02 13:00:00,9.33,9.38,9.23,9.26
2022-01-02 14:00:00,9.28,9.31,9.27,9.29
2022-01-02 15:00:00,9.28,9.31,9.26,9.28
2022-01-02 16:00:00,9.29,9.31,9.25,9.25
2022-01-02 17:00:00,9.26,9.27,9.25,9.27
2022-01-02 18:00:00,9.26,9.3,9.25,9.28
2022-01-02 19:00:00,9.26,9.26,9.14,9.15
2022-01-02 20:00:00,9.14,9.16,9.11,9.16
2022-01-02 21:00:00,9.15,9.16,9.12,9.15
2022-01-02 22:00:00,9.17,9.19,9.11,9.12
2022-01-02 23:00:00,9.12,9.14,9.12,9.12
2022-01-03 00:00:00,9.12,9.17,9.12,9.17
2022-01-03 01:00:00,9.15,9.16,9.12,9.12
2022-01-03 02:00:00,9.11,9.16,9.1,9.15
2022-01-03 03:00:00,9.17,9.17,9.12,9.13
2022-01-03 04:00:00,9.14,9.14,9.08,9.1
2022-01-03 05:00:00,9.11,9.13,9.1,9.13
2022-01-03 06:00:00,9.13,9.17,9.13,9.16
2022-01-03 07:00:00,9.15,9.18,9.13,9.13
2022-01-03 08:00:00,9.15,9.18,9.13,9.17
2022-01-03 09:00:00,9.17,9.19,9.11,9.12
2022-01-03 10:00:00,9.12,9.13,9.04,9.04
2022-01-03 11:00:00,9.04,9.06,8.9,8.92
2022-01-03 12:00:00,8.94,8.99,8.94,8.98
2022-01-03 13:00:00,8.97,8.98,8.94,8.95
2022-01-03 14:00:00,8.93,8.98,8.93,8.95
2022-01-03 15:00:00,8.93,8.93,8.86,8.9
2022-01-03 16:00:00,8.89,8.95,8.89,8.93
2022-01-03 17:00:00,8.93,8.97,8.92,8.96
2022-01-03 18:00:00,8.95,8.96,8.89,8.95
2022-01-03 19:00:00,8.95,8.95,8.84,8.84
2022-01-03 20:00:00,8.83,8.85,8.78,8.78
2022-01-03 21:00:00,8.77,8.79,8.74,8.75
2022-01-03 22:00:00,8.74,8.82,8.73,8.81
2022-01-03 23:00:00,8.8,8.82,8.76,8.77
2022-01-04 00:00:00,8.76,8.81,8.75,8.77
2022-01-04 01:00:00,8.78,8.81,8.78,8.81
2022-01-04 02:00:00,8.81,8.87,8.81,8.87
2022-01-04 03:00:00,8.87,8.92,8.82,8.83
2022-01-04 04:00:00,8.86,8.87,8.83,8.83
2022-01-04 05:00:00,8.82,8.89,8.82,8.89
