datetime,FRONTBUSD_open,FRONTBUSD_high,FRONTBUSD_low,FRONTBUSD_close
2022-01-01 00:00:00,0.6964,0.7065,0.6945,0.6981
2022-01-01 01:00:00,0.6981,0.6987,0.6934,0.6934
2022-01-01 02:00:00,0.6934,0.6934,0.6842,0.685
2022-01-01 03:00:00,0.685,0.689,0.6837,0.6865
2022-01-01 04:00:00,0.6859,0.6922,0.6843,0.687
2022-01-01 05:00:00,0.6879,0.6899,0.6833,0.6835
2022-01-01 06:00:00,0.6838,0.6853,0.683,0.683
2022-01-01 07:00:00,0.6831,0.6874,0.683,0.6859
2022-01-01 08:00:00,0.6859,0.6876,0.6847,0.6859
2022-01-01 09:00:00,0.6857,0.6871,0.6839,0.6851
2022-01-01 10:00:00,0.6848,0.6896,0.6828,0.6828
2022-01-01 11:00:00,0.6828,0.6893,0.6828,0.6875
2022-01-01 12:00:00,0.6877,0.7198,0.6877,0.7178
2022-01-01 13:00:00,0.7178,0.72,0.7,0.7012
2022-01-01 14:00:00,0.7003,0.7019,0.6964,0.7014
2022-01-01 15:00:00,0.7025,0.7032,0.6986,0.7027
2022-01-01 16:00:00,0.702,0.7034,0.6976,0.6976
2022-01-01 17:00:00,0.6976,0.7091,0.6967,0.7067
2022-01-01 18:00:00,0.7065,0.7188,0.7058,0.7148
2022-01-01 19:00:00,0.7148,0.7148,0.7042,0.7042
2022-01-01 20:00:00,0.7051,0.7059,0.6975,0.6976
2022-01-01 21:00:00,0.6976,0.7,0.6974,0.6985
2022-01-01 22:00:00,0.6982,0.7056,0.698,0.7052
2022-01-01 23:00:00,0.7056,0.7086,0.6969,0.697
2022-01-02 00:00:00,0.6974,0.7003,0.6973,0.6987
2022-01-02 01:00:00,0.6987,0.6987,0.696,0.6967
2022-01-02 02:00:00,0.6966,0.6985,0.696,0.6969
2022-01-02 03:00:00,0.6972,0.699,0.6949,0.6982
2022-01-02 04:00:00,0.6994,0.702,0.698,0.7001
2022-01-02 05:00:00,0.7007,0.702,0.6997,0.7012
2022-01-02 06:00:00,0.7007,0.7056,0.6999,0.7045
2022-01-02 07:00:00,0.7043,0.7162,0.7004,0.7139
2022-01-02 08:00:00,0.7139,0.7146,0.6973,0.7011
2022-01-02 09:00:00,0.7011,0.7022,0.7004,0.7016
2022-01-02 10:00:00,0.7007,0.7056,0.7,0.7039
2022-01-02 11:00:00,0.7039,0.7234,0.7023,0.7178
2022-01-02 12:00:00,0.7182,0.721,0.7081,0.711
2022-01-02 13:00:00,0.7101,0.7101,0.6964,0.7021
