datetime,FTTBUSD_open,FTTBUSD_high,FTTBUSD_low,FTTBUSD_close
2022-01-01 00:00:00,38.77,39.48,38.74,39.14
2022-01-01 01:00:00,39.14,39.36,39.14,39.14
2022-01-01 02:00:00,39.13,39.37,39.11,39.37
2022-01-01 03:00:00,39.27,39.44,39.23,39.32
2022-01-01 04:00:00,39.32,39.4,39.19,39.4
2022-01-01 05:00:00,39.37,39.44,38.94,39.1
2022-01-01 06:00:00,39.13,39.21,39.06,39.06
2022-01-01 07:00:00,39.07,39.43,39.07,39.43
2022-01-01 08:00:00,39.43,39.49,39.32,39.36
2022-01-01 09:00:00,39.41,39.51,39.31,39.39
2022-01-01 10:00:00,39.33,39.8,39.33,39.63
2022-01-01 11:00:00,39.62,39.9,39.59,39.67
2022-01-01 12:00:00,39.7,40.27,39.67,40.14
2022-01-01 13:00:00,40.15,40.15,39.9,40.02
2022-01-01 14:00:00,40.04,40.05,39.85,39.94
2022-01-01 15:00:00,39.92,40.16,39.89,40.01
2022-01-01 16:00:00,40.04,40.17,39.89,39.94
2022-01-01 17:00:00,39.93,40.04,39.84,40.01
2022-01-01 18:00:00,39.93,40.27,39.93,40.17
2022-01-01 19:00:00,40.19,40.19,39.94,40.11
2022-01-01 20:00:00,40.11,40.12,39.81,39.84
2022-01-01 21:00:00,39.83,39.97,39.79,39.93
2022-01-01 22:00:00,39.89,40.01,39.81,39.91
2022-01-01 23:00:00,39.91,39.97,39.34,39.52
2022-01-02 00:00:00,39.46,39.73,39.44,39.66
2022-01-02 01:00:00,39.69,39.81,39.65,39.69
2022-01-02 02:00:00,39.69,39.87,39.67,39.76
2022-01-02 03:00:00,39.72,39.81,39.6,39.79
2022-01-02 04:00:00,39.78,40.01,39.75,39.81
2022-01-02 05:00:00,39.83,39.89,39.69,39.72
2022-01-02 06:00:00,39.74,39.93,39.74,39.84
2022-01-02 07:00:00,39.82,39.98,39.64,39.92
2022-01-02 08:00:00,39.89,39.92,39.79,39.82
2022-01-02 09:00:00,39.8,39.87,39.72,39.83
2022-01-02 10:00:00,39.85,40.18,39.79,40.1
2022-01-02 11:00:00,40.1,40.58,40.1,40.48
2022-01-02 12:00:00,40.53,40.62,40.25,40.27
2022-01-02 13:00:00,40.29,40.31,39.74,40.07
2022-01-02 14:00:00,40.0,40.17,39.86,39.96
2022-01-02 15:00:00,39.94,40.11,39.94,40.08
2022-01-02 16:00:00,40.05,40.19,39.99,40.02
2022-01-02 17:00:00,40.05,40.3,40.05,40.24
2022-01-02 18:00:00,40.25,40.32,40.16,40.16
2022-01-02 19:00:00,40.11,40.11,39.89,39.89
2022-01-02 20:00:00,39.87,39.93,39.8,39.88
2022-01-02 21:00:00,39.8,39.8,39.46,39.66
