datetime,FXUSD_open,FXUSD_high,FXUSD_low,FXUSD_close
2022-01-01 00:00:00,0.8652,0.8705,0.8604,0.8702
2022-01-01 01:00:00,0.8704,0.8831,0.8664,0.8794
2022-01-01 02:00:00,0.8798,0.8858,0.8753,0.8803
2022-01-01 03:00:00,0.8786,0.8855,0.8731,0.8731
2022-01-01 04:00:00,0.8735,0.8961,0.8733,0.8861
2022-01-01 05:00:00,0.8929,0.8964,0.8865,0.8956
2022-01-01 06:00:00,0.8933,0.8957,0.885,0.8861
2022-01-01 07:00:00,0.886,0.8943,0.8847,0.8904
2022-01-01 08:00:00,0.8922,0.8941,0.8857,0.893
2022-01-01 09:00:00,0.8932,0.8932,0.8838,0.886
2022-01-01 10:00:00,0.8853,0.8929,0.8841,0.8852
2022-01-01 11:00:00,0.8894,0.8932,0.8843,0.8845
2022-01-01 12:00:00,0.8851,0.8935,0.8839,0.8867
2022-01-01 13:00:00,0.8912,0.8933,0.8859,0.8892
2022-01-01 14:00:00,0.8915,0.8935,0.8855,0.8899
2022-01-01 15:00:00,0.8854,0.8936,0.8839,0.8901
2022-01-01 16:00:00,0.8855,0.899,0.8855,0.8954
2022-01-01 17:00:00,0.8954,0.8989,0.8886,0.8979
2022-01-01 18:00:00,0.8979,0.9184,0.8947,0.9028
2022-01-01 19:00:00,0.9046,0.913,0.8998,0.9042
2022-01-01 20:00:00,0.9041,0.9078,0.8905,0.8905
2022-01-01 21:00:00,0.8962,0.9031,0.8911,0.8997
2022-01-01 22:00:00,0.8998,0.9042,0.8992,0.902
2022-01-01 23:00:00,0.902,0.9051,0.902,0.9047
2022-01-02 00:00:00,0.905,0.9094,0.902,0.9072
2022-01-02 01:00:00,0.9033,0.9084,0.902,0.9057
2022-01-02 02:00:00,0.9057,0.906,0.902,0.9055
2022-01-02 03:00:00,0.9027,0.9094,0.9021,0.9061
2022-01-02 04:00:00,0.9028,0.9084,0.902,0.9021
2022-01-02 05:00:00,0.9021,0.9068,0.902,0.9053
2022-01-02 06:00:00,0.9054,0.9058,0.902,0.902
2022-01-02 07:00:00,0.9022,0.9054,0.902,0.9046
2022-01-02 08:00:00,0.9023,0.9054,0.8936,0.8936
2022-01-02 09:00:00,0.8936,0.898,0.8936,0.896
2022-01-02 10:00:00,0.8942,0.8972,0.8936,0.8936
2022-01-02 11:00:00,0.8961,0.9032,0.8934,0.9006
2022-01-02 12:00:00,0.8947,0.9022,0.8935,0.8963
2022-01-02 13:00:00,0.8998,0.9016,0.8937,0.8945
2022-01-02 14:00:00,0.898,0.903,0.8912,0.9015
2022-01-02 15:00:00,0.9011,0.9042,0.8975,0.9034
2022-01-02 16:00:00,0.9007,0.9048,0.9007,0.9024
2022-01-02 17:00:00,0.9045,0.92,0.902,0.9098
2022-01-02 18:00:00,0.9097,0.9179,0.8973,0.9069
2022-01-02 19:00:00,0.9061,0.9094,0.8982,0.9019
2022-01-02 20:00:00,0.9057,0.9074,0.8995,0.9013
2022-01-02 21:00:00,0.9012,0.9068,0.9012,0.9033
2022-01-02 22:00:00,0.9038,0.9092,0.9011,0.9023
2022-01-02 23:00:00,0.905,0.9093,0.9013,0.9065
2022-01-03 00:00:00,0.9077,0.9109,0.9031,0.9053
2022-01-03 01:00:00,0.9033,0.9059,0.9017,0.9048
2022-01-03 02:00:00,0.9045,0.9058,0.9017,0.9037
2022-01-03 03:00:00,0.9031,0.9047,0.9001,0.9004
2022-01-03 04:00:00,0.9004,0.9039,0.8975,0.8975
2022-01-03 05:00:00,0.8976,0.8996,0.8966,0.8996
2022-01-03 06:00:00,0.8994,0.8994,0.8971,0.8988
2022-01-03 07:00:00,0.898,0.8996,0.8967,0.8985
2022-01-03 08:00:00,0.8969,0.899,0.8966,0.8986
2022-01-03 09:00:00,0.8992,0.8999,0.8967,0.8998
2022-01-03 10:00:00,0.8996,0.8996,0.8968,0.899
2022-01-03 11:00:00,0.8992,0.9118,0.8992,0.9052
2022-01-03 12:00:00,0.9046,0.9078,0.9005,0.9063
2022-01-03 13:00:00,0.9067,0.9097,0.9029,0.9066
2022-01-03 14:00:00,0.9022,0.9112,0.8987,0.9014
2022-01-03 15:00:00,0.9014,0.9084,0.8982,0.9057
2022-01-03 16:00:00,0.9034,0.9058,0.8916,0.8916
2022-01-03 17:00:00,0.8934,0.8987,0.8887,0.892
2022-01-03 18:00:00,0.892,0.8973,0.8706,0.8761
2022-01-03 19:00:00,0.8761,0.8816,0.8729,0.8788
2022-01-03 20:00:00,0.88,0.8838,0.8726,0.8764
2022-01-03 21:00:00,0.8766,0.8785,0.8725,0.8759
2022-01-03 22:00:00,0.875,0.887,0.8729,0.8829
2022-01-03 23:00:00,0.8797,0.8877,0.8755,0.8755
2022-01-04 00:00:00,0.8831,0.8865,0.8781,0.8831
2022-01-04 01:00:00,0.8827,0.8876,0.8707,0.8746
2022-01-04 02:00:00,0.8747,0.8823,0.874,0.8791
2022-01-04 03:00:00,0.8788,0.8841,0.877,0.8781
2022-01-04 04:00:00,0.8802,0.8825,0.8743,0.8743
2022-01-04 05:00:00,0.8743,0.8779,0.8717,0.8726
2022-01-04 06:00:00,0.8739,0.8978,0.8737,0.8943
2022-01-04 07:00:00,0.8951,0.8972,0.89,0.8904
2022-01-04 08:00:00,0.8925,0.8925,0.8844,0.8882
2022-01-04 09:00:00,0.8845,0.8882,0.8843,0.8881
2022-01-04 10:00:00,0.8883,0.8909,0.885,0.8899
2022-01-04 11:00:00,0.8875,0.9053,0.8875,0.893
2022-01-04 12:00:00,0.8928,0.8975,0.8899,0.8953
2022-01-04 13:00:00,0.8981,0.9,0.8945,0.8945
2022-01-04 14:00:00,0.8963,0.9011,0.8944,0.899
2022-01-04 15:00:00,0.8965,0.9006,0.8893,0.8903
2022-01-04 16:00:00,0.89,0.8931,0.8815,0.8859
2022-01-04 17:00:00,0.8876,0.8882,0.88,0.8824
2022-01-04 18:00:00,0.8823,0.8835,0.8699,0.8699
2022-01-04 19:00:00,0.8699,0.8772,0.8668,0.8671
2022-01-04 20:00:00,0.8702,0.8785,0.8675,0.877
2022-01-04 21:00:00,0.8786,0.8971,0.8763,0.881
2022-01-04 22:00:00,0.881,0.8875,0.8746,0.8805
2022-01-04 23:00:00,0.8793,0.883,0.8614,0.8616
2022-01-05 00:00:00,0.8614,0.8783,0.8608,0.8725
2022-01-05 01:00:00,0.8743,0.8759,0.8708,0.8732
2022-01-05 02:00:00,0.8735,0.8762,0.8732,0.8755
2022-01-05 03:00:00,0.8755,0.876,0.8717,0.875
2022-01-05 04:00:00,0.8736,0.8761,0.8716,0.8761
