datetime,GALAUSDT_open,GALAUSDT_high,GALAUSDT_low,GALAUSDT_close
2022-01-01 00:00:00,0.45128,0.45802,0.45128,0.45796
2022-01-01 01:00:00,0.45678,0.45952,0.45547,0.45725
2022-01-01 02:00:00,0.45917,0.46042,0.45818,0.45902
2022-01-01 03:00:00,0.45868,0.45915,0.45736,0.45737
2022-01-01 04:00:00,0.45715,0.45715,0.45361,0.45457
2022-01-01 05:00:00,0.45461,0.4619,0.45273,0.4575
2022-01-01 06:00:00,0.45832,0.45919,0.45664,0.45664
2022-01-01 07:00:00,0.45619,0.46036,0.45555,0.45972
2022-01-01 08:00:00,0.45941,0.45979,0.45715,0.45763
2022-01-01 09:00:00,0.45745,0.45798,0.45452,0.45686
2022-01-01 10:00:00,0.45691,0.45751,0.45273,0.45422
2022-01-01 11:00:00,0.45476,0.45476,0.45247,0.45357
2022-01-01 12:00:00,0.45329,0.45578,0.45329,0.45525
2022-01-01 13:00:00,0.45532,0.45556,0.45476,0.45552
2022-01-01 14:00:00,0.45513,0.45781,0.4549,0.45655
2022-01-01 15:00:00,0.45651,0.46173,0.45625,0.45981
2022-01-01 16:00:00,0.45992,0.46076,0.4576,0.45866
2022-01-01 17:00:00,0.4588,0.46279,0.45625,0.46034
2022-01-01 18:00:00,0.46032,0.4622,0.45915,0.4622
2022-01-01 19:00:00,0.4623,0.46471,0.45974,0.45991
2022-01-01 20:00:00,0.46016,0.46265,0.45953,0.46122
2022-01-01 21:00:00,0.46139,0.4616,0.45815,0.45895
2022-01-01 22:00:00,0.45857,0.45992,0.45793,0.45863
2022-01-01 23:00:00,0.4585,0.46302,0.45809,0.46171
2022-01-02 00:00:00,0.461,0.4616,0.45555,0.45864
2022-01-02 01:00:00,0.45813,0.4585,0.45691,0.45819
2022-01-02 02:00:00,0.45788,0.45872,0.45688,0.45747
2022-01-02 03:00:00,0.45793,0.45872,0.45739,0.45802
2022-01-02 04:00:00,0.4576,0.45823,0.45107,0.45422
2022-01-02 05:00:00,0.45349,0.45493,0.45329,0.45487
2022-01-02 06:00:00,0.45513,0.45657,0.45513,0.45555
2022-01-02 07:00:00,0.45583,0.45796,0.4558,0.4558
2022-01-02 08:00:00,0.45555,0.45696,0.45426,0.45695
2022-01-02 09:00:00,0.45684,0.45981,0.45684,0.45811
2022-01-02 10:00:00,0.4587,0.45975,0.45688,0.45688
2022-01-02 11:00:00,0.45738,0.45929,0.45696,0.45696
2022-01-02 12:00:00,0.45691,0.45966,0.45601,0.45863
2022-01-02 13:00:00,0.4585,0.4585,0.45696,0.45809
2022-01-02 14:00:00,0.45809,0.45809,0.45523,0.45684
2022-01-02 15:00:00,0.45589,0.4588,0.45589,0.45875
2022-01-02 16:00:00,0.45895,0.4639,0.45872,0.46338
2022-01-02 17:00:00,0.46372,0.46372,0.458,0.458
2022-01-02 18:00:00,0.45822,0.45822,0.45226,0.45742
2022-01-02 19:00:00,0.4576,0.45796,0.45555,0.45591
2022-01-02 20:00:00,0.45555,0.45696,0.45471,0.45471
2022-01-02 21:00:00,0.45471,0.4559,0.45418,0.45518
2022-01-02 22:00:00,0.45513,0.45576,0.45513,0.45576
2022-01-02 23:00:00,0.45531,0.45742,0.45531,0.45635
2022-01-03 00:00:00,0.45601,0.45667,0.45462,0.45462
2022-01-03 01:00:00,0.4547,0.45541,0.45362,0.455
2022-01-03 02:00:00,0.45361,0.45796,0.45361,0.45644
2022-01-03 03:00:00,0.45688,0.45688,0.44558,0.44927
2022-01-03 04:00:00,0.44839,0.45177,0.44839,0.44987
2022-01-03 05:00:00,0.45111,0.4531,0.45074,0.45198
2022-01-03 06:00:00,0.45139,0.45233,0.44981,0.44993
2022-01-03 07:00:00,0.44997,0.45222,0.44917,0.45222
2022-01-03 08:00:00,0.45222,0.45222,0.45143,0.452
2022-01-03 09:00:00,0.45197,0.45319,0.44981,0.45293
2022-01-03 10:00:00,0.45329,0.455,0.45323,0.455
2022-01-03 11:00:00,0.4551,0.45602,0.45407,0.4549
2022-01-03 12:00:00,0.45462,0.45667,0.45161,0.45424
2022-01-03 13:00:00,0.45362,0.45375,0.45272,0.45375
2022-01-03 14:00:00,0.45267,0.45458,0.45203,0.45203
2022-01-03 15:00:00,0.45215,0.4527,0.44726,0.44863
2022-01-03 16:00:00,0.44952,0.44963,0.44047,0.44433
2022-01-03 17:00:00,0.44469,0.44796,0.44445,0.44762
2022-01-03 18:00:00,0.44633,0.44762,0.44551,0.44608
2022-01-03 19:00:00,0.44622,0.44734,0.44466,0.44612
2022-01-03 20:00:00,0.44602,0.44653,0.43123,0.43731
2022-01-03 21:00:00,0.43716,0.44097,0.43605,0.43815
2022-01-03 22:00:00,0.43919,0.44205,0.43856,0.44043
2022-01-03 23:00:00,0.44042,0.44341,0.44033,0.44167
2022-01-04 00:00:00,0.44201,0.44219,0.42051,0.42794
2022-01-04 01:00:00,0.42748,0.42948,0.42497,0.42754
2022-01-04 02:00:00,0.42819,0.4294,0.42366,0.42752
