datetime,GHSTBUSD_open,GHSTBUSD_high,GHSTBUSD_low,GHSTBUSD_close
2022-01-01 00:00:00,2.293,2.309,2.293,2.307
2022-01-01 01:00:00,2.308,2.308,2.308,2.308
2022-01-01 02:00:00,2.302,2.304,2.294,2.301
2022-01-01 03:00:00,2.302,2.302,2.296,2.299
2022-01-01 04:00:00,2.302,2.309,2.302,2.309
2022-01-01 05:00:00,2.309,2.31,2.303,2.31
2022-01-01 06:00:00,2.309,2.317,2.307,2.316
2022-01-01 07:00:00,2.317,2.323,2.308,2.309
2022-01-01 08:00:00,2.31,2.317,2.309,2.314
2022-01-01 09:00:00,2.318,2.331,2.318,2.331
2022-01-01 10:00:00,2.325,2.327,2.311,2.321
2022-01-01 11:00:00,2.32,2.344,2.32,2.33
2022-01-01 12:00:00,2.329,2.331,2.308,2.321
2022-01-01 13:00:00,2.321,2.322,2.32,2.322
2022-01-01 14:00:00,2.322,2.324,2.315,2.324
2022-01-01 15:00:00,2.319,2.326,2.319,2.323
2022-01-01 16:00:00,2.325,2.325,2.321,2.323
2022-01-01 17:00:00,2.321,2.325,2.315,2.315
2022-01-01 18:00:00,2.315,2.324,2.315,2.324
2022-01-01 19:00:00,2.325,2.329,2.322,2.326
2022-01-01 20:00:00,2.326,2.326,2.315,2.315
2022-01-01 21:00:00,2.314,2.317,2.314,2.317
2022-01-01 22:00:00,2.313,2.318,2.313,2.318
2022-01-01 23:00:00,2.314,2.316,2.313,2.313
2022-01-02 00:00:00,2.313,2.313,2.31,2.31
2022-01-02 01:00:00,2.311,2.311,2.307,2.307
2022-01-02 02:00:00,2.307,2.309,2.304,2.305
2022-01-02 03:00:00,2.305,2.312,2.304,2.309
2022-01-02 04:00:00,2.313,2.317,2.311,2.311
2022-01-02 05:00:00,2.315,2.315,2.307,2.307
2022-01-02 06:00:00,2.309,2.314,2.309,2.309
2022-01-02 07:00:00,2.308,2.309,2.303,2.308
2022-01-02 08:00:00,2.308,2.342,2.307,2.32
2022-01-02 09:00:00,2.322,2.324,2.311,2.312
2022-01-02 10:00:00,2.315,2.35,2.315,2.342
2022-01-02 11:00:00,2.342,2.347,2.326,2.333
2022-01-02 12:00:00,2.337,2.341,2.333,2.338
2022-01-02 13:00:00,2.334,2.34,2.328,2.332
2022-01-02 14:00:00,2.333,2.333,2.311,2.314
2022-01-02 15:00:00,2.314,2.318,2.31,2.316
2022-01-02 16:00:00,2.318,2.32,2.311,2.311
2022-01-02 17:00:00,2.316,2.318,2.313,2.316
2022-01-02 18:00:00,2.317,2.32,2.299,2.311
2022-01-02 19:00:00,2.311,2.311,2.302,2.306
2022-01-02 20:00:00,2.306,2.311,2.304,2.309
2022-01-02 21:00:00,2.307,2.31,2.307,2.308
2022-01-02 22:00:00,2.307,2.311,2.305,2.305
2022-01-02 23:00:00,2.305,2.308,2.304,2.304
2022-01-03 00:00:00,2.307,2.313,2.306,2.312
2022-01-03 01:00:00,2.312,2.314,2.299,2.311
2022-01-03 02:00:00,2.311,2.315,2.311,2.313
2022-01-03 03:00:00,2.316,2.317,2.3,2.301
2022-01-03 04:00:00,2.302,2.302,2.295,2.295
2022-01-03 05:00:00,2.301,2.304,2.297,2.301
2022-01-03 06:00:00,2.307,2.31,2.304,2.308
2022-01-03 07:00:00,2.305,2.31,2.303,2.303
2022-01-03 08:00:00,2.305,2.308,2.287,2.303
