datetime,GRTUSD_open,GRTUSD_high,GRTUSD_low,GRTUSD_close
2022-01-01 00:00:00,0.6425,0.6598,0.642,0.6585
2022-01-01 01:00:00,0.6585,0.662,0.6521,0.6529
2022-01-01 02:00:00,0.6529,0.6566,0.6456,0.6458
2022-01-01 03:00:00,0.6458,0.6463,0.6416,0.6442
2022-01-01 04:00:00,0.6445,0.645,0.6379,0.6387
2022-01-01 05:00:00,0.6382,0.6514,0.6376,0.6483
2022-01-01 06:00:00,0.6487,0.6502,0.646,0.6466
2022-01-01 07:00:00,0.6467,0.6508,0.6437,0.6482
2022-01-01 08:00:00,0.6481,0.6506,0.6445,0.6455
2022-01-01 09:00:00,0.6457,0.6489,0.6413,0.6452
2022-01-01 10:00:00,0.6454,0.648,0.6377,0.6416
2022-01-01 11:00:00,0.6415,0.6448,0.641,0.6411
2022-01-01 12:00:00,0.6415,0.6478,0.6408,0.6467
2022-01-01 13:00:00,0.647,0.6498,0.6443,0.6464
2022-01-01 14:00:00,0.6469,0.6493,0.6434,0.6438
2022-01-01 15:00:00,0.6441,0.6552,0.6437,0.6532
2022-01-01 16:00:00,0.653,0.657,0.65,0.6508
2022-01-01 17:00:00,0.6508,0.6596,0.6507,0.6569
2022-01-01 18:00:00,0.6571,0.6584,0.6512,0.6575
2022-01-01 19:00:00,0.6575,0.6578,0.6533,0.6557
2022-01-01 20:00:00,0.6557,0.6581,0.6536,0.6548
2022-01-01 21:00:00,0.6553,0.658,0.6529,0.6544
2022-01-01 22:00:00,0.6542,0.6593,0.653,0.6588
2022-01-01 23:00:00,0.6588,0.6664,0.6554,0.6647
2022-01-02 00:00:00,0.6644,0.6659,0.6601,0.6645
2022-01-02 01:00:00,0.6639,0.6649,0.6583,0.659
2022-01-02 02:00:00,0.659,0.6625,0.6575,0.6604
2022-01-02 03:00:00,0.66,0.6611,0.6575,0.6588
2022-01-02 04:00:00,0.6595,0.6612,0.6486,0.6521
2022-01-02 05:00:00,0.6519,0.6566,0.6507,0.6559
2022-01-02 06:00:00,0.6559,0.657,0.6539,0.6543
2022-01-02 07:00:00,0.6539,0.6591,0.6535,0.6562
2022-01-02 08:00:00,0.6562,0.674,0.6519,0.6642
2022-01-02 09:00:00,0.6635,0.6686,0.6621,0.6628
2022-01-02 10:00:00,0.6626,0.664,0.6595,0.6601
2022-01-02 11:00:00,0.6598,0.6648,0.6598,0.6627
2022-01-02 12:00:00,0.663,0.6654,0.6568,0.6632
2022-01-02 13:00:00,0.6633,0.6635,0.6592,0.6608
2022-01-02 14:00:00,0.6604,0.68,0.6598,0.6702
2022-01-02 15:00:00,0.6701,0.6768,0.67,0.6738
2022-01-02 16:00:00,0.6729,0.687,0.6729,0.6847
2022-01-02 17:00:00,0.6843,0.6952,0.6775,0.6897
2022-01-02 18:00:00,0.6897,0.6902,0.6636,0.675
2022-01-02 19:00:00,0.6748,0.6827,0.6722,0.6769
2022-01-02 20:00:00,0.677,0.6802,0.6719,0.6799
2022-01-02 21:00:00,0.6796,0.6799,0.6753,0.6762
2022-01-02 22:00:00,0.6762,0.6831,0.6758,0.6775
2022-01-02 23:00:00,0.6779,0.6787,0.6759,0.6765
2022-01-03 00:00:00,0.6763,0.6826,0.6745,0.6745
2022-01-03 01:00:00,0.6744,0.6783,0.6701,0.6766
2022-01-03 02:00:00,0.6768,0.6909,0.6752,0.6803
2022-01-03 03:00:00,0.6803,0.6818,0.6676,0.67
2022-01-03 04:00:00,0.67,0.6796,0.6695,0.673
2022-01-03 05:00:00,0.673,0.6856,0.6718,0.6817
2022-01-03 06:00:00,0.6815,0.6888,0.6783,0.6823
2022-01-03 07:00:00,0.6819,0.6924,0.6809,0.6875
2022-01-03 08:00:00,0.6879,0.6889,0.6799,0.6806
2022-01-03 09:00:00,0.681,0.6864,0.6734,0.6862
2022-01-03 10:00:00,0.6867,0.6952,0.6857,0.6892
2022-01-03 11:00:00,0.6889,0.6917,0.6831,0.6858
2022-01-03 12:00:00,0.6862,0.6898,0.68,0.681
2022-01-03 13:00:00,0.6812,0.69,0.6812,0.6849
2022-01-03 14:00:00,0.6851,0.6911,0.6785,0.6817
2022-01-03 15:00:00,0.6817,0.6872,0.6761,0.6785
2022-01-03 16:00:00,0.6787,0.6803,0.6553,0.6599
2022-01-03 17:00:00,0.6596,0.6655,0.6573,0.6612
2022-01-03 18:00:00,0.6611,0.666,0.6601,0.6626
2022-01-03 19:00:00,0.6628,0.669,0.6613,0.6613
2022-01-03 20:00:00,0.6612,0.6629,0.6435,0.6486
2022-01-03 21:00:00,0.6487,0.6527,0.6446,0.6493
2022-01-03 22:00:00,0.6493,0.66,0.6478,0.6572
2022-01-03 23:00:00,0.6567,0.6619,0.6534,0.6582
2022-01-04 00:00:00,0.6583,0.6616,0.6485,0.651
2022-01-04 01:00:00,0.651,0.6573,0.6455,0.6475
2022-01-04 02:00:00,0.6474,0.6524,0.6416,0.6434
2022-01-04 03:00:00,0.6433,0.6504,0.6405,0.6488
2022-01-04 04:00:00,0.6483,0.65,0.6428,0.6441
2022-01-04 05:00:00,0.6435,0.6547,0.6426,0.6539
2022-01-04 06:00:00,0.654,0.6566,0.6505,0.6563
2022-01-04 07:00:00,0.6563,0.665,0.6551,0.665
2022-01-04 08:00:00,0.6646,0.6657,0.6494,0.6533
2022-01-04 09:00:00,0.6534,0.6549,0.6487,0.6506
2022-01-04 10:00:00,0.6511,0.659,0.65,0.6559
2022-01-04 11:00:00,0.6562,0.6616,0.6555,0.6608
