datetime,GTCUSD_open,GTCUSD_high,GTCUSD_low,GTCUSD_close
2022-01-01 00:00:00,12.69,13.34,12.69,13.33
2022-01-01 01:00:00,13.34,13.6,13.29,13.43
2022-01-01 02:00:00,13.4,13.43,13.12,13.13
2022-01-01 03:00:00,13.16,13.39,13.14,13.2
2022-01-01 04:00:00,13.23,13.43,13.16,13.28
2022-01-01 05:00:00,13.29,13.55,13.18,13.4
2022-01-01 06:00:00,13.41,13.51,13.3,13.39
2022-01-01 07:00:00,13.32,14.25,13.3,14.17
2022-01-01 08:00:00,14.19,14.24,13.76,13.81
2022-01-01 09:00:00,13.83,14.29,13.74,14.1
2022-01-01 10:00:00,14.05,14.35,14.02,14.11
2022-01-01 11:00:00,14.12,14.15,13.84,13.84
2022-01-01 12:00:00,13.85,13.95,13.76,13.95
2022-01-01 13:00:00,13.93,14.06,13.62,13.89
2022-01-01 14:00:00,13.88,13.96,13.72,13.87
2022-01-01 15:00:00,13.81,13.84,13.63,13.78
2022-01-01 16:00:00,13.76,13.76,13.53,13.62
2022-01-01 17:00:00,13.63,13.71,13.44,13.6
2022-01-01 18:00:00,13.59,13.68,13.5,13.65
2022-01-01 19:00:00,13.65,13.72,13.59,13.68
2022-01-01 20:00:00,13.66,13.72,13.57,13.63
2022-01-01 21:00:00,13.59,13.69,13.5,13.55
2022-01-01 22:00:00,13.55,13.59,13.43,13.52
2022-01-01 23:00:00,13.5,13.58,13.44,13.58
2022-01-02 00:00:00,13.6,13.68,13.47,13.67
2022-01-02 01:00:00,13.63,13.89,13.59,13.78
2022-01-02 02:00:00,13.76,14.07,13.66,13.82
2022-01-02 03:00:00,13.82,14.27,13.78,14.17
2022-01-02 04:00:00,14.17,14.73,14.15,14.72
2022-01-02 05:00:00,14.69,14.92,14.59,14.73
2022-01-02 06:00:00,14.67,14.73,14.33,14.39
2022-01-02 07:00:00,14.35,14.62,14.28,14.3
2022-01-02 08:00:00,14.31,14.37,14.14,14.21
2022-01-02 09:00:00,14.18,14.25,14.13,14.25
2022-01-02 10:00:00,14.24,14.59,14.15,14.5
2022-01-02 11:00:00,14.51,14.58,14.33,14.53
2022-01-02 12:00:00,14.51,14.68,14.36,14.4
2022-01-02 13:00:00,14.43,14.46,14.11,14.13
2022-01-02 14:00:00,14.13,14.2,13.99,14.1
2022-01-02 15:00:00,14.08,14.47,14.01,14.4
2022-01-02 16:00:00,14.43,14.55,14.25,14.42
2022-01-02 17:00:00,14.39,14.41,14.15,14.18
2022-01-02 18:00:00,14.19,14.6,14.07,14.49
2022-01-02 19:00:00,14.47,14.54,14.27,14.51
2022-01-02 20:00:00,14.52,14.63,14.39,14.44
2022-01-02 21:00:00,14.42,14.9,14.42,14.78
2022-01-02 22:00:00,14.79,15.17,14.54,14.55
2022-01-02 23:00:00,14.6,14.8,14.46,14.77
2022-01-03 00:00:00,14.77,14.99,14.06,14.06
2022-01-03 01:00:00,14.1,14.25,14.02,14.21
2022-01-03 02:00:00,14.21,14.28,14.0,14.1
2022-01-03 03:00:00,14.09,14.14,13.71,13.8
2022-01-03 04:00:00,13.79,14.05,13.74,13.95
2022-01-03 05:00:00,13.91,14.02,13.85,13.98
2022-01-03 06:00:00,13.97,14.0,13.75,13.81
2022-01-03 07:00:00,13.79,13.97,13.78,13.92
2022-01-03 08:00:00,13.94,13.95,13.82,13.84
2022-01-03 09:00:00,13.86,13.88,13.62,13.76
2022-01-03 10:00:00,13.77,13.96,13.77,13.9
2022-01-03 11:00:00,13.92,14.12,13.9,13.99
2022-01-03 12:00:00,13.97,14.08,13.92,13.95
2022-01-03 13:00:00,13.99,14.03,13.9,13.97
2022-01-03 14:00:00,13.93,14.01,13.79,13.89
2022-01-03 15:00:00,13.89,13.98,13.78,13.84
2022-01-03 16:00:00,13.81,13.93,13.48,13.65
2022-01-03 17:00:00,13.65,13.79,13.59,13.69
2022-01-03 18:00:00,13.72,13.74,13.57,13.62
2022-01-03 19:00:00,13.64,13.7,13.57,13.57
2022-01-03 20:00:00,13.56,13.59,13.26,13.47
2022-01-03 21:00:00,13.45,13.56,13.38,13.5
2022-01-03 22:00:00,13.48,13.74,13.47,13.61
2022-01-03 23:00:00,13.66,13.76,13.56,13.76
2022-01-04 00:00:00,13.77,13.77,13.48,13.53
2022-01-04 01:00:00,13.51,14.04,13.45,13.84
2022-01-04 02:00:00,13.85,14.08,13.65,14.05
2022-01-04 03:00:00,14.05,14.31,13.99,14.15
2022-01-04 04:00:00,14.15,14.43,14.1,14.2
2022-01-04 05:00:00,14.22,14.36,14.11,14.23
2022-01-04 06:00:00,14.24,14.49,14.1,14.16
2022-01-04 07:00:00,14.17,14.22,14.02,14.18
2022-01-04 08:00:00,14.13,14.63,14.11,14.56
2022-01-04 09:00:00,14.58,14.76,14.53,14.66
2022-01-04 10:00:00,14.65,14.66,14.45,14.6
2022-01-04 11:00:00,14.6,14.77,14.6,14.73
2022-01-04 12:00:00,14.73,14.81,14.6,14.72
2022-01-04 13:00:00,14.74,14.91,14.54,14.87
2022-01-04 14:00:00,14.91,15.48,14.89,14.91
2022-01-04 15:00:00,14.91,15.04,14.65,14.71
