datetime,HARDBUSD_open,HARDBUSD_high,HARDBUSD_low,HARDBUSD_close
2022-01-01 00:00:00,0.7867,0.7954,0.7867,0.7899
2022-01-01 01:00:00,0.7895,0.79,0.7851,0.7851
2022-01-01 02:00:00,0.7896,0.807,0.7896,0.8066
2022-01-01 03:00:00,0.8066,0.8109,0.8032,0.8042
2022-01-01 04:00:00,0.8002,0.8339,0.7961,0.8037
2022-01-01 05:00:00,0.8045,0.8054,0.792,0.7928
2022-01-01 06:00:00,0.7946,0.7946,0.788,0.7921
2022-01-01 07:00:00,0.7934,0.8051,0.7901,0.8051
2022-01-01 08:00:00,0.8051,0.8652,0.8051,0.8283
2022-01-01 09:00:00,0.8283,0.8332,0.8188,0.8242
2022-01-01 10:00:00,0.8239,0.854,0.8214,0.831
2022-01-01 11:00:00,0.8365,0.8497,0.8287,0.8305
2022-01-01 12:00:00,0.8315,0.8447,0.8302,0.8365
2022-01-01 13:00:00,0.8359,0.8463,0.8206,0.8408
2022-01-01 14:00:00,0.8389,0.8416,0.8348,0.84
2022-01-01 15:00:00,0.8358,0.8527,0.8358,0.8398
2022-01-01 16:00:00,0.8402,0.9,0.8375,0.8643
2022-01-01 17:00:00,0.8643,0.8685,0.8456,0.8535
2022-01-01 18:00:00,0.8556,0.8556,0.8404,0.8422
2022-01-01 19:00:00,0.8409,0.841,0.832,0.8325
2022-01-01 20:00:00,0.8346,0.8351,0.8309,0.8323
2022-01-01 21:00:00,0.8308,0.8308,0.8191,0.8214
2022-01-01 22:00:00,0.8233,0.8272,0.8233,0.825
2022-01-01 23:00:00,0.8243,0.8251,0.8181,0.8181
2022-01-02 00:00:00,0.8182,0.8225,0.8182,0.82
2022-01-02 01:00:00,0.8225,0.8265,0.82,0.8237
2022-01-02 02:00:00,0.82,0.8265,0.8167,0.8189
2022-01-02 03:00:00,0.8197,0.8197,0.8129,0.8166
2022-01-02 04:00:00,0.8166,0.8228,0.8134,0.8195
2022-01-02 05:00:00,0.8211,0.8211,0.816,0.8183
2022-01-02 06:00:00,0.8182,0.8319,0.8182,0.827
2022-01-02 07:00:00,0.8263,0.8308,0.8205,0.8303
2022-01-02 08:00:00,0.8303,0.8306,0.8204,0.8212
2022-01-02 09:00:00,0.8195,0.8245,0.815,0.815
2022-01-02 10:00:00,0.8178,0.8233,0.8178,0.8203
2022-01-02 11:00:00,0.8217,0.829,0.8205,0.8215
2022-01-02 12:00:00,0.8253,0.8276,0.8202,0.825
2022-01-02 13:00:00,0.8239,0.8239,0.815,0.8163
2022-01-02 14:00:00,0.8206,0.8226,0.8163,0.8182
2022-01-02 15:00:00,0.8179,0.8217,0.8171,0.8171
2022-01-02 16:00:00,0.8171,0.8213,0.8171,0.8201
2022-01-02 17:00:00,0.8183,0.821,0.8172,0.8206
2022-01-02 18:00:00,0.8204,0.8218,0.8155,0.8155
2022-01-02 19:00:00,0.8156,0.8178,0.8155,0.8158
2022-01-02 20:00:00,0.8158,0.8172,0.815,0.8165
2022-01-02 21:00:00,0.8154,0.8173,0.8116,0.8149
2022-01-02 22:00:00,0.8147,0.8148,0.8068,0.8085
2022-01-02 23:00:00,0.8068,0.81,0.8068,0.8071
2022-01-03 00:00:00,0.8078,0.8113,0.8068,0.8113
2022-01-03 01:00:00,0.8092,0.8092,0.8031,0.8043
2022-01-03 02:00:00,0.8031,0.8073,0.8029,0.8073
2022-01-03 03:00:00,0.8073,0.8077,0.8003,0.8014
2022-01-03 04:00:00,0.8027,0.8027,0.7985,0.799
2022-01-03 05:00:00,0.8006,0.8055,0.7981,0.8055
2022-01-03 06:00:00,0.806,0.8096,0.806,0.8096
2022-01-03 07:00:00,0.8105,0.8309,0.8105,0.825
2022-01-03 08:00:00,0.824,0.8245,0.8196,0.8196
2022-01-03 09:00:00,0.8196,0.8242,0.816,0.8242
2022-01-03 10:00:00,0.8268,0.8406,0.82,0.8252
2022-01-03 11:00:00,0.8229,0.823,0.8064,0.8093
2022-01-03 12:00:00,0.8117,0.8132,0.8086,0.8132
2022-01-03 13:00:00,0.8098,0.815,0.8077,0.8077
2022-01-03 14:00:00,0.8071,0.8091,0.8033,0.8033
2022-01-03 15:00:00,0.8055,0.8056,0.79,0.7959
2022-01-03 16:00:00,0.7959,0.8045,0.7959,0.8023
2022-01-03 17:00:00,0.8034,0.8044,0.7996,0.8012
2022-01-03 18:00:00,0.8013,0.8045,0.8012,0.8012
2022-01-03 19:00:00,0.8012,0.8033,0.797,0.797
2022-01-03 20:00:00,0.797,0.7984,0.7924,0.7924
2022-01-03 21:00:00,0.7948,0.7948,0.7911,0.7946
2022-01-03 22:00:00,0.7946,0.7993,0.7946,0.7982
2022-01-03 23:00:00,0.7999,0.8004,0.7942,0.7995
2022-01-04 00:00:00,0.7994,0.8045,0.7972,0.8045
2022-01-04 01:00:00,0.8045,0.8122,0.8045,0.8122
2022-01-04 02:00:00,0.8121,0.826,0.8069,0.8217
2022-01-04 03:00:00,0.8246,0.827,0.8082,0.8082
2022-01-04 04:00:00,0.8135,0.818,0.8117,0.8156
2022-01-04 05:00:00,0.8149,0.8161,0.814,0.814
2022-01-04 06:00:00,0.816,0.8233,0.8156,0.82
2022-01-04 07:00:00,0.8218,0.8218,0.8117,0.8157
2022-01-04 08:00:00,0.8157,0.8285,0.8078,0.8222
2022-01-04 09:00:00,0.8222,0.8337,0.8214,0.8305
2022-01-04 10:00:00,0.8289,0.898,0.8205,0.8357
2022-01-04 11:00:00,0.8374,0.8447,0.8231,0.837
2022-01-04 12:00:00,0.8447,0.8447,0.8319,0.8319
2022-01-04 13:00:00,0.8319,0.8364,0.8117,0.817
2022-01-04 14:00:00,0.8185,0.8366,0.8185,0.8276
2022-01-04 15:00:00,0.8324,0.8353,0.8269,0.8335
2022-01-04 16:00:00,0.8335,0.8335,0.8277,0.8289
2022-01-04 17:00:00,0.8289,0.8316,0.826,0.8271
2022-01-04 18:00:00,0.8298,0.8313,0.8261,0.827
2022-01-04 19:00:00,0.827,0.8324,0.8265,0.83
2022-01-04 20:00:00,0.83,0.8355,0.83,0.8312
2022-01-04 21:00:00,0.8313,0.8356,0.826,0.8297
2022-01-04 22:00:00,0.8297,0.8358,0.8296,0.8357
2022-01-04 23:00:00,0.8357,0.8425,0.8351,0.8383
2022-01-05 00:00:00,0.8359,0.8359,0.829,0.8338
2022-01-05 01:00:00,0.8338,0.8406,0.8265,0.8266
2022-01-05 02:00:00,0.8268,0.8291,0.8265,0.8291
2022-01-05 03:00:00,0.8265,0.8336,0.8265,0.8327
2022-01-05 04:00:00,0.8347,0.8347,0.8276,0.8276
2022-01-05 05:00:00,0.8302,0.8314,0.8268,0.8307
2022-01-05 06:00:00,0.8307,0.8308,0.8231,0.8262
2022-01-05 07:00:00,0.8227,0.8251,0.8145,0.8173
2022-01-05 08:00:00,0.8192,0.8216,0.8162,0.8216
2022-01-05 09:00:00,0.8224,0.8255,0.8154,0.8215
2022-01-05 10:00:00,0.8248,0.8255,0.8186,0.8255
2022-01-05 11:00:00,0.8232,0.8236,0.8162,0.8162
2022-01-05 12:00:00,0.8162,0.8204,0.8079,0.8079
2022-01-05 13:00:00,0.8079,0.818,0.7993,0.8117
2022-01-05 14:00:00,0.8112,0.8112,0.7827,0.7828
2022-01-05 15:00:00,0.7827,0.7894,0.7712,0.7815
2022-01-05 16:00:00,0.7853,0.7911,0.7604,0.7604
2022-01-05 17:00:00,0.763,0.769,0.7448,0.7607
2022-01-05 18:00:00,0.7607,0.7638,0.7567,0.7579
2022-01-05 19:00:00,0.758,0.7679,0.7575,0.7668
2022-01-05 20:00:00,0.7676,0.7686,0.755,0.7587
2022-01-05 21:00:00,0.7568,0.758,0.7496,0.7496
2022-01-05 22:00:00,0.7497,0.752,0.7459,0.7473
2022-01-05 23:00:00,0.7477,0.7486,0.7416,0.7478
2022-01-06 00:00:00,0.7479,0.7501,0.745,0.7492
2022-01-06 01:00:00,0.7491,0.7518,0.748,0.7508
2022-01-06 02:00:00,0.7518,0.7663,0.7496,0.7663
2022-01-06 03:00:00,0.7679,0.7702,0.7518,0.7542
2022-01-06 04:00:00,0.7518,0.7518,0.7376,0.7376
2022-01-06 05:00:00,0.738,0.7419,0.7351,0.7416
2022-01-06 06:00:00,0.7388,0.7405,0.7375,0.7391
2022-01-06 07:00:00,0.7399,0.7399,0.734,0.7378
2022-01-06 08:00:00,0.7386,0.7457,0.7359,0.7457
2022-01-06 09:00:00,0.7456,0.746,0.7388,0.7397
2022-01-06 10:00:00,0.7403,0.7448,0.7378,0.7448
2022-01-06 11:00:00,0.7424,0.7455,0.7405,0.7452
2022-01-06 12:00:00,0.7445,0.7453,0.7408,0.7428
2022-01-06 13:00:00,0.745,0.7585,0.745,0.7585
2022-01-06 14:00:00,0.7595,0.768,0.7595,0.768
2022-01-06 15:00:00,0.7672,0.7672,0.7551,0.7554
2022-01-06 16:00:00,0.7577,0.7602,0.7563,0.7602
2022-01-06 17:00:00,0.7602,0.7611,0.7566,0.761
2022-01-06 18:00:00,0.7575,0.7624,0.7574,0.7624
2022-01-06 19:00:00,0.7591,0.7591,0.7489,0.75
2022-01-06 20:00:00,0.7473,0.7543,0.7473,0.7543
2022-01-06 21:00:00,0.7543,0.7544,0.7501,0.7501
2022-01-06 22:00:00,0.7501,0.7524,0.733,0.7331
2022-01-06 23:00:00,0.7344,0.7348,0.7189,0.7282
2022-01-07 00:00:00,0.7286,0.7362,0.7286,0.7353
2022-01-07 01:00:00,0.7353,0.7381,0.7292,0.7304
2022-01-07 02:00:00,0.7296,0.7296,0.72,0.725
2022-01-07 03:00:00,0.725,0.7346,0.7227,0.7281
2022-01-07 04:00:00,0.7286,0.7329,0.7264,0.7304
2022-01-07 05:00:00,0.7299,0.7299,0.7239,0.7239
2022-01-07 06:00:00,0.7257,0.7297,0.723,0.7297
2022-01-07 07:00:00,0.7296,0.7327,0.7293,0.7298
2022-01-07 08:00:00,0.7294,0.737,0.7107,0.7131
2022-01-07 09:00:00,0.713,0.7187,0.7061,0.7187
2022-01-07 10:00:00,0.7155,0.7186,0.6923,0.7096
2022-01-07 11:00:00,0.7103,0.7251,0.7069,0.7251
2022-01-07 12:00:00,0.7221,0.7221,0.7152,0.7206
2022-01-07 13:00:00,0.7184,0.7208,0.7142,0.7171
2022-01-07 14:00:00,0.7153,0.7208,0.7145,0.7206
2022-01-07 15:00:00,0.7207,0.7248,0.7162,0.7238
2022-01-07 16:00:00,0.7184,0.7216,0.7161,0.7199
2022-01-07 17:00:00,0.7161,0.7179,0.7121,0.7121
2022-01-07 18:00:00,0.7124,0.7153,0.7113,0.7119
2022-01-07 19:00:00,0.7142,0.7214,0.7134,0.7214
2022-01-07 20:00:00,0.7214,0.7257,0.7214,0.7257
2022-01-07 21:00:00,0.7229,0.7254,0.7157,0.722
2022-01-07 22:00:00,0.7195,0.722,0.7142,0.718
2022-01-07 23:00:00,0.7182,0.7214,0.7175,0.7214
2022-01-08 00:00:00,0.721,0.7221,0.7195,0.7221
2022-01-08 01:00:00,0.7229,0.73,0.7229,0.73
2022-01-08 02:00:00,0.7304,0.7315,0.727,0.7288
2022-01-08 03:00:00,0.7288,0.7347,0.7281,0.7282
2022-01-08 04:00:00,0.7283,0.7346,0.7283,0.7343
2022-01-08 05:00:00,0.7344,0.7354,0.7283,0.73
2022-01-08 06:00:00,0.7283,0.7311,0.7264,0.7297
2022-01-08 07:00:00,0.7297,0.7323,0.7251,0.7256
2022-01-08 08:00:00,0.7276,0.7637,0.7241,0.7295
2022-01-08 09:00:00,0.7313,0.7328,0.7241,0.7241
2022-01-08 10:00:00,0.7241,0.7296,0.717,0.7296
2022-01-08 11:00:00,0.7265,0.7303,0.7234,0.7234
2022-01-08 12:00:00,0.7253,0.7299,0.6915,0.6915
2022-01-08 13:00:00,0.693,0.7043,0.6821,0.6865
2022-01-08 14:00:00,0.6882,0.6954,0.6776,0.684
2022-01-08 15:00:00,0.6847,0.69,0.6813,0.6888
2022-01-08 16:00:00,0.6888,0.7014,0.6888,0.7014
2022-01-08 17:00:00,0.702,0.718,0.702,0.7081
2022-01-08 18:00:00,0.7081,0.7126,0.7043,0.7044
2022-01-08 19:00:00,0.7026,0.7064,0.6997,0.7064
2022-01-08 20:00:00,0.7051,0.707,0.6984,0.7031
2022-01-08 21:00:00,0.7043,0.7085,0.7043,0.7082
2022-01-08 22:00:00,0.7068,0.7068,0.7043,0.7043
2022-01-08 23:00:00,0.7063,0.7083,0.7042,0.7082
2022-01-09 00:00:00,0.7082,0.7082,0.7041,0.7041
2022-01-09 01:00:00,0.7042,0.71,0.7042,0.7074
2022-01-09 02:00:00,0.7096,0.7096,0.7029,0.704
2022-01-09 03:00:00,0.7035,0.7054,0.6972,0.7029
2022-01-09 04:00:00,0.7027,0.7027,0.6962,0.6962
2022-01-09 05:00:00,0.6946,0.6996,0.6918,0.6996
2022-01-09 06:00:00,0.7001,0.7044,0.6991,0.6991
2022-01-09 07:00:00,0.6993,0.7001,0.6961,0.7001
2022-01-09 08:00:00,0.6997,0.7043,0.6944,0.6954
2022-01-09 09:00:00,0.6957,0.703,0.6954,0.6991
2022-01-09 10:00:00,0.6978,0.7007,0.6942,0.6973
2022-01-09 11:00:00,0.7005,0.7123,0.6971,0.7123
2022-01-09 12:00:00,0.7123,0.7159,0.7087,0.7159
2022-01-09 13:00:00,0.7141,0.7188,0.71,0.71
2022-01-09 14:00:00,0.7085,0.7223,0.7084,0.7223
2022-01-09 15:00:00,0.723,0.7287,0.7181,0.7181
2022-01-09 16:00:00,0.7181,0.7206,0.7147,0.7162
2022-01-09 17:00:00,0.7142,0.7174,0.7121,0.713
2022-01-09 18:00:00,0.713,0.713,0.7014,0.703
2022-01-09 19:00:00,0.703,0.7069,0.7023,0.7034
2022-01-09 20:00:00,0.7,0.7017,0.6988,0.6989
2022-01-09 21:00:00,0.7019,0.704,0.6984,0.704
2022-01-09 22:00:00,0.7043,0.7061,0.7043,0.7061
2022-01-09 23:00:00,0.7043,0.7113,0.7043,0.7113
2022-01-10 00:00:00,0.7111,0.7111,0.7073,0.7073
