datetime,HIVEBUSD_open,HIVEBUSD_high,HIVEBUSD_low,HIVEBUSD_close
2022-01-01 00:00:00,1.4941,1.5183,1.4941,1.5032
2022-01-01 01:00:00,1.5038,1.5127,1.4972,1.4972
2022-01-01 02:00:00,1.4957,1.5048,1.4945,1.4996
2022-01-01 03:00:00,1.5049,1.5071,1.4993,1.4995
2022-01-01 04:00:00,1.503,1.5043,1.4957,1.4985
2022-01-01 05:00:00,1.4992,1.5027,1.487,1.4907
2022-01-01 06:00:00,1.4937,1.4951,1.485,1.485
2022-01-01 07:00:00,1.4851,1.4979,1.4835,1.4979
2022-01-01 08:00:00,1.4987,1.4995,1.49,1.4956
2022-01-01 09:00:00,1.4936,1.4962,1.4883,1.4921
2022-01-01 10:00:00,1.4879,1.52,1.4879,1.4958
2022-01-01 11:00:00,1.4973,1.5051,1.4973,1.5008
2022-01-01 12:00:00,1.5001,1.5155,1.4964,1.5089
2022-01-01 13:00:00,1.5078,1.5129,1.505,1.5106
2022-01-01 14:00:00,1.5106,1.5198,1.5074,1.5198
2022-01-01 15:00:00,1.519,1.519,1.5095,1.516
2022-01-01 16:00:00,1.516,1.5166,1.5104,1.5104
2022-01-01 17:00:00,1.5126,1.5144,1.5091,1.5144
2022-01-01 18:00:00,1.5117,1.5238,1.5093,1.5238
2022-01-01 19:00:00,1.524,1.5458,1.5078,1.518
2022-01-01 20:00:00,1.5142,1.5152,1.5075,1.5118
2022-01-01 21:00:00,1.5069,1.558,1.5069,1.558
2022-01-01 22:00:00,1.5512,1.5739,1.546,1.5578
2022-01-01 23:00:00,1.5582,1.561,1.515,1.5273
2022-01-02 00:00:00,1.5273,1.5329,1.5209,1.5329
2022-01-02 01:00:00,1.5253,1.5419,1.5253,1.5394
2022-01-02 02:00:00,1.5392,1.5525,1.5372,1.5525
2022-01-02 03:00:00,1.5572,1.6,1.5517,1.5945
2022-01-02 04:00:00,1.5945,1.6051,1.5765,1.6
2022-01-02 05:00:00,1.6,1.6739,1.6,1.6229
2022-01-02 06:00:00,1.6232,1.6893,1.6151,1.6347
2022-01-02 07:00:00,1.6393,1.6499,1.6192,1.63
2022-01-02 08:00:00,1.63,1.7059,1.6104,1.7011
2022-01-02 09:00:00,1.7012,1.7727,1.6791,1.6947
2022-01-02 10:00:00,1.6948,1.716,1.6261,1.6428
2022-01-02 11:00:00,1.6414,1.675,1.6324,1.6694
2022-01-02 12:00:00,1.6747,1.6803,1.6443,1.652
2022-01-02 13:00:00,1.6522,1.6584,1.6192,1.6344
2022-01-02 14:00:00,1.6349,1.6563,1.6348,1.6396
2022-01-02 15:00:00,1.6429,1.6494,1.6362,1.642
2022-01-02 16:00:00,1.642,1.6558,1.6381,1.6555
2022-01-02 17:00:00,1.6559,1.6814,1.6559,1.6779
2022-01-02 18:00:00,1.6774,1.7488,1.6746,1.7265
2022-01-02 19:00:00,1.7279,1.7363,1.6573,1.6671
2022-01-02 20:00:00,1.6671,1.7154,1.6671,1.6897
2022-01-02 21:00:00,1.6898,1.7028,1.6705,1.7016
2022-01-02 22:00:00,1.6985,1.7509,1.6934,1.6994
2022-01-02 23:00:00,1.6968,1.6968,1.6699,1.6756
2022-01-03 00:00:00,1.6777,1.6935,1.674,1.6904
2022-01-03 01:00:00,1.6904,1.7456,1.6864,1.7087
2022-01-03 02:00:00,1.7155,1.7525,1.7067,1.7287
2022-01-03 03:00:00,1.7277,1.7277,1.6732,1.6775
2022-01-03 04:00:00,1.6774,1.6897,1.6406,1.6479
2022-01-03 05:00:00,1.6488,1.6613,1.6428,1.6449
2022-01-03 06:00:00,1.6413,1.6476,1.6343,1.6475
2022-01-03 07:00:00,1.6422,1.6546,1.64,1.648
2022-01-03 08:00:00,1.6479,1.6671,1.6448,1.6599
2022-01-03 09:00:00,1.663,1.6728,1.6449,1.6529
2022-01-03 10:00:00,1.6482,1.6596,1.6435,1.6438
2022-01-03 11:00:00,1.6407,1.6433,1.5932,1.6184
2022-01-03 12:00:00,1.6167,1.638,1.6144,1.632
2022-01-03 13:00:00,1.6371,1.6393,1.62,1.62
2022-01-03 14:00:00,1.62,1.6291,1.6163,1.6163
2022-01-03 15:00:00,1.6161,1.62,1.5774,1.587
2022-01-03 16:00:00,1.5884,1.5993,1.5798,1.5935
2022-01-03 17:00:00,1.599,1.605,1.5874,1.5976
2022-01-03 18:00:00,1.6051,1.6443,1.6033,1.6323
2022-01-03 19:00:00,1.6341,1.6755,1.631,1.6584
2022-01-03 20:00:00,1.65,1.65,1.5903,1.5903
2022-01-03 21:00:00,1.5939,1.5982,1.5673,1.5759
2022-01-03 22:00:00,1.5793,1.5904,1.5701,1.5904
2022-01-03 23:00:00,1.5854,1.5905,1.5723,1.5773
2022-01-04 00:00:00,1.5746,1.5839,1.5726,1.5733
2022-01-04 01:00:00,1.5777,1.585,1.5739,1.5808
2022-01-04 02:00:00,1.5814,1.6032,1.5814,1.6007
2022-01-04 03:00:00,1.5985,1.61,1.5985,1.5986
2022-01-04 04:00:00,1.5986,1.6106,1.5964,1.6006
2022-01-04 05:00:00,1.6012,1.6143,1.6007,1.61
2022-01-04 06:00:00,1.61,1.6263,1.61,1.6238
2022-01-04 07:00:00,1.6239,1.6239,1.5827,1.5949
2022-01-04 08:00:00,1.5983,1.6079,1.5903,1.6049
2022-01-04 09:00:00,1.6111,1.6198,1.6017,1.6127
2022-01-04 10:00:00,1.6171,1.6188,1.6021,1.6021
2022-01-04 11:00:00,1.6005,1.6049,1.5926,1.6005
2022-01-04 12:00:00,1.6006,1.6111,1.5987,1.6024
2022-01-04 13:00:00,1.6,1.6022,1.5727,1.5784
2022-01-04 14:00:00,1.5811,1.599,1.5765,1.5837
2022-01-04 15:00:00,1.5835,1.6052,1.5804,1.6021
