datetime,HNTBUSD_open,HNTBUSD_high,HNTBUSD_low,HNTBUSD_close
2022-01-01 00:00:00,39.57,40.15,39.52,39.63
2022-01-01 01:00:00,39.64,39.89,39.27,39.37
2022-01-01 02:00:00,39.34,39.5,38.64,38.79
2022-01-01 03:00:00,38.79,39.18,38.79,38.87
2022-01-01 04:00:00,38.99,39.13,38.56,38.83
2022-01-01 05:00:00,38.86,39.55,38.52,39.51
2022-01-01 06:00:00,39.42,39.42,38.92,39.06
2022-01-01 07:00:00,39.1,40.21,39.03,40.07
2022-01-01 08:00:00,40.01,40.45,39.61,39.69
2022-01-01 09:00:00,39.69,39.9,39.37,39.42
2022-01-01 10:00:00,39.42,40.06,39.3,39.85
2022-01-01 11:00:00,39.74,39.95,39.25,39.3
2022-01-01 12:00:00,39.35,39.84,39.32,39.63
2022-01-01 13:00:00,39.6,39.64,39.32,39.63
2022-01-01 14:00:00,39.63,39.68,39.37,39.38
2022-01-01 15:00:00,39.39,39.91,39.39,39.58
2022-01-01 16:00:00,39.58,39.63,39.27,39.39
2022-01-01 17:00:00,39.39,39.54,39.32,39.51
2022-01-01 18:00:00,39.54,39.82,39.34,39.82
2022-01-01 19:00:00,39.82,39.9,39.31,39.39
2022-01-01 20:00:00,39.35,39.37,38.86,39.03
2022-01-01 21:00:00,38.97,39.16,38.81,38.94
2022-01-01 22:00:00,38.94,39.05,38.62,38.81
2022-01-01 23:00:00,38.72,38.81,38.21,38.44
2022-01-02 00:00:00,38.45,38.78,38.43,38.78
2022-01-02 01:00:00,38.72,38.76,38.54,38.65
2022-01-02 02:00:00,38.64,38.94,38.56,38.75
2022-01-02 03:00:00,38.77,38.83,38.49,38.83
2022-01-02 04:00:00,38.8,38.95,38.66,38.81
2022-01-02 05:00:00,38.67,39.03,38.65,38.8
2022-01-02 06:00:00,38.88,38.95,38.72,38.89
2022-01-02 07:00:00,38.85,39.44,38.79,39.23
2022-01-02 08:00:00,39.25,39.33,38.94,39.06
2022-01-02 09:00:00,39.08,39.85,38.99,39.42
2022-01-02 10:00:00,39.41,39.87,39.38,39.65
2022-01-02 11:00:00,39.65,40.91,39.65,40.73
2022-01-02 12:00:00,40.82,40.85,40.3,40.83
2022-01-02 13:00:00,40.83,41.58,40.15,41.32
2022-01-02 14:00:00,41.34,41.34,40.79,41.25
2022-01-02 15:00:00,41.25,42.39,41.08,42.24
2022-01-02 16:00:00,42.14,42.25,41.74,42.19
2022-01-02 17:00:00,42.19,42.46,41.43,41.49
2022-01-02 18:00:00,41.49,41.69,40.58,41.03
2022-01-02 19:00:00,41.05,42.9,40.91,41.54
2022-01-02 20:00:00,41.6,41.7,41.09,41.15
2022-01-02 21:00:00,41.21,41.21,40.8,41.0
2022-01-02 22:00:00,41.01,41.19,40.52,41.19
2022-01-02 23:00:00,41.13,41.36,40.88,40.88
2022-01-03 00:00:00,40.91,41.38,40.89,41.24
2022-01-03 01:00:00,41.2,41.39,40.91,40.91
2022-01-03 02:00:00,40.98,42.72,40.88,41.48
2022-01-03 03:00:00,41.5,41.6,40.54,40.55
2022-01-03 04:00:00,40.62,40.78,39.74,40.17
2022-01-03 05:00:00,40.16,40.62,39.97,40.43
2022-01-03 06:00:00,40.4,40.6,40.31,40.42
2022-01-03 07:00:00,40.33,40.43,40.03,40.09
2022-01-03 08:00:00,40.09,40.93,40.02,40.56
2022-01-03 09:00:00,40.62,41.92,40.53,41.51
2022-01-03 10:00:00,41.55,41.81,41.0,41.16
2022-01-03 11:00:00,41.19,41.38,39.47,39.66
2022-01-03 12:00:00,39.65,40.39,39.65,40.15
2022-01-03 13:00:00,40.16,40.5,39.97,40.28
2022-01-03 14:00:00,40.32,40.36,40.04,40.04
2022-01-03 15:00:00,40.03,40.03,38.92,39.58
2022-01-03 16:00:00,39.58,39.97,39.4,39.8
2022-01-03 17:00:00,39.69,40.21,39.6,39.9
2022-01-03 18:00:00,39.9,40.17,39.8,39.99
2022-01-03 19:00:00,39.94,40.1,39.35,39.57
2022-01-03 20:00:00,39.44,40.4,39.25,39.3
2022-01-03 21:00:00,39.41,39.47,39.0,39.09
2022-01-03 22:00:00,39.12,39.32,38.88,39.19
2022-01-03 23:00:00,39.14,39.25,38.5,38.67
2022-01-04 00:00:00,38.67,38.93,38.66,38.9
2022-01-04 01:00:00,38.87,39.19,38.87,39.19
2022-01-04 02:00:00,39.19,39.37,39.08,39.29
2022-01-04 03:00:00,39.21,40.29,39.12,40.07
2022-01-04 04:00:00,39.97,40.64,39.81,40.37
2022-01-04 05:00:00,40.3,40.89,40.26,40.53
2022-01-04 06:00:00,40.57,40.67,40.21,40.3
2022-01-04 07:00:00,40.35,40.35,39.9,40.11
2022-01-04 08:00:00,40.07,41.06,39.97,40.97
2022-01-04 09:00:00,40.97,41.86,40.81,41.36
2022-01-04 10:00:00,41.43,42.04,41.1,41.35
