datetime,ICPBUSD_open,ICPBUSD_high,ICPBUSD_low,ICPBUSD_close
2022-01-01 00:00:00,24.78,25.34,24.78,25.1
2022-01-01 01:00:00,25.09,25.28,25.04,25.18
2022-01-01 02:00:00,25.19,25.35,24.99,25.25
2022-01-01 03:00:00,25.24,25.38,25.15,25.17
2022-01-01 04:00:00,25.18,25.21,24.88,25.05
2022-01-01 05:00:00,25.03,25.16,24.66,24.88
2022-01-01 06:00:00,24.89,25.02,24.81,24.83
2022-01-01 07:00:00,24.83,25.16,24.83,25.12
2022-01-01 08:00:00,25.12,25.14,24.93,24.95
2022-01-01 09:00:00,24.95,25.0,24.86,24.9
2022-01-01 10:00:00,24.88,25.27,24.87,25.15
2022-01-01 11:00:00,25.15,25.33,25.11,25.17
2022-01-01 12:00:00,25.17,25.63,25.16,25.47
2022-01-01 13:00:00,25.46,25.58,25.29,25.34
2022-01-01 14:00:00,25.35,25.69,25.35,25.6
2022-01-01 15:00:00,25.61,26.0,25.48,25.75
2022-01-01 16:00:00,25.76,25.84,25.4,25.47
2022-01-01 17:00:00,25.48,25.62,25.44,25.55
2022-01-01 18:00:00,25.55,25.66,25.38,25.64
2022-01-01 19:00:00,25.64,26.63,25.4,26.54
2022-01-01 20:00:00,26.54,27.06,26.27,26.87
2022-01-01 21:00:00,26.85,27.81,26.54,27.3
2022-01-01 22:00:00,27.31,27.91,27.19,27.6
2022-01-01 23:00:00,27.6,28.22,27.2,27.66
2022-01-02 00:00:00,27.61,28.06,27.55,27.73
2022-01-02 01:00:00,27.68,27.82,27.47,27.56
2022-01-02 02:00:00,27.53,27.64,27.27,27.53
2022-01-02 03:00:00,27.54,27.88,27.21,27.66
2022-01-02 04:00:00,27.63,27.84,27.49,27.53
2022-01-02 05:00:00,27.51,27.6,27.32,27.35
2022-01-02 06:00:00,27.34,27.61,27.34,27.52
2022-01-02 07:00:00,27.49,27.97,27.08,27.69
2022-01-02 08:00:00,27.69,27.86,27.37,27.4
2022-01-02 09:00:00,27.41,27.42,26.98,27.15
2022-01-02 10:00:00,27.15,27.63,27.03,27.5
2022-01-02 11:00:00,27.5,27.91,27.47,27.9
2022-01-02 12:00:00,27.9,28.57,27.59,28.09
2022-01-02 13:00:00,28.12,28.12,27.13,27.45
2022-01-02 14:00:00,27.4,27.56,27.26,27.28
2022-01-02 15:00:00,27.29,27.48,27.17,27.43
2022-01-02 16:00:00,27.42,27.52,27.15,27.18
2022-01-02 17:00:00,27.21,27.47,27.19,27.42
2022-01-02 18:00:00,27.44,27.52,27.27,27.33
2022-01-02 19:00:00,27.3,27.46,26.69,26.69
2022-01-02 20:00:00,26.71,26.99,26.59,26.99
2022-01-02 21:00:00,26.99,27.0,26.64,26.98
2022-01-02 22:00:00,26.92,27.01,26.53,26.74
2022-01-02 23:00:00,26.71,27.06,26.66,26.87
2022-01-03 00:00:00,26.86,27.31,26.85,27.27
2022-01-03 01:00:00,27.27,27.28,26.66,26.69
2022-01-03 02:00:00,26.67,26.91,26.67,26.84
2022-01-03 03:00:00,26.84,27.2,26.83,26.92
2022-01-03 04:00:00,26.9,27.07,26.67,26.97
2022-01-03 05:00:00,26.97,27.47,26.97,27.1
2022-01-03 06:00:00,27.11,27.55,27.11,27.4
2022-01-03 07:00:00,27.4,27.6,27.2,27.25
2022-01-03 08:00:00,27.27,28.08,27.21,27.96
2022-01-03 09:00:00,27.96,29.17,27.94,28.59
2022-01-03 10:00:00,28.6,28.95,28.33,28.54
2022-01-03 11:00:00,28.54,28.8,27.48,27.91
2022-01-03 12:00:00,27.9,28.62,27.88,28.32
2022-01-03 13:00:00,28.32,28.45,27.99,28.07
2022-01-03 14:00:00,28.1,28.65,27.99,28.13
2022-01-03 15:00:00,28.12,28.77,27.5,27.94
2022-01-03 16:00:00,27.97,29.2,27.89,28.83
2022-01-03 17:00:00,28.8,29.39,28.69,28.96
2022-01-03 18:00:00,28.96,29.46,28.71,29.28
2022-01-03 19:00:00,29.29,29.89,28.74,29.12
2022-01-03 20:00:00,29.13,29.26,28.38,28.4
2022-01-03 21:00:00,28.44,28.58,28.02,28.23
2022-01-03 22:00:00,28.26,28.33,27.82,28.3
2022-01-03 23:00:00,28.28,28.72,28.02,28.32
2022-01-04 00:00:00,28.27,28.8,28.12,28.72
2022-01-04 01:00:00,28.73,29.27,28.54,29.2
2022-01-04 02:00:00,29.22,29.42,28.81,29.33
2022-01-04 03:00:00,29.36,29.37,28.93,29.05
2022-01-04 04:00:00,29.08,29.24,28.82,28.97
2022-01-04 05:00:00,28.98,30.79,28.81,30.46
2022-01-04 06:00:00,30.45,31.7,30.4,31.3
2022-01-04 07:00:00,31.32,32.12,31.12,32.04
2022-01-04 08:00:00,31.99,33.15,31.72,32.71
2022-01-04 09:00:00,32.72,34.73,32.71,33.99
