datetime,ICPUSD_open,ICPUSD_high,ICPUSD_low,ICPUSD_close
2022-01-01 00:00:00,24.43,25.04,24.41,25.02
2022-01-01 01:00:00,25.01,25.23,24.9,24.98
2022-01-01 02:00:00,24.98,25.17,24.97,25.08
2022-01-01 03:00:00,25.06,25.13,25.01,25.02
2022-01-01 04:00:00,25.03,25.08,24.76,24.84
2022-01-01 05:00:00,24.86,25.34,24.79,25.1
2022-01-01 06:00:00,25.1,25.28,25.03,25.17
2022-01-01 07:00:00,25.17,25.35,25.0,25.25
2022-01-01 08:00:00,25.22,25.39,25.14,25.17
2022-01-01 09:00:00,25.17,25.22,24.88,25.04
2022-01-01 10:00:00,25.05,25.18,24.65,24.87
2022-01-01 11:00:00,24.88,25.02,24.82,24.83
2022-01-01 12:00:00,24.83,25.16,24.82,25.11
2022-01-01 13:00:00,25.11,25.15,24.91,24.95
2022-01-01 14:00:00,24.95,25.01,24.85,24.87
2022-01-01 15:00:00,24.87,25.28,24.86,25.15
2022-01-01 16:00:00,25.17,25.34,25.12,25.17
2022-01-01 17:00:00,25.17,25.64,25.16,25.47
2022-01-01 18:00:00,25.48,25.59,25.28,25.35
2022-01-01 19:00:00,25.36,25.71,25.35,25.63
2022-01-01 20:00:00,25.65,26.01,25.48,25.75
2022-01-01 21:00:00,25.76,25.85,25.4,25.48
2022-01-01 22:00:00,25.48,25.62,25.43,25.54
2022-01-01 23:00:00,25.54,25.67,25.39,25.61
2022-01-02 00:00:00,25.62,26.63,25.39,26.56
2022-01-02 01:00:00,26.54,27.03,26.25,26.87
2022-01-02 02:00:00,26.87,27.87,26.53,27.33
2022-01-02 03:00:00,27.34,27.93,27.19,27.59
2022-01-02 04:00:00,27.58,28.27,27.21,27.65
2022-01-02 05:00:00,27.64,28.06,27.54,27.71
2022-01-02 06:00:00,27.66,27.83,27.45,27.56
2022-01-02 07:00:00,27.55,27.65,27.28,27.51
2022-01-02 08:00:00,27.53,27.9,27.22,27.65
2022-01-02 09:00:00,27.66,27.84,27.49,27.49
