datetime,ICPUSDT_open,ICPUSDT_high,ICPUSDT_low,ICPUSDT_close
2022-01-01 00:00:00,24.56,25.04,24.53,24.97
2022-01-01 01:00:00,24.93,25.23,24.92,24.98
2022-01-01 02:00:00,25.05,25.17,25.03,25.05
2022-01-01 03:00:00,25.06,25.12,25.02,25.02
2022-01-01 04:00:00,25.02,25.02,24.77,24.83
2022-01-01 05:00:00,24.87,25.34,24.8,25.09
2022-01-01 06:00:00,25.09,25.28,25.06,25.17
2022-01-01 07:00:00,25.15,25.38,25.0,25.24
2022-01-01 08:00:00,25.23,25.37,25.15,25.18
2022-01-01 09:00:00,25.18,25.21,24.88,25.06
2022-01-01 10:00:00,25.09,25.15,24.65,24.88
2022-01-01 11:00:00,24.88,25.01,24.82,24.87
2022-01-01 12:00:00,24.87,25.15,24.84,25.06
2022-01-01 13:00:00,25.11,25.11,24.92,24.96
2022-01-01 14:00:00,24.97,24.99,24.86,24.87
2022-01-01 15:00:00,24.99,25.31,24.94,25.15
2022-01-01 16:00:00,25.21,25.34,25.11,25.2
2022-01-01 17:00:00,25.18,25.63,25.18,25.46
2022-01-01 18:00:00,25.44,25.57,25.3,25.41
2022-01-01 19:00:00,25.44,25.7,25.44,25.62
2022-01-01 20:00:00,25.64,25.98,25.48,25.74
2022-01-01 21:00:00,25.7,25.82,25.39,25.47
2022-01-01 22:00:00,25.47,25.62,25.47,25.51
2022-01-01 23:00:00,25.53,25.65,25.38,25.63
2022-01-02 00:00:00,25.63,26.67,25.39,26.44
2022-01-02 01:00:00,26.46,27.04,26.27,26.82
2022-01-02 02:00:00,26.83,27.79,26.54,27.29
2022-01-02 03:00:00,27.3,27.9,27.2,27.58
2022-01-02 04:00:00,27.62,28.24,27.2,27.56
2022-01-02 05:00:00,27.58,28.05,27.56,27.72
2022-01-02 06:00:00,27.7,27.82,27.47,27.54
2022-01-02 07:00:00,27.55,27.64,27.3,27.53
2022-01-02 08:00:00,27.57,27.87,27.21,27.64
2022-01-02 09:00:00,27.64,27.83,27.49,27.52
2022-01-02 10:00:00,27.52,27.59,27.31,27.36
2022-01-02 11:00:00,27.43,27.57,27.38,27.52
2022-01-02 12:00:00,27.48,27.97,27.1,27.68
2022-01-02 13:00:00,27.69,27.84,27.37,27.37
2022-01-02 14:00:00,27.37,27.38,26.99,27.15
2022-01-02 15:00:00,27.14,27.63,27.04,27.5
2022-01-02 16:00:00,27.52,27.91,27.5,27.9
2022-01-02 17:00:00,27.92,28.58,27.58,28.1
2022-01-02 18:00:00,28.08,28.08,27.1,27.44
2022-01-02 19:00:00,27.43,27.55,27.25,27.28
2022-01-02 20:00:00,27.28,27.48,27.18,27.4
2022-01-02 21:00:00,27.38,27.52,27.15,27.21
2022-01-02 22:00:00,27.21,27.48,27.2,27.45
2022-01-02 23:00:00,27.47,27.5,27.26,27.28
2022-01-03 00:00:00,27.26,27.46,26.67,26.67
2022-01-03 01:00:00,26.66,27.0,26.61,26.99
2022-01-03 02:00:00,26.96,27.0,26.62,27.0
2022-01-03 03:00:00,26.93,27.02,26.52,26.68
2022-01-03 04:00:00,26.68,27.05,26.68,26.88
2022-01-03 05:00:00,26.85,27.31,26.85,27.24
2022-01-03 06:00:00,27.24,27.24,26.66,26.68
2022-01-03 07:00:00,26.7,26.92,26.68,26.85
2022-01-03 08:00:00,26.91,27.21,26.85,26.94
2022-01-03 09:00:00,26.97,27.07,26.68,27.01
2022-01-03 10:00:00,27.05,27.45,27.05,27.25
2022-01-03 11:00:00,27.23,27.54,27.2,27.44
2022-01-03 12:00:00,27.43,27.61,27.2,27.3
2022-01-03 13:00:00,27.32,28.11,27.21,27.97
2022-01-03 14:00:00,27.98,29.18,27.92,28.6
2022-01-03 15:00:00,28.61,28.97,28.33,28.52
2022-01-03 16:00:00,28.52,28.81,27.52,27.9
2022-01-03 17:00:00,27.91,28.64,27.9,28.37
2022-01-03 18:00:00,28.36,28.45,27.98,28.15
2022-01-03 19:00:00,28.18,28.64,27.99,28.07
2022-01-03 20:00:00,28.08,28.76,27.48,27.95
2022-01-03 21:00:00,27.96,29.12,27.89,28.79
2022-01-03 22:00:00,28.8,29.4,28.69,28.97
2022-01-03 23:00:00,28.98,29.46,28.7,29.37
2022-01-04 00:00:00,29.4,29.9,28.76,29.13
2022-01-04 01:00:00,29.12,29.26,28.38,28.38
2022-01-04 02:00:00,28.44,28.57,28.01,28.23
2022-01-04 03:00:00,28.25,28.33,27.82,28.31
2022-01-04 04:00:00,28.25,28.71,28.04,28.29
2022-01-04 05:00:00,28.27,28.8,28.11,28.72
2022-01-04 06:00:00,28.71,29.27,28.53,29.23
2022-01-04 07:00:00,29.21,29.43,28.82,29.36
2022-01-04 08:00:00,29.34,29.37,28.92,29.07
2022-01-04 09:00:00,29.05,29.24,28.82,28.95
2022-01-04 10:00:00,29.04,30.78,28.82,30.47
2022-01-04 11:00:00,30.43,31.73,30.41,31.34
2022-01-04 12:00:00,31.35,32.12,31.14,31.95
2022-01-04 13:00:00,32.0,33.2,31.71,32.71
2022-01-04 14:00:00,32.72,34.71,32.72,33.98
2022-01-04 15:00:00,34.07,35.0,33.77,34.13
2022-01-04 16:00:00,34.14,34.54,33.86,34.24
2022-01-04 17:00:00,34.25,34.62,33.97,34.14
2022-01-04 18:00:00,34.09,34.52,32.35,32.84
2022-01-04 19:00:00,32.81,33.69,32.68,33.57
2022-01-04 20:00:00,33.59,34.76,33.26,34.2
2022-01-04 21:00:00,34.23,34.47,33.64,34.36
2022-01-04 22:00:00,34.34,35.551,34.2,35.22
2022-01-04 23:00:00,35.22,35.36,33.57,33.79
2022-01-05 00:00:00,33.85,36.14,33.3,35.78
2022-01-05 01:00:00,35.73,37.5,35.52,36.64
2022-01-05 02:00:00,36.66,37.13,35.88,35.97
