datetime,ICXBUSD_open,ICXBUSD_high,ICXBUSD_low,ICXBUSD_close
2022-01-01 00:00:00,1.221,1.241,1.218,1.232
2022-01-01 01:00:00,1.234,1.24,1.227,1.228
2022-01-01 02:00:00,1.227,1.231,1.219,1.231
2022-01-01 03:00:00,1.23,1.235,1.227,1.227
2022-01-01 04:00:00,1.227,1.23,1.219,1.223
2022-01-01 05:00:00,1.224,1.226,1.21,1.216
2022-01-01 06:00:00,1.216,1.22,1.214,1.216
2022-01-01 07:00:00,1.218,1.226,1.216,1.226
2022-01-01 08:00:00,1.226,1.228,1.219,1.226
2022-01-01 09:00:00,1.226,1.231,1.223,1.228
2022-01-01 10:00:00,1.227,1.244,1.225,1.236
2022-01-01 11:00:00,1.236,1.245,1.235,1.235
2022-01-01 12:00:00,1.236,1.247,1.228,1.242
2022-01-01 13:00:00,1.242,1.243,1.234,1.238
2022-01-01 14:00:00,1.239,1.242,1.234,1.242
2022-01-01 15:00:00,1.24,1.249,1.238,1.242
2022-01-01 16:00:00,1.243,1.246,1.237,1.237
2022-01-01 17:00:00,1.238,1.247,1.233,1.241
2022-01-01 18:00:00,1.24,1.252,1.238,1.251
2022-01-01 19:00:00,1.253,1.254,1.234,1.236
2022-01-01 20:00:00,1.237,1.237,1.225,1.227
2022-01-01 21:00:00,1.226,1.229,1.222,1.224
2022-01-01 22:00:00,1.224,1.229,1.222,1.227
2022-01-01 23:00:00,1.226,1.239,1.217,1.221
2022-01-02 00:00:00,1.222,1.227,1.221,1.226
2022-01-02 01:00:00,1.227,1.227,1.223,1.225
2022-01-02 02:00:00,1.225,1.229,1.222,1.226
2022-01-02 03:00:00,1.226,1.23,1.215,1.227
2022-01-02 04:00:00,1.227,1.235,1.224,1.228
2022-01-02 05:00:00,1.228,1.238,1.227,1.23
2022-01-02 06:00:00,1.229,1.236,1.229,1.236
2022-01-02 07:00:00,1.235,1.24,1.225,1.236
2022-01-02 08:00:00,1.236,1.237,1.225,1.23
2022-01-02 09:00:00,1.23,1.235,1.227,1.233
2022-01-02 10:00:00,1.232,1.256,1.232,1.252
2022-01-02 11:00:00,1.252,1.269,1.252,1.264
2022-01-02 12:00:00,1.262,1.265,1.251,1.254
2022-01-02 13:00:00,1.253,1.254,1.232,1.243
2022-01-02 14:00:00,1.243,1.25,1.237,1.242
2022-01-02 15:00:00,1.241,1.25,1.239,1.249
2022-01-02 16:00:00,1.25,1.252,1.244,1.246
2022-01-02 17:00:00,1.249,1.26,1.245,1.26
2022-01-02 18:00:00,1.26,1.265,1.257,1.261
2022-01-02 19:00:00,1.262,1.275,1.247,1.263
2022-01-02 20:00:00,1.262,1.273,1.261,1.265
2022-01-02 21:00:00,1.265,1.265,1.257,1.258
2022-01-02 22:00:00,1.258,1.26,1.247,1.252
2022-01-02 23:00:00,1.25,1.25,1.243,1.243
2022-01-03 00:00:00,1.242,1.248,1.24,1.243
2022-01-03 01:00:00,1.243,1.243,1.24,1.24
2022-01-03 02:00:00,1.24,1.246,1.239,1.246
2022-01-03 03:00:00,1.246,1.255,1.241,1.251
2022-01-03 04:00:00,1.253,1.264,1.244,1.254
2022-01-03 05:00:00,1.253,1.255,1.246,1.248
2022-01-03 06:00:00,1.249,1.255,1.245,1.248
2022-01-03 07:00:00,1.248,1.253,1.242,1.245
2022-01-03 08:00:00,1.245,1.252,1.245,1.248
2022-01-03 09:00:00,1.247,1.25,1.233,1.235
2022-01-03 10:00:00,1.234,1.238,1.227,1.23
2022-01-03 11:00:00,1.229,1.233,1.213,1.22
2022-01-03 12:00:00,1.221,1.231,1.219,1.222
2022-01-03 13:00:00,1.225,1.228,1.221,1.224
2022-01-03 14:00:00,1.223,1.23,1.221,1.221
2022-01-03 15:00:00,1.22,1.22,1.203,1.211
2022-01-03 16:00:00,1.211,1.218,1.205,1.213
2022-01-03 17:00:00,1.212,1.238,1.212,1.226
2022-01-03 18:00:00,1.227,1.23,1.223,1.224
2022-01-03 19:00:00,1.227,1.227,1.201,1.201
2022-01-03 20:00:00,1.204,1.209,1.197,1.2
2022-01-03 21:00:00,1.2,1.202,1.193,1.197
2022-01-03 22:00:00,1.197,1.204,1.195,1.201
2022-01-03 23:00:00,1.205,1.205,1.198,1.199
2022-01-04 00:00:00,1.199,1.204,1.197,1.198
2022-01-04 01:00:00,1.199,1.205,1.197,1.202
2022-01-04 02:00:00,1.204,1.209,1.202,1.209
2022-01-04 03:00:00,1.207,1.212,1.206,1.207
2022-01-04 04:00:00,1.206,1.212,1.202,1.204
2022-01-04 05:00:00,1.204,1.217,1.204,1.217
2022-01-04 06:00:00,1.218,1.219,1.21,1.216
2022-01-04 07:00:00,1.217,1.219,1.204,1.207
2022-01-04 08:00:00,1.209,1.219,1.204,1.218
2022-01-04 09:00:00,1.217,1.226,1.212,1.22
2022-01-04 10:00:00,1.222,1.227,1.216,1.217
2022-01-04 11:00:00,1.216,1.225,1.214,1.22
2022-01-04 12:00:00,1.22,1.227,1.212,1.212
2022-01-04 13:00:00,1.212,1.22,1.176,1.181
2022-01-04 14:00:00,1.18,1.197,1.172,1.192
2022-01-04 15:00:00,1.193,1.207,1.193,1.201
2022-01-04 16:00:00,1.202,1.231,1.199,1.226
2022-01-04 17:00:00,1.224,1.224,1.214,1.218
2022-01-04 18:00:00,1.217,1.219,1.204,1.207
2022-01-04 19:00:00,1.207,1.212,1.198,1.208
2022-01-04 20:00:00,1.206,1.21,1.2,1.201
2022-01-04 21:00:00,1.201,1.207,1.201,1.203
2022-01-04 22:00:00,1.203,1.214,1.203,1.208
2022-01-04 23:00:00,1.206,1.217,1.206,1.213
2022-01-05 00:00:00,1.213,1.213,1.211,1.211
2022-01-05 01:00:00,1.211,1.216,1.211,1.216
2022-01-05 02:00:00,1.216,1.217,1.209,1.214
2022-01-05 03:00:00,1.214,1.228,1.211,1.227
2022-01-05 04:00:00,1.225,1.235,1.222,1.231
2022-01-05 05:00:00,1.232,1.238,1.223,1.236
2022-01-05 06:00:00,1.234,1.24,1.229,1.24
2022-01-05 07:00:00,1.24,1.242,1.227,1.233
2022-01-05 08:00:00,1.233,1.233,1.225,1.23
2022-01-05 09:00:00,1.23,1.237,1.221,1.235
2022-01-05 10:00:00,1.237,1.245,1.228,1.243
2022-01-05 11:00:00,1.241,1.246,1.229,1.24
2022-01-05 12:00:00,1.241,1.249,1.206,1.206
2022-01-05 13:00:00,1.206,1.209,1.188,1.204
2022-01-05 14:00:00,1.204,1.209,1.134,1.146
2022-01-05 15:00:00,1.146,1.158,1.113,1.144
2022-01-05 16:00:00,1.143,1.154,1.123,1.123
2022-01-05 17:00:00,1.122,1.127,1.046,1.105
2022-01-05 18:00:00,1.104,1.113,1.096,1.098
2022-01-05 19:00:00,1.098,1.107,1.09,1.1
2022-01-05 20:00:00,1.1,1.101,1.075,1.082
2022-01-05 21:00:00,1.08,1.084,1.069,1.073
2022-01-05 22:00:00,1.072,1.077,1.055,1.056
2022-01-05 23:00:00,1.057,1.074,1.054,1.073
2022-01-06 00:00:00,1.072,1.085,1.066,1.074
2022-01-06 01:00:00,1.07,1.08,1.068,1.077
2022-01-06 02:00:00,1.075,1.094,1.075,1.092
2022-01-06 03:00:00,1.093,1.095,1.065,1.08
2022-01-06 04:00:00,1.08,1.084,1.057,1.06
2022-01-06 05:00:00,1.062,1.086,1.062,1.077
2022-01-06 06:00:00,1.08,1.092,1.075,1.085
2022-01-06 07:00:00,1.086,1.089,1.071,1.086
2022-01-06 08:00:00,1.087,1.109,1.085,1.104
2022-01-06 09:00:00,1.104,1.11,1.093,1.096
2022-01-06 10:00:00,1.096,1.124,1.087,1.122
2022-01-06 11:00:00,1.123,1.125,1.102,1.115
2022-01-06 12:00:00,1.116,1.125,1.108,1.116
2022-01-06 13:00:00,1.115,1.123,1.108,1.119
2022-01-06 14:00:00,1.117,1.12,1.11,1.116
2022-01-06 15:00:00,1.114,1.124,1.109,1.112
2022-01-06 16:00:00,1.112,1.127,1.108,1.12
2022-01-06 17:00:00,1.119,1.125,1.11,1.122
2022-01-06 18:00:00,1.12,1.12,1.111,1.118
2022-01-06 19:00:00,1.118,1.12,1.1,1.109
2022-01-06 20:00:00,1.108,1.112,1.096,1.11
2022-01-06 21:00:00,1.108,1.114,1.097,1.097
2022-01-06 22:00:00,1.097,1.101,1.045,1.046
2022-01-06 23:00:00,1.046,1.082,1.032,1.079
2022-01-07 00:00:00,1.081,1.093,1.066,1.091
2022-01-07 01:00:00,1.089,1.089,1.051,1.066
2022-01-07 02:00:00,1.066,1.078,1.051,1.078
2022-01-07 03:00:00,1.076,1.092,1.068,1.072
2022-01-07 04:00:00,1.073,1.089,1.071,1.084
2022-01-07 05:00:00,1.083,1.084,1.069,1.07
2022-01-07 06:00:00,1.071,1.079,1.068,1.068
2022-01-07 07:00:00,1.071,1.085,1.071,1.076
2022-01-07 08:00:00,1.076,1.08,1.047,1.052
2022-01-07 09:00:00,1.053,1.071,1.047,1.069
2022-01-07 10:00:00,1.066,1.067,1.016,1.043
2022-01-07 11:00:00,1.047,1.066,0.996,1.066
2022-01-07 12:00:00,1.065,1.066,1.054,1.066
2022-01-07 13:00:00,1.067,1.069,1.045,1.052
2022-01-07 14:00:00,1.053,1.061,1.046,1.057
2022-01-07 15:00:00,1.06,1.063,1.046,1.059
2022-01-07 16:00:00,1.059,1.064,1.055,1.056
2022-01-07 17:00:00,1.054,1.054,1.042,1.046
2022-01-07 18:00:00,1.045,1.049,1.038,1.049
2022-01-07 19:00:00,1.05,1.066,1.046,1.063
2022-01-07 20:00:00,1.063,1.077,1.06,1.075
2022-01-07 21:00:00,1.071,1.071,1.053,1.064
2022-01-07 22:00:00,1.064,1.067,1.054,1.066
2022-01-07 23:00:00,1.067,1.078,1.066,1.072
2022-01-08 00:00:00,1.071,1.077,1.07,1.077
2022-01-08 01:00:00,1.075,1.077,1.067,1.077
2022-01-08 02:00:00,1.077,1.082,1.075,1.079
2022-01-08 03:00:00,1.079,1.091,1.079,1.081
2022-01-08 04:00:00,1.081,1.083,1.076,1.081
2022-01-08 05:00:00,1.08,1.082,1.065,1.07
2022-01-08 06:00:00,1.069,1.073,1.063,1.072
2022-01-08 07:00:00,1.07,1.077,1.067,1.071
2022-01-08 08:00:00,1.07,1.072,1.051,1.051
2022-01-08 09:00:00,1.052,1.054,1.035,1.035
2022-01-08 10:00:00,1.034,1.035,1.015,1.017
2022-01-08 11:00:00,1.016,1.028,1.0,1.001
2022-01-08 12:00:00,1.0,1.004,0.976,0.977
2022-01-08 13:00:00,0.979,0.996,0.955,0.955
2022-01-08 14:00:00,0.957,0.974,0.951,0.962
2022-01-08 15:00:00,0.963,0.973,0.954,0.958
2022-01-08 16:00:00,0.957,0.985,0.956,0.979
2022-01-08 17:00:00,0.979,1.001,0.979,0.993
2022-01-08 18:00:00,0.992,0.992,0.986,0.987
2022-01-08 19:00:00,0.986,0.999,0.975,0.995
2022-01-08 20:00:00,0.995,0.998,0.987,0.991
2022-01-08 21:00:00,0.991,1.005,0.99,1.002
2022-01-08 22:00:00,1.002,1.002,0.99,0.992
2022-01-08 23:00:00,0.993,1.008,0.993,1.007
2022-01-09 00:00:00,1.007,1.007,0.996,0.997
2022-01-09 01:00:00,0.998,1.017,0.998,1.012
2022-01-09 02:00:00,1.011,1.012,1.004,1.009
2022-01-09 03:00:00,1.009,1.01,0.992,1.004
2022-01-09 04:00:00,1.002,1.015,1.0,1.005
2022-01-09 05:00:00,1.006,1.024,1.003,1.011
2022-01-09 06:00:00,1.012,1.024,1.012,1.019
2022-01-09 07:00:00,1.019,1.02,1.011,1.013
2022-01-09 08:00:00,1.013,1.02,1.002,1.003
2022-01-09 09:00:00,1.005,1.024,1.005,1.018
2022-01-09 10:00:00,1.017,1.018,1.002,1.017
2022-01-09 11:00:00,1.017,1.042,1.011,1.042
2022-01-09 12:00:00,1.041,1.041,1.028,1.029
2022-01-09 13:00:00,1.031,1.035,1.022,1.022
2022-01-09 14:00:00,1.023,1.038,1.023,1.036
2022-01-09 15:00:00,1.036,1.037,1.027,1.03
2022-01-09 16:00:00,1.028,1.03,1.02,1.022
2022-01-09 17:00:00,1.022,1.028,1.017,1.023
2022-01-09 18:00:00,1.022,1.022,1.008,1.013
2022-01-09 19:00:00,1.013,1.023,1.006,1.006
2022-01-09 20:00:00,1.007,1.014,1.004,1.007
2022-01-09 21:00:00,1.008,1.015,1.001,1.013
2022-01-09 22:00:00,1.013,1.013,1.009,1.011
2022-01-09 23:00:00,1.011,1.018,1.01,1.018
2022-01-10 00:00:00,1.017,1.017,1.01,1.011
2022-01-10 01:00:00,1.013,1.014,1.008,1.01
2022-01-10 02:00:00,1.011,1.014,1.007,1.011
2022-01-10 03:00:00,1.012,1.013,0.998,1.003
2022-01-10 04:00:00,1.004,1.004,0.997,1.003
2022-01-10 05:00:00,1.0,1.01,0.995,0.995
2022-01-10 06:00:00,0.994,0.995,0.985,0.988
2022-01-10 07:00:00,0.989,0.993,0.968,0.969
2022-01-10 08:00:00,0.97,0.976,0.957,0.957
2022-01-10 09:00:00,0.959,0.959,0.867,0.936
2022-01-10 10:00:00,0.937,0.939,0.858,0.922
2022-01-10 11:00:00,0.921,0.944,0.92,0.942
2022-01-10 12:00:00,0.942,0.946,0.909,0.922
2022-01-10 13:00:00,0.922,0.933,0.919,0.931
2022-01-10 14:00:00,0.93,0.935,0.923,0.926
2022-01-10 15:00:00,0.927,0.944,0.92,0.942
2022-01-10 16:00:00,0.942,0.946,0.936,0.937
2022-01-10 17:00:00,0.939,0.944,0.936,0.937
2022-01-10 18:00:00,0.938,0.953,0.936,0.952
2022-01-10 19:00:00,0.95,0.95,0.937,0.939
2022-01-10 20:00:00,0.938,0.951,0.936,0.95
2022-01-10 21:00:00,0.951,0.967,0.949,0.961
2022-01-10 22:00:00,0.959,0.966,0.956,0.964
2022-01-10 23:00:00,0.965,0.968,0.956,0.957
2022-01-11 00:00:00,0.957,0.963,0.952,0.961
2022-01-11 01:00:00,0.961,0.963,0.953,0.955
2022-01-11 02:00:00,0.955,0.967,0.953,0.967
2022-01-11 03:00:00,0.967,0.974,0.958,0.959
2022-01-11 04:00:00,0.961,0.962,0.953,0.953
2022-01-11 05:00:00,0.954,0.958,0.947,0.947
2022-01-11 06:00:00,0.95,0.961,0.95,0.959
2022-01-11 07:00:00,0.958,0.972,0.958,0.968
2022-01-11 08:00:00,0.968,0.971,0.962,0.971
2022-01-11 09:00:00,0.972,0.977,0.944,0.956
2022-01-11 10:00:00,0.957,0.97,0.957,0.965
2022-01-11 11:00:00,0.966,0.986,0.966,0.98
2022-01-11 12:00:00,0.981,0.99,0.965,0.978
2022-01-11 13:00:00,0.977,0.982,0.973,0.974
2022-01-11 14:00:00,0.974,0.978,0.971,0.974
2022-01-11 15:00:00,0.974,0.98,0.971,0.979
2022-01-11 16:00:00,0.98,0.981,0.973,0.975
2022-01-11 17:00:00,0.975,0.979,0.974,0.979
2022-01-11 18:00:00,0.978,0.982,0.977,0.981
2022-01-11 19:00:00,0.982,0.987,0.979,0.984
2022-01-11 20:00:00,0.985,1.039,0.985,1.025
2022-01-11 21:00:00,1.025,1.035,1.006,1.01
2022-01-11 22:00:00,1.011,1.021,1.011,1.012
2022-01-11 23:00:00,1.011,1.019,1.003,1.015
2022-01-12 00:00:00,1.015,1.015,1.009,1.009
2022-01-12 01:00:00,1.011,1.017,1.01,1.011
2022-01-12 02:00:00,1.011,1.011,0.994,1.004
2022-01-12 03:00:00,1.004,1.018,1.004,1.009
2022-01-12 04:00:00,1.01,1.015,1.008,1.015
2022-01-12 05:00:00,1.015,1.018,1.008,1.012
2022-01-12 06:00:00,1.013,1.028,1.009,1.013
2022-01-12 07:00:00,1.014,1.031,1.014,1.029
2022-01-12 08:00:00,1.029,1.039,1.021,1.036
2022-01-12 09:00:00,1.036,1.037,1.026,1.033
2022-01-12 10:00:00,1.033,1.046,1.03,1.036
2022-01-12 11:00:00,1.036,1.038,1.028,1.036
2022-01-12 12:00:00,1.036,1.038,1.032,1.034
2022-01-12 13:00:00,1.035,1.035,1.029,1.031
2022-01-12 14:00:00,1.028,1.037,1.026,1.036
2022-01-12 15:00:00,1.035,1.04,1.031,1.04
2022-01-12 16:00:00,1.04,1.048,1.039,1.045
2022-01-12 17:00:00,1.046,1.046,1.039,1.041
2022-01-12 18:00:00,1.041,1.043,1.036,1.041
2022-01-12 19:00:00,1.042,1.044,1.033,1.033
2022-01-12 20:00:00,1.033,1.036,1.026,1.031
2022-01-12 21:00:00,1.031,1.033,1.027,1.029
