datetime,IMXUSD_open,IMXUSD_high,IMXUSD_low,IMXUSD_close
2022-01-01 00:00:00,4.91,4.97,4.89,4.96
2022-01-01 01:00:00,4.96,5.0,4.96,4.97
2022-01-01 02:00:00,4.97,5.01,4.95,4.97
2022-01-01 03:00:00,4.97,4.98,4.93,4.95
2022-01-01 04:00:00,4.93,4.97,4.93,4.94
2022-01-01 05:00:00,4.96,5.05,4.95,5.02
2022-01-01 06:00:00,5.02,5.06,4.97,4.97
2022-01-01 07:00:00,4.98,4.98,4.95,4.97
2022-01-01 08:00:00,4.96,4.98,4.95,4.97
2022-01-01 09:00:00,4.97,4.97,4.89,4.9
2022-01-01 10:00:00,4.9,4.9,4.83,4.85
2022-01-01 11:00:00,4.86,4.86,4.83,4.83
2022-01-01 12:00:00,4.83,4.85,4.8,4.84
2022-01-01 13:00:00,4.84,4.88,4.81,4.88
2022-01-01 14:00:00,4.88,4.9,4.84,4.84
2022-01-01 15:00:00,4.84,4.88,4.83,4.88
2022-01-01 16:00:00,4.88,4.91,4.86,4.89
2022-01-01 17:00:00,4.89,4.92,4.86,4.91
2022-01-01 18:00:00,4.91,4.93,4.9,4.92
2022-01-01 19:00:00,4.92,4.93,4.88,4.89
2022-01-01 20:00:00,4.89,4.91,4.87,4.89
2022-01-01 21:00:00,4.9,4.91,4.85,4.86
2022-01-01 22:00:00,4.86,4.88,4.8,4.82
2022-01-01 23:00:00,4.8,4.87,4.8,4.83
2022-01-02 00:00:00,4.81,4.88,4.81,4.88
2022-01-02 01:00:00,4.88,4.91,4.87,4.89
2022-01-02 02:00:00,4.9,4.9,4.87,4.88
2022-01-02 03:00:00,4.9,4.91,4.84,4.87
2022-01-02 04:00:00,4.85,4.87,4.81,4.83
2022-01-02 05:00:00,4.81,4.84,4.8,4.83
2022-01-02 06:00:00,4.83,4.83,4.8,4.81
2022-01-02 07:00:00,4.81,4.82,4.78,4.78
2022-01-02 08:00:00,4.78,4.84,4.78,4.84
2022-01-02 09:00:00,4.82,4.88,4.82,4.87
2022-01-02 10:00:00,4.87,4.87,4.84,4.84
2022-01-02 11:00:00,4.84,4.9,4.83,4.88
2022-01-02 12:00:00,4.88,4.93,4.88,4.91
2022-01-02 13:00:00,4.91,4.92,4.8,4.8
2022-01-02 14:00:00,4.82,4.83,4.78,4.79
2022-01-02 15:00:00,4.79,4.93,4.79,4.9
2022-01-02 16:00:00,4.92,5.09,4.9,5.08
2022-01-02 17:00:00,5.07,5.09,4.95,4.99
2022-01-02 18:00:00,5.0,5.01,4.93,4.95
2022-01-02 19:00:00,4.94,4.96,4.89,4.89
2022-01-02 20:00:00,4.91,4.93,4.89,4.89
2022-01-02 21:00:00,4.91,4.91,4.88,4.9
2022-01-02 22:00:00,4.9,4.99,4.9,4.97
2022-01-02 23:00:00,4.97,4.99,4.93,4.96
2022-01-03 00:00:00,4.94,4.98,4.94,4.95
2022-01-03 01:00:00,4.96,4.96,4.93,4.94
2022-01-03 02:00:00,4.94,4.94,4.85,4.87
2022-01-03 03:00:00,4.87,4.87,4.8,4.82
2022-01-03 04:00:00,4.82,4.85,4.8,4.83
2022-01-03 05:00:00,4.85,4.85,4.79,4.83
2022-01-03 06:00:00,4.84,4.84,4.8,4.81
2022-01-03 07:00:00,4.81,4.84,4.8,4.83
2022-01-03 08:00:00,4.83,4.84,4.81,4.83
2022-01-03 09:00:00,4.83,4.83,4.79,4.81
2022-01-03 10:00:00,4.81,4.83,4.81,4.83
2022-01-03 11:00:00,4.81,4.85,4.81,4.83
2022-01-03 12:00:00,4.84,4.84,4.79,4.81
2022-01-03 13:00:00,4.79,4.82,4.79,4.8
2022-01-03 14:00:00,4.82,4.82,4.7,4.7
2022-01-03 15:00:00,4.7,4.71,4.66,4.66
2022-01-03 16:00:00,4.67,4.69,4.6,4.65
2022-01-03 17:00:00,4.65,4.66,4.4,4.51
2022-01-03 18:00:00,4.52,4.64,4.5,4.6
2022-01-03 19:00:00,4.6,4.61,4.57,4.59
2022-01-03 20:00:00,4.59,4.6,4.44,4.48
2022-01-03 21:00:00,4.48,4.53,4.46,4.52
2022-01-03 22:00:00,4.52,4.53,4.47,4.49
2022-01-03 23:00:00,4.49,4.59,4.47,4.57
2022-01-04 00:00:00,4.57,4.58,4.52,4.53
2022-01-04 01:00:00,4.53,4.55,4.51,4.54
2022-01-04 02:00:00,4.54,4.54,4.46,4.48
2022-01-04 03:00:00,4.46,4.5,4.45,4.5
2022-01-04 04:00:00,4.48,4.5,4.46,4.47
2022-01-04 05:00:00,4.47,4.48,4.45,4.47
2022-01-04 06:00:00,4.47,4.47,4.44,4.46
2022-01-04 07:00:00,4.45,4.47,4.44,4.46
2022-01-04 08:00:00,4.46,4.5,4.44,4.48
2022-01-04 09:00:00,4.49,4.5,4.45,4.47
2022-01-04 10:00:00,4.45,4.53,4.45,4.53
2022-01-04 11:00:00,4.53,4.68,4.51,4.67
2022-01-04 12:00:00,4.65,4.66,4.58,4.6
2022-01-04 13:00:00,4.58,4.65,4.58,4.64
2022-01-04 14:00:00,4.64,4.7,4.61,4.68
2022-01-04 15:00:00,4.7,4.85,4.67,4.83
2022-01-04 16:00:00,4.83,4.85,4.72,4.79
2022-01-04 17:00:00,4.78,4.93,4.76,4.84
2022-01-04 18:00:00,4.86,4.86,4.65,4.65
2022-01-04 19:00:00,4.65,4.79,4.65,4.74
2022-01-04 20:00:00,4.74,4.79,4.72,4.78
2022-01-04 21:00:00,4.78,4.8,4.75,4.79
2022-01-04 22:00:00,4.79,4.83,4.76,4.77
2022-01-04 23:00:00,4.79,4.79,4.7,4.74
2022-01-05 00:00:00,4.72,4.77,4.69,4.75
2022-01-05 01:00:00,4.77,4.79,4.72,4.74
2022-01-05 02:00:00,4.74,4.79,4.73,4.78
2022-01-05 03:00:00,4.76,4.82,4.74,4.76
2022-01-05 04:00:00,4.76,4.81,4.74,4.8
2022-01-05 05:00:00,4.8,4.89,4.8,4.89
2022-01-05 06:00:00,4.89,4.93,4.86,4.93
2022-01-05 07:00:00,4.93,4.99,4.93,4.99
