datetime,INJBUSD_open,INJBUSD_high,INJBUSD_low,INJBUSD_close
2022-01-01 00:00:00,8.352,8.47,8.341,8.418
2022-01-01 01:00:00,8.416,8.438,8.372,8.384
2022-01-01 02:00:00,8.366,8.461,8.366,8.461
2022-01-01 03:00:00,8.442,8.5,8.421,8.465
2022-01-01 04:00:00,8.45,8.459,8.373,8.421
2022-01-01 05:00:00,8.435,8.447,8.35,8.351
2022-01-01 06:00:00,8.364,8.376,8.351,8.351
2022-01-01 07:00:00,8.349,8.366,8.316,8.365
2022-01-01 08:00:00,8.346,8.38,8.314,8.327
2022-01-01 09:00:00,8.322,8.332,8.308,8.312
2022-01-01 10:00:00,8.31,8.382,8.308,8.343
2022-01-01 11:00:00,8.359,8.381,8.318,8.372
2022-01-01 12:00:00,8.364,8.392,8.349,8.372
2022-01-01 13:00:00,8.357,8.379,8.349,8.372
2022-01-01 14:00:00,8.372,8.384,8.36,8.37
2022-01-01 15:00:00,8.38,8.506,8.346,8.506
2022-01-01 16:00:00,8.515,8.516,8.419,8.463
2022-01-01 17:00:00,8.471,8.484,8.42,8.458
2022-01-01 18:00:00,8.437,8.548,8.433,8.548
2022-01-01 19:00:00,8.512,8.541,8.483,8.49
2022-01-01 20:00:00,8.497,8.497,8.454,8.454
2022-01-01 21:00:00,8.455,8.478,8.446,8.446
2022-01-01 22:00:00,8.446,8.459,8.446,8.449
2022-01-01 23:00:00,8.456,8.461,8.362,8.363
2022-01-02 00:00:00,8.368,8.393,8.34,8.356
2022-01-02 01:00:00,8.358,8.373,8.34,8.367
2022-01-02 02:00:00,8.372,8.383,8.341,8.341
2022-01-02 03:00:00,8.335,8.419,8.316,8.366
2022-01-02 04:00:00,8.383,8.425,8.368,8.425
2022-01-02 05:00:00,8.413,8.428,8.393,8.393
2022-01-02 06:00:00,8.405,8.443,8.405,8.419
2022-01-02 07:00:00,8.438,8.438,8.381,8.416
2022-01-02 08:00:00,8.416,8.5,8.416,8.474
2022-01-02 09:00:00,8.474,8.522,8.405,8.422
2022-01-02 10:00:00,8.421,8.501,8.377,8.428
2022-01-02 11:00:00,8.433,8.532,8.432,8.503
2022-01-02 12:00:00,8.514,8.641,8.472,8.536
2022-01-02 13:00:00,8.536,8.549,8.45,8.524
2022-01-02 14:00:00,8.536,8.541,8.466,8.521
2022-01-02 15:00:00,8.493,8.563,8.475,8.524
2022-01-02 16:00:00,8.525,8.558,8.524,8.532
2022-01-02 17:00:00,8.548,8.577,8.525,8.574
2022-01-02 18:00:00,8.571,8.611,8.552,8.579
