datetime,JASMYBUSD_open,JASMYBUSD_high,JASMYBUSD_low,JASMYBUSD_close
2022-01-01 00:00:00,0.0939,0.0949,0.0924,0.0926
2022-01-01 01:00:00,0.0925,0.0931,0.0903,0.0908
2022-01-01 02:00:00,0.0904,0.0923,0.0888,0.091
2022-01-01 03:00:00,0.0911,0.0916,0.0888,0.0889
2022-01-01 04:00:00,0.0889,0.0903,0.0867,0.0894
2022-01-01 05:00:00,0.0894,0.0915,0.0875,0.088
2022-01-01 06:00:00,0.0878,0.0882,0.0831,0.0844
2022-01-01 07:00:00,0.0844,0.0864,0.0844,0.0856
2022-01-01 08:00:00,0.0857,0.087,0.0856,0.0864
2022-01-01 09:00:00,0.0864,0.0876,0.086,0.086
2022-01-01 10:00:00,0.086,0.0879,0.086,0.0868
2022-01-01 11:00:00,0.087,0.0886,0.0864,0.0864
2022-01-01 12:00:00,0.0865,0.0874,0.0864,0.0866
2022-01-01 13:00:00,0.0866,0.0888,0.0864,0.088
2022-01-01 14:00:00,0.088,0.0887,0.0874,0.0876
2022-01-01 15:00:00,0.0878,0.0883,0.0866,0.0876
2022-01-01 16:00:00,0.0876,0.0879,0.087,0.0872
2022-01-01 17:00:00,0.0872,0.0874,0.0856,0.0862
2022-01-01 18:00:00,0.0862,0.0867,0.0846,0.0861
2022-01-01 19:00:00,0.0863,0.0866,0.0852,0.0866
2022-01-01 20:00:00,0.0867,0.0876,0.0862,0.0864
2022-01-01 21:00:00,0.0864,0.0866,0.0847,0.0847
2022-01-01 22:00:00,0.0847,0.0854,0.0843,0.0851
2022-01-01 23:00:00,0.085,0.0867,0.0848,0.086
2022-01-02 00:00:00,0.086,0.0866,0.0856,0.0857
2022-01-02 01:00:00,0.0856,0.0857,0.0846,0.085
2022-01-02 02:00:00,0.0849,0.086,0.0849,0.0853
2022-01-02 03:00:00,0.0852,0.086,0.0844,0.0852
2022-01-02 04:00:00,0.0852,0.0858,0.0847,0.0847
2022-01-02 05:00:00,0.0848,0.086,0.0848,0.0852
2022-01-02 06:00:00,0.0852,0.0855,0.0844,0.0847
2022-01-02 07:00:00,0.0847,0.0848,0.0845,0.0846
2022-01-02 08:00:00,0.0846,0.0846,0.084,0.084
2022-01-02 09:00:00,0.084,0.0845,0.0831,0.0832
2022-01-02 10:00:00,0.0835,0.0846,0.0829,0.0842
2022-01-02 11:00:00,0.0841,0.0856,0.0836,0.0853
2022-01-02 12:00:00,0.0854,0.0857,0.0847,0.0848
2022-01-02 13:00:00,0.0848,0.0851,0.0833,0.0844
2022-01-02 14:00:00,0.0844,0.0848,0.0836,0.0837
2022-01-02 15:00:00,0.0836,0.0843,0.0836,0.0841
2022-01-02 16:00:00,0.0841,0.0849,0.0836,0.0845
2022-01-02 17:00:00,0.0845,0.0851,0.084,0.0844
2022-01-02 18:00:00,0.0844,0.085,0.0844,0.0845
2022-01-02 19:00:00,0.0845,0.0847,0.0842,0.0843
2022-01-02 20:00:00,0.0844,0.0846,0.0836,0.0837
2022-01-02 21:00:00,0.0837,0.089,0.0834,0.088
2022-01-02 22:00:00,0.0882,0.0928,0.0865,0.0917
2022-01-02 23:00:00,0.0915,0.0928,0.0868,0.0883
2022-01-03 00:00:00,0.0883,0.0889,0.0867,0.0874
