datetime,JUVBUSD_open,JUVBUSD_high,JUVBUSD_low,JUVBUSD_close
2022-01-01 00:00:00,8.56,8.64,8.56,8.63
2022-01-01 01:00:00,8.58,8.58,8.57,8.57
2022-01-01 02:00:00,8.56,8.56,8.55,8.55
2022-01-01 03:00:00,8.55,8.57,8.55,8.57
2022-01-01 04:00:00,8.56,8.57,8.55,8.55
2022-01-01 05:00:00,8.55,8.57,8.48,8.48
2022-01-01 06:00:00,8.55,8.66,8.53,8.56
2022-01-01 07:00:00,8.6,8.68,8.57,8.61
2022-01-01 08:00:00,8.6,8.66,8.59,8.66
2022-01-01 09:00:00,8.6,8.63,8.59,8.63
2022-01-01 10:00:00,8.61,8.66,8.61,8.66
2022-01-01 11:00:00,8.67,8.7,8.63,8.7
2022-01-01 12:00:00,8.67,8.69,8.64,8.66
2022-01-01 13:00:00,8.65,8.65,8.59,8.62
2022-01-01 14:00:00,8.62,8.62,8.59,8.59
2022-01-01 15:00:00,8.61,8.64,8.61,8.64
2022-01-01 16:00:00,8.6,8.6,8.59,8.59
2022-01-01 17:00:00,8.59,8.59,8.54,8.57
2022-01-01 18:00:00,8.58,8.66,8.58,8.66
2022-01-01 19:00:00,8.64,8.66,8.63,8.66
2022-01-01 20:00:00,8.66,8.66,8.59,8.61
2022-01-01 21:00:00,8.59,8.59,8.56,8.57
2022-01-01 22:00:00,8.57,8.58,8.57,8.58
2022-01-01 23:00:00,8.58,8.59,8.53,8.53
2022-01-02 00:00:00,8.56,8.62,8.56,8.58
2022-01-02 01:00:00,8.58,8.58,8.58,8.58
2022-01-02 02:00:00,8.59,8.64,8.59,8.64
2022-01-02 03:00:00,8.61,8.61,8.54,8.57
2022-01-02 04:00:00,8.59,8.7,8.59,8.67
2022-01-02 05:00:00,8.63,8.66,8.61,8.64
2022-01-02 06:00:00,8.63,8.64,8.63,8.64
2022-01-02 07:00:00,8.61,8.64,8.61,8.64
2022-01-02 08:00:00,8.64,8.64,8.6,8.61
2022-01-02 09:00:00,8.59,8.61,8.54,8.54
2022-01-02 10:00:00,8.56,8.6,8.56,8.6
2022-01-02 11:00:00,8.61,8.69,8.61,8.64
2022-01-02 12:00:00,8.67,8.7,8.59,8.59
2022-01-02 13:00:00,8.6,8.6,8.54,8.56
2022-01-02 14:00:00,8.58,8.59,8.51,8.51
2022-01-02 15:00:00,8.5,8.54,8.5,8.54
2022-01-02 16:00:00,8.56,8.58,8.55,8.55
2022-01-02 17:00:00,8.53,8.59,8.53,8.59
2022-01-02 18:00:00,8.59,8.6,8.59,8.6
2022-01-02 19:00:00,8.56,8.57,8.56,8.57
2022-01-02 20:00:00,8.57,8.57,8.57,8.57
2022-01-02 21:00:00,8.57,8.61,8.54,8.61
2022-01-02 22:00:00,8.53,8.53,8.46,8.49
2022-01-02 23:00:00,8.49,8.49,8.49,8.49
2022-01-03 00:00:00,8.49,8.54,8.48,8.52
2022-01-03 01:00:00,8.49,8.5,8.43,8.45
2022-01-03 02:00:00,8.44,8.48,8.44,8.48
2022-01-03 03:00:00,8.49,8.54,8.49,8.54
2022-01-03 04:00:00,8.53,8.58,8.53,8.58
2022-01-03 05:00:00,8.57,8.61,8.51,8.59
2022-01-03 06:00:00,8.61,8.74,8.61,8.68
2022-01-03 07:00:00,8.68,8.69,8.6,8.64
2022-01-03 08:00:00,8.64,8.72,8.62,8.68
2022-01-03 09:00:00,8.66,8.67,8.62,8.65
2022-01-03 10:00:00,8.63,8.67,8.6,8.6
2022-01-03 11:00:00,8.62,8.62,8.52,8.6
2022-01-03 12:00:00,8.6,8.61,8.59,8.59
2022-01-03 13:00:00,8.58,8.6,8.58,8.6
2022-01-03 14:00:00,8.58,8.6,8.57,8.58
2022-01-03 15:00:00,8.57,8.57,8.44,8.49
2022-01-03 16:00:00,8.51,8.56,8.46,8.56
2022-01-03 17:00:00,8.52,8.61,8.52,8.6
2022-01-03 18:00:00,8.55,8.64,8.55,8.6
2022-01-03 19:00:00,8.65,8.79,8.63,8.66
2022-01-03 20:00:00,8.64,8.66,8.55,8.56
2022-01-03 21:00:00,8.56,8.56,8.51,8.51
2022-01-03 22:00:00,8.56,8.61,8.56,8.58
2022-01-03 23:00:00,8.58,8.64,8.58,8.64
2022-01-04 00:00:00,8.64,8.71,8.56,8.62
2022-01-04 01:00:00,8.6,8.66,8.54,8.59
2022-01-04 02:00:00,8.6,8.61,8.57,8.61
2022-01-04 03:00:00,8.61,8.61,8.56,8.56
2022-01-04 04:00:00,8.59,8.69,8.59,8.62
2022-01-04 05:00:00,8.59,8.64,8.59,8.64
2022-01-04 06:00:00,8.64,8.65,8.63,8.65
2022-01-04 07:00:00,8.62,8.66,8.59,8.61
2022-01-04 08:00:00,8.62,8.67,8.56,8.64
2022-01-04 09:00:00,8.62,8.7,8.61,8.66
2022-01-04 10:00:00,8.68,8.68,8.62,8.62
