datetime,KAVABUSD_open,KAVABUSD_high,KAVABUSD_low,KAVABUSD_close
2022-01-01 00:00:00,4.234,4.246,4.194,4.228
2022-01-01 01:00:00,4.221,4.272,4.205,4.234
2022-01-01 02:00:00,4.238,4.355,4.211,4.336
2022-01-01 03:00:00,4.334,4.49,4.334,4.418
2022-01-01 04:00:00,4.415,4.521,4.392,4.467
2022-01-01 05:00:00,4.466,4.512,4.447,4.473
2022-01-01 06:00:00,4.471,4.493,4.425,4.44
2022-01-01 07:00:00,4.445,4.452,4.374,4.42
2022-01-01 08:00:00,4.425,4.472,4.389,4.445
2022-01-01 09:00:00,4.44,4.48,4.417,4.446
2022-01-01 10:00:00,4.438,4.468,4.417,4.44
2022-01-01 11:00:00,4.441,4.477,4.421,4.465
2022-01-01 12:00:00,4.465,4.533,4.422,4.43
2022-01-01 13:00:00,4.43,4.43,4.386,4.41
2022-01-01 14:00:00,4.423,4.455,4.396,4.433
2022-01-01 15:00:00,4.435,4.485,4.435,4.463
2022-01-01 16:00:00,4.453,4.48,4.448,4.475
2022-01-01 17:00:00,4.475,4.52,4.459,4.502
2022-01-01 18:00:00,4.497,4.5,4.473,4.487
2022-01-01 19:00:00,4.485,4.5,4.411,4.417
2022-01-01 20:00:00,4.411,4.451,4.385,4.41
2022-01-01 21:00:00,4.413,4.413,4.355,4.375
2022-01-01 22:00:00,4.375,4.401,4.365,4.374
2022-01-01 23:00:00,4.391,4.421,4.338,4.364
2022-01-02 00:00:00,4.371,4.412,4.371,4.41
2022-01-02 01:00:00,4.41,4.415,4.393,4.399
2022-01-02 02:00:00,4.393,4.398,4.365,4.365
2022-01-02 03:00:00,4.364,4.411,4.343,4.373
2022-01-02 04:00:00,4.363,4.394,4.351,4.362
2022-01-02 05:00:00,4.368,4.373,4.345,4.345
2022-01-02 06:00:00,4.345,4.374,4.341,4.344
2022-01-02 07:00:00,4.348,4.348,4.314,4.322
2022-01-02 08:00:00,4.328,4.328,4.279,4.29
2022-01-02 09:00:00,4.29,4.312,4.265,4.297
2022-01-02 10:00:00,4.297,4.344,4.291,4.336
2022-01-02 11:00:00,4.332,4.361,4.32,4.361
2022-01-02 12:00:00,4.356,4.363,4.323,4.33
2022-01-02 13:00:00,4.328,4.333,4.265,4.29
2022-01-02 14:00:00,4.286,4.32,4.26,4.276
2022-01-02 15:00:00,4.276,4.305,4.265,4.305
2022-01-02 16:00:00,4.289,4.304,4.266,4.281
2022-01-02 17:00:00,4.282,4.303,4.274,4.303
2022-01-02 18:00:00,4.299,4.303,4.28,4.283
2022-01-02 19:00:00,4.284,4.324,4.259,4.317
2022-01-02 20:00:00,4.302,4.403,4.302,4.403
2022-01-02 21:00:00,4.395,4.506,4.365,4.459
2022-01-02 22:00:00,4.448,4.448,4.353,4.373
2022-01-02 23:00:00,4.369,4.383,4.316,4.316
2022-01-03 00:00:00,4.323,4.333,4.308,4.316
2022-01-03 01:00:00,4.323,4.323,4.269,4.269
2022-01-03 02:00:00,4.272,4.291,4.266,4.291
2022-01-03 03:00:00,4.293,4.303,4.287,4.287
2022-01-03 04:00:00,4.295,4.336,4.271,4.336
2022-01-03 05:00:00,4.337,4.4,4.337,4.362
2022-01-03 06:00:00,4.374,4.4,4.371,4.385
2022-01-03 07:00:00,4.365,4.37,4.337,4.342
2022-01-03 08:00:00,4.342,4.424,4.342,4.387
2022-01-03 09:00:00,4.392,4.478,4.374,4.405
2022-01-03 10:00:00,4.427,4.496,4.403,4.436
2022-01-03 11:00:00,4.438,4.483,4.28,4.433
2022-01-03 12:00:00,4.423,4.482,4.399,4.447
2022-01-03 13:00:00,4.445,4.459,4.408,4.427
2022-01-03 14:00:00,4.427,4.454,4.396,4.414
2022-01-03 15:00:00,4.41,4.44,4.357,4.395
2022-01-03 16:00:00,4.39,4.475,4.365,4.475
2022-01-03 17:00:00,4.475,4.485,4.432,4.456
2022-01-03 18:00:00,4.463,4.545,4.444,4.533
2022-01-03 19:00:00,4.538,4.549,4.437,4.463
2022-01-03 20:00:00,4.454,4.502,4.325,4.329
2022-01-03 21:00:00,4.338,4.348,4.243,4.26
2022-01-03 22:00:00,4.26,4.312,4.24,4.303
2022-01-03 23:00:00,4.302,4.341,4.275,4.303
2022-01-04 00:00:00,4.295,4.348,4.287,4.333
2022-01-04 01:00:00,4.333,4.338,4.303,4.334
2022-01-04 02:00:00,4.336,4.36,4.329,4.36
2022-01-04 03:00:00,4.348,4.378,4.327,4.356
2022-01-04 04:00:00,4.351,4.355,4.329,4.339
2022-01-04 05:00:00,4.343,4.402,4.329,4.398
2022-01-04 06:00:00,4.387,4.513,4.383,4.513
2022-01-04 07:00:00,4.513,4.669,4.473,4.66
2022-01-04 08:00:00,4.658,4.742,4.609,4.708
2022-01-04 09:00:00,4.722,4.771,4.682,4.767
2022-01-04 10:00:00,4.765,4.894,4.765,4.848
2022-01-04 11:00:00,4.846,4.916,4.8,4.867
2022-01-04 12:00:00,4.886,5.081,4.83,4.981
2022-01-04 13:00:00,4.984,5.067,4.862,4.921
2022-01-04 14:00:00,4.918,5.038,4.885,4.964
2022-01-04 15:00:00,4.949,4.962,4.9,4.935
2022-01-04 16:00:00,4.927,4.997,4.895,4.969
2022-01-04 17:00:00,4.983,5.0,4.929,4.969
2022-01-04 18:00:00,4.967,5.04,4.909,5.04
2022-01-04 19:00:00,5.033,5.094,4.856,4.939
2022-01-04 20:00:00,4.945,5.005,4.898,4.978
2022-01-04 21:00:00,4.988,5.028,4.929,4.95
2022-01-04 22:00:00,4.948,4.956,4.897,4.933
2022-01-04 23:00:00,4.924,4.955,4.817,4.838
2022-01-05 00:00:00,4.829,4.854,4.779,4.824
2022-01-05 01:00:00,4.84,4.84,4.782,4.805
2022-01-05 02:00:00,4.817,4.822,4.774,4.805
