datetime,KEEPUSD_open,KEEPUSD_high,KEEPUSD_low,KEEPUSD_close
2022-01-01 00:00:00,0.7333,0.756,0.7333,0.747
2022-01-01 01:00:00,0.7467,0.7524,0.7427,0.7506
2022-01-01 02:00:00,0.7506,0.7698,0.7462,0.7569
2022-01-01 03:00:00,0.756,0.7644,0.7521,0.7541
2022-01-01 04:00:00,0.7537,0.7554,0.7363,0.7402
2022-01-01 05:00:00,0.7415,0.7517,0.7383,0.7393
2022-01-01 06:00:00,0.7395,0.7502,0.7335,0.7336
2022-01-01 07:00:00,0.7342,0.7436,0.7302,0.7376
2022-01-01 08:00:00,0.7375,0.7381,0.73,0.7331
2022-01-01 09:00:00,0.7342,0.7489,0.7302,0.736
2022-01-01 10:00:00,0.7373,0.7545,0.7347,0.7454
2022-01-01 11:00:00,0.7451,0.7472,0.7322,0.7322
2022-01-01 12:00:00,0.7324,0.7385,0.7324,0.7372
2022-01-01 13:00:00,0.7372,0.7372,0.733,0.7346
2022-01-01 14:00:00,0.7347,0.7365,0.7305,0.7313
2022-01-01 15:00:00,0.732,0.7343,0.726,0.7268
2022-01-01 16:00:00,0.7273,0.7363,0.7267,0.7282
2022-01-01 17:00:00,0.7288,0.7358,0.7271,0.731
2022-01-01 18:00:00,0.7317,0.7535,0.7287,0.7349
2022-01-01 19:00:00,0.7351,0.7363,0.7291,0.7296
2022-01-01 20:00:00,0.7303,0.7333,0.7244,0.7311
2022-01-01 21:00:00,0.7318,0.7342,0.726,0.7301
2022-01-01 22:00:00,0.7304,0.7352,0.7273,0.734
2022-01-01 23:00:00,0.7345,0.7675,0.7332,0.7493
2022-01-02 00:00:00,0.7478,0.7517,0.7332,0.7383
2022-01-02 01:00:00,0.7381,0.7445,0.7342,0.7431
2022-01-02 02:00:00,0.7431,0.7469,0.7407,0.7429
2022-01-02 03:00:00,0.7433,0.7446,0.7331,0.7343
2022-01-02 04:00:00,0.7333,0.7556,0.7265,0.7293
2022-01-02 05:00:00,0.7296,0.7332,0.7081,0.7146
2022-01-02 06:00:00,0.715,0.7193,0.7107,0.7124
2022-01-02 07:00:00,0.7127,0.7129,0.7091,0.7103
2022-01-02 08:00:00,0.7096,0.7105,0.699,0.7056
2022-01-02 09:00:00,0.7056,0.7243,0.7047,0.7128
2022-01-02 10:00:00,0.7128,0.7234,0.7124,0.7172
2022-01-02 11:00:00,0.7172,0.718,0.7119,0.7127
2022-01-02 12:00:00,0.7126,0.7175,0.7076,0.7147
2022-01-02 13:00:00,0.7142,0.7154,0.7107,0.7119
2022-01-02 14:00:00,0.7122,0.7266,0.7094,0.7191
2022-01-02 15:00:00,0.7191,0.7276,0.7179,0.7242
2022-01-02 16:00:00,0.7246,0.7269,0.7184,0.7243
2022-01-02 17:00:00,0.725,0.729,0.7184,0.7203
2022-01-02 18:00:00,0.7199,0.7441,0.7156,0.7429
2022-01-02 19:00:00,0.7418,0.7532,0.7379,0.7407
2022-01-02 20:00:00,0.7404,0.7581,0.7401,0.7548
2022-01-02 21:00:00,0.7548,0.7548,0.7378,0.7395
2022-01-02 22:00:00,0.7395,0.7446,0.7384,0.7436
2022-01-02 23:00:00,0.7431,0.7517,0.7425,0.7478
2022-01-03 00:00:00,0.748,0.7563,0.7367,0.7448
2022-01-03 01:00:00,0.7452,0.7747,0.7447,0.7634
2022-01-03 02:00:00,0.7624,0.7708,0.7538,0.7682
2022-01-03 03:00:00,0.7669,0.77,0.747,0.7582
2022-01-03 04:00:00,0.7576,0.7692,0.7547,0.7583
2022-01-03 05:00:00,0.7583,0.7588,0.7471,0.7476
2022-01-03 06:00:00,0.7475,0.7487,0.7368,0.739
2022-01-03 07:00:00,0.7393,0.7483,0.7381,0.7435
2022-01-03 08:00:00,0.7445,0.7585,0.7399,0.7568
2022-01-03 09:00:00,0.7575,0.7596,0.7454,0.7456
2022-01-03 10:00:00,0.7467,0.7571,0.7466,0.752
2022-01-03 11:00:00,0.7515,0.7767,0.7515,0.7754
2022-01-03 12:00:00,0.7755,0.7845,0.7692,0.7709
2022-01-03 13:00:00,0.7714,0.7864,0.7712,0.7795
2022-01-03 14:00:00,0.7793,0.8136,0.7789,0.8019
2022-01-03 15:00:00,0.8019,0.8497,0.7964,0.8279
2022-01-03 16:00:00,0.827,0.835,0.8101,0.8306
2022-01-03 17:00:00,0.8306,0.831,0.8134,0.8229
2022-01-03 18:00:00,0.8227,0.8305,0.818,0.8209
2022-01-03 19:00:00,0.8213,0.8246,0.8072,0.8082
2022-01-03 20:00:00,0.8081,0.8283,0.8071,0.8156
2022-01-03 21:00:00,0.8151,0.824,0.8071,0.8105
2022-01-03 22:00:00,0.8115,0.8362,0.8046,0.8236
2022-01-03 23:00:00,0.8225,0.8308,0.8137,0.8252
2022-01-04 00:00:00,0.8254,0.83,0.8116,0.8171
2022-01-04 01:00:00,0.8169,0.8293,0.808,0.8254
2022-01-04 02:00:00,0.8255,0.8427,0.7997,0.805
2022-01-04 03:00:00,0.805,0.8242,0.8008,0.8234
2022-01-04 04:00:00,0.824,0.8524,0.8139,0.8442
2022-01-04 05:00:00,0.8436,0.9116,0.8431,0.9015
2022-01-04 06:00:00,0.9012,0.922,0.8817,0.9172
2022-01-04 07:00:00,0.9175,0.9209,0.8919,0.9037
2022-01-04 08:00:00,0.9035,0.904,0.8809,0.8832
2022-01-04 09:00:00,0.8829,0.8921,0.876,0.8886
2022-01-04 10:00:00,0.8888,0.9076,0.8833,0.8887
2022-01-04 11:00:00,0.8897,0.9056,0.8835,0.8966
2022-01-04 12:00:00,0.8978,0.9063,0.8832,0.884
2022-01-04 13:00:00,0.8844,0.8878,0.866,0.8689
2022-01-04 14:00:00,0.8695,0.8767,0.8655,0.8673
2022-01-04 15:00:00,0.8688,0.8747,0.8624,0.8659
2022-01-04 16:00:00,0.8669,0.8756,0.8613,0.8693
2022-01-04 17:00:00,0.8694,0.8724,0.8635,0.8654
2022-01-04 18:00:00,0.8654,0.8705,0.8398,0.8592
2022-01-04 19:00:00,0.8581,0.8866,0.8496,0.857
2022-01-04 20:00:00,0.8572,0.8687,0.8526,0.8532
2022-01-04 21:00:00,0.8534,0.8577,0.8486,0.8532
2022-01-04 22:00:00,0.8528,0.8528,0.8393,0.8425
2022-01-04 23:00:00,0.842,0.8466,0.8361,0.8388
2022-01-05 00:00:00,0.8386,0.8563,0.8349,0.8506
2022-01-05 01:00:00,0.8517,0.8586,0.8449,0.8462
2022-01-05 02:00:00,0.8462,0.8549,0.8462,0.8544
2022-01-05 03:00:00,0.8546,0.8621,0.8541,0.8567
2022-01-05 04:00:00,0.8563,0.864,0.8471,0.8506
2022-01-05 05:00:00,0.8507,0.8508,0.8423,0.8439
2022-01-05 06:00:00,0.844,0.8469,0.8366,0.845
2022-01-05 07:00:00,0.8445,0.8457,0.8396,0.8439
2022-01-05 08:00:00,0.8438,0.8469,0.8403,0.8433
2022-01-05 09:00:00,0.8443,0.8515,0.841,0.8452
2022-01-05 10:00:00,0.8455,0.8837,0.8445,0.859
2022-01-05 11:00:00,0.8594,0.8655,0.8498,0.8624
2022-01-05 12:00:00,0.8618,0.8649,0.8479,0.8593
2022-01-05 13:00:00,0.8581,0.8618,0.8502,0.8534
2022-01-05 14:00:00,0.8539,0.8555,0.8433,0.851
2022-01-05 15:00:00,0.8514,0.8522,0.8438,0.848
2022-01-05 16:00:00,0.8465,0.8533,0.8439,0.8452
2022-01-05 17:00:00,0.8456,0.8521,0.8304,0.8304
