datetime,KLAYBUSD_open,KLAYBUSD_high,KLAYBUSD_low,KLAYBUSD_close
2022-01-01 00:00:00,1.293,1.314,1.292,1.299
2022-01-01 01:00:00,1.298,1.312,1.297,1.306
2022-01-01 02:00:00,1.305,1.311,1.293,1.308
2022-01-01 03:00:00,1.309,1.319,1.303,1.304
2022-01-01 04:00:00,1.303,1.318,1.303,1.313
2022-01-01 05:00:00,1.313,1.318,1.303,1.309
2022-01-01 06:00:00,1.31,1.321,1.308,1.315
2022-01-01 07:00:00,1.315,1.334,1.315,1.329
2022-01-01 08:00:00,1.329,1.337,1.321,1.335
2022-01-01 09:00:00,1.335,1.341,1.331,1.334
2022-01-01 10:00:00,1.334,1.348,1.333,1.337
2022-01-01 11:00:00,1.338,1.35,1.338,1.349
2022-01-01 12:00:00,1.35,1.354,1.338,1.349
2022-01-01 13:00:00,1.349,1.353,1.342,1.352
2022-01-01 14:00:00,1.352,1.352,1.341,1.343
2022-01-01 15:00:00,1.343,1.353,1.341,1.35
2022-01-01 16:00:00,1.352,1.355,1.343,1.346
2022-01-01 17:00:00,1.346,1.352,1.344,1.346
2022-01-01 18:00:00,1.347,1.353,1.342,1.351
2022-01-01 19:00:00,1.35,1.351,1.341,1.346
2022-01-01 20:00:00,1.344,1.354,1.338,1.346
2022-01-01 21:00:00,1.346,1.353,1.33,1.333
2022-01-01 22:00:00,1.331,1.342,1.331,1.336
2022-01-01 23:00:00,1.335,1.342,1.324,1.327
2022-01-02 00:00:00,1.327,1.337,1.325,1.334
2022-01-02 01:00:00,1.333,1.337,1.329,1.334
2022-01-02 02:00:00,1.335,1.338,1.33,1.334
2022-01-02 03:00:00,1.336,1.364,1.326,1.331
2022-01-02 04:00:00,1.331,1.342,1.331,1.336
2022-01-02 05:00:00,1.335,1.34,1.333,1.34
2022-01-02 06:00:00,1.34,1.36,1.339,1.348
2022-01-02 07:00:00,1.349,1.361,1.347,1.347
2022-01-02 08:00:00,1.348,1.351,1.344,1.347
2022-01-02 09:00:00,1.345,1.349,1.344,1.346
2022-01-02 10:00:00,1.347,1.356,1.346,1.355
2022-01-02 11:00:00,1.356,1.37,1.356,1.366
2022-01-02 12:00:00,1.368,1.372,1.357,1.357
2022-01-02 13:00:00,1.357,1.368,1.348,1.352
2022-01-02 14:00:00,1.35,1.358,1.346,1.356
2022-01-02 15:00:00,1.357,1.369,1.356,1.366
2022-01-02 16:00:00,1.366,1.378,1.365,1.372
2022-01-02 17:00:00,1.373,1.391,1.373,1.384
2022-01-02 18:00:00,1.385,1.393,1.383,1.392
2022-01-02 19:00:00,1.393,1.399,1.38,1.398
2022-01-02 20:00:00,1.396,1.406,1.394,1.4
2022-01-02 21:00:00,1.398,1.413,1.398,1.406
2022-01-02 22:00:00,1.408,1.43,1.402,1.411
2022-01-02 23:00:00,1.412,1.418,1.403,1.407
2022-01-03 00:00:00,1.409,1.427,1.409,1.424
2022-01-03 01:00:00,1.422,1.434,1.42,1.427
2022-01-03 02:00:00,1.426,1.427,1.413,1.425
2022-01-03 03:00:00,1.424,1.59,1.418,1.468
2022-01-03 04:00:00,1.465,1.6,1.427,1.442
2022-01-03 05:00:00,1.442,1.455,1.43,1.449
2022-01-03 06:00:00,1.447,1.482,1.429,1.445
2022-01-03 07:00:00,1.446,1.453,1.427,1.438
2022-01-03 08:00:00,1.437,1.448,1.422,1.443
2022-01-03 09:00:00,1.444,1.459,1.439,1.447
2022-01-03 10:00:00,1.448,1.457,1.426,1.433
2022-01-03 11:00:00,1.433,1.439,1.41,1.414
2022-01-03 12:00:00,1.414,1.429,1.412,1.417
2022-01-03 13:00:00,1.417,1.423,1.413,1.414
2022-01-03 14:00:00,1.414,1.422,1.403,1.405
2022-01-03 15:00:00,1.404,1.413,1.389,1.394
2022-01-03 16:00:00,1.392,1.405,1.387,1.398
2022-01-03 17:00:00,1.398,1.444,1.397,1.408
2022-01-03 18:00:00,1.411,1.411,1.392,1.399
2022-01-03 19:00:00,1.4,1.412,1.388,1.389
2022-01-03 20:00:00,1.389,1.396,1.366,1.369
2022-01-03 21:00:00,1.368,1.374,1.354,1.373
2022-01-03 22:00:00,1.375,1.38,1.372,1.38
2022-01-03 23:00:00,1.378,1.385,1.374,1.38
2022-01-04 00:00:00,1.379,1.39,1.377,1.38
2022-01-04 01:00:00,1.383,1.389,1.38,1.388
2022-01-04 02:00:00,1.39,1.534,1.31,1.383
2022-01-04 03:00:00,1.383,1.392,1.383,1.388
2022-01-04 04:00:00,1.388,1.401,1.385,1.401
2022-01-04 05:00:00,1.401,1.411,1.399,1.41
2022-01-04 06:00:00,1.412,1.423,1.41,1.423
2022-01-04 07:00:00,1.423,1.423,1.407,1.415
2022-01-04 08:00:00,1.417,1.426,1.406,1.421
2022-01-04 09:00:00,1.422,1.438,1.422,1.438
2022-01-04 10:00:00,1.438,1.44,1.42,1.422
