datetime,KNCBUSD_open,KNCBUSD_high,KNCBUSD_low,KNCBUSD_close
2022-01-01 00:00:00,1.303,1.325,1.303,1.312
2022-01-01 01:00:00,1.314,1.32,1.314,1.314
2022-01-01 02:00:00,1.312,1.329,1.309,1.326
2022-01-01 03:00:00,1.319,1.345,1.319,1.337
2022-01-01 04:00:00,1.337,1.361,1.322,1.332
2022-01-01 05:00:00,1.338,1.342,1.325,1.337
2022-01-01 06:00:00,1.345,1.345,1.333,1.333
2022-01-01 07:00:00,1.34,1.349,1.34,1.346
2022-01-01 08:00:00,1.348,1.348,1.341,1.345
2022-01-01 09:00:00,1.347,1.35,1.343,1.344
2022-01-01 10:00:00,1.345,1.364,1.345,1.355
2022-01-01 11:00:00,1.354,1.355,1.343,1.345
2022-01-01 12:00:00,1.346,1.356,1.346,1.351
2022-01-01 13:00:00,1.35,1.35,1.34,1.345
2022-01-01 14:00:00,1.344,1.346,1.343,1.343
2022-01-01 15:00:00,1.345,1.356,1.345,1.355
2022-01-01 16:00:00,1.356,1.357,1.354,1.356
2022-01-01 17:00:00,1.357,1.368,1.355,1.368
2022-01-01 18:00:00,1.364,1.385,1.362,1.385
2022-01-01 19:00:00,1.386,1.387,1.367,1.375
2022-01-01 20:00:00,1.376,1.376,1.372,1.374
2022-01-01 21:00:00,1.37,1.378,1.37,1.374
2022-01-01 22:00:00,1.375,1.376,1.37,1.376
2022-01-01 23:00:00,1.375,1.375,1.337,1.351
2022-01-02 00:00:00,1.351,1.369,1.351,1.369
2022-01-02 01:00:00,1.367,1.367,1.362,1.362
2022-01-02 02:00:00,1.364,1.366,1.363,1.365
2022-01-02 03:00:00,1.363,1.367,1.353,1.367
2022-01-02 04:00:00,1.368,1.386,1.368,1.38
2022-01-02 05:00:00,1.38,1.384,1.38,1.383
2022-01-02 06:00:00,1.384,1.394,1.384,1.391
2022-01-02 07:00:00,1.391,1.427,1.387,1.421
2022-01-02 08:00:00,1.421,1.421,1.404,1.406
2022-01-02 09:00:00,1.403,1.423,1.402,1.419
2022-01-02 10:00:00,1.42,1.441,1.42,1.434
2022-01-02 11:00:00,1.435,1.45,1.432,1.441
2022-01-02 12:00:00,1.447,1.447,1.428,1.428
2022-01-02 13:00:00,1.43,1.433,1.408,1.433
2022-01-02 14:00:00,1.432,1.441,1.429,1.441
2022-01-02 15:00:00,1.437,1.437,1.426,1.428
2022-01-02 16:00:00,1.425,1.431,1.422,1.422
2022-01-02 17:00:00,1.421,1.423,1.419,1.421
2022-01-02 18:00:00,1.422,1.423,1.42,1.423
2022-01-02 19:00:00,1.421,1.429,1.42,1.42
2022-01-02 20:00:00,1.421,1.443,1.421,1.439
2022-01-02 21:00:00,1.438,1.453,1.431,1.453
2022-01-02 22:00:00,1.445,1.445,1.428,1.441
2022-01-02 23:00:00,1.44,1.461,1.437,1.443
2022-01-03 00:00:00,1.443,1.452,1.44,1.449
2022-01-03 01:00:00,1.445,1.445,1.427,1.43
2022-01-03 02:00:00,1.435,1.452,1.435,1.443
2022-01-03 03:00:00,1.452,1.456,1.421,1.421
2022-01-03 04:00:00,1.424,1.425,1.387,1.399
2022-01-03 05:00:00,1.4,1.416,1.398,1.413
2022-01-03 06:00:00,1.417,1.431,1.417,1.426
2022-01-03 07:00:00,1.428,1.432,1.42,1.421
2022-01-03 08:00:00,1.422,1.45,1.422,1.45
2022-01-03 09:00:00,1.452,1.457,1.438,1.438
2022-01-03 10:00:00,1.442,1.449,1.429,1.429
2022-01-03 11:00:00,1.426,1.43,1.387,1.411
2022-01-03 12:00:00,1.417,1.429,1.408,1.428
2022-01-03 13:00:00,1.426,1.426,1.416,1.419
2022-01-03 14:00:00,1.418,1.42,1.408,1.408
2022-01-03 15:00:00,1.407,1.407,1.379,1.388
2022-01-03 16:00:00,1.389,1.398,1.382,1.395
2022-01-03 17:00:00,1.391,1.406,1.391,1.394
2022-01-03 18:00:00,1.4,1.401,1.396,1.396
2022-01-03 19:00:00,1.393,1.393,1.369,1.374
2022-01-03 20:00:00,1.373,1.379,1.361,1.361
2022-01-03 21:00:00,1.366,1.366,1.347,1.356
2022-01-03 22:00:00,1.354,1.361,1.346,1.358
2022-01-03 23:00:00,1.36,1.36,1.346,1.348
2022-01-04 00:00:00,1.349,1.358,1.349,1.352
2022-01-04 01:00:00,1.356,1.364,1.356,1.364
2022-01-04 02:00:00,1.366,1.368,1.36,1.368
2022-01-04 03:00:00,1.367,1.373,1.365,1.368
2022-01-04 04:00:00,1.369,1.371,1.363,1.365
2022-01-04 05:00:00,1.365,1.381,1.362,1.378
2022-01-04 06:00:00,1.38,1.387,1.379,1.384
2022-01-04 07:00:00,1.388,1.388,1.367,1.375
2022-01-04 08:00:00,1.376,1.388,1.368,1.388
2022-01-04 09:00:00,1.385,1.397,1.385,1.397
2022-01-04 10:00:00,1.397,1.399,1.382,1.382
2022-01-04 11:00:00,1.38,1.393,1.377,1.388
2022-01-04 12:00:00,1.387,1.395,1.386,1.386
2022-01-04 13:00:00,1.386,1.386,1.341,1.351
2022-01-04 14:00:00,1.345,1.372,1.339,1.362
2022-01-04 15:00:00,1.367,1.371,1.361,1.365
2022-01-04 16:00:00,1.363,1.365,1.359,1.365
2022-01-04 17:00:00,1.364,1.364,1.346,1.35
2022-01-04 18:00:00,1.35,1.352,1.338,1.35
2022-01-04 19:00:00,1.346,1.356,1.334,1.355
2022-01-04 20:00:00,1.358,1.364,1.357,1.36
2022-01-04 21:00:00,1.356,1.365,1.356,1.365
2022-01-04 22:00:00,1.366,1.373,1.366,1.37
2022-01-04 23:00:00,1.368,1.408,1.368,1.402
2022-01-05 00:00:00,1.403,1.404,1.391,1.394
2022-01-05 01:00:00,1.393,1.403,1.391,1.402
2022-01-05 02:00:00,1.403,1.406,1.4,1.404
2022-01-05 03:00:00,1.404,1.409,1.398,1.403
2022-01-05 04:00:00,1.397,1.403,1.397,1.403
2022-01-05 05:00:00,1.404,1.406,1.397,1.4
2022-01-05 06:00:00,1.401,1.401,1.374,1.378
2022-01-05 07:00:00,1.378,1.4,1.375,1.39
2022-01-05 08:00:00,1.392,1.403,1.391,1.402
2022-01-05 09:00:00,1.4,1.409,1.385,1.409
2022-01-05 10:00:00,1.407,1.411,1.398,1.406
2022-01-05 11:00:00,1.408,1.419,1.403,1.41
2022-01-05 12:00:00,1.414,1.424,1.388,1.389
2022-01-05 13:00:00,1.387,1.407,1.368,1.395
2022-01-05 14:00:00,1.399,1.399,1.322,1.322
2022-01-05 15:00:00,1.321,1.328,1.289,1.297
2022-01-05 16:00:00,1.295,1.311,1.277,1.277
2022-01-05 17:00:00,1.281,1.281,1.212,1.26
2022-01-05 18:00:00,1.264,1.274,1.249,1.249
2022-01-05 19:00:00,1.247,1.263,1.241,1.251
2022-01-05 20:00:00,1.251,1.252,1.222,1.229
2022-01-05 21:00:00,1.227,1.239,1.222,1.225
2022-01-05 22:00:00,1.222,1.228,1.212,1.212
2022-01-05 23:00:00,1.213,1.227,1.2,1.221
2022-01-06 00:00:00,1.217,1.231,1.214,1.224
2022-01-06 01:00:00,1.221,1.228,1.209,1.217
2022-01-06 02:00:00,1.219,1.231,1.216,1.229
2022-01-06 03:00:00,1.228,1.228,1.201,1.207
2022-01-06 04:00:00,1.211,1.211,1.185,1.192
2022-01-06 05:00:00,1.192,1.231,1.191,1.228
2022-01-06 06:00:00,1.228,1.243,1.225,1.24
2022-01-06 07:00:00,1.24,1.24,1.22,1.237
2022-01-06 08:00:00,1.24,1.271,1.24,1.271
2022-01-06 09:00:00,1.272,1.337,1.266,1.266
2022-01-06 10:00:00,1.274,1.282,1.256,1.282
2022-01-06 11:00:00,1.283,1.306,1.271,1.285
2022-01-06 12:00:00,1.284,1.302,1.28,1.295
2022-01-06 13:00:00,1.293,1.307,1.292,1.307
2022-01-06 14:00:00,1.301,1.308,1.299,1.301
2022-01-06 15:00:00,1.302,1.312,1.301,1.312
2022-01-06 16:00:00,1.312,1.337,1.312,1.322
2022-01-06 17:00:00,1.323,1.324,1.309,1.31
2022-01-06 18:00:00,1.31,1.31,1.302,1.303
2022-01-06 19:00:00,1.303,1.303,1.286,1.295
2022-01-06 20:00:00,1.297,1.312,1.296,1.305
2022-01-06 21:00:00,1.304,1.311,1.288,1.288
2022-01-06 22:00:00,1.288,1.295,1.251,1.26
2022-01-06 23:00:00,1.259,1.267,1.22,1.26
2022-01-07 00:00:00,1.261,1.322,1.259,1.313
2022-01-07 01:00:00,1.306,1.325,1.284,1.31
2022-01-07 02:00:00,1.303,1.343,1.275,1.321
2022-01-07 03:00:00,1.326,1.382,1.326,1.348
2022-01-07 04:00:00,1.351,1.396,1.35,1.361
2022-01-07 05:00:00,1.368,1.388,1.352,1.352
2022-01-07 06:00:00,1.361,1.378,1.336,1.35
2022-01-07 07:00:00,1.351,1.38,1.351,1.367
2022-01-07 08:00:00,1.372,1.379,1.3,1.338
2022-01-07 09:00:00,1.334,1.366,1.326,1.359
2022-01-07 10:00:00,1.361,1.375,1.32,1.351
2022-01-07 11:00:00,1.353,1.469,1.342,1.465
2022-01-07 12:00:00,1.461,1.483,1.422,1.448
2022-01-07 13:00:00,1.448,1.448,1.416,1.428
2022-01-07 14:00:00,1.43,1.459,1.415,1.452
2022-01-07 15:00:00,1.452,1.521,1.435,1.506
2022-01-07 16:00:00,1.506,1.57,1.487,1.555
2022-01-07 17:00:00,1.554,1.564,1.527,1.538
2022-01-07 18:00:00,1.537,1.54,1.502,1.508
2022-01-07 19:00:00,1.51,1.511,1.443,1.455
2022-01-07 20:00:00,1.454,1.489,1.431,1.452
2022-01-07 21:00:00,1.455,1.49,1.447,1.485
2022-01-07 22:00:00,1.477,1.54,1.468,1.525
