datetime,KNCUSD_open,KNCUSD_high,KNCUSD_low,KNCUSD_close
2022-01-01 00:00:00,1.28,1.3027,1.28,1.3003
2022-01-01 01:00:00,1.301,1.3195,1.301,1.315
2022-01-01 02:00:00,1.3165,1.329,1.3165,1.3289
2022-01-01 03:00:00,1.3281,1.3334,1.3173,1.3173
2022-01-01 04:00:00,1.3199,1.3235,1.2998,1.303
2022-01-01 05:00:00,1.3016,1.3232,1.2993,1.3063
2022-01-01 06:00:00,1.3053,1.3181,1.3042,1.3102
2022-01-01 07:00:00,1.3088,1.3273,1.305,1.3207
2022-01-01 08:00:00,1.3202,1.343,1.3165,1.3347
2022-01-01 09:00:00,1.3367,1.36,1.3196,1.3323
2022-01-01 10:00:00,1.3334,1.3416,1.3216,1.3366
2022-01-01 11:00:00,1.3391,1.3445,1.331,1.3357
2022-01-01 12:00:00,1.3351,1.3468,1.3342,1.3449
2022-01-01 13:00:00,1.3433,1.3471,1.3376,1.3446
2022-01-01 14:00:00,1.3472,1.3486,1.3404,1.3418
2022-01-01 15:00:00,1.342,1.3641,1.342,1.352
2022-01-01 16:00:00,1.3543,1.3561,1.3416,1.3475
2022-01-01 17:00:00,1.3465,1.3579,1.3432,1.3513
2022-01-01 18:00:00,1.3519,1.3522,1.3401,1.3445
2022-01-01 19:00:00,1.3454,1.3478,1.3409,1.3473
2022-01-01 20:00:00,1.3473,1.3535,1.345,1.3531
2022-01-01 21:00:00,1.3536,1.3585,1.3533,1.3562
2022-01-01 22:00:00,1.3558,1.3693,1.3558,1.3671
2022-01-01 23:00:00,1.368,1.39,1.3621,1.384
2022-01-02 00:00:00,1.3838,1.3868,1.367,1.376
2022-01-02 01:00:00,1.3765,1.3774,1.37,1.3701
2022-01-02 02:00:00,1.3706,1.3779,1.3678,1.3723
2022-01-02 03:00:00,1.3746,1.378,1.3704,1.3704
2022-01-02 04:00:00,1.3727,1.3777,1.3429,1.3483
2022-01-02 05:00:00,1.3496,1.3693,1.3496,1.3629
2022-01-02 06:00:00,1.3632,1.3687,1.3601,1.3611
2022-01-02 07:00:00,1.3618,1.3663,1.3618,1.3636
2022-01-02 08:00:00,1.3634,1.3672,1.3507,1.366
2022-01-02 09:00:00,1.3658,1.3863,1.3658,1.3831
2022-01-02 10:00:00,1.3831,1.3849,1.3773,1.3814
2022-01-02 11:00:00,1.382,1.3924,1.3819,1.3896
2022-01-02 12:00:00,1.3902,1.4247,1.3804,1.416
2022-01-02 13:00:00,1.4152,1.4205,1.3999,1.4007
2022-01-02 14:00:00,1.4007,1.4214,1.4007,1.4178
2022-01-02 15:00:00,1.4177,1.4446,1.4177,1.4331
2022-01-02 16:00:00,1.4325,1.4468,1.4311,1.4442
2022-01-02 17:00:00,1.442,1.4467,1.4278,1.4299
2022-01-02 18:00:00,1.4324,1.4373,1.4097,1.4329
2022-01-02 19:00:00,1.4314,1.4404,1.4244,1.4393
2022-01-02 20:00:00,1.4391,1.4392,1.4245,1.4247
2022-01-02 21:00:00,1.4248,1.4315,1.4194,1.4202
2022-01-02 22:00:00,1.4214,1.4239,1.4178,1.4193
2022-01-02 23:00:00,1.4185,1.4262,1.4185,1.4229
2022-01-03 00:00:00,1.4253,1.4257,1.4164,1.4191
2022-01-03 01:00:00,1.4202,1.4438,1.4202,1.4352
2022-01-03 02:00:00,1.4349,1.4535,1.4292,1.4458
2022-01-03 03:00:00,1.4494,1.4503,1.4251,1.4385
2022-01-03 04:00:00,1.4374,1.4621,1.4374,1.4435
2022-01-03 05:00:00,1.4436,1.455,1.4392,1.4434
2022-01-03 06:00:00,1.4434,1.444,1.425,1.4307
2022-01-03 07:00:00,1.4335,1.4522,1.4335,1.4519
2022-01-03 08:00:00,1.4517,1.4559,1.4195,1.4252
2022-01-03 09:00:00,1.4221,1.4221,1.3878,1.3993
2022-01-03 10:00:00,1.4007,1.4174,1.3956,1.4171
2022-01-03 11:00:00,1.4184,1.431,1.4167,1.4283
2022-01-03 12:00:00,1.4281,1.4318,1.4189,1.4215
2022-01-03 13:00:00,1.4218,1.4522,1.4214,1.45
2022-01-03 14:00:00,1.4503,1.4579,1.436,1.4442
2022-01-03 15:00:00,1.4457,1.4491,1.4265,1.4265
2022-01-03 16:00:00,1.426,1.4292,1.3878,1.4149
2022-01-03 17:00:00,1.418,1.4291,1.4071,1.4267
2022-01-03 18:00:00,1.4263,1.4297,1.4146,1.4203
2022-01-03 19:00:00,1.4201,1.4201,1.4033,1.4033
2022-01-03 20:00:00,1.4021,1.408,1.37,1.3842
2022-01-03 21:00:00,1.3841,1.3976,1.3791,1.3897
2022-01-03 22:00:00,1.3898,1.4041,1.3895,1.3975
2022-01-03 23:00:00,1.3987,1.4018,1.3937,1.3953
2022-01-04 00:00:00,1.3981,1.3981,1.3682,1.3747
2022-01-04 01:00:00,1.371,1.3812,1.3608,1.3627
2022-01-04 02:00:00,1.3617,1.3618,1.3448,1.3529
2022-01-04 03:00:00,1.3527,1.362,1.3444,1.3566
2022-01-04 04:00:00,1.3552,1.3596,1.3455,1.348
2022-01-04 05:00:00,1.3509,1.3583,1.347,1.3568
2022-01-04 06:00:00,1.357,1.3666,1.3521,1.3647
2022-01-04 07:00:00,1.3669,1.3685,1.3613,1.3684
2022-01-04 08:00:00,1.3674,1.3738,1.3636,1.3701
2022-01-04 09:00:00,1.3705,1.3718,1.3628,1.3654
2022-01-04 10:00:00,1.3654,1.379,1.3617,1.379
2022-01-04 11:00:00,1.3784,1.3877,1.3782,1.3866
2022-01-04 12:00:00,1.3847,1.3847,1.3671,1.3746
2022-01-04 13:00:00,1.3761,1.3889,1.3662,1.3889
2022-01-04 14:00:00,1.3864,1.3969,1.3832,1.3952
2022-01-04 15:00:00,1.3963,1.3993,1.3797,1.3834
2022-01-04 16:00:00,1.38,1.3922,1.3737,1.3887
2022-01-04 17:00:00,1.3875,1.3945,1.3819,1.383
2022-01-04 18:00:00,1.3862,1.3867,1.3377,1.3455
2022-01-04 19:00:00,1.3428,1.3723,1.3374,1.3645
2022-01-04 20:00:00,1.3674,1.3697,1.3594,1.3634
2022-01-04 21:00:00,1.3627,1.3667,1.3566,1.363
2022-01-04 22:00:00,1.3618,1.3629,1.3443,1.3497
2022-01-04 23:00:00,1.3492,1.3528,1.3397,1.3432
2022-01-05 00:00:00,1.3443,1.3575,1.334,1.3562
2022-01-05 01:00:00,1.3579,1.364,1.3547,1.3595
2022-01-05 02:00:00,1.3571,1.3648,1.3569,1.3627
2022-01-05 03:00:00,1.3641,1.3724,1.3634,1.368
2022-01-05 04:00:00,1.3669,1.4091,1.3669,1.3994
2022-01-05 05:00:00,1.4011,1.404,1.3894,1.3913
2022-01-05 06:00:00,1.3913,1.4034,1.3885,1.4019
2022-01-05 07:00:00,1.4013,1.4066,1.3992,1.4039
2022-01-05 08:00:00,1.4067,1.4067,1.3965,1.4014
2022-01-05 09:00:00,1.4006,1.4043,1.3966,1.4041
2022-01-05 10:00:00,1.404,1.4062,1.3955,1.3967
2022-01-05 11:00:00,1.396,1.396,1.3731,1.3796
2022-01-05 12:00:00,1.3807,1.3993,1.3739,1.3917
2022-01-05 13:00:00,1.3917,1.4041,1.3882,1.4012
2022-01-05 14:00:00,1.4006,1.409,1.3911,1.4085
2022-01-05 15:00:00,1.406,1.4102,1.3969,1.4054
2022-01-05 16:00:00,1.4067,1.4167,1.4012,1.4076
2022-01-05 17:00:00,1.4064,1.4244,1.387,1.387
2022-01-05 18:00:00,1.3869,1.4075,1.3671,1.3954
2022-01-05 19:00:00,1.396,1.4033,1.3165,1.3219
2022-01-05 20:00:00,1.3213,1.332,1.29,1.294
2022-01-05 21:00:00,1.2939,1.3117,1.2758,1.2765
2022-01-05 22:00:00,1.2784,1.2832,1.21,1.2626
2022-01-05 23:00:00,1.262,1.2765,1.2483,1.2498
2022-01-06 00:00:00,1.2507,1.27,1.2404,1.2498
2022-01-06 01:00:00,1.2497,1.2508,1.2202,1.2291
2022-01-06 02:00:00,1.2248,1.2422,1.2192,1.2205
2022-01-06 03:00:00,1.2196,1.2295,1.2119,1.2121
2022-01-06 04:00:00,1.2138,1.2286,1.2008,1.2198
2022-01-06 05:00:00,1.2203,1.232,1.2125,1.2223
2022-01-06 06:00:00,1.2207,1.2303,1.2126,1.22
2022-01-06 07:00:00,1.2188,1.2353,1.2161,1.2328
2022-01-06 08:00:00,1.231,1.231,1.2002,1.2135
2022-01-06 09:00:00,1.2123,1.2129,1.19,1.1955
2022-01-06 10:00:00,1.1945,1.234,1.1945,1.231
2022-01-06 11:00:00,1.2347,1.2471,1.227,1.2419
2022-01-06 12:00:00,1.2453,1.2491,1.2205,1.2471
2022-01-06 13:00:00,1.2474,1.2774,1.242,1.2774
2022-01-06 14:00:00,1.278,1.3448,1.2733,1.2759
2022-01-06 15:00:00,1.278,1.2905,1.2616,1.2861
2022-01-06 16:00:00,1.2906,1.3158,1.275,1.288
2022-01-06 17:00:00,1.2901,1.31,1.2844,1.2981
2022-01-06 18:00:00,1.2973,1.3082,1.2923,1.3082
2022-01-06 19:00:00,1.3065,1.3079,1.3,1.301
2022-01-06 20:00:00,1.301,1.3171,1.301,1.3171
2022-01-06 21:00:00,1.3171,1.3632,1.3167,1.34
2022-01-06 22:00:00,1.3395,1.341,1.3128,1.313
2022-01-06 23:00:00,1.3129,1.3136,1.3017,1.3046
2022-01-07 00:00:00,1.3095,1.3127,1.2808,1.2937
2022-01-07 01:00:00,1.2955,1.3141,1.2946,1.3032
2022-01-07 02:00:00,1.3035,1.3108,1.287,1.288
2022-01-07 03:00:00,1.2883,1.297,1.2518,1.2607
2022-01-07 04:00:00,1.2606,1.2699,1.2112,1.2583
2022-01-07 05:00:00,1.2603,1.321,1.2564,1.3112
2022-01-07 06:00:00,1.3073,1.3279,1.2809,1.3035
2022-01-07 07:00:00,1.3013,1.3443,1.2755,1.3214
2022-01-07 08:00:00,1.3214,1.38,1.3214,1.3508
2022-01-07 09:00:00,1.354,1.3994,1.348,1.3634
2022-01-07 10:00:00,1.3623,1.3898,1.3512,1.3537
2022-01-07 11:00:00,1.3518,1.3843,1.3398,1.3481
2022-01-07 12:00:00,1.3524,1.3816,1.3522,1.3742
2022-01-07 13:00:00,1.377,1.3847,1.305,1.3386
2022-01-07 14:00:00,1.3378,1.3682,1.3252,1.3642
2022-01-07 15:00:00,1.3604,1.396,1.323,1.3575
2022-01-07 16:00:00,1.3609,1.5409,1.3415,1.5257
2022-01-07 17:00:00,1.5194,1.5499,1.4422,1.4831
2022-01-07 18:00:00,1.4811,1.5077,1.4349,1.4822
2022-01-07 19:00:00,1.4828,1.657,1.4578,1.6211
2022-01-07 20:00:00,1.6212,2.4799,1.6212,2.135
2022-01-07 21:00:00,2.1345,2.3899,1.8963,2.1998
2022-01-07 22:00:00,2.1914,2.34,1.93,2.0266
2022-01-07 23:00:00,2.0266,2.11,1.9403,2.05
2022-01-08 00:00:00,2.0584,2.15,1.9,1.9001
2022-01-08 01:00:00,1.9082,1.92,1.8179,1.8669
2022-01-08 02:00:00,1.864,1.8669,1.75,1.7679
2022-01-08 03:00:00,1.7645,1.7683,1.66,1.7457
2022-01-08 04:00:00,1.745,1.7499,1.64,1.6404
2022-01-08 05:00:00,1.6401,1.6489,1.564,1.5879
2022-01-08 06:00:00,1.5867,1.6137,1.55,1.577
2022-01-08 07:00:00,1.5802,1.6878,1.5741,1.655
2022-01-08 08:00:00,1.6549,1.849,1.6201,1.75
2022-01-08 09:00:00,1.7501,1.94,1.75,1.9399
2022-01-08 10:00:00,1.9277,2.2,1.8808,1.9974
2022-01-08 11:00:00,2.005,2.0464,1.801,1.8495
2022-01-08 12:00:00,1.8486,1.8493,1.6878,1.7555
2022-01-08 13:00:00,1.7555,1.8818,1.7413,1.7717
2022-01-08 14:00:00,1.766,2.0556,1.7342,1.9342
2022-01-08 15:00:00,1.9418,2.19,1.87,2.0697
2022-01-08 16:00:00,2.0611,2.14,1.9158,1.9542
2022-01-08 17:00:00,1.9449,2.144,1.8269,2.0478
2022-01-08 18:00:00,2.0695,2.15,1.8608,1.8654
2022-01-08 19:00:00,1.8653,1.8665,1.76,1.8519
2022-01-08 20:00:00,1.85,1.8548,1.7003,1.7021
2022-01-08 21:00:00,1.7021,1.7925,1.6331,1.6609
2022-01-08 22:00:00,1.6612,1.7,1.5706,1.6075
2022-01-08 23:00:00,1.6041,1.6764,1.576,1.5982
2022-01-09 00:00:00,1.5982,1.74,1.581,1.7238
2022-01-09 01:00:00,1.7192,1.7257,1.607,1.6323
2022-01-09 02:00:00,1.6323,1.6484,1.6001,1.615
2022-01-09 03:00:00,1.6152,1.6284,1.6023,1.6085
2022-01-09 04:00:00,1.607,1.6189,1.5586,1.5747
2022-01-09 05:00:00,1.5682,1.7311,1.5317,1.6707
2022-01-09 06:00:00,1.6769,1.7699,1.642,1.6698
2022-01-09 07:00:00,1.6677,1.6738,1.6,1.6006
2022-01-09 08:00:00,1.6018,1.6426,1.55,1.595
2022-01-09 09:00:00,1.595,1.624,1.57,1.5855
2022-01-09 10:00:00,1.5856,1.7654,1.5416,1.7378
2022-01-09 11:00:00,1.7377,1.7377,1.6,1.6024
2022-01-09 12:00:00,1.6025,1.617,1.564,1.5998
2022-01-09 13:00:00,1.5998,1.6114,1.5689,1.5763
2022-01-09 14:00:00,1.5763,1.6105,1.5536,1.5698
2022-01-09 15:00:00,1.5698,1.5874,1.5,1.5065
2022-01-09 16:00:00,1.5065,1.5133,1.4393,1.4563
2022-01-09 17:00:00,1.4547,1.5465,1.451,1.5298
2022-01-09 18:00:00,1.5298,1.5407,1.4642,1.4826
2022-01-09 19:00:00,1.4839,1.54,1.466,1.5287
2022-01-09 20:00:00,1.5262,1.6469,1.5208,1.6292
2022-01-09 21:00:00,1.6344,1.675,1.5132,1.5186
2022-01-09 22:00:00,1.5138,1.5623,1.49,1.4934
2022-01-09 23:00:00,1.4932,1.4982,1.4593,1.4847
2022-01-10 00:00:00,1.4847,1.5135,1.455,1.4805
2022-01-10 01:00:00,1.4805,1.5124,1.4396,1.4583
2022-01-10 02:00:00,1.4557,1.4863,1.4201,1.4721
2022-01-10 03:00:00,1.4739,1.4891,1.4317,1.4628
