datetime,KRLUSD_open,KRLUSD_high,KRLUSD_low,KRLUSD_close
2022-01-01 00:00:00,1.3029,1.3044,1.2981,1.3042
2022-01-01 01:00:00,1.3035,1.3068,1.3002,1.302
2022-01-01 02:00:00,1.3019,1.3028,1.298,1.298
2022-01-01 03:00:00,1.2989,1.3027,1.2929,1.2995
2022-01-01 04:00:00,1.2978,1.3024,1.296,1.2969
2022-01-01 05:00:00,1.2987,1.3,1.2917,1.2943
2022-01-01 06:00:00,1.2943,1.3071,1.2907,1.2972
2022-01-01 07:00:00,1.2958,1.2982,1.2909,1.2979
2022-01-01 08:00:00,1.2976,1.309,1.29,1.2942
2022-01-01 09:00:00,1.2976,1.3054,1.296,1.3032
2022-01-01 10:00:00,1.2977,1.3048,1.2925,1.2997
2022-01-01 11:00:00,1.2992,1.3044,1.2903,1.2987
2022-01-01 12:00:00,1.297,1.2996,1.2901,1.2905
2022-01-01 13:00:00,1.2955,1.2961,1.2903,1.2961
2022-01-01 14:00:00,1.2964,1.3073,1.2901,1.2919
2022-01-01 15:00:00,1.2951,1.3024,1.2914,1.3006
2022-01-01 16:00:00,1.2951,1.3173,1.2951,1.3141
2022-01-01 17:00:00,1.3141,1.3599,1.3091,1.3398
2022-01-01 18:00:00,1.3426,1.4341,1.3396,1.4226
2022-01-01 19:00:00,1.4178,1.4178,1.3616,1.3694
2022-01-01 20:00:00,1.3694,1.4052,1.359,1.3771
2022-01-01 21:00:00,1.3836,1.4108,1.3711,1.3969
2022-01-01 22:00:00,1.3906,1.73,1.3838,1.7105
2022-01-01 23:00:00,1.7141,1.94,1.6702,1.6882
2022-01-02 00:00:00,1.6907,1.6989,1.6287,1.6596
2022-01-02 01:00:00,1.6552,1.6589,1.476,1.522
2022-01-02 02:00:00,1.531,1.5665,1.4989,1.5063
2022-01-02 03:00:00,1.5073,1.5391,1.4877,1.5121
2022-01-02 04:00:00,1.5066,1.598,1.4969,1.5064
2022-01-02 05:00:00,1.5091,1.5443,1.48,1.5255
2022-01-02 06:00:00,1.5263,1.5374,1.5064,1.5215
2022-01-02 07:00:00,1.5254,1.5341,1.5027,1.5219
2022-01-02 08:00:00,1.5201,1.5373,1.4922,1.5003
2022-01-02 09:00:00,1.5095,1.55,1.4996,1.5499
2022-01-02 10:00:00,1.5499,1.55,1.5228,1.5383
2022-01-02 11:00:00,1.5451,1.5451,1.5047,1.5242
2022-01-02 12:00:00,1.5186,1.5594,1.5137,1.5435
2022-01-02 13:00:00,1.5427,1.5899,1.5426,1.587
2022-01-02 14:00:00,1.587,1.631,1.558,1.5745
2022-01-02 15:00:00,1.5677,1.5874,1.5528,1.5605
2022-01-02 16:00:00,1.5639,1.573,1.537,1.5503
2022-01-02 17:00:00,1.5503,1.5619,1.5062,1.5516
2022-01-02 18:00:00,1.5466,1.5825,1.5305,1.5654
2022-01-02 19:00:00,1.5637,1.5662,1.5367,1.5489
2022-01-02 20:00:00,1.5473,1.5839,1.5451,1.5497
2022-01-02 21:00:00,1.5498,1.571,1.5491,1.5498
2022-01-02 22:00:00,1.5554,1.5662,1.5188,1.5255
2022-01-02 23:00:00,1.5213,1.5669,1.5174,1.539
2022-01-03 00:00:00,1.539,1.5689,1.516,1.516
2022-01-03 01:00:00,1.516,1.5216,1.4775,1.4843
2022-01-03 02:00:00,1.4813,1.4964,1.448,1.4517
2022-01-03 03:00:00,1.4479,1.4883,1.4463,1.4604
2022-01-03 04:00:00,1.4591,1.4618,1.4414,1.4529
2022-01-03 05:00:00,1.4473,1.46,1.4411,1.46
2022-01-03 06:00:00,1.455,1.491,1.4478,1.4601
2022-01-03 07:00:00,1.462,1.467,1.46,1.4603
2022-01-03 08:00:00,1.4659,1.4659,1.4411,1.4528
2022-01-03 09:00:00,1.4457,1.4589,1.4401,1.4584
2022-01-03 10:00:00,1.46,1.4654,1.4414,1.4476
2022-01-03 11:00:00,1.4453,1.4658,1.4415,1.4587
2022-01-03 12:00:00,1.461,1.4711,1.4485,1.4509
2022-01-03 13:00:00,1.458,1.4684,1.45,1.4681
2022-01-03 14:00:00,1.4623,1.4799,1.4567,1.4631
2022-01-03 15:00:00,1.4617,1.476,1.4542,1.4632
2022-01-03 16:00:00,1.4568,1.4593,1.4464,1.4469
2022-01-03 17:00:00,1.4461,1.4557,1.43,1.4405
2022-01-03 18:00:00,1.4405,1.464,1.4357,1.4403
2022-01-03 19:00:00,1.4407,1.4515,1.4274,1.4466
2022-01-03 20:00:00,1.4419,1.45,1.4,1.4254
2022-01-03 21:00:00,1.4254,1.4307,1.4023,1.4203
2022-01-03 22:00:00,1.4266,1.4291,1.404,1.4179
2022-01-03 23:00:00,1.4106,1.4443,1.4104,1.4299
2022-01-04 00:00:00,1.4239,1.4424,1.4212,1.4278
2022-01-04 01:00:00,1.425,1.4335,1.4183,1.4307
2022-01-04 02:00:00,1.4317,1.4367,1.408,1.408
2022-01-04 03:00:00,1.408,1.412,1.4058,1.4118
2022-01-04 04:00:00,1.4085,1.4466,1.4056,1.4304
2022-01-04 05:00:00,1.427,1.427,1.4169,1.4169
2022-01-04 06:00:00,1.4254,1.4254,1.4062,1.4181
2022-01-04 07:00:00,1.4171,1.4233,1.4132,1.4156
2022-01-04 08:00:00,1.4114,1.4179,1.4103,1.4111
2022-01-04 09:00:00,1.4109,1.419,1.4101,1.4101
2022-01-04 10:00:00,1.4121,1.4207,1.4101,1.415
2022-01-04 11:00:00,1.4112,1.427,1.4112,1.4149
2022-01-04 12:00:00,1.4192,1.4296,1.4156,1.4296
2022-01-04 13:00:00,1.426,1.4521,1.4149,1.4451
2022-01-04 14:00:00,1.4429,1.4584,1.4346,1.4508
2022-01-04 15:00:00,1.449,1.4575,1.4267,1.4305
2022-01-04 16:00:00,1.4267,1.4349,1.4109,1.4275
2022-01-04 17:00:00,1.4227,1.433,1.4182,1.4193
2022-01-04 18:00:00,1.4235,1.4442,1.4142,1.4244
2022-01-04 19:00:00,1.4299,1.4563,1.4221,1.4299
2022-01-04 20:00:00,1.4306,1.4378,1.4289,1.429
2022-01-04 21:00:00,1.4324,1.4525,1.4297,1.4304
2022-01-04 22:00:00,1.4373,1.4383,1.4213,1.4218
2022-01-04 23:00:00,1.4218,1.4295,1.418,1.4218
2022-01-05 00:00:00,1.4255,1.4255,1.4133,1.4151
2022-01-05 01:00:00,1.4158,1.4254,1.4105,1.4141
2022-01-05 02:00:00,1.4104,1.4149,1.4066,1.4077
2022-01-05 03:00:00,1.4102,1.4375,1.4065,1.4219
2022-01-05 04:00:00,1.4285,1.4303,1.408,1.4171
2022-01-05 05:00:00,1.4207,1.4387,1.4171,1.4258
2022-01-05 06:00:00,1.4277,1.4323,1.4203,1.4312
2022-01-05 07:00:00,1.4312,1.4322,1.417,1.4174
2022-01-05 08:00:00,1.4212,1.4223,1.417,1.4185
2022-01-05 09:00:00,1.4223,1.4358,1.4178,1.4358
2022-01-05 10:00:00,1.4294,1.4377,1.4263,1.4324
2022-01-05 11:00:00,1.4327,1.4352,1.43,1.432
2022-01-05 12:00:00,1.432,1.4373,1.42,1.4206
2022-01-05 13:00:00,1.4216,1.4268,1.4192,1.4206
2022-01-05 14:00:00,1.4239,1.4329,1.4065,1.4122
2022-01-05 15:00:00,1.4115,1.4223,1.4092,1.4154
2022-01-05 16:00:00,1.4146,1.4194,1.3838,1.395
2022-01-05 17:00:00,1.391,1.3964,1.37,1.3763
2022-01-05 18:00:00,1.377,1.3885,1.3676,1.3885
2022-01-05 19:00:00,1.3885,1.3903,1.33,1.3401
2022-01-05 20:00:00,1.3393,1.354,1.3299,1.337
2022-01-05 21:00:00,1.3414,1.3475,1.3141,1.3292
