datetime,LAZIOBUSD_open,LAZIOBUSD_high,LAZIOBUSD_low,LAZIOBUSD_close
2022-01-01 00:00:00,4.6573,4.7122,4.6571,4.7045
2022-01-01 01:00:00,4.6805,4.7032,4.653,4.653
2022-01-01 02:00:00,4.6475,4.6751,4.6398,4.6572
2022-01-01 03:00:00,4.6392,4.6644,4.6384,4.6577
2022-01-01 04:00:00,4.6574,4.6574,4.6217,4.6431
2022-01-01 05:00:00,4.6467,4.6586,4.6184,4.6442
2022-01-01 06:00:00,4.6442,4.6541,4.6211,4.6514
2022-01-01 07:00:00,4.6434,4.6633,4.6334,4.6516
2022-01-01 08:00:00,4.6446,4.658,4.6394,4.658
2022-01-01 09:00:00,4.6579,4.6638,4.636,4.6381
2022-01-01 10:00:00,4.6359,4.6876,4.6359,4.6537
2022-01-01 11:00:00,4.6575,4.6799,4.6452,4.6452
2022-01-01 12:00:00,4.6454,4.6742,4.6451,4.6548
2022-01-01 13:00:00,4.6577,4.7005,4.6495,4.7005
2022-01-01 14:00:00,4.6854,4.691,4.6498,4.6498
2022-01-01 15:00:00,4.6533,4.6795,4.6492,4.67
2022-01-01 16:00:00,4.6791,4.6794,4.6513,4.6513
2022-01-01 17:00:00,4.653,4.6799,4.6493,4.6799
2022-01-01 18:00:00,4.6799,4.7745,4.6648,4.7645
2022-01-01 19:00:00,4.7518,4.7518,4.6669,4.6841
2022-01-01 20:00:00,4.6658,4.7429,4.6574,4.6676
2022-01-01 21:00:00,4.6591,4.6844,4.6515,4.6844
2022-01-01 22:00:00,4.6896,4.6993,4.6783,4.6851
2022-01-01 23:00:00,4.6855,4.6978,4.6704,4.6706
2022-01-02 00:00:00,4.667,4.673,4.6577,4.6665
2022-01-02 01:00:00,4.6546,4.6725,4.6546,4.6725
2022-01-02 02:00:00,4.6596,4.665,4.6553,4.665
2022-01-02 03:00:00,4.6559,4.6599,4.6362,4.6482
2022-01-02 04:00:00,4.6548,4.7,4.6482,4.683
2022-01-02 05:00:00,4.6853,4.7136,4.6787,4.695
2022-01-02 06:00:00,4.695,4.695,4.6667,4.68
2022-01-02 07:00:00,4.6635,4.6865,4.6514,4.6737
2022-01-02 08:00:00,4.6713,4.6713,4.6504,4.6582
2022-01-02 09:00:00,4.6506,4.67,4.6489,4.67
2022-01-02 10:00:00,4.66,4.6688,4.6397,4.6672
2022-01-02 11:00:00,4.6665,4.6873,4.6664,4.6816
2022-01-02 12:00:00,4.6873,4.6965,4.6663,4.6686
2022-01-02 13:00:00,4.6686,4.6815,4.6431,4.67
2022-01-02 14:00:00,4.67,4.6868,4.6671,4.6868
2022-01-02 15:00:00,4.6703,4.6809,4.6552,4.66
2022-01-02 16:00:00,4.6524,4.6626,4.6524,4.657
2022-01-02 17:00:00,4.6577,4.6635,4.6425,4.6475
2022-01-02 18:00:00,4.6653,4.69,4.6504,4.6504
2022-01-02 19:00:00,4.65,4.65,4.6245,4.6428
2022-01-02 20:00:00,4.635,4.6455,4.6184,4.6455
2022-01-02 21:00:00,4.6309,4.6526,4.6286,4.6344
2022-01-02 22:00:00,4.6529,4.6529,4.612,4.6149
2022-01-02 23:00:00,4.6149,4.6151,4.6,4.6072
2022-01-03 00:00:00,4.5879,4.6205,4.5833,4.6109
2022-01-03 01:00:00,4.603,4.603,4.5624,4.5725
2022-01-03 02:00:00,4.5751,4.6475,4.5619,4.6044
2022-01-03 03:00:00,4.5928,4.6267,4.5891,4.6267
2022-01-03 04:00:00,4.647,4.647,4.5984,4.634
2022-01-03 05:00:00,4.6298,4.6624,4.6298,4.65
2022-01-03 06:00:00,4.6607,4.8433,4.6483,4.7238
2022-01-03 07:00:00,4.7096,4.784,4.6832,4.6832
2022-01-03 08:00:00,4.684,4.745,4.684,4.7418
2022-01-03 09:00:00,4.7277,4.74,4.6751,4.687
2022-01-03 10:00:00,4.6782,4.7031,4.6741,4.6761
2022-01-03 11:00:00,4.6912,4.6917,4.5892,4.6097
2022-01-03 12:00:00,4.6098,4.6226,4.5929,4.5997
2022-01-03 13:00:00,4.6117,4.6117,4.5807,4.6018
2022-01-03 14:00:00,4.6111,4.6381,4.6025,4.6025
2022-01-03 15:00:00,4.5994,4.5994,4.53,4.5669
2022-01-03 16:00:00,4.5502,4.5961,4.5502,4.5961
2022-01-03 17:00:00,4.585,4.6119,4.5761,4.608
2022-01-03 18:00:00,4.6281,4.6579,4.6281,4.6373
2022-01-03 19:00:00,4.6227,4.6227,4.5621,4.5621
2022-01-03 20:00:00,4.5622,4.5681,4.5416,4.5416
2022-01-03 21:00:00,4.5396,4.5416,4.5089,4.525
2022-01-03 22:00:00,4.5255,4.5598,4.525,4.5598
2022-01-03 23:00:00,4.5599,4.563,4.53,4.53
2022-01-04 00:00:00,4.5453,4.5579,4.525,4.5264
2022-01-04 01:00:00,4.5388,4.559,4.5357,4.5537
2022-01-04 02:00:00,4.567,4.5801,4.5369,4.5801
2022-01-04 03:00:00,4.5737,4.5755,4.549,4.5503
2022-01-04 04:00:00,4.5697,4.5812,4.5621,4.568
2022-01-04 05:00:00,4.5681,4.5869,4.5538,4.5732
2022-01-04 06:00:00,4.5744,4.591,4.574,4.574
2022-01-04 07:00:00,4.588,4.5881,4.5543,4.5651
2022-01-04 08:00:00,4.5647,4.5844,4.549,4.5704
2022-01-04 09:00:00,4.5654,4.6249,4.5615,4.6113
