datetime,LINKBUSD_open,LINKBUSD_high,LINKBUSD_low,LINKBUSD_close
2022-01-01 00:00:00,19.56,20.0,19.56,19.81
2022-01-01 01:00:00,19.82,19.88,19.68,19.68
2022-01-01 02:00:00,19.73,19.88,19.63,19.81
2022-01-01 03:00:00,19.82,19.89,19.79,19.83
2022-01-01 04:00:00,19.84,19.94,19.73,19.76
2022-01-01 05:00:00,19.79,19.88,19.55,19.66
2022-01-01 06:00:00,19.66,19.79,19.62,19.62
2022-01-01 07:00:00,19.62,19.85,19.62,19.82
2022-01-01 08:00:00,19.83,19.88,19.75,19.8
2022-01-01 09:00:00,19.8,19.9,19.77,19.84
2022-01-01 10:00:00,19.82,20.14,19.81,20.02
2022-01-01 11:00:00,20.04,20.17,19.98,20.11
2022-01-01 12:00:00,20.11,20.35,19.99,20.33
2022-01-01 13:00:00,20.36,20.4,20.26,20.3
2022-01-01 14:00:00,20.32,20.38,20.17,20.22
2022-01-01 15:00:00,20.22,20.43,20.21,20.36
2022-01-01 16:00:00,20.35,20.45,20.3,20.38
2022-01-01 17:00:00,20.4,20.49,20.27,20.45
2022-01-01 18:00:00,20.45,20.79,20.39,20.76
2022-01-01 19:00:00,20.76,21.13,20.57,21.05
2022-01-01 20:00:00,21.05,21.3,20.91,20.98
2022-01-01 21:00:00,20.98,20.99,20.84,20.85
2022-01-01 22:00:00,20.85,21.07,20.85,21.03
2022-01-01 23:00:00,21.04,21.15,20.64,20.73
2022-01-02 00:00:00,20.72,20.97,20.69,20.9
2022-01-02 01:00:00,20.88,20.88,20.75,20.76
2022-01-02 02:00:00,20.75,20.79,20.71,20.74
2022-01-02 03:00:00,20.76,20.96,20.71,20.9
2022-01-02 04:00:00,20.9,21.12,20.89,21.06
2022-01-02 05:00:00,21.06,21.1,20.95,20.96
2022-01-02 06:00:00,20.95,21.17,20.94,21.05
2022-01-02 07:00:00,21.07,21.32,20.91,21.23
2022-01-02 08:00:00,21.25,21.36,21.13,21.31
2022-01-02 09:00:00,21.3,21.45,21.2,21.29
