datetime,LITBUSD_open,LITBUSD_high,LITBUSD_low,LITBUSD_close
2022-01-01 00:00:00,3.055,3.064,3.026,3.05
2022-01-01 01:00:00,3.045,3.07,3.037,3.037
2022-01-01 02:00:00,3.04,3.085,3.022,3.08
2022-01-01 03:00:00,3.078,3.122,3.077,3.089
2022-01-01 04:00:00,3.093,3.093,3.047,3.065
2022-01-01 05:00:00,3.065,3.077,3.006,3.028
2022-01-01 06:00:00,3.031,3.049,3.031,3.037
2022-01-01 07:00:00,3.044,3.094,3.044,3.087
2022-01-01 08:00:00,3.088,3.225,3.081,3.1
2022-01-01 09:00:00,3.099,3.101,3.053,3.065
2022-01-01 10:00:00,3.067,3.122,3.057,3.084
2022-01-01 11:00:00,3.086,3.11,3.071,3.075
2022-01-01 12:00:00,3.075,3.107,3.075,3.102
2022-01-01 13:00:00,3.102,3.102,3.077,3.098
2022-01-01 14:00:00,3.102,3.113,3.087,3.098
2022-01-01 15:00:00,3.098,3.111,3.088,3.099
2022-01-01 16:00:00,3.102,3.115,3.095,3.095
2022-01-01 17:00:00,3.095,3.1,3.082,3.098
2022-01-01 18:00:00,3.1,3.124,3.093,3.123
2022-01-01 19:00:00,3.121,3.154,3.098,3.142
2022-01-01 20:00:00,3.141,3.145,3.106,3.108
2022-01-01 21:00:00,3.11,3.12,3.108,3.112
2022-01-01 22:00:00,3.112,3.119,3.103,3.114
2022-01-01 23:00:00,3.111,3.118,3.076,3.08
2022-01-02 00:00:00,3.081,3.102,3.077,3.093
2022-01-02 01:00:00,3.091,3.091,3.083,3.086
2022-01-02 02:00:00,3.083,3.096,3.083,3.093
2022-01-02 03:00:00,3.091,3.091,3.066,3.084
2022-01-02 04:00:00,3.087,3.115,3.087,3.097
2022-01-02 05:00:00,3.097,3.116,3.094,3.099
2022-01-02 06:00:00,3.101,3.123,3.099,3.118
2022-01-02 07:00:00,3.118,3.15,3.1,3.141
2022-01-02 08:00:00,3.137,3.166,3.124,3.153
2022-01-02 09:00:00,3.153,3.154,3.1,3.15
2022-01-02 10:00:00,3.154,3.157,3.139,3.152
2022-01-02 11:00:00,3.154,3.189,3.151,3.18
2022-01-02 12:00:00,3.183,3.202,3.165,3.201
2022-01-02 13:00:00,3.198,3.198,3.125,3.169
2022-01-02 14:00:00,3.167,3.18,3.144,3.153
2022-01-02 15:00:00,3.159,3.175,3.153,3.165
2022-01-02 16:00:00,3.163,3.185,3.158,3.17
2022-01-02 17:00:00,3.174,3.19,3.169,3.177
2022-01-02 18:00:00,3.179,3.19,3.174,3.181
2022-01-02 19:00:00,3.181,3.198,3.165,3.173
2022-01-02 20:00:00,3.173,3.191,3.157,3.191
2022-01-02 21:00:00,3.191,3.195,3.157,3.177
2022-01-02 22:00:00,3.182,3.186,3.127,3.149
2022-01-02 23:00:00,3.151,3.186,3.151,3.161
2022-01-03 00:00:00,3.161,3.175,3.144,3.16
2022-01-03 01:00:00,3.163,3.174,3.156,3.156
2022-01-03 02:00:00,3.156,3.169,3.148,3.166
2022-01-03 03:00:00,3.169,3.237,3.156,3.158
2022-01-03 04:00:00,3.159,3.167,3.145,3.167
2022-01-03 05:00:00,3.168,3.2,3.165,3.169
2022-01-03 06:00:00,3.169,3.189,3.169,3.177
2022-01-03 07:00:00,3.177,3.186,3.161,3.164
2022-01-03 08:00:00,3.164,3.192,3.162,3.183
2022-01-03 09:00:00,3.178,3.2,3.16,3.172
