datetime,LPTBUSD_open,LPTBUSD_high,LPTBUSD_low,LPTBUSD_close
2022-01-01 00:00:00,40.79,41.79,40.7,41.19
2022-01-01 01:00:00,41.17,41.17,40.67,40.78
2022-01-01 02:00:00,40.78,41.21,40.78,41.12
2022-01-01 03:00:00,41.02,41.16,40.14,40.44
2022-01-01 04:00:00,40.46,40.5,40.07,40.24
2022-01-01 05:00:00,40.32,40.46,39.77,40.15
2022-01-01 06:00:00,40.19,40.31,40.04,40.04
2022-01-01 07:00:00,40.04,40.46,40.01,40.41
2022-01-01 08:00:00,40.44,40.56,40.27,40.4
2022-01-01 09:00:00,40.46,40.5,40.26,40.3
2022-01-01 10:00:00,40.28,40.78,40.25,40.47
2022-01-01 11:00:00,40.54,40.7,40.46,40.51
2022-01-01 12:00:00,40.53,41.29,40.46,41.04
2022-01-01 13:00:00,41.04,41.06,40.79,40.9
2022-01-01 14:00:00,40.92,40.99,40.66,40.67
2022-01-01 15:00:00,40.78,40.9,40.6,40.8
2022-01-01 16:00:00,40.8,40.8,40.44,40.6
2022-01-01 17:00:00,40.57,40.71,40.48,40.48
2022-01-01 18:00:00,40.49,41.23,40.49,41.13
2022-01-01 19:00:00,41.04,41.04,40.69,40.93
2022-01-01 20:00:00,40.92,40.93,40.56,40.59
2022-01-01 21:00:00,40.55,40.55,40.35,40.35
2022-01-01 22:00:00,40.33,40.39,40.18,40.33
2022-01-01 23:00:00,40.36,40.63,39.97,40.28
2022-01-02 00:00:00,40.23,40.26,39.99,40.16
2022-01-02 01:00:00,40.17,40.23,40.07,40.21
2022-01-02 02:00:00,40.21,40.21,39.97,40.14
2022-01-02 03:00:00,40.09,40.17,39.85,40.12
2022-01-02 04:00:00,40.12,40.38,40.06,40.13
2022-01-02 05:00:00,40.09,40.19,39.93,40.03
2022-01-02 06:00:00,40.04,40.26,40.01,40.16
2022-01-02 07:00:00,40.16,40.24,39.99,39.99
2022-01-02 08:00:00,40.0,40.07,39.89,40.06
2022-01-02 09:00:00,40.01,40.19,39.91,40.12
2022-01-02 10:00:00,40.18,40.63,40.13,40.56
2022-01-02 11:00:00,40.57,40.99,40.57,40.96
2022-01-02 12:00:00,40.92,41.01,40.62,40.63
2022-01-02 13:00:00,40.63,40.99,40.15,40.99
2022-01-02 14:00:00,40.91,40.91,40.52,40.57
2022-01-02 15:00:00,40.49,41.28,40.47,40.77
2022-01-02 16:00:00,40.77,40.88,40.22,40.3
2022-01-02 17:00:00,40.37,40.52,40.31,40.42
2022-01-02 18:00:00,40.4,40.75,40.4,40.74
2022-01-02 19:00:00,40.67,40.72,40.55,40.66
2022-01-02 20:00:00,40.65,40.65,40.39,40.57
2022-01-02 21:00:00,40.57,40.57,40.14,40.31
2022-01-02 22:00:00,40.42,40.42,40.05,40.23
