datetime,LPTUSD_open,LPTUSD_high,LPTUSD_low,LPTUSD_close
2022-01-01 00:00:00,39.69,40.61,39.56,40.42
2022-01-01 01:00:00,40.46,41.1,40.38,40.84
2022-01-01 02:00:00,40.84,41.2,40.67,41.08
2022-01-01 03:00:00,41.09,41.6,41.05,41.14
2022-01-01 04:00:00,41.16,41.23,40.72,40.72
2022-01-01 05:00:00,40.76,41.78,40.66,41.2
2022-01-01 06:00:00,41.19,41.19,40.64,40.76
2022-01-01 07:00:00,40.76,41.24,40.69,41.13
2022-01-01 08:00:00,41.14,41.14,40.17,40.4
2022-01-01 09:00:00,40.43,40.52,40.09,40.24
2022-01-01 10:00:00,40.35,40.48,39.78,40.15
2022-01-01 11:00:00,40.15,40.28,40.03,40.06
2022-01-01 12:00:00,40.11,40.49,40.11,40.41
2022-01-01 13:00:00,40.42,40.58,40.3,40.47
2022-01-01 14:00:00,40.5,40.5,40.23,40.28
2022-01-01 15:00:00,40.34,40.79,40.29,40.5
2022-01-01 16:00:00,40.61,40.75,40.43,40.5
2022-01-01 17:00:00,40.48,41.31,40.47,41.0
2022-01-01 18:00:00,41.0,41.09,40.75,40.91
2022-01-01 19:00:00,40.92,41.01,40.66,40.77
2022-01-01 20:00:00,40.73,40.9,40.6,40.66
2022-01-01 21:00:00,40.77,40.77,40.45,40.57
2022-01-01 22:00:00,40.58,40.69,40.51,40.51
2022-01-01 23:00:00,40.51,41.22,40.5,41.0
2022-01-02 00:00:00,41.06,41.1,40.74,40.91
2022-01-02 01:00:00,40.92,40.93,40.5,40.57
2022-01-02 02:00:00,40.57,40.6,40.32,40.32
2022-01-02 03:00:00,40.32,40.41,40.17,40.33
2022-01-02 04:00:00,40.3,40.64,40.0,40.15
2022-01-02 05:00:00,40.14,40.28,39.98,40.22
2022-01-02 06:00:00,40.17,40.29,40.08,40.25
2022-01-02 07:00:00,40.25,40.25,40.0,40.14
2022-01-02 08:00:00,40.16,40.19,39.82,40.14
2022-01-02 09:00:00,40.15,40.41,40.03,40.06
2022-01-02 10:00:00,40.06,40.18,39.89,40.03
