datetime,LRCUSD_open,LRCUSD_high,LRCUSD_low,LRCUSD_close
2022-01-01 00:00:00,2.0859,2.12,2.0859,2.1147
2022-01-01 01:00:00,2.116,2.1164,2.0681,2.0759
2022-01-01 02:00:00,2.0756,2.0771,2.0485,2.0517
2022-01-01 03:00:00,2.052,2.0692,2.0502,2.0689
2022-01-01 04:00:00,2.0689,2.0752,2.0398,2.0427
2022-01-01 05:00:00,2.0427,2.0792,2.0379,2.0583
2022-01-01 06:00:00,2.0588,2.0669,2.0457,2.0483
2022-01-01 07:00:00,2.0478,2.0558,2.0418,2.0515
2022-01-01 08:00:00,2.0503,2.0851,2.0469,2.0754
2022-01-01 09:00:00,2.0754,2.0793,2.0547,2.0654
2022-01-01 10:00:00,2.0672,2.0735,2.0481,2.0494
2022-01-01 11:00:00,2.0499,2.0632,2.0443,2.0444
2022-01-01 12:00:00,2.0477,2.0616,2.043,2.0611
2022-01-01 13:00:00,2.0611,2.0634,2.0502,2.0572
2022-01-01 14:00:00,2.0576,2.0647,2.0528,2.0593
2022-01-01 15:00:00,2.0594,2.0779,2.0553,2.0675
2022-01-01 16:00:00,2.0673,2.0826,2.0662,2.0734
2022-01-01 17:00:00,2.0767,2.099,2.0722,2.0876
2022-01-01 18:00:00,2.0873,2.0923,2.0832,2.0868
2022-01-01 19:00:00,2.0878,2.0902,2.0744,2.0798
2022-01-01 20:00:00,2.079,2.0872,2.0726,2.0738
2022-01-01 21:00:00,2.0739,2.0827,2.06,2.0628
2022-01-01 22:00:00,2.0616,2.0765,2.0582,2.0747
2022-01-01 23:00:00,2.075,2.0903,2.071,2.0892
2022-01-02 00:00:00,2.0884,2.0932,2.0726,2.0877
2022-01-02 01:00:00,2.0874,2.09,2.0754,2.0842
2022-01-02 02:00:00,2.0837,2.0857,2.0737,2.0788
2022-01-02 03:00:00,2.0789,2.0823,2.0677,2.069
2022-01-02 04:00:00,2.0693,2.071,2.05,2.0533
2022-01-02 05:00:00,2.0518,2.0621,2.0502,2.0611
2022-01-02 06:00:00,2.0605,2.0642,2.0541,2.0549
2022-01-02 07:00:00,2.0537,2.0601,2.0522,2.0538
2022-01-02 08:00:00,2.0533,2.066,2.05,2.064
2022-01-02 09:00:00,2.0639,2.0777,2.0614,2.0665
2022-01-02 10:00:00,2.0657,2.0699,2.0627,2.0668
2022-01-02 11:00:00,2.0667,2.0815,2.0657,2.0727
2022-01-02 12:00:00,2.0717,2.0793,2.0607,2.0726
2022-01-02 13:00:00,2.0732,2.0743,2.0574,2.0604
2022-01-02 14:00:00,2.0603,2.1157,2.0553,2.1106
2022-01-02 15:00:00,2.111,2.1149,2.0722,2.0777
2022-01-02 16:00:00,2.0778,2.1029,2.0763,2.0994
2022-01-02 17:00:00,2.0995,2.1018,2.0806,2.0872
2022-01-02 18:00:00,2.0855,2.0962,2.0586,2.0844
2022-01-02 19:00:00,2.0842,2.0918,2.0701,2.0747
2022-01-02 20:00:00,2.0747,2.0772,2.0674,2.0741
2022-01-02 21:00:00,2.0739,2.08,2.0683,2.0704
2022-01-02 22:00:00,2.0705,2.0868,2.0695,2.0851
2022-01-02 23:00:00,2.0852,2.099,2.0824,2.0953
2022-01-03 00:00:00,2.0964,2.0967,2.0804,2.0876
2022-01-03 01:00:00,2.0864,2.095,2.0809,2.0926
2022-01-03 02:00:00,2.0917,2.0943,2.0693,2.0767
2022-01-03 03:00:00,2.0764,2.0803,2.0569,2.0689
2022-01-03 04:00:00,2.0688,2.0796,2.0601,2.0624
2022-01-03 05:00:00,2.0613,2.0784,2.06,2.0754
2022-01-03 06:00:00,2.0753,2.0753,2.058,2.0603
2022-01-03 07:00:00,2.0605,2.0653,2.052,2.0616
2022-01-03 08:00:00,2.0614,2.0687,2.059,2.0673
2022-01-03 09:00:00,2.0674,2.0742,2.0582,2.0707
2022-01-03 10:00:00,2.0701,2.0793,2.0663,2.0706
2022-01-03 11:00:00,2.0708,2.086,2.0706,2.0836
2022-01-03 12:00:00,2.0848,2.0957,2.0781,2.0851
2022-01-03 13:00:00,2.0856,2.0957,2.0791,2.0808
2022-01-03 14:00:00,2.0803,2.0878,2.0648,2.0718
2022-01-03 15:00:00,2.0711,2.0847,2.0613,2.0675
2022-01-03 16:00:00,2.0671,2.077,2.0232,2.0382
2022-01-03 17:00:00,2.0371,2.0633,2.0347,2.0502
2022-01-03 18:00:00,2.0502,2.0649,2.0463,2.063
2022-01-03 19:00:00,2.0634,2.0797,2.0564,2.0564
2022-01-03 20:00:00,2.0558,2.0589,2.0204,2.0396
2022-01-03 21:00:00,2.0396,2.0638,2.0302,2.0489
2022-01-03 22:00:00,2.0491,2.0636,2.041,2.0498
2022-01-03 23:00:00,2.0498,2.0583,2.0434,2.0452
2022-01-04 00:00:00,2.0465,2.0561,2.0236,2.0276
2022-01-04 01:00:00,2.0259,2.045,2.0115,2.0127
2022-01-04 02:00:00,2.0128,2.0311,2.0027,2.0188
2022-01-04 03:00:00,2.0181,2.0351,2.008,2.0294
2022-01-04 04:00:00,2.0282,2.0364,2.0179,2.0205
2022-01-04 05:00:00,2.0209,2.0378,2.0163,2.0219
2022-01-04 06:00:00,2.022,2.0311,2.0149,2.0276
2022-01-04 07:00:00,2.0277,2.0344,2.0184,2.0319
2022-01-04 08:00:00,2.0327,2.0431,2.0249,2.0312
2022-01-04 09:00:00,2.0314,2.0379,2.0211,2.0252
2022-01-04 10:00:00,2.0259,2.0465,2.02,2.0386
2022-01-04 11:00:00,2.0404,2.0719,2.0386,2.0699
2022-01-04 12:00:00,2.0704,2.0745,2.0478,2.0594
2022-01-04 13:00:00,2.0589,2.0828,2.0452,2.0782
2022-01-04 14:00:00,2.0779,2.095,2.0677,2.0869
2022-01-04 15:00:00,2.087,2.1033,2.0697,2.08
2022-01-04 16:00:00,2.08,2.1457,2.0728,2.1066
2022-01-04 17:00:00,2.1042,2.1228,2.0939,2.0975
2022-01-04 18:00:00,2.0992,2.1153,2.0266,2.0518
2022-01-04 19:00:00,2.0511,2.0877,2.0372,2.063
2022-01-04 20:00:00,2.0632,2.0885,2.0591,2.0835
2022-01-04 21:00:00,2.084,2.1026,2.0707,2.091
2022-01-04 22:00:00,2.0917,2.0934,2.0755,2.0818
2022-01-04 23:00:00,2.0819,2.0849,2.0451,2.0546
2022-01-05 00:00:00,2.0549,2.0871,2.0453,2.0839
2022-01-05 01:00:00,2.0843,2.0898,2.0701,2.0717
2022-01-05 02:00:00,2.0716,2.0875,2.0684,2.0841
2022-01-05 03:00:00,2.0837,2.1028,2.0837,2.1019
2022-01-05 04:00:00,2.1013,2.1037,2.0871,2.0893
2022-01-05 05:00:00,2.0896,2.0908,2.0769,2.0881
2022-01-05 06:00:00,2.0887,2.0925,2.0809,2.0925
2022-01-05 07:00:00,2.0915,2.0945,2.0803,2.0926
2022-01-05 08:00:00,2.0933,2.0989,2.0775,2.092
2022-01-05 09:00:00,2.0912,2.1,2.0877,2.0994
2022-01-05 10:00:00,2.0998,2.1074,2.0863,2.0901
2022-01-05 11:00:00,2.0909,2.0914,2.0659,2.0748
2022-01-05 12:00:00,2.0749,2.0841,2.0558,2.0744
2022-01-05 13:00:00,2.0724,2.077,2.0487,2.0746
2022-01-05 14:00:00,2.0746,2.0796,2.0442,2.053
2022-01-05 15:00:00,2.0539,2.0577,2.0302,2.0365
2022-01-05 16:00:00,2.0376,2.049,2.017,2.0288
2022-01-05 17:00:00,2.0275,2.0382,1.9634,1.9751
2022-01-05 18:00:00,1.9766,2.006,1.9546,1.9846
2022-01-05 19:00:00,1.9859,1.9877,1.859,1.8981
2022-01-05 20:00:00,1.8959,1.9114,1.81,1.8371
2022-01-05 21:00:00,1.8366,1.8726,1.8178,1.8232
2022-01-05 22:00:00,1.8237,1.8353,1.6391,1.8168
2022-01-05 23:00:00,1.8193,1.8421,1.7945,1.8015
2022-01-06 00:00:00,1.8034,1.818,1.7716,1.8109
