datetime,LSKBUSD_open,LSKBUSD_high,LSKBUSD_low,LSKBUSD_close
2022-01-01 00:00:00,2.336,2.367,2.322,2.346
2022-01-01 01:00:00,2.346,2.348,2.337,2.337
2022-01-01 02:00:00,2.337,2.346,2.337,2.346
2022-01-01 03:00:00,2.344,2.357,2.335,2.335
2022-01-01 04:00:00,2.339,2.339,2.335,2.335
2022-01-01 05:00:00,2.334,2.341,2.321,2.34
2022-01-01 06:00:00,2.338,2.342,2.333,2.333
2022-01-01 07:00:00,2.328,2.341,2.32,2.341
2022-01-01 08:00:00,2.341,2.341,2.341,2.341
2022-01-01 09:00:00,2.335,2.335,2.328,2.328
2022-01-01 10:00:00,2.332,2.347,2.329,2.333
2022-01-01 11:00:00,2.334,2.346,2.33,2.34
2022-01-01 12:00:00,2.34,2.36,2.34,2.36
2022-01-01 13:00:00,2.348,2.355,2.346,2.355
2022-01-01 14:00:00,2.352,2.355,2.338,2.339
2022-01-01 15:00:00,2.344,2.344,2.323,2.342
2022-01-01 16:00:00,2.341,2.342,2.323,2.339
2022-01-01 17:00:00,2.334,2.336,2.322,2.322
2022-01-01 18:00:00,2.335,2.35,2.323,2.35
2022-01-01 19:00:00,2.346,2.349,2.332,2.349
2022-01-01 20:00:00,2.329,2.347,2.329,2.344
2022-01-01 21:00:00,2.328,2.341,2.328,2.34
2022-01-01 22:00:00,2.34,2.344,2.34,2.344
2022-01-01 23:00:00,2.341,2.341,2.321,2.328
2022-01-02 00:00:00,2.34,2.349,2.34,2.349
2022-01-02 01:00:00,2.348,2.348,2.348,2.348
2022-01-02 02:00:00,2.348,2.349,2.348,2.349
2022-01-02 03:00:00,2.349,2.371,2.349,2.371
2022-01-02 04:00:00,2.371,2.389,2.371,2.381
2022-01-02 05:00:00,2.374,2.379,2.357,2.376
2022-01-02 06:00:00,2.365,2.375,2.355,2.357
2022-01-02 07:00:00,2.376,2.376,2.363,2.364
2022-01-02 08:00:00,2.363,2.392,2.363,2.392
2022-01-02 09:00:00,2.374,2.384,2.362,2.362
2022-01-02 10:00:00,2.37,2.371,2.37,2.371
2022-01-02 11:00:00,2.364,2.403,2.364,2.395
2022-01-02 12:00:00,2.407,2.43,2.4,2.425
2022-01-02 13:00:00,2.414,2.414,2.39,2.407
2022-01-02 14:00:00,2.412,2.412,2.412,2.412
2022-01-02 15:00:00,2.406,2.406,2.383,2.388
2022-01-02 16:00:00,2.397,2.416,2.397,2.402
2022-01-02 17:00:00,2.399,2.426,2.399,2.408
2022-01-02 18:00:00,2.421,2.427,2.403,2.403
2022-01-02 19:00:00,2.403,2.412,2.393,2.394
2022-01-02 20:00:00,2.394,2.394,2.37,2.378
2022-01-02 21:00:00,2.367,2.373,2.357,2.357
2022-01-02 22:00:00,2.365,2.365,2.328,2.328
2022-01-02 23:00:00,2.331,2.336,2.331,2.334
2022-01-03 00:00:00,2.327,2.336,2.325,2.336
2022-01-03 01:00:00,2.336,2.344,2.327,2.327
2022-01-03 02:00:00,2.326,2.329,2.323,2.329
2022-01-03 03:00:00,2.329,2.331,2.329,2.331
2022-01-03 04:00:00,2.33,2.341,2.33,2.341
2022-01-03 05:00:00,2.341,2.384,2.34,2.356
2022-01-03 06:00:00,2.358,2.384,2.358,2.383
2022-01-03 07:00:00,2.382,2.394,2.378,2.393
2022-01-03 08:00:00,2.387,2.58,2.374,2.383
2022-01-03 09:00:00,2.383,2.409,2.332,2.332
2022-01-03 10:00:00,2.337,2.343,2.322,2.323
